wavelength,Back_TanVelf,Belly_TanVelf,Breast_TanVelf,Crissum_TanVelf,Crown_TanVelf,DorTail_TanVelf,Patch10_TanVelf,Patch11_TanVelf,Patch12_TanVelf,Rump_TanVelf,Throat_TanVelf,WingTip_TanVelf
185.25,-791.3195,-1076.30208333,-1211.11091667,-1954.94791667,-739.149416666,-737.413250001,-1461.97925,-1094.96541667,-1247.309,-1136.19783333,-1436.198,-542.100708333
185.63,2.02576687784e+15,2.59618018292e+15,2.74011625055e+15,4.04087182475e+15,1.8498450174e+15,2.19635777282e+15,3.20924121174e+15,2.39360349514e+15,2.99067162755e+15,2.77210204336e+15,2.94269293834e+15,1.34340329794e+15
186.01,1651.75433333,2264.25441667,2403.07016667,3185.52633333,1576.0965,2073.465,2798.24558333,2073.02625,2507.67541667,2422.807,2425.43866667,1259.2105
186.39,251.520666667,244.001333333,247.186333333,332.650916667,163.23025,271.815083333,294.648083333,218.5825,277.4665,263.829,266.630666667,168.666083333
186.77,144.7455,128.060583334,135.966083333,174.327166667,91.7946666667,159.580166666,161.254833333,118.8095,149.711083333,148.211916667,150.662,103.36025
187.15,114.7285,92.3449166666,99.3219166666,132.073583333,67.3449166667,131.589166667,120.44575,82.4611666667,114.922416667,112.790583333,110.077333334,86.77325
187.53,98.7230833332,82.3781666667,86.2768333332,107.105333333,57.3489999999,115.760083333,107.699833333,64.4639166667,103.050583334,97.5438333334,97.7581666667,81.199
187.91,98.4284999999,88.9587500002,85.5059999999,102.820833333,61.8484166666,112.15625,113.1605,64.6513333335,108.17575,102.530833333,99.1678333333,86.4851666666
188.29,87.4746666666,82.2805833333,76.07275,89.9623333333,46.0124166666,104.128666667,107.398,56.2960833335,103.233083333,90.9140000001,94.2069166668,81.0454583334
188.67,83.4331666667,78.5129999999,63.9887499999,82.5799166667,41.83925,92.1930833334,103.494916666,53.4948333334,100.045416667,88.2987499999,89.45175,77.0424999999
189.05,78.4701666668,76.1768333334,62.7680833333,81.0401666666,44.6440833332,86.2487500001,104.882083333,54.3371666667,97.813,85.7028333334,87.8919166666,80.0485416666
189.43,79.6205,81.19425,62.4089166667,80.4624166667,41.673,89.8462499999,108.01875,55.7267500002,100.915083334,85.1675000001,91.5074166668,87.5201249999
189.81,83.8809999999,86.2243333333,65.1349166668,86.6580000001,46.6828333333,95.9069166666,116.3675,64.8458333335,108.001166667,84.6799166667,103.332333333,93.3758333333
190.19,88.4302499999,90.0997500001,67.3893333333,94.1407500001,48.3511666666,97.8292499999,129.934416667,71.4249166667,114.684416667,93.4535,109.69675,104.06825
190.57,95.7315833333,95.5285,67.3780833334,106.50425,40.6504166667,105.183,148.7805,69.5121666668,122.560833333,104.26825,116.260083333,113.872
190.95,105.117166667,110.3175,75.4519999999,121.621833333,44.9896666667,117.75375,176.252583333,75.8937499998,143.913083333,118.878416667,129.133916667,136.0455
191.33,130.800416667,146.48025,85.2632499999,159.364,28.9912500001,151.557,262.938583333,96.0197499997,193.245666667,157.182,185.581083334,199.309166667
191.71,86.21775,75.2885833333,33.0449999998,111.484916667,-28.8354166667,98.8782500001,193.824833333,29.8716666667,109.006333333,98.3759999999,109.647583333,128.643041667
192.09,99.6031666666,119.4445,83.7300000003,154.96025,6.94458333325,126.190583333,233.333416667,99.8015833331,169.4445,145.238166667,172.420416667,173.214333333
192.47,107.1875,104.5455,68.1429999999,172.086083333,-35.7808333332,118.70625,257.84775,70.5129166664,170.299083333,154.56475,164.937833333,188.888958333
192.85,165.166666667,261.5,223.0,304.333333334,88.1666666667,237.25,449.750000001,274.25,409.25,325.499999999,399.500000001,423.625
193.23,129.166666667,204.166583333,175.092583333,234.352,86.4814166667,172.685166667,311.481416667,231.759166666,294.4445,255.277916666,297.314833333,315.231375
193.61,129.09975,194.552166667,172.240666667,212.901166666,100.453083333,163.86675,299.231416667,229.381916667,285.502,254.87975,288.29475,296.709708333
193.99,211.423666667,375.937416667,354.270666666,432.499999999,158.402833333,278.680500001,665.208249999,468.715166666,614.722333333,538.958333333,636.701333333,678.541666666
194.37,112.900583333,236.746833333,221.826916667,279.118583333,72.5320833333,186.866999999,428.629833334,296.859,404.663416666,362.468,433.958333333,448.830083333
194.75,70.3703333334,123.72675,108.680583333,133.912,48.7266666667,112.037083333,206.9445,143.402833333,193.9815,187.615666667,200.810166667,222.337958333
195.13,78.9320833336,172.56,149.74675,169.303666667,60.1446666667,143.946916667,275.38475,206.015416667,277.496083333,266.319583333,279.908083333,320.927125
195.51,76.2925833333,138.794416667,130.939666667,130.313833333,47.3708333333,118.6,211.750583333,163.315666666,219.745,216.464083333,216.42375,250.326
195.89,217.545083333,359.741999999,334.116749999,327.477,143.296833333,281.323333332,497.246,458.000916667,556.473583332,512.417000001,558.277833334,610.897416667
196.27,544.730416667,1066.17641667,1011.02941667,968.995083334,358.455833334,847.303916665,1503.55391667,1358.94608333,1684.55883333,1605.26958333,1753.55391667,1962.92891667
196.65,-196.025666667,-515.128166666,-447.131416667,-408.397416667,-134.48725,-357.387833333,-706.955166667,-634.278833332,-780.320583333,-740.849333333,-830.609000001,-929.863750001
197.03,-77.4659166666,-207.404416667,-179.34425,-158.169416667,-63.3264166665,-150.607916667,-283.722666667,-262.144833333,-308.62025,-279.692666667,-319.760916667,-375.204916667
197.40,-25.5356666665,-103.174666667,-77.0336666666,-71.7361666667,-21.9048333332,-44.3055833333,-126.537666667,-122.004,-144.40475,-113.581416667,-157.301666667,-176.235166667
197.78,-39.1155,-120.38775,-83.9349166665,-99.6990833335,-61.9875833332,-40.3855833332,-93.0146666665,-136.419416667,-135.015583333,-112.2215,-156.216583333,-145.075625
198.16,-93.1943333333,-218.988083333,-149.603166667,-163.511833333,-150.238083333,-84.3451666667,-131.011916666,-253.670666667,-220.059583334,-180.615,-239.761916667,-205.932541667
198.54,-229.643,-480.476166667,-307.976166666,-377.261916666,-342.857083334,-178.09525,-264.523916666,-526.190416667,-442.381,-348.095333334,-444.642916666,-409.880875001
198.92,-241.396500001,-499.099083332,-297.094666667,-393.761333332,-379.729833333,-163.8965,-304.391833334,-535.855833333,-451.621583334,-408.896416666,-424.527166667,-436.227458333
199.30,232.34125,299.371750001,188.045583333,263.872333333,305.390166667,124.801583333,159.077416667,293.948499999,243.501833333,222.288333334,197.453833332,181.861749999
199.68,-945.098083333,-1226.2255,-786.642083333,-989.338166666,-1165.44125,-560.661750001,-903.921583333,-1495.58825,-1131.98525,-1124.63241667,-1069.97558333,-1156.31125
200.06,-610.702583333,-757.924916667,-454.371,-617.4835,-725.6945,-350.653583334,-587.949333333,-929.901999999,-745.588333333,-721.772750001,-705.596333333,-795.58825
200.44,-56.1031666667,-103.335833333,-66.4105833334,-73.6131666666,-79.1916666667,-57.9898333332,-130.2225,-155.0975,-141.497916667,-126.94925,-125.955666667,-180.4285
200.82,-35.6956666668,-84.5303333335,-61.4724166666,-54.8825833332,-58.5863333334,-63.4056666666,-143.71725,-140.180583333,-133.992666667,-114.6025,-118.87525,-187.38475
201.19,-84.2294166665,-171.102083333,-132.941333333,-110.271083334,-107.078833333,-137.152666667,-287.388,-270.418916666,-256.126833334,-207.69475,-243.51475,-375.128791666
201.57,-146.652333332,-290.64575,-246.391166667,-199.335333334,-200.118583333,-264.791083332,-525.640916666,-490.527000001,-488.72275,-370.418,-459.045666666,-683.451999999
201.95,-512.698499999,-1028.17458333,-888.888749999,-731.746000001,-605.158749998,-996.031749999,-2124.60333333,-1784.92066667,-1975.7935,-1478.5715,-1775.00008333,-2817.06345833
202.33,446.72625,901.785749999,761.726166667,628.154750001,577.857083334,837.678583333,1729.64283333,1258.98816667,1518.09516667,1216.84525,1340.59525,2127.61908333
202.71,645.416666668,1127.33333333,1008.83333333,876.166666666,762.583333334,986.166666668,1994.5,1426.75,1730.5,1374.83333333,1480.91666667,2236.5
203.09,-213.041750001,-392.231333333,-312.777750001,-308.369916667,-271.302333334,-287.340666667,-609.371666667,-460.318749999,-524.398916666,-398.9345,-459.818,-651.939875
203.47,-122.195666667,-252.814416667,-192.26775,-208.032666667,-167.427916667,-166.4665,-378.114916667,-296.935083334,-320.563,-256.4805,-291.646666667,-409.845708333
203.85,-189.97025,-370.104416667,-304.308583333,-307.797916666,-254.360166666,-255.875916667,-551.186750001,-404.927666666,-454.818166667,-355.166333334,-422.084583333,-577.986208333
204.22,-327.270749999,-551.587333333,-454.034416666,-454.585500001,-405.930333333,-375.793666667,-777.909916667,-606.194833333,-652.204666668,-480.401166666,-613.558166667,-823.467791668
204.60,-232.88925,-388.2315,-313.388166667,-308.294333334,-298.6285,-245.99,-515.961333333,-445.48075,-430.838416667,-346.068416667,-432.27525,-550.613833333
204.98,-179.824583333,-272.49375,-248.308333333,-215.53875,-237.688,-166.196833333,-347.556333333,-370.614166667,-331.234333333,-295.708083333,-309.3985,-367.1835
205.36,-95.8430833335,-151.814916667,-136.130833333,-119.880333333,-130.536,-87.2104999999,-201.086416667,-206.141083333,-192.415,-180.490583333,-170.673833333,-205.767041667
205.74,-89.8715000002,-133.909583333,-122.123416667,-104.2545,-115.804833333,-80.9069166667,-185.567666667,-184.28325,-173.594666667,-175.203166667,-156.346,-187.76625
206.12,-92.8646666667,-138.255916667,-124.581333333,-103.562416667,-119.4445,-94.6173333334,-195.35475,-193.1575,-174.304166667,-176.642583333,-161.48775,-192.702541667
206.50,-144.940583333,-169.04775,-160.118916667,-129.613166667,-169.642833333,-129.761833333,-231.845166667,-259.523916667,-234.375,-236.011833333,-202.678583333,-249.032791667
206.87,298.090166667,195.486249999,222.569500001,186.111166666,253.993166667,203.298583333,97.743,277.256916667,267.708333332,318.0555,143.923583332,213.107666667
207.25,-2047.47475,-1785.60608333,-1757.82825,-1468.93941667,-1748.98991667,-1364.89891667,-1741.66666667,-2321.71725,-2295.70708333,-2258.33333333,-1645.45458333,-2313.13141667
207.63,-434.575499999,-408.488583333,-358.59225,-317.650083333,-357.971,-297.205,-562.00825,-538.509166666,-538.198833333,-517.39125,-453.571416667,-573.188458334
208.01,-566.009000001,-560.52625,-473.391916668,-386.549833334,-445.687166667,-435.891833334,-735.380166666,-712.9385,-708.260333332,-653.874416667,-583.771916666,-733.771874999
208.39,-229.010833333,-222.845583333,-175.487833333,-147.777916667,-167.85925,-180.176166666,-306.517666667,-300.09475,-293.238583333,-266.151666667,-242.615083333,-313.313
208.77,-134.935833333,-113.170166667,-83.2166666666,-74.3006666668,-82.38625,-99.4027499999,-204.414333333,-188.60725,-185.76625,-161.363666667,-147.377666667,-197.4285
209.14,-159.695333333,-116.111083334,-100.250916667,-101.164833333,-110.125416667,-125.152333333,-259.92825,-233.181,-237.258083333,-201.245416667,-204.139833333,-261.478583333
209.52,-196.359916667,-139.17125,-130.334333333,-127.220666667,-130.609,-154.326916667,-298.099916667,-271.154,-287.843416667,-229.807833334,-234.088833333,-316.105625
209.90,-533.753166667,-424.580083333,-386.466416667,-322.254499999,-303.036083334,-422.351500001,-504.522083334,-544.605916666,-569.864500001,-443.346333333,-418.152333334,-606.460041668
210.28,-278.832333334,-212.137666667,-178.5395,-138.97725,-152.801,-196.627583333,-289.632083333,-293.561833333,-307.134833334,-218.896333333,-229.598583333,-330.964375
210.66,-327.463666667,-254.130416667,-205.68825,-153.623166667,-174.420333333,-238.659333333,-332.645,-353.768166667,-370.579666667,-257.5725,-268.913083333,-384.510791667
211.03,-641.228083333,-462.061333332,-395.065833334,-280.592083332,-320.504333333,-493.092,-559.5395,-613.15775,-650.219416667,-416.008916667,-429.385916667,-649.726
211.41,131.154666667,85.0028333332,83.7248333334,61.2005833334,67.4872500001,119.001166667,35.8612499999,81.9799166665,78.7965,48.6983333332,70.4724999998,72.4769166668
211.79,98.8948333334,56.8768333333,60.4955833334,43.6545833334,49.2192500001,86.5494166667,13.4234166668,62.5586666667,45.82575,33.0540833333,52.7838333334,54.1185833334
212.17,80.4166666667,35.7639166667,43.3333333333,38.4721666667,39.5834166667,65.9028333333,-4.16666666675,50.0000833333,26.1805000001,25.2084166666,36.5279166668,30.5554999999
212.55,56.2970833332,22.0005833333,30.8468333333,29.3329166668,32.71975,52.9650833333,-19.7363333334,23.7177500002,-1.6069166665,12.3889166665,28.0222499999,5.9684583334
212.92,52.6935,-3.67966666658,17.1413333334,20.6147499999,24.5750833332,43.6816666666,-44.6829166667,8.20908333333,-15.2951666666,-9.74208333325,15.2481666666,-13.5337500001
213.30,58.1703333332,3.9025833334,21.6976666667,31.4355833333,29.8288333332,43.1847500001,-29.111,15.4063333335,-5.66825000007,0.888916666833,21.2542500001,-5.84583333342
213.68,41.1704999999,-8.43266666675,9.92058333325,25.0993333335,20.3371666667,36.8055000001,-49.4047500002,3.67066666675,-26.6865833335,-16.9643333332,4.36500000007,-27.3314166666
214.06,129.329,-7.79233333325,27.27275,83.33325,68.6146666667,100.865833333,-1.08233333333,96.53675,11.5801666667,31.8182500001,65.8008333333,14.0153333333
214.44,202.746166667,-19.9181666666,53.5669166668,154.67175,115.182916667,154.766416667,99.6210833332,222.095916667,73.0112500001,138.604833333,112.436833333,100.836416667
214.81,-89.1920833332,-22.3395000001,-27.3669166668,-71.6549166665,-55.5163333333,-52.5625833333,-173.611083333,-175.039166667,-108.538583333,-132.746583333,-72.7210833334,-126.789875
215.19,-68.7437500001,-89.3356666668,-67.4479166666,-68.7499166666,-69.8106666666,-62.0298333333,-215.67575,-184.051083334,-152.775666667,-167.956083333,-111.369583333,-176.556125
215.57,-148.32775,-227.127333333,-185.878833333,-160.525833334,-171.897083333,-163.192083333,-423.6715,-360.990333333,-316.471666666,-332.720166667,-253.530166667,-374.140666667
215.95,-476.114333334,-792.151166668,-717.587250001,-504.990250001,-555.014583333,-541.666666667,-1276.0175,-1089.46225,-961.458333333,-1008.79358333,-846.729666668,-1170.91816667
216.32,-563.387083332,-912.129333334,-875.8085,-581.760916667,-649.595583334,-603.212000001,-1514.60008333,-1283.76,-1139.016,-1185.39958333,-1038.09516667,-1329.87425
216.70,-2064.43666667,-3310.15258333,-3245.48125,-2195.07033333,-2524.76525,-2312.38258333,-5395.30516666,-4513.02816666,-4227.58225,-4335.09391666,-3905.63383333,-4730.92725
217.08,-9.32208333333,-6.21475,6.63841666667,-6.07341666667,-4.3785,-1.69483333333,-18.644,-20.48025,-6.63841666667,-17.6553333333,1.41241666667,-16.3841666667
217.46,412.191416667,530.842166668,555.798083332,367.019333333,439.373916666,410.537916668,837.896833333,748.677249998,700.507166667,671.384500001,662.522083333,701.146333334
217.83,5440.83333333,6934.16666668,7041.04166667,4784.79166666,5703.95833334,5266.24999999,11694.5833333,10820.4166667,9284.99999999,9195.83333334,8501.87500001,9567.29166666
218.21,-6253.26091667,-7472.82608334,-7466.30433333,-5260.50725001,-6298.91299999,-5689.49275,-12144.56525,-11440.9420833,-10069.9275833,-10026.8115833,-9111.95650001,-10332.971
218.59,3129.16675,3651.6025,3867.94875,2719.55125,3088.14108333,2953.52566666,6204.16666665,5863.46158335,5020.19233334,4822.43591668,4635.57691666,5215.22433333
218.97,-1159.61541667,-1232.05125,-662.500000001,-966.346083334,-846.794916668,-796.47425,-1724.359,-1791.98716667,-1409.29483333,-1550.96166667,-1078.20516667,-1713.141125
219.34,-235.952333333,-267.261916667,-157.976166667,-181.90475,-171.4285,-150.000083333,-433.33325,-428.095333333,-325.0,-325.952333334,-274.642833333,-403.809416667
219.72,-350.453583333,-510.090583333,-71.9388333333,-235.20425,-222.505666667,-229.932083333,-603.231333334,-696.542083333,-390.249416666,-400.4535,-356.2925,-642.29025
220.10,896.808583333,1404.25533333,132.624166667,488.120666667,457.801500001,492.730416667,1048.04966667,1576.06391667,559.751749999,558.865416666,603.723333334,1390.86883333
220.47,-65.5111666666,-11.9046666667,-123.144166667,-97.0238333334,-90.8962500001,-75.2450833335,-230.882416667,-164.46075,-195.343083333,-184.068666667,-150.52525,-141.6315
220.85,-96.4155000001,-57.7971666665,-140.364583333,-114.445333333,-112.515416667,-92.7084166667,-289.430083333,-235.784333333,-221.185666667,-209.129916667,-183.700833333,-207.99625
221.23,-62.4328333333,-24.8790833332,-147.957,-106.18275,-111.666583333,-65.0806666667,-305.483833333,-230.376416667,-229.543083333,-213.629,-179.583333333,-195.551166666
221.61,-96.1906666667,-62.0635000001,-202.142833333,-159.762,-173.65075,-73.6506666668,-467.698416667,-348.96825,-355.873,-340.0,-254.36525,-284.206291667
221.98,265.972333333,290.972083332,-111.805499998,-115.972249998,-113.1945,170.83325,-563.1945,-199.999999998,-402.777666664,-498.610999999,-289.583333333,-97.5694583317
222.36,-949.509916667,-866.993333334,-728.921583333,-552.941333333,-653.431250002,-716.339916667,-981.372416665,-1235.94758333,-971.405249999,-622.875916666,-721.078416665,-1102.77783333
222.74,809.166666668,730.000000001,384.999999998,23.3333333333,270.833333334,670.833333333,-536.666666667,274.166666667,-125.833333333,-294.999999999,-125.0,183.333333334
223.11,1937.5,1601.66666667,1745.0,1285.0,1390.0,1364.16666667,2578.33333333,2770.0,2415.0,1715.83333333,1829.16666667,2363.33333333
223.49,661.000000001,489.666666666,543.666666667,410.666666667,407.666666667,533.333333333,635.666666667,774.333333332,699.666666668,436.0,519.666666667,638.833333334
223.87,406.750000001,280.125,330.541666667,239.875,232.583333333,302.5,357.666666667,414.791666667,416.333333333,259.666666667,291.625,347.708333333
224.24,197.70525,176.371583333,199.801416667,172.058416667,150.138,145.83325,301.328416667,292.132666667,296.85125,220.850583333,231.76325,245.910958333
224.62,157.559583333,161.865083333,190.79375,165.65475,132.1825,108.690416667,368.15475,315.89275,339.821416667,251.884916667,271.11125,259.990041667
225.00,183.796416667,169.166583333,216.944416667,178.333416667,143.425916667,155.18525,366.388833333,325.092583333,366.481583333,254.259333333,273.0555,274.02775
225.38,185.333333333,177.159416667,216.9275,200.942083333,151.246416667,159.971083333,423.811583333,368.405833333,403.275333333,293.652166667,316.753583333,306.9855
225.75,242.798916666,260.575166667,328.306166667,308.423916666,210.394083333,220.991916667,632.880416667,512.635916668,567.391333334,457.76725,477.604166668,447.14675
226.13,199.099083333,193.947,256.784833333,219.988666666,187.021416667,212.809666667,361.373833333,334.769166667,347.7055,284.403083334,309.628416667,281.953875
226.51,160.1515,163.911,218.86375,195.27475,163.257583333,188.7215,286.63825,270.35025,280.946916667,233.333333333,249.015083333,242.329583333
226.88,-95.69525,0.953833333175,-83.873,-72.8915833334,-75.6275833332,-81.7896666668,-0.9915,-40.1982499999,-74.6485833333,10.6174166667,-45.1179166666,-40.8007916667
227.26,12.2318333333,48.4236666665,34.4649999998,27.0670833333,17.5105,24.7121666667,94.5905000003,53.9965833333,56.1028333333,76.8183333331,57.6923333333,58.6245416667
227.64,17.1400833332,42.4810833332,46.4394166668,30.0757500001,21.9885833333,34.1666666667,91.8180833334,58.8635833332,61.3635833334,74.8106666666,65.1894166668,58.447
228.01,32.9594166667,55.3763333333,64.8345833334,45.2335833332,39.1027500001,49.4711666667,107.109166667,73.1168333333,86.2566666667,85.4402500001,83.2278333332,76.0038749999
228.39,34.7214166667,51.2104999999,63.5914166667,44.7764166668,42.1095,49.5463333334,95.2310833334,66.5604166666,80.2043333333,78.0344166666,75.909,70.7839166666
228.76,38.1841666667,50.6635833332,62.5616666667,44.8902500001,44.9551666667,49.245,86.3959166666,63.7204166668,72.8559999998,72.8685000001,70.2592499999,67.5405416667
229.14,33.3163333333,42.7678333333,57.3407499999,37.7438333334,38.8045833333,43.7584999999,75.6096666665,55.9670833333,61.4786666668,59.9887499999,58.1627500001,58.2731666667
229.52,27.4314166666,37.3787500001,52.3700833333,32.7271666668,32.8771666666,38.5318333332,68.5038333333,50.3114166668,53.2300000001,53.0456666666,53.1723333334,51.266125
229.89,27.5675000001,34.5813333333,51.8365833334,33.2355833334,33.4854166667,38.1585000001,66.0303333334,50.1410833333,51.2731666666,51.5300000001,51.3092500001,50.9358333333
230.27,27.8182500001,32.7225833334,51.5750000001,32.6156666668,35.6518333333,35.8650833334,66.2248333333,49.4357500001,49.9179166666,50.8662499999,50.9469166666,49.8265
230.65,28.7119166667,32.7279999999,50.4146666666,33.7404166666,34.5096666667,36.3305000001,68.0028333334,50.2025,49.8695000001,52.0033333333,51.7423333333,49.0655416667
231.02,29.4824166668,32.1813333334,51.16925,34.5170833333,35.1898333333,37.3085833334,69.3548333335,51.1002499999,49.9906666666,52.6100833332,54.5065000001,49.765625
231.40,28.9403333332,32.2294166666,51.73675,34.1591666668,33.5315833333,39.9424166667,73.14375,53.0498333335,51.8710833333,54.9365833333,57.8686666667,52.064
231.78,31.5359166668,36.3580833332,55.8386666668,36.6783333334,36.7380833333,44.0567500001,79.3672499999,56.9450833333,57.3882500001,58.6710833333,62.4916666668,56.5100833333
232.15,34.0005833334,37.0235000001,60.0870833332,40.3600833334,38.5762500001,46.0368333334,84.96775,60.6429999999,60.7724999999,62.4689999999,65.0686666666,58.7340833334
232.53,37.8022500001,40.1160833333,63.2425000001,42.4609999999,38.4738333334,47.0077500001,88.0069166667,64.1608333334,63.6627500001,65.7141666666,65.7522500002,61.1893333334
232.90,41.7690833333,44.6350833333,69.3049166668,46.3751666668,41.2973333334,50.8079166666,98.5210833333,72.3307499999,73.7225,71.0464166667,71.1349166666,65.8121249999
233.28,44.5686666666,49.3630833334,72.2953333332,51.5942499999,43.6741666667,54.8453333333,110.928833333,80.0214166667,86.5089166668,81.9159166666,79.4413333333,70.5849583334
233.66,46.9893333334,50.5054166667,72.7052500001,53.5920833334,44.5874166666,57.442,108.31125,79.3669166668,86.8193333334,81.2509999999,77.2300833333,71.6926250001
234.03,43.98825,51.3028333334,67.8110833334,50.2420833333,42.8479999999,52.6523333333,100.47575,72.9720833332,84.14725,75.34175,73.4295833333,67.9462083334
234.41,40.6698333333,49.8968333333,66.0685,47.9054999999,39.9335,51.3363333334,96.422,70.1914999999,83.5355,71.8365833334,70.8229166666,66.9426666667
234.78,41.4830833334,52.0626666666,67.7564999999,50.5561666667,42.5183333332,52.1623333333,93.2136666667,69.6265833332,80.7450000002,71.6535833333,69.9097499999,69.3074166666
235.16,40.2085,52.3063333333,68.2535833333,50.18175,42.0245,52.019,93.4130833333,69.0114999999,82.2441666667,72.2734166666,67.8156666668,69.1679166668
235.54,35.5138333333,47.9300000001,61.816,43.3403333333,38.3264166667,45.6642500001,84.0222500001,62.7159999999,73.6002499999,65.1104999999,59.3021666667,61.9459999999
235.91,33.5376666667,44.8499166666,58.4924166667,42.0729166667,36.6110833334,43.3894999999,77.3435833332,59.3657499998,68.2780833333,61.096,55.1735833334,59.0005000001
236.29,32.0749999999,40.9844166667,53.1123333334,39.2234166666,34.6815833333,41.1614166666,71.6619166665,55.8763333333,62.9730833333,57.28375,52.5283333332,56.6764583333
236.66,30.0495,39.4368333334,50.4754166668,37.0035833334,34.1799166666,39.2954166667,68.3511666666,53.8627499999,59.8036666668,55.6227499999,50.6238333334,54.288375
237.04,29.6438333333,38.0499166667,49.8740833333,37.1814166666,35.0119999999,39.3103333334,65.9111666666,53.0539999999,57.3299166667,55.5661666666,52.0975833333,54.945
237.41,30.8476666667,39.1439166666,50.7915,37.8777500001,36.0906666667,39.7830833334,65.8289166666,52.76775,55.2760833334,56.3399166666,53.83325,55.166125
237.79,28.21475,35.3479166667,46.9479999999,34.1376666667,33.7076666666,35.1686666667,61.2209166666,48.0294166666,51.5385,53.0703333333,49.82175,49.9211666667
238.17,28.0154166666,32.1659166667,46.5635833334,34.4255833333,32.49325,34.9955,60.8239166667,48.0271666667,50.1283333334,53.6517500001,47.7435833333,48.3695833333
238.54,26.2394166667,29.93775,44.11325,32.6688333333,29.1011666667,33.045,59.5190833333,46.0605833333,47.6480833333,51.4878333333,44.68375,46.9109583333
238.92,25.0405,26.30275,40.5381666667,27.7158333333,25.99925,29.42675,54.6421666666,41.1690833333,44.0180833333,46.3558333333,40.69825,40.5475416667
239.29,22.4783333333,22.7471666667,35.6820833333,23.1223333333,21.9405,24.67075,48.8113333333,35.7288333333,38.28275,40.56425,35.9701666667,36.1092916667
239.67,22.11,21.6845,35.1989166666,23.1974166667,20.9225833333,23.5071666667,48.2436666667,33.79425,36.8140833333,39.01225,34.9495833333,35.1709583334
240.04,21.07725,20.2085,33.3474166667,21.1488333333,19.7625833333,22.1790833333,45.6043333333,31.19725,34.3668333333,36.8590833334,32.2336666667,32.4829583333
240.42,19.33675,18.7325833333,31.6543333333,18.9834166667,18.1593333333,21.156,42.3189166667,28.4260833333,31.7830833333,34.58425,29.7194166667,30.661125
