wavelength,Back_UroStof,Belly_UroStof,Breast_UroStof,Crissum_UroStof,Crown_UroStof,DorTail_UroStof,Rump_UroStof,Throat_UroStof,WingTip_UroStof
190.57,-105.0,-142.5,-99.9999999998,-289.166666666,-509.166666667,-168.333333333,-356.666666667,-195.833333334,-310.833333333
190.95,-93.5183333334,-174.999833333,-120.3705,-323.148166667,-566.667,-193.518333333,-414.814833334,-220.3705,-380.555666666
191.33,-144.4445,-279.629833334,-261.111,-601.8515,-1133.33333334,-455.555666667,-857.4075,-335.185166666,-737.037166667
191.71,-333.333333333,-794.444333334,-755.555666665,-1850.0,-3427.77766667,-1566.66683333,-2672.22216667,-955.555833334,-2050.00016667
192.09,123.333333333,243.333333333,230.0,443.333166667,745.5555,470.000166667,638.888833333,303.333333333,468.889
192.47,82.353,203.9215,200.000166666,369.607666667,650.9805,419.607833333,571.568666667,242.156833333,391.1765
192.85,152.083333334,397.916666667,418.75,800.0,1429.16666666,952.083333335,1177.08333334,558.333333333,827.083333333
193.23,1716.66666667,3066.66666666,3450.0,6016.66666666,11033.3333334,7733.33333333,9700.0,4416.66666666,6466.66666666
193.61,188.095333333,411.904833333,480.9525,864.285833334,1549.99983333,1097.619,1426.1905,595.237999998,904.761666666
193.99,-316.666666667,-2216.66666666,-2900.0,-5383.33333334,-9300.0,-6816.66666667,-9100.00000001,-3600.0,-5183.33333333
194.37,9.2593333333,259.2595,344.4445,581.4815,1029.62983334,750.000166667,1024.074,355.555666667,605.5555
194.75,379.166666667,-379.166666667,-375.0,-1016.66666667,-1854.16666667,-1283.33333334,-1987.5,-495.833333332,-1070.83333333
195.13,-85.4166666668,250.0,258.333333333,622.916666667,995.833333335,747.916666667,1070.83333334,268.75,675.000000001
195.51,-108.333333334,411.111166667,336.111166667,874.999833333,1325.0,966.667,1427.77783333,461.111166667,875.0
195.89,1216.66666667,-1850.0,-1400.0,-4716.66666667,-7233.33333334,-4066.66666666,-7733.33333334,-1800.0,-4750.0
196.27,180.5555,-24.999833333,-29.1664999999,-291.666666666,-509.722166667,-165.277666667,-583.333333334,-9.7221666665,-337.500166667
196.65,69.6076666667,-47.0586666669,-65.6863333331,-253.921666667,-404.901833334,-131.3725,-458.8235,-74.5096666665,-282.352833334
197.03,0.0,1950.0,2900.0,5183.33333334,7533.33333334,3466.66666667,9549.99999999,2566.66666667,6350.0
197.40,31.1111666667,184.4445,254.4445,396.666833333,555.555666666,306.666666666,677.777833333,218.888833333,456.6665
197.78,12.2221666667,172.222166666,202.2225,386.666833333,533.333333333,318.888833333,641.111166667,201.111166666,421.111
198.16,72.2221666666,178.889,221.111166667,387.777833333,563.333166667,362.222333334,676.6665,223.333333334,447.777833333
198.54,179.166666667,316.666666667,379.166666666,762.5,1016.66666667,679.166666667,1206.25,425.0,810.416666665
198.92,201.388666667,206.9445,333.333333333,562.499833333,673.611,433.3335,811.111166667,288.889,543.055666667
199.30,-102.777666667,-52.7775,-341.666666666,-750.000166667,-916.666666667,-452.7775,-1255.5555,-308.333333333,-650.0
199.68,-216.666666667,-83.3333333335,-1241.66666667,-2316.66666666,-2566.66666667,-1416.66666667,-3741.66666666,-833.333333331,-1850.0
200.06,899.999999999,583.333333335,2866.66666666,4883.33333334,4800.0,3750.0,7516.66666667,1900.0,4050.0
200.44,-107.407333333,-114.814833333,-333.333166667,-535.185166666,-464.814833334,-409.259166666,-762.963166667,-216.666666667,-361.111166667
200.82,-59.7224999998,-88.8888333335,-241.666833333,-374.999833334,-281.944333333,-300.000166666,-520.833166667,-100.000166667,-172.222
201.19,11.5383333333,8.97433333335,-42.3076666667,-77.7776666668,-58.547,-45.2993333335,-109.829,10.6836666667,-8.1196666667
201.57,23.5293333333,21.0783333334,-29.9018333333,-59.804,-60.7841666666,-9.31383333335,-106.862666667,26.9608333333,10.7841666667
201.95,56.0606666667,31.0604999999,-54.5453333332,-54.5453333333,-66.6666666667,11.3638333335,-166.666666667,60.6063333334,46.9698333335
202.33,75.2875,46.5516666667,-2.8735,-0.000166666650003,-9.76999999999,58.0461666669,-95.9771666668,82.1841666667,70.6895000002
202.71,123.077,56.4103333335,-47.4356666665,-16.666666667,-75.6410000002,82.0513333331,-292.307666666,151.282,108.974333333
203.09,104.762,35.7141666665,-54.7618333335,19.0475,-86.9046666669,16.6668333335,-307.142833333,116.666833333,105.952333334
203.47,400.0,-400.0,-2450.0,-666.666666665,-2566.66666667,-1366.66666667,-5616.66666667,516.666666665,633.333333333
203.85,-23.3333333333,150.0,520.0,80.0,610.0,343.333333333,1136.66666666,-83.3333333335,-136.666666667
204.22,3.70383333333,43.518333333,129.629666667,2.7778333335,172.222333333,92.5926666668,324.074,-15.7408333332,-75.9258333335
204.60,22.2221666667,40.0,88.8890000001,30.0001666667,128.333333333,97.7778333331,233.333333334,17.222,-18.3333333333
204.98,16.6668333333,41.6666666665,122.222166667,-6.4815,185.185166667,156.481333333,368.518666667,20.3703333333,-26.8516666667
205.36,33.3333333333,70.8335000001,103.571166667,41.0715000001,135.714333334,149.4045,283.333333333,31.5476666667,-0.59533333335
205.74,84.2593333333,125.925833333,172.222166667,112.036833333,211.111,270.370333334,466.666666666,50.9260000001,25.926
206.12,264.285833333,319.047666667,433.3335,314.285666667,500.0,659.524000001,1119.04783333,50.0,76.1905000001
206.50,219.4445,270.833333333,325.0,251.389,369.444333334,455.555666667,683.3335,72.2221666666,102.777833333
206.87,-708.333333334,-900.000000001,-1458.33333333,-858.333333335,-1158.33333333,-1900.0,-3391.66666667,-41.6666666665,-50.0
207.25,-212.5,-487.5,-700.000000001,-387.5,-483.333333333,-808.333333332,-1662.5,-83.3333333335,62.5
207.63,159.524,445.238166667,426.1905,342.857166667,342.857166667,516.6665,1033.33333333,164.285833333,4.7616666665
208.01,-223.333333334,-570.0,-510.0,-470.0,-426.666666667,-756.666666666,-1390.0,-223.333333333,66.666666667
208.39,-68.7500000001,-189.583333333,-202.083333333,-208.333333333,-170.833333333,-246.875,-456.25,-43.75,-49.9999999999
208.77,-0.000166666649999,-53.509,-66.6666666667,-61.842,-40.351,-62.2808333331,-160.526166666,6.579,3.50866666665
209.14,-4.6298333333,-103.703666667,-123.148166666,-152.777833333,-91.6664999999,-134.259,-355.555666667,11.1111666667,3.7036666665
209.52,38.5416666667,-3.64583333335,-14.0625,-38.0208333333,-3.6458333333,-14.5833333333,-146.354166667,41.1458333333,50.5208333332
209.90,61.7425,26.5151666666,20.8333333333,-6.4396666667,23.4848333334,14.394,-73.8635,53.7878333333,60.6061666665
210.28,54.088,17.2958333334,13.2075,-4.40266666665,16.9811666667,8.8051666667,-66.3523333334,33.019,44.0253333333
210.66,52.7776666666,21.6666666667,11.9446666666,-3.33316666666,24.4443333334,6.389,-53.6111666667,29.4446666667,47.5
211.03,43.5375,1.7005,-3.4015,-24.1496666666,5.44233333333,-21.7686666667,-77.8911666667,26.8708333333,51.0205
211.41,50.0,21.3333333333,8.6666666667,-15.0,8.66666666665,-7.33333333335,-68.6666666667,45.6666666667,66.0
211.79,54.7945,38.3561666667,18.2648333333,11.4153333333,20.0913333334,12.557,-28.539,55.2513333333,65.0685
212.17,62.8515,45.3815,27.711,22.6906666667,35.9438333333,29.3171666666,-5.6225,64.257,66.8676666666
212.55,67.4601666666,51.587,40.8728333334,34.1271666666,46.8253333334,42.0633333333,3.37316666665,64.4841666667,78.3726666666
212.92,70.4955,53.3783333333,51.126,41.8918333334,47.2973333333,49.5495,4.5045,72.2973333333,95.4954999999
213.30,65.934,50.7323333333,50.5495,46.5201666666,50.1831666667,51.8316666667,17.9488333333,66.6668333333,88.4616666666
213.68,65.1315,48.2456666666,47.5876666667,52.8508333333,54.1666666667,49.5613333333,14.2545,70.8333333333,95.1753333333
214.06,68.599,55.3138333333,46.6181666666,69.3236666666,65.459,48.3091666667,21.2558333334,81.401,107.246333333
214.44,68.718,60.7693333333,47.4356666667,77.6923333334,71.282,52.8203333333,21.5383333333,92.3076666666,118.205166667
214.81,59.7436666667,56.9231666666,47.6923333333,80.0001666668,62.5641666666,44.1026666667,10.7691666666,88.2049999999,104.871833333
215.19,57.6306666667,64.4581666667,54.8191666667,78.9156666665,68.0721666666,47.992,24.6988333333,84.7388333334,92.9720000002
215.57,52.7083333333,63.3333333333,51.4583333333,78.3333333331,67.9166666667,41.875,25.0,87.0833333335,93.125
215.95,55.128,63.4615,60.8973333333,85.6836666665,75.2136666666,43.376,31.624,89.1026666666,94.8718333333
216.32,44.8716666667,52.0513333334,48.2051666667,82.8206666666,58.718,35.641,14.8718333333,85.1281666669,90.2565
216.70,38.384,42.6768333333,39.394,82.0706666669,54.0401666667,26.515,8.58583333335,81.3133333334,85.8585
217.08,42.9221666667,54.5661666667,39.7261666667,81.7351666665,56.1641666666,29.2236666667,22.1461666667,84.2464999998,74.4291666667
217.46,40.1961666667,55.294,33.1373333333,69.4118333331,52.5491666667,31.1763333334,25.4901666667,75.4903333334,66.0785
217.83,44.8865,59.8485,35.0378333333,69.5075,56.6285,39.0153333334,30.3031666667,76.894,66.6666666667
218.21,42.0635,57.738,34.3253333334,67.8571666665,52.381,45.4366666666,26.1905,77.3808333333,66.6663333333
218.59,44.0476666667,65.2778333334,37.4998333333,71.6270000002,56.3491666667,55.5555,38.4921666667,79.762,76.9843333334
218.97,45.2703333334,73.4235,37.6126666667,74.3245,60.8108333334,72.9731666667,46.8466666666,86.036,91.4414999999
219.34,47.3118333333,69.8925,24.1936666667,74.4621666665,52.957,81.1826666668,41.9353333334,85.7526666667,101.075333333
219.72,39.6715,53.5211666667,17.1361666666,60.5635,38.4976666667,71.127,37.5586666667,61.9718333333,80.751
220.10,30.7691666667,48.5043333334,12.1795,46.581,35.47,64.7436666667,32.6921666666,45.2991666666,67.7353333334
220.47,37.8136666667,53.5843333333,23.2975,51.7921666667,46.7743333334,62.9031666666,33.1543333334,51.0751666667,65.2331666667
220.85,38.1225,53.2566666667,20.6896666666,47.893,43.295,60.5363333333,33.5248333334,45.5938333333,57.4711666666
221.23,31.0186666667,36.3426666667,11.8055,45.8333333333,37.963,55.7868333334,23.6111666666,34.7221666667,62.2683333333
221.61,-2.08333333333,-2.08333333335,-26.5625,53.125,21.3541666667,59.8958333333,-21.875,18.75,70.3125
221.98,-29.762,-17.8571666667,-37.5001666667,40.4761666667,-18.4523333333,41.0715,-56.5478333333,2.97616666665,60.7143333333
222.36,-1.0755,-1.07516666665,-20.43,35.484,-15.0536666667,29.57,-45.1613333334,5.3761666667,62.3655
222.74,22.7273333333,6.818,-8.3335,24.2423333333,-48.4846666667,-9.8485,-94.697,3.78783333335,58.3331666667
223.11,30.247,2.46916666665,3.08633333335,30.8641666667,-41.9753333333,-31.4813333332,-61.7283333333,-3.08666666665,36.4196666667
223.49,58.3333333333,15.7408333333,19.4445,59.2593333335,-22.222,-60.185,-78.7036666665,8.33333333334,49.0741666667
223.87,75.3968333333,65.0793333335,82.5396666667,119.047666667,60.3175,-23.0159999998,-15.0795000001,67.4605,98.4128333333
224.24,42.3076666667,26.9231666667,57.6921666668,174.358833333,6.41033333335,-87.1793333334,-114.102666667,117.9485,129.487333334
224.62,-15.3846666667,23.0768333335,32.0513333333,171.794666667,-56.4103333333,-92.3076666666,-146.154,97.4356666665,117.948833333
225.00,14.815,53.7038333334,50.0,95.6790000001,10.4938333334,6.173,-51.2345,75.9258333333,93.2098333333
225.38,-26.6666666667,52.6666666667,22.0,78.6666666665,3.33333333334,-11.3333333333,-74.6666666665,70.0,65.3333333333
225.75,0.81316666665,60.1626666666,24.7968333334,51.2195,13.4143333333,4.065,-20.7316666667,54.8778333333,57.317
226.13,24.7396666666,63.8023333333,34.6356666667,51.823,26.8228333333,24.4793333334,16.1458333333,58.3335,66.4065
226.51,17.5105,48.312,29.114,48.1013333333,23.8396666667,21.7298333333,19.4091666667,48.3123333333,52.1098333333
226.88,0.36616666667,29.1208333333,13.7363333334,38.6446666666,15.9343333334,10.989,12.271,27.1063333334,36.9963333334
227.26,0.17366666667,27.0833333333,12.3263333333,40.625,16.6666666667,8.68049999999,4.514,23.2638333334,32.4653333334
227.64,-3.38983333333,21.6103333333,14.548,34.1806666667,12.4295,10.0283333333,4.80216666667,15.819,27.1188333333
228.01,-9.68650000002,19.2306666666,6.98,25.2136666666,6.55266666665,5.55566666667,-3.7035,5.5555,18.3758333333
228.39,0.995000000002,27.4876666667,17.9103333333,28.9801666666,14.5523333333,9.82616666669,8.45766666667,12.3135,23.5073333334
228.76,-4.975,21.5173333333,13.0596666667,18.4083333334,11.3183333334,-0.4975,1.617,3.60716666666,16.7911666667
229.14,-5.119,20.4761666667,10.5951666667,21.9046666666,11.6666666667,-5.71433333332,3.21416666667,5.71416666667,17.3811666667
229.52,10.1851666666,27.8806666667,19.9586666667,26.1316666667,18.7241666667,4.527,11.214,15.2265,24.2798333333
229.89,6.54766666667,24.3053333333,18.2541666667,23.611,13.492,2.2815,4.66266666667,15.1786666666,21.0316666667
230.27,-4.34783333333,14.2858333333,7.45316666667,12.0083333333,7.35,-9.42033333331,-9.31683333331,6.211,8.4885
230.65,-9.35483333335,15.0535,1.72033333333,3.871,3.22583333334,-15.3763333334,-17.0965,0.967666666668,5.48416666666
231.02,-10.7778333333,15.5555,0.55566666667,0.111,2.77783333333,-12.6666666667,-17.7776666667,0.777833333334,6.33333333333
231.40,-6.64500000002,21.2418333333,6.20933333331,1.96083333334,3.48566666667,-8.06100000001,-12.3095,7.51633333333,9.69483333333
231.78,-1.76,25.5693333334,7.24633333334,7.557,5.17599999998,-3.10566666667,-7.55683333333,14.8031666667,11.801
232.15,2.56416666666,23.7673333333,9.96050000001,10.5523333333,5.32549999998,0.8875,-2.071,18.935,10.5523333333
232.53,3.53516666666,25.8585,12.1211666666,12.2221666667,8.48483333335,6.06033333333,-2.12116666667,19.0911666667,10.5051666667
232.90,7.37383333333,24.1413333334,14.2425,16.0606666667,9.49500000002,10.202,0.909166666665,20.303,10.909
233.28,4.74666666667,16.0336666666,7.17316666667,8.54433333334,1.58233333333,5.69616666667,-6.75099999998,14.8735,5.90716666666
233.66,-1.06166666666,13.4818333333,4.88316666666,3.39716666667,-1.91083333333,0.637,-10.9341666667,11.7835,0.7431666667
234.03,0.517666666665,16.1488333333,7.143,1.035,0.414,0.7245,-7.66033333334,8.69549999998,0.8283333333
234.41,1.3715,14.346,9.59933333332,4.43016666665,-0.738333333335,0.73833333333,-4.325,6.85649999998,0.7383333333
234.78,-0.82816666667,12.9401666667,11.9046666667,7.764,0.51766666667,5.2795,-2.38066666667,6.21116666665,-1.0351666667
235.16,7.15633333333,17.7965,15.066,14.595,2.91899999999,10.0753333333,1.4125,11.582,0.09416666665
235.54,6.75916666666,16.3888333333,11.9446666667,13.1483333333,3.24066666667,7.49983333333,1.94433333333,11.2036666667,0.64816666665
235.91,2.36683333333,8.18533333335,6.11450000001,8.38266666665,-5.91716666665,-1.08483333333,-7.79083333332,3.94483333335,-5.9173333333
236.29,3.5295,11.6666666667,7.54900000002,9.60783333332,-6.17666666665,-3.13733333333,-8.82333333332,7.549,-2.54916666665
236.66,-0.49583333333,6.64683333333,0.59533333335,6.746,-13.9881666666,-10.7143333333,-13.7896666666,2.3811666667,-6.15066666665
237.04,0.59166666667,8.77699999998,-0.98616666665,7.98816666665,-13.5106666667,-9.66483333335,-12.6233333333,4.2405,-3.353
237.41,0.770666666665,10.3081666667,0.48183333335,11.368,-10.5011666667,-10.7898333333,-10.6935,3.17916666665,-0.578333333335
237.79,4.11766666665,13.8236666667,3.43133333334,19.7058333333,-7.45099999999,-5.00000000001,-6.86283333333,6.37266666665,3.92133333335
238.17,7.28616666668,14.0255,8.19683333332,24.0436666667,-0.728666666665,0.72866666667,-3.27883333333,12.022,8.19683333335
238.54,12.8713333333,20.5445,13.0363333334,26.4026666666,4.6205,6.02316666667,1.2375,16.3366666667,12.7886666667
238.92,20.7771666667,26.3826666666,17.7128333333,29.6715,11.2108333333,12.1825,9.19283333332,22.9445,19.1328333333
239.29,22.2456666666,26.6948333334,17.5848333333,27.9661666667,13.63,12.6415,12.4293333333,23.7288333333,20.6213333333
239.67,19.4553333333,22.179,13.2943333334,25.2918333334,11.9973333333,12.1273333333,10.3113333333,21.2711666667,18.7418333334
240.04,19.2693333333,21.9823333333,14.3963333334,22.813,14.6178333333,13.0678333333,12.9013333333,21.3731666667,20.8195
240.42,14.5035,15.5356666667,11.947,17.8958333333,11.1605,10.3246666666,8.45633333333,15.3391666666,17.3548333334
240.79,13.3761666667,13.9315,11.2393333333,15.2565,12.0511666667,9.31616666665,8.71783333333,14.4871666667,16.8376666667
241.17,9.79516666667,10.8198333334,8.77,10.0228333334,9.18766666665,5.505,5.9225,10.6303333333,14.0088333334
241.54,9.96733333335,11.8955,9.6405,9.34633333335,8.75816666666,8.39866666668,7.12416666666,11.3396666667,14.5425
241.92,9.55266666668,11.0335,9.08833333334,8.39149999998,8.56566666667,7.37499999998,6.9105,10.5398333333,13.8501666667
242.29,10.3338333334,11.2878333334,8.373,9.06200000002,7.94916666669,7.949,7.23383333333,10.5988333334,14.0965
242.67,9.05416666667,9.88866666666,7.6125,8.85183333333,7.23316666665,8.52316666669,6.55033333333,10.6473333334,13.0248333333
243.05,5.98033333334,6.2745,5.09783333334,6.152,3.97083333333,5.61266666666,3.28433333333,7.20566666666,9.9265
243.42,5.4225,5.3285,5.493,6.19716666666,3.756,5.3755,2.08933333333,6.50216666666,9.57749999999
243.80,4.65383333334,4.7225,5.548,6.373,2.79683333333,4.99766666667,1.90283333333,5.86866666666,9.44516666666
244.17,4.87816666666,5.69133333334,6.05266666667,7.227,2.91333333333,5.96216666667,2.71016666666,6.52683333334,9.91416666665
244.55,5.10433333333,6.21383333333,5.19316666667,7.56766666667,2.72966666667,6.36933333333,3.01816666667,6.50266666667,10.231
244.92,5.04233333333,6.87766666667,5.5485,7.34183333333,2.53183333333,7.36283333333,2.46833333333,6.772,9.89433333335
245.30,5.787,7.9475,7.65816666667,8.15966666667,3.70383333333,9.49083333331,3.58783333333,7.774,10.7446666666
245.67,5.5435,7.49283333333,7.72516666667,8.26166666667,3.8625,9.24516666668,3.9165,7.77916666667,10.4795
246.05,5.11583333333,6.805,7.33616666667,7.64166666667,3.121,9.05716666667,3.81266666666,7.38433333334,10.4248333333
246.42,4.22583333334,6.035,6.95433333333,7.14716666667,3.24733333333,8.48166666666,3.24733333333,6.58366666667,9.77183333333
246.79,3.9765,5.551,6.63666666667,5.93133333334,2.78216666667,7.65466666667,2.90433333333,5.60533333334,9.86700000002
247.17,5.31683333333,6.76216666667,7.86833333333,6.96316666666,4.13533333333,8.67266666667,4.261,6.91316666666,11.199
247.54,5.87616666667,7.4905,8.47583333334,7.50233333334,4.79583333334,9.5085,4.60616666667,7.918,11.5148333334
247.92,7.14283333334,8.17283333333,9.272,8.116,5.815,10.5196666667,5.20833333334,8.425,12.1106666667
248.29,6.74133333333,7.5345,8.67866666667,7.37583333334,5.3365,10.1518333333,4.66783333334,7.75,11.126
248.67,7.255,8.38933333333,9.63616666666,8.12,6.50283333333,10.6135,5.492,8.69266666666,11.4555
249.04,7.57683333334,8.7345,10.1788333333,9.04383333335,7.06083333333,11.1418333333,6.3045,9.60583333333,12.2075
249.42,7.88883333334,8.7535,10.1225,9.46183333335,7.781,11.2871666667,6.53233333333,10.1945,12.3558333333
249.79,7.44516666667,8.55383333333,10.4938333334,9.045,8.03716666667,11.0356666667,6.36166666667,10.1156666667,11.9803333333
250.17,7.26183333333,8.98183333333,10.7018333334,8.88616666665,8.4905,11.3161666667,6.31966666667,10.06,11.7663333333
250.54,7.053,9.3065,10.7841666667,8.07733333333,8.1065,11.0038333333,6.43833333334,10.0235,11.838
250.92,8.43383333334,10.9873333333,11.9468333333,9.48616666665,9.96616666665,12.148,7.90766666666,11.3896666667,12.6741666667
251.29,7.9675,10.6993333333,11.61,8.99183333334,10.016,11.9998333333,7.83733333333,11.1706666666,12.3575
251.66,7.15966666667,10.3286666667,11.318,8.43383333334,9.67466666665,11.4015,8.33333333334,10.9828333333,12.1393333334
252.04,6.3675,10.7695,11.5928333334,7.611,9.9125,10.9038333333,8.5015,10.9878333333,12.2646666667
252.41,5.95233333333,10.5803333333,11.6701666667,7.02533333334,10.1443333333,10.9655,8.08183333334,10.6473333333,12.4246666667
252.79,5.78216666666,10.017,10.9013333333,6.1565,9.3535,10.5273333334,7.67,9.762,11.5646666667
253.16,6.079,10.058,11.185,6.028,9.78483333331,10.3653333334,7.47933333333,8.6065,11.1853333334
253.54,6.93166666667,10.9046666667,11.9708333334,6.8285,9.89000000002,10.4231666667,8.11866666665,8.99566666667,11.5066666667
253.91,7.8575,12.0506666666,12.0683333334,7.57566666666,9.90133333331,10.888,8.10416666666,9.79550000002,12.174
254.28,9.36166666667,12.6596666667,12.8723333333,9.00699999999,11.2766666666,11.5068333333,8.7765,10.8511666666,13.4753333333
254.66,10.6775,13.6363333333,13.8325,10.6593333333,12.4956666666,12.7985,9.82166666668,11.5866666667,14.3851666667
255.03,10.081,12.3623333333,12.8403333333,10.5226666667,11.203,11.9021666667,8.92216666666,10.7248333334,13.5763333334
255.41,10.6248333334,12.7083333333,13.2575,11.4015,11.3068333333,11.8748333333,9.22349999999,11.0795,14.1288333333
255.78,9.84300000001,11.7453333334,12.8431666666,11.1765,10.1568333333,11.4901666667,8.13733333333,10.235,14.0198333334
256.15,8.94033333334,10.983,11.9133333333,10.538,8.75816666667,11.0035,7.322,9.42533333335,12.9248333333
256.53,10.9258333333,12.217,13.9253333334,12.1176666666,9.35616666667,11.6606666667,8.87966666666,10.9651666666,14.1836666666
256.90,10.9538333333,12.0096666667,14.065,11.2366666666,9.42683333334,11.8965,9.4455,10.9538333333,15.2903333333
257.28,11.3915,12.3905,13.7225,10.9885,9.62133333334,12.2325,10.2525,11.7946666666,15.6855
257.65,10.9918333333,12.0673333333,12.8623333333,10.3211666667,9.10516666669,12.6596666667,10.1498333333,11.3658333334,15.3256666667
258.02,9.87399999998,10.2848333333,11.5175,9.23033333333,8.34016666667,11.8458333333,9.40816666667,9.81916666668,14.2291666667
258.40,9.11783333333,9.49816666666,10.4968333333,8.55916666666,7.31083333334,11.341,8.8565,9.14166666666,13.2071666667
258.77,8.77233333333,8.70983333333,9.90183333335,7.88383333333,6.67083333333,10.5813333333,7.96733333333,8.9085,12.4425
259.15,8.29566666666,8.2675,9.58166666668,7.24483333334,6.24983333334,10.2573333333,7.30133333334,8.63366666667,11.7588333334
259.52,7.8135,7.83066666666,9.06616666666,6.646,6.118,9.94383333334,6.84216666667,8.4695,11.1025
259.89,8.20283333334,8.2585,9.238,6.78833333334,6.72533333333,10.1076666666,7.09633333333,8.55066666667,11.0085
260.27,8.87633333333,8.7265,9.82033333334,7.43833333333,7.47566666667,10.5765,7.371,9.266,11.3335
260.64,8.58583333333,8.57833333333,9.52166666666,7.174,7.5255,10.5821666667,6.98416666666,9.21466666666,11.0353333333
261.01,8.453,8.60533333334,9.67183333333,7.43716666667,7.53883333333,10.5718333333,6.8495,9.59933333333,10.8041666666
261.39,7.5525,7.77866666667,9.11416666667,6.74966666667,6.699,9.74133333335,5.96166666666,9.063,9.91683333332
261.76,6.895,7.08283333333,8.39716666667,6.189,6.16633333334,8.81016666668,5.25016666666,8.57733333333,9.47116666666
262.13,7.04116666667,7.59733333334,8.968,6.47716666667,6.579,9.12433333334,5.545,9.18716666667,9.618
262.51,6.836,7.902,9.41633333334,6.32816666667,6.81066666667,9.26433333335,5.36383333334,9.577,9.56016666667
262.88,6.5275,7.80533333333,9.324,6.176,6.67583333333,9.03683333335,5.0925,9.51833333334,9.40733333333
263.25,6.7455,8.3535,9.7695,6.64433333334,7.48383333333,9.476,5.82533333333,10.1335,9.91099999999
263.63,6.847,8.762,10.4988333333,7.10316666667,7.671,9.83083333335,6.07866666667,10.343,10.0423333333
