wavelength,Back_DigPlum,Belly_DigPlum,Breast_DigPlum,Crissum_DigPlum,Crown_DigPlum,DorTail_DigPlum,Rump_DigPlum,Throat_DigPlum,WingTip_DigPlum
202.33,-759.555644445,-541.3334,-519.111066667,-800.889,-539.999933333,-775.555533333,-580.888866667,-694.666666667,-585.777933333
202.71,-532.222177778,-367.575666667,-376.969733333,-552.4242,-386.0606,-542.424333333,-411.515133334,-487.5758,-432.7272
203.09,-542.539666667,-373.968333333,-353.968333333,-562.857133333,-401.904866667,-526.6666,-417.460266667,-494.603133333,-442.539666667
203.47,-270.061733333,-158.889,-152.777733333,-260.555533333,-190.925933333,-252.037066667,-200.5556,-233.8888,-218.148
203.85,-212.319,-132.028933333,-120.4348,-206.087,-160.8696,-196.376733333,-165.6522,-192.6086,-174.4928
204.22,-172.426311111,-95.2380666667,-80.2720666667,-157.959333333,-129.251866667,-154.0136,-127.619066667,-149.2516,-132.2448
204.60,-120.692177778,-66.7759333333,-50.8196666666,-117.4864,-94.8633333333,-113.551933333,-96.6119333332,-108.196733333,-88.6339333334
204.98,-119.534111111,-70.7526666667,-53.871,-119.354866667,-99.9999333335,-120.430066667,-102.043,-105.914133333,-90.1075333335
205.36,-144.138022222,-89.0803333333,-73.7931333335,-142.069,-117.2414,-145.517333333,-124.5978,-131.724133333,-114.023
205.74,-138.924666667,-90.2150666667,-73.5484666667,-137.312,-121.827866667,-133.548333333,-124.623666666,-131.720333333,-113.763466667
206.12,-115.458888889,-74.8792666667,-57.3912,-118.454133333,-104.057933333,-110.241733333,-108.502333333,-110.821333333,-96.2319333333
206.50,-123.691755556,-78.2796000001,-62.6881333333,-134.086,-118.2796,-120.9678,-123.548333333,-119.784933333,-104.9462
206.87,-85.6456444444,-51.7118000001,-34.6846666667,-95.5855999999,-80.6306,-83.3334000001,-86.0360000001,-86.5766000001,-67.3874666667
207.25,-76.8091777779,-44.53,-32.5641999999,-82.0513333333,-72.3932,-79.4016666667,-75.2136666667,-79.2307333335,-62.9913999997
207.63,-123.527266667,-87.0901333332,-71.9577333333,-136.8254,-114.285733333,-132.698466667,-119.153533333,-126.3492,-105.820133333
208.01,-221.767688889,-168.6364,-142.727333333,-231.363733333,-201.666733333,-239.090933333,-208.6364,-215.303066667,-190.303066667
208.39,-324.698377778,-256.952466667,-224.190533333,-335.0476,-300.5714,-347.618933333,-302.8572,-314.6666,-288.571466667
208.77,-706.296399999,-550.3704,-510.740733333,-721.111266667,-651.4816,-754.4444,-649.629666667,-677.037000001,-655.185066666
209.14,-1689.44444445,-1302.5,-1182.5,-1630.83333333,-1537.5,-1734.16666667,-1531.66666667,-1568.33333333,-1548.33333333
209.52,8.25659931684e+15,6.33745174836e+15,5.82141429106e+15,7.91115275451e+15,7.76615049377e+15,8.56366292781e+15,7.33967325635e+15,7.62967777781e+15,7.40364484197e+15
209.90,1629.44444445,1242.5,1161.66666667,1538.33333333,1498.33333333,1734.16666667,1428.33333333,1519.16666667,1454.16666667
210.28,687.953177778,536.842133333,493.6842,621.4036,627.3684,731.579066667,603.158066667,648.0702,629.1228
210.66,-12202.2222222,-9359.99999999,-8633.33333332,-10646.6666667,-10733.3333333,-12906.6666667,-10446.6666666,-11660.0,-11033.3333333
211.03,-1774.92051111,-1336.19033333,-1230.4762,-1526.66653333,-1582.85706667,-1879.0476,-1525.71433333,-1702.857,-1571.4286
211.41,-6674.44444444,-5230.0,-4796.66666667,-5940.0,-6133.33333333,-7083.33333333,-6093.33333333,-6613.33333333,-5740.0
211.79,-4210.37035556,-3213.33333333,-3033.33326667,-3760.0,-3964.44453333,-4460.0,-3933.33326667,-4360.0,-3575.55546667
212.17,-690.972222222,-510.833333333,-464.583333333,-605.416666667,-638.333333333,-731.25,-646.25,-746.25,-564.583333333
212.55,-436.574044444,-330.000066667,-303.333333334,-382.2222,-395.833266666,-472.777866667,-423.888866666,-488.611066667,-357.2222
212.92,-372.592488889,-276.5432,-237.283866667,-317.283933333,-339.753266667,-395.061733333,-358.271533333,-422.716066667,-296.5432
213.30,-497.222222222,-363.0,-315.0,-442.333333333,-451.333333333,-508.333333333,-463.666666667,-574.333333333,-379.333333333
213.68,-216.802177778,-148.455333333,-122.1138,-188.617866667,-187.317,-219.0244,-198.048733333,-253.3334,-157.0732
214.06,-187.129644444,-124.722133333,-102.499933333,-162.777733333,-158.750133333,-188.4722,-172.777733333,-214.722266667,-127.916733333
214.44,-162.99,-103.393866667,-88.2424666667,-142.666733333,-138.424133333,-165.696933334,-154.0606,-185.818066667,-102.303066667
214.81,-176.367533333,-119.871666667,-96.5384666667,-158.205066666,-159.743666667,-182.1794,-168.974466667,-203.333533333,-118.461666667
215.19,-226.016311111,-158.8618,-126.666666667,-207.154533333,-206.9918,-238.0488,-220.4878,-263.252066667,-163.089533333
215.57,-193.4322,-127.4074,-105.925866667,-174.370466667,-176.2964,-207.4074,-184.888866667,-226.518733333,-142.8148
215.95,-198.172911111,-135.259133333,-101.925933333,-172.0,-170.6666,-206.962933333,-183.4074,-224.4444,-153.925933334
216.32,-264.691444444,-178.3332,-145.3704,-232.2222,-232.7778,-270.740733334,-250.925933333,-292.4074,-208.148066667
216.70,-363.911111111,-232.533333333,-182.133333334,-322.4,-329.6,-367.733333333,-333.6,-393.333333333,-277.6
217.08,-580.130644444,-369.019666667,-325.490133333,-502.745,-508.235333333,-576.470533333,-519.2158,-596.4706,-433.333266667
217.46,-703.88888889,-500.0,-460.416666667,-654.166666667,-652.083333333,-742.5,-658.333333333,-749.166666667,-565.0
217.83,-1205.55555556,-909.333333332,-860.0,-1189.33333333,-1182.66666667,-1304.0,-1199.33333333,-1310.0,-1030.0
218.21,-4003.70371111,-3168.88886667,-2882.22213333,-4031.11113333,-4148.88893333,-4486.6666,-4091.11106667,-4433.33326667,-3555.5556
218.59,-12344.4444444,-10033.3333333,-9153.33333333,-12673.3333333,-13073.3333333,-14213.3333333,-12893.3333333,-13793.3333333,-11420.0
218.97,1127.59264444,877.777733333,835.555466668,1120.00006667,1167.22226667,1292.77786667,1156.66653333,1216.11113333,1029.44453333
219.34,585.066666667,457.333333333,454.4,577.6,612.0,670.933333333,600.8,627.733333333,536.266666667
219.72,1184.62968889,917.777866665,920.555600001,1175.00006667,1236.66673333,1375.55553333,1193.33326667,1248.88886667,1084.99986667
220.10,6806.66666667,5156.66666667,5460.0,6933.33333334,7370.0,8210.0,6893.33333333,7193.33333333,6283.33333333
220.47,-2209.25922222,-1707.77773333,-1821.111,-2250.0,-2383.33333333,-2744.44453333,-2177.77773333,-2353.33333333,-2057.7778
220.85,-675.0,-534.333333333,-575.333333333,-681.333333333,-724.0,-841.666666667,-677.333333333,-735.666666667,-641.333333333
221.23,-512.870422222,-423.888866667,-433.055733334,-526.9444,-558.888866667,-647.4998,-517.500133333,-577.5,-485.5556
221.61,-259.356688889,-204.210466667,-210.350933333,-255.4386,-287.7194,-329.473666667,-265.965,-289.2982,-247.368466667
221.98,-281.714444444,-213.142933333,-219.238133333,-260.000066667,-293.142933333,-347.238066667,-271.809533333,-301.714266666,-261.1428
222.36,-266.728333333,-193.333266667,-202.963,-239.999933334,-257.2222,-308.333133333,-241.851866667,-282.7778,-237.222266667
222.74,-421.4492,-307.2464,-316.8116,-372.4638,-388.9856,-467.826133333,-362.3188,-443.1884,-374.202933333
223.11,-380.966177778,-279.7102,-278.260866667,-333.913133333,-341.449333333,-409.565266667,-324.057933333,-398.260933333,-325.797
223.49,-261.904733334,-190.2382,-171.666666667,-220.4762,-215.238066667,-284.047733333,-225.7142,-276.9048,-219.5238
223.87,-425.308644445,-293.333266667,-258.888866667,-317.037066667,-322.962933333,-411.111066667,-358.518466667,-450.3704,-348.148133333
224.24,-741.615977778,-535.7576,-453.333333333,-564.848533333,-562.424266667,-688.484733334,-635.757533333,-788.485000001,-566.060533334
224.62,-1033.61111111,-758.333333332,-632.500000001,-824.166666667,-796.666666667,-959.166666668,-915.000000001,-1097.5,-787.500000001
225.00,1696.0,1184.0,990.666666667,1358.66666667,1234.66666667,1558.66666667,1472.0,1742.66666667,1249.33333333
225.38,732.777733334,499.444466667,445.000066667,587.777733333,551.666666667,702.7776,656.666666666,760.000066666,552.222266667
225.75,296.143755556,211.764666667,184.1176,244.117666667,230.980266667,303.725533333,267.647133333,319.411666667,228.235466667
226.13,202.139866667,151.728266667,131.728333333,172.716133333,169.382666667,215.5556,195.432133333,221.111066667,159.629533333
226.51,202.974911111,160.4302,142.795733334,174.623666667,179.1398,225.268866667,205.268733334,224.086,172.365733333
226.88,171.51,136.2394,125.726533333,150.171066667,152.820466667,187.6922,177.350466667,190.598333333,146.068266667
227.26,131.253888889,108.3792,101.039733333,115.718733333,119.4496,144.648133333,136.269066667,149.541266666,114.679066666
227.64,104.245422222,85.0746666668,82.3383333333,90.8956666667,95.3234000001,114.378066667,105.721466667,119.552133333,91.2935333333
228.01,82.0369555556,69.8412666666,64.9602666667,75.4762,77.619,93.6904,85.6747333333,93.7698666667,72.8174666667
228.39,68.878088889,59.6457333333,54.3962666667,60.6441333333,64.1868,77.8744,71.562,76.3606000001,62.8018
228.76,62.8823111111,54.6722,50.0418666667,54.0864,59.442,68.4797333333,65.1603333333,67.7265333333,57.4057333333
229.14,58.1047777778,51.8490666667,48.4024666667,51.2452666667,56.4275333333,63.9497333333,61.0566,61.8867333333,53.4592
229.52,56.1460222222,50.5828,47.7154666667,50.6994,54.1259333333,62.1211333333,59.5104666667,58.8577333333,53.007
229.89,56.1165777778,51.0964,49.6568666667,51.0076666667,53.9534666667,60.6867333333,59.4464,57.9180666667,53.3996666667
230.27,55.8984888889,51.0183333333,50.5038666666,50.9754,52.5402,59.8712666667,57.8136,57.8563333333,54.2552
230.65,50.2451555556,46.0625333333,45.7604,45.6796666667,46.7874666667,52.4068,51.0372666667,50.6344,48.8418666667
231.02,48.8958888889,44.5667333333,44.3016666667,43.7105333333,45.2395333333,50.3364,48.8276666666,47.5840666667,46.3199333333
231.40,50.0938666667,44.6753333333,45.8658666667,44.6538,45.5627333333,52.0346666667,50.4328666667,47.0562666667,47.1862
231.78,55.2730888889,50.2342,52.0402,51.0368,51.3488,58.3722666667,57.2799333333,52.4415333333,52.7757333333
232.15,59.5980888889,53.8566,57.9522,55.6769333333,55.2674,62.7758666667,61.9112,56.9056,57.3150666667
232.53,59.9446666667,53.1674,59.5255333333,57.509,55.4447333333,63.5112,63.3925333333,57.1055333333,58.3392
232.90,58.2875333333,52.0192,58.6141333334,56.8696,53.5484,63.3213333333,62.6044,56.0812,58.0168666667
233.28,59.0276222222,51.6898,57.6621333333,56.574,52.7546,62.9630666667,63.1249333333,57.1528,58.5879333333
233.66,60.6885777778,53.0752,57.9342666667,57.0892,53.2628666667,63.2394666667,63.0752,58.0516,58.122
234.03,60.7805777778,52.7598666667,55.9618666667,55.6271333333,52.1864,64.6116666667,61.7444,56.9176,58.1601333333
234.41,60.5612666667,51.7647333333,54.7404666667,53.864,52.1106666667,64.1984,60.4844666667,54.879,56.0553333333
234.78,59.4939333333,50.3851333333,53.5094,52.5852666667,50.2090666667,63.0142,59.0538,53.2012,53.9494666667
235.16,59.4036444444,50.4366,52.8434,53.3546666667,50.7347333333,64.2598,58.8497333333,53.3972,55.3142
235.54,55.3553111111,47.3874,48.6087333333,49.3293333333,47.7077333333,59.6997333333,53.4934666667,50.2102666667,51.6516666667
235.91,51.1812666667,42.5404,42.5406666667,43.4002666667,42.6170666667,52.9894,47.6027333333,44.107,45.2914
236.29,48.4136222222,40.3852,39.2678,40.9247333333,40.212,50.2698,44.6436,40.2311333333,41.8497333333
236.66,48.8169333333,41.7255333333,38.7450666667,40.6666666667,40.8039333333,51.7059333333,44.9608,40.4117333333,41.2746
237.04,47.6113555556,40.999,37.6147333333,39.368,39.7145333333,50.9887333333,43.7716666667,39.3069333333,39.47
237.41,47.1026,40.7930666667,37.3419333333,37.6633333333,38.9067333333,50.8252,42.7008,38.8424666667,38.2422
237.79,45.0812666666,40.2032,37.6219333333,36.0772,38.7804,49.4511333333,41.7275333333,38.496,37.9470666667
238.17,42.1767777778,37.2124666667,36.8225333333,34.9316666667,36.7640666667,45.5751333333,39.8440666667,36.1792666667,34.8538
238.54,38.6271777778,35.6231333333,35.3277333333,33.4256666666,34.4968666667,42.3083333333,39.1689333333,34.3674,32.7238
238.92,36.4692666667,34.1291333333,33.5631333333,31.2290666667,32.6966,40.7072666667,37.8072,33.0328,30.787
239.29,32.2691555555,29.9586666667,29.4788666667,27.2289333333,28.2876666667,35.8314,34.4250666667,29.5614666667,27.014
239.67,32.4345111111,30.1872,29.8277333333,28.3146,28.6742,35.1911333333,35.5655333334,30.0373333333,27.7154
240.04,31.8085111111,30.1233333333,30.3054,29.0836666667,28.6159333333,34.7756666667,35.1655333333,30.4093333333,28.9148666667
240.42,30.5770444444,28.8628,29.3108666667,27.6191333334,27.0587333333,33.0195333333,33.3446,29.8935333333,28.5826666667
240.79,27.9883555556,25.7597333333,27.1105333333,25.3351333333,24.5923333333,29.7250666667,29.7733333334,27.3612666666,26.3675333333
241.17,25.6916888889,23.0229333333,24.8203333333,23.1292,22.6715333333,27.1895333333,27.0670666667,24.7794,24.5506
241.54,23.1906,20.9335333333,22.2780666667,21.2887333333,21.0517333333,24.7788666667,24.7649333334,22.1944,22.7168666667
241.92,21.8768666667,19.6058666667,20.8834666667,20.3496,19.8538,23.4827333333,23.4954,20.235,21.6078666667
242.29,21.2862888889,19.2952,20.0822666667,19.7532,19.1366,23.0543333333,23.0544666667,19.4654,21.4625333333
242.67,20.6786,18.3332666667,18.9206666667,18.8143333333,18.0314666667,22.0302,21.5213333333,18.3668666667,20.8222
243.05,20.2516666667,17.747,18.4309333333,18.5233333333,17.6004666667,21.3518,20.8252,17.9642,20.57
243.42,19.7821555556,17.1368,17.9017333333,17.9919333333,16.9668666667,20.8871333333,19.947,17.2430666667,20.1380666667
243.80,18.716,15.8643333333,16.864,16.6904,16.0430666667,19.7844666667,18.7108666667,15.8168666667,19.1213333333
244.17,18.2661777778,15.4488666667,16.3983333333,16.0732,15.8050666667,19.453,18.2663333333,15.1136,18.6583333333
244.55,17.5230888889,14.8457333333,15.7764666667,15.4426,15.4880666667,19.0490666667,17.7591333333,14.4662666667,18.169
244.92,17.2446444445,15.1485333333,15.6274,15.2587333333,15.5269333333,18.7786,17.7538,14.4396666667,18.0604
245.30,16.4933111111,14.6972,14.6613333333,14.3778,14.5892,17.7988,16.9255333333,13.6574666667,17.2182
245.67,15.4548,13.8121333333,13.6821333333,13.3416666667,13.2786666667,16.5552,15.7362,12.4259333333,16.3454
246.05,14.2308666667,12.5514,12.4866,12.1168,12.0328,15.2937333333,14.5157333333,11.5750666667,15.4195333333
246.42,13.0911333333,11.5324,11.4152666667,11.1054,11.1054,14.2871333333,13.2989333333,10.7472,14.2011333333
246.79,12.6633555556,11.1996666667,11.0794666667,10.7154666667,11.0794666667,14.0201333333,12.9534,10.6078666667,13.8082666667
247.17,12.1317111111,10.8613333334,10.5486666667,10.2714,10.7464,13.6076666667,12.4984666667,10.1563333333,13.3508
247.54,11.8291555556,10.8365333333,10.5384,10.08,10.7015333333,13.3727333333,12.3464,10.0519333333,13.1112
247.92,11.3052444444,10.4723333333,9.99720000001,9.54413333332,10.096,12.8856666667,11.9604666667,9.5964,12.5507333333
248.29,10.9714444444,10.3500666667,9.69353333335,9.37460000001,9.8952,12.8048666667,11.7124666667,9.43206666667,12.4343333333
248.67,10.6413555555,9.95873333331,9.16319999999,8.94566666668,9.3998,12.3011333333,11.4478666667,8.96780000001,11.9818
249.04,10.3728444445,9.6318,8.72153333333,8.77293333334,9.13813333334,12.1746666667,11.3641333333,8.66706666667,11.7038
249.42,10.1948222222,9.30373333333,8.52560000001,8.69806666666,9.14626666665,12.0526,11.2715333333,8.53166666667,11.4986
249.79,10.0984444444,9.21606666666,8.38473333333,8.54106666666,9.12146666666,11.9708,11.136,8.50199999999,11.2144
250.17,10.4003777778,9.60553333333,8.41873333333,8.80239999999,9.40659999999,12.2564666667,11.2899333333,8.79159999999,11.2083333333
250.54,10.3138,9.53893333333,8.19846666666,8.66753333334,9.42553333333,11.989,11.2621333333,8.55426666667,10.9809333333
250.92,9.94868888889,9.38640000002,7.95699999999,8.58113333333,9.06606666665,11.6804666667,11.3177333333,8.2184,10.6472
251.29,9.97268888889,9.33779999999,8.11066666667,8.63786666667,9.00993333334,11.619,11.4508,8.1994,10.6445333333
251.66,10.3072666667,9.61026666667,8.47306666667,9.15633333332,9.41766666666,11.9072666667,11.8018,8.40899999999,10.8482
