wavelength,Back_EmbPlaf,Belly_EmbPlaf,Breast_EmbPlaf,Crissum_EmbPlaf,Crown_EmbPlaf,DorTail_EmbPlaf,Patch10_EmbPlaf,Patch11_EmbPlaf,Rump_EmbPlaf,Throat_EmbPlaf,WingTip_EmbPlaf
329.88,4.9568,16.1658,6.80546666667,6.93706666667,4.6396,6.57833333333,7.7694,4.16393333333,5.0306,9.40886666666,6.08286666667
330.24,5.01893333333,16.2525333333,6.91993333333,6.97413333333,4.7224,6.64313333333,7.75713333333,4.321,5.11126666667,9.45013333334,6.12393333333
330.61,4.6002,16.0582,6.58293333333,6.5702,4.33653333333,6.22826666667,7.36513333333,4.03806666667,4.68206666667,9.1532,5.73173333333
330.98,4.50166666667,15.8794,6.45193333334,6.3922,4.191,6.0474,7.2066,3.90033333333,4.52873333333,9.00506666667,5.54353333333
331.34,4.56553333333,16.1596,6.63246666667,6.58573333333,4.26873333333,6.18453333333,7.33953333333,4.01693333333,4.70773333333,9.22286666666,5.7078
331.71,4.55493333333,16.2807333333,6.7042,6.4706,4.2948,6.2016,7.32606666667,3.90453333333,4.73126666667,9.32379999999,5.66353333333
332.08,4.837,16.5058,6.98293333333,6.60326666667,4.60493333333,6.45406666667,7.58413333333,4.17433333333,4.97926666667,9.67766666668,5.9654
332.44,5.12666666667,16.7366666667,7.28553333333,6.82226666667,4.9244,6.74093333333,7.85413333333,4.43686666667,5.28553333333,10.0405333333,6.22246666667
332.81,4.91453333333,16.66,7.094,6.65126666667,4.78453333333,6.59673333333,7.71446666667,4.28713333333,5.1572,9.9538,5.9436
333.18,4.7134,16.5686666667,6.84766666667,6.4568,4.63886666667,6.40113333333,7.56813333334,4.074,5.01606666666,9.70759999999,5.63333333333
333.54,4.48233333333,16.4366,6.64166666667,6.20473333334,4.4656,6.13813333333,7.28546666667,3.8586,4.77066666667,9.52153333333,5.29093333333
333.91,4.1858,16.1330666667,6.37393333333,5.81846666667,4.1594,5.74266666667,7.03653333333,3.55786666667,4.4588,9.27426666667,4.8796
334.28,4.03006666667,16.1384666667,6.287,5.7126,4.02853333333,5.625,7.00253333333,3.4932,4.39366666667,9.19113333333,4.77493333333
334.64,3.964,16.0985333333,6.2218,5.66006666667,3.97993333333,5.61693333333,6.9642,3.39413333333,4.31613333333,9.0382,4.6682
335.01,4.08413333333,16.318,6.2626,5.74946666667,4.0588,5.73513333333,7.03266666667,3.44593333333,4.41526666666,9.0638,4.72593333333
335.38,4.29073333333,16.4571333333,6.39566666667,5.9234,4.18486666667,5.7942,7.16686666667,3.5428,4.498,9.228,4.86093333333
335.74,4.46906666667,16.6136666667,6.4852,6.10073333333,4.25693333333,5.83466666667,7.22946666667,3.68166666667,4.626,9.30706666666,5.04566666667
336.11,4.39786666667,16.6529333333,6.4858,6.12686666666,4.18946666667,5.7482,7.2158,3.62226666667,4.60606666667,9.23813333333,4.96346666667
