wavelength,Back_BanEdwm,Belly_BanEdwm,Breast_BanEdwm,Crissum_BanEdwm,Crown_BanEdwm,DorTail_BanEdwm,Patch10_BanEdwm,Patch11_BanEdwm,Patch12_BanEdwm,Rump_BanEdwm,Throat_BanEdwm,WingTip_BanEdwm
223.87,32.8501333333,12.5694917647,17.6810666667,48.5023333333,30.0484,55.8454000001,36.8115333333,1.93240000001,51.3043333333,32.0774,18.8404666667,39.6135
224.24,34.7618,-5.59945137252,2.69833333345,41.9841000001,24.6031333333,61.1110666666,26.5081333334,-25.5556666666,57.9365333332,26.0317333333,8.25413333332,26.2698666667
224.62,38.2222666667,-3.25135215686,18.0741333334,46.8148333333,28.4444666667,59.852,35.2593333333,-15.1111333333,63.5554666667,26.5185333333,16.2962,23.3333
225.00,29.4872,-0.27480294118,18.9744000001,42.8844,20.2564666667,57.1795333333,27.5641333333,-11.6666666667,54.8718,25.3847333333,11.1538,12.6922
225.38,21.8518666667,1.41112882352,13.5802,36.7901666667,10.4938,52.2221333334,28.7654666666,-8.02473333333,49.7532000001,27.1606,8.76546666668,12.0369
225.75,17.8948,6.59586823528,6.1988,34.2105,9.82453333335,41.8714,28.0701333333,0.11693333334,48.7719333333,21.9884,4.09366666667,8.53786666668
226.13,10.1960666667,1.31361941176,-7.05880000003,27.7125333333,-1.04573333333,42.0913999999,23.5293333333,-5.22886666666,47.7124666666,23.9215333333,-3.13726666668,-0.0653
226.51,3.66013333334,-8.73156882351,-13.5948,22.8104,-6.14380000001,34.2484,16.2091333333,-4.05226666666,44.0523333332,19.3466,-4.70586666666,-4.4445
226.88,1.04566666666,-9.29944686276,-15.9476666666,22.2220666667,-14.7712,29.6732666667,14.902,-2.87579999998,47.9738666667,17.2549333333,2.74513333334,-4.18306666667
227.26,0.125799999994,-8.9922862745,-22.8931333333,18.0504,-21.8868,20.2515333333,7.16979999998,-8.80506666666,37.9873999999,5.7862,1.38360000002,-9.68556666668
227.64,-72.2221999999,-74.0229119607,-118.889,-16.6665666667,-126.388933333,-16.6665333333,-51.3888000001,-75.2778666667,20.2778000001,-51.3889333334,-58.0556000001,-86.3888666666
228.01,-1270.0,-1283.7254902,-1783.33333333,-590.0,-1973.33333333,-590.0,-990.0,-1300.0,-250.0,-930.0,-1306.66666667,-1431.66666667
228.39,2433.33333333,2329.82352941,3800.0,869.999999999,3620.0,439.999999999,1940.0,2186.66666667,313.333333334,1773.33333333,2446.66666667,2460.0
228.76,157.7778,160.742353333,281.3334,81.7778000001,255.5556,24.8889333332,143.999933333,172.8888,44.0000666666,126.222133333,176.000133333,183.555566667
229.14,87.9570000001,92.5230407843,160.214933333,60.9678,130.7526,26.4516666667,77.2043333333,94.1937333333,34.8386666665,72.6879999999,106.236533333,108.817333333
229.52,38.2312666667,46.6707913726,91.8368,27.6190666667,73.4693333332,0.408200000054,40.2721333333,48.2992666667,10.4762666668,34.4217333333,56.1904666666,58.0952666667
229.89,46.5741333333,45.6163098039,82.3147333333,34.3981666667,66.4815333334,12.9629333333,45.7406666667,53.0556,30.6483333333,42.5,55.5555333333,62.2222333333
230.27,42.4908666667,40.0680041177,66.5201333332,31.2453666667,56.3371333334,12.381,41.3186,43.9560666667,28.8645333333,40.2198666667,47.2527333333,56.5934333333
230.65,40.8723333333,38.8405698039,57.757,32.4611666667,52.7725333333,12.0250666667,38.3800666667,42.9906666667,30.7165333333,39.6262,45.2959333333,57.1650666667
231.02,43.7098,41.5169376471,57.2042,35.4301,53.3334,18.9248,42.3118666667,47.9031333333,34.9999333334,42.0968,48.3333333333,59.8117
231.40,44.8792,41.2291415686,56.6183333333,36.5700666667,55.7487333333,22.9950666667,44.2994666667,50.8212666667,38.0675333333,41.1110666667,50.6763333333,63.4299333333
231.78,40.7466666667,36.3154509804,54.24,34.08,52.3733333333,19.2533333333,39.4666666667,46.6133333333,36.3733333333,36.6933333333,45.7066666667,63.3333333333
232.15,37.0440666666,29.7400413726,53.2076,28.7109666666,47.3584666667,15.7232666667,36.4150666667,41.5093333334,32.5157333333,32.8931333333,36.3522666667,66.3520666666
232.53,33.9583333333,26.7628545098,50.7639333333,27.2223,46.5971333333,10.9723333333,33.8196,39.5833333333,31.1110666667,31.3194,33.0555333333,70.0348666667
232.90,33.1515333334,25.2303458824,48.7273333333,28.8788666667,43.0302666667,16.1211333333,32.606,37.9394,30.909,28.3636666667,28.3636666667,66.1213333333
233.28,35.7866666667,30.6986666667,48.5866666667,33.12,45.7066666667,24.5866666667,35.84,43.0933333333,38.72,30.6133333333,28.16,65.2
233.66,44.192,39.0708543137,55.5051333333,43.5860333333,47.7778,31.4646666667,41.0101333333,51.2628,46.2626666667,37.3232666667,34.6970666667,73.3333
234.03,40.1946666666,37.9185868627,50.2677333333,43.6008666667,42.8224,29.0997333333,38.6376,47.8344666667,41.7031333333,32.4087333333,31.3382666667,69.5377333333
234.41,37.7444,36.1242729412,51.5790666667,44.9374333333,39.95,29.0224666667,35.9900666667,49.6743333333,43.559,31.3785333333,29.6740666667,71.8046666667
234.78,33.1862,29.8707276471,47.4510666667,40.4410333333,34.9019333333,27.745,31.6176666667,42.9412,38.2352666667,25.6373333333,25.0490666667,64.2645333333
235.16,24.5742,23.0539582353,38.2969333333,31.8977333333,24.5254666667,16.4964,21.6058666667,32.1167333333,30.073,14.0632,14.6961333333,55.3528333333
235.54,26.2026,28.7803178432,37.0042,37.1308333333,25.4007333333,21.6034,23.2067333333,30.6752666667,30.5905333333,18.9872666667,16.5401333333,52.7214
235.91,31.25,34.1054694118,40.2650666666,43.2387333333,29.7727333334,27.2727333333,28.3711333333,35.5683333334,33.8257333333,24.3181333333,23.2196666666,54.8296333334
236.29,31.0016,34.77356,39.5073333333,42.4630666667,31.1001333333,29.1626666667,26.0426,35.9277333333,34.3841333333,24.6304666667,25.5502666667,52.7752
236.66,30.3114666667,33.9025088235,37.8503333333,39.7353,29.7507333333,30.8410666667,23.4891333333,36.0438,33.9874,23.0842,24.4238,50.1557333333
237.04,29.6124,33.6378358824,36.7752666667,39.4264333333,28.2790666667,30.4186666667,22.4807333333,34.6047333333,33.1162,21.7984666667,25.3022666667,49.0388333333
237.41,25.8,29.4460784314,32.2666666667,34.7166666667,21.5,24.7333333333,15.9,28.3666666667,27.7,15.7,20.2666666667,45.2333333333
237.79,22.8103333334,26.1647633333,27.9411333333,30.0491,18.8234666667,22.9412666667,11.9282,23.7254,23.6602,12.6144666667,15.3268,39.3953666667
238.17,17.6744,20.7638982353,21.4264,24.2946,15.3178666667,18.4497333333,7.783,18.5425333333,18.1084666667,8.62006666667,8.49599999999,33.0077666667
238.54,14.5976666667,18.5071790196,16.2645333333,19.5403,12.3276666667,14.5403333333,5.31606666666,15.115,13.7644,5.94826666666,5.17233333334,28.3620666667
238.92,12.6694666667,17.2091043137,14.191,18.1603333333,10.0691333333,12.3100666667,2.32373333333,14.7164666667,12.7247333333,5.06226666666,3.81753333333,26.6251333333
239.29,11.2467333333,15.580647451,11.8576,15.1652666667,9.74553333332,12.5952666667,2.13733333333,13.5113333334,11.094,5.03813333332,3.61313333331,23.6896666667
239.67,7.53413333333,9.89861313726,7.16233333335,8.24043333334,4.11406666665,7.98006666667,-2.627,10.062,7.45973333335,-0.0248,-0.346999999986,17.8314
240.04,2.00693333333,4.91878470588,3.13733333332,1.06099999999,0.115333333326,3.04486666667,-7.08186666667,4.45213333332,2.69893333333,-5.28246666666,-4.56760000001,11.8917
240.42,4.58339999999,7.03492823529,4.4444,2.35113333333,2.738,4.84133333334,-2.57926666667,6.5674,4.76180000001,-2.1032,-3.13493333333,12.9564666667
240.79,4.14086666666,6.07511686274,3.35046666666,2.3369,2.74920000001,4.02053333333,-1.61513333333,4.811,3.88299999999,-2.4914,-2.83506666667,12.0275333333
241.17,4.55573333334,5.63079039216,2.46013333333,2.04236666667,3.05226666667,4.34306666667,-1.3516,4.3584,4.38880000001,-2.12613333334,-2.83973333333,12.0424
241.54,4.50106666666,4.54409784313,2.27013333334,2.76596666667,3.418,5.03586666667,-0.417533333333,4.33133333334,4.25313333333,-1.01753333333,-1.72206666667,11.0306333333
241.92,3.81433333333,3.94710411764,2.02906666667,2.18563333333,2.968,4.83473333333,0.150800000002,4.7652,4.47533333333,-0.939066666675,-1.46100000001,10.2492
242.29,3.85133333333,3.67501352941,2.61653333333,1.6954,2.46993333333,5.13866666667,0.198799999998,4.89793333333,5.33753333333,-1.17213333333,-0.816400000001,9.80656666667
242.67,3.24366666667,3.11281333333,2.4976,1.2438,2.26866666667,5.35326666666,-0.218933333332,4.03973333334,5.34333333333,-2.00986666667,-0.616933333332,9.11453333334
