wavelength,Back_RamSanf,Belly_RamSanf,Breast_RamSanf,Crissum_RamSanf,Crown_RamSanf,DorTail_RamSanf,Rump_RamSanf,Throat_RamSanf,WingTip_RamSanf
746.55,4.40833333333,5.93953333333,33.7716666667,28.7067333333,28.4476666667,8.90476666667,35.1806933333,6.91093333333,7.94033333333
746.86,3.975,5.6278,33.3594666667,28.3753333333,28.0545333333,8.59599166666,34.8309266667,6.4298,7.48546666667
747.18,3.89673333333,5.61033333333,33.3964666667,28.3245333333,27.9682666667,8.51744166666,34.7991533333,6.41226666667,7.42593333333
747.49,3.77006666667,5.48173333333,33.4390666666,28.3319333333,27.809,8.40460833333,34.81718,6.24766666667,7.3064
747.81,3.97646666667,5.698,33.7319333333,28.5838666666,27.9768,8.6326875,35.07064,6.43226666667,7.51733333333
748.12,4.0738,5.63,33.6735333333,28.5318,27.9007333333,8.6532375,34.9268933333,6.51486666667,7.50233333333
748.44,3.93106666666,5.37873333333,33.4985333333,28.2488666667,27.7402,8.59506249999,34.7167066666,6.37773333333,7.28066666667
748.75,3.73966666667,5.1016,33.413,28.0414,27.5299333333,8.38286250001,34.5128466666,6.1444,7.04753333333
749.07,3.89726666667,5.243,33.6458,28.2503333333,27.8035333333,8.53801666667,34.7079266667,6.3524,7.12806666667
749.38,4.1402,5.43413333333,33.7706666667,28.3926,28.0130666667,8.71247916667,34.96016,6.4876,7.18893333333
749.70,4.2878,5.51913333333,34.0892666667,28.6704,28.2805333333,8.82399583333,35.1810533333,6.6686,7.3168
750.01,4.52666666667,5.57106666667,34.2353333333,28.7574,28.4506,8.92153750001,35.2221733333,6.81653333333,7.39886666667
750.33,4.51306666667,5.55206666667,34.3191333333,28.833,28.5443333333,8.80372916666,35.3074733333,6.74939999999,7.40586666667
750.64,4.77586666667,5.78326666667,34.5070666667,29.1489333333,28.9234,9.097425,35.6098,6.94373333334,7.6482
750.96,4.9838,5.99886666667,34.5547333333,29.2204,29.0562,9.3153875,35.6652066667,7.19453333333,7.78113333333
