wavelength,Back_ThrSayf,Belly_ThrSayf,Breast_ThrSayf,Crissum_ThrSayf,Crown_ThrSayf,DorTail_ThrSayf,Patch10_ThrSayf,Patch11_ThrSayf,Rump_ThrSayf,Throat_ThrSayf,WingTip_ThrSayf
619.95,17.5253333333,47.6145333333,31.1951333333,42.5658666667,19.3106666667,13.2012666667,16.0129333333,17.5986,17.2269466667,33.3,11.8769809524
620.28,17.4478,47.4951333333,31.0874666667,42.4314,19.1514666667,13.048,15.8572666667,17.4532666667,17.1166266667,33.1958,11.8208857143
620.62,17.3734666667,47.3510666667,31.0023,42.3133333334,19.0174666667,12.9788666667,15.7566666667,17.3890666667,17.01076,33.0978,11.7633238095
620.95,17.3173333333,47.2977333333,30.9691666667,42.2473333333,18.9898666667,12.9506,15.6912666667,17.3178666667,16.9615466667,33.0709333333,11.7453809524
621.28,17.3584,47.3592666667,31.0147333333,42.2929333333,18.9974,12.9448666667,15.6246,17.3585333334,16.9689333333,33.1312666666,11.7959809524
621.62,17.2157333333,47.1219333334,30.792,42.0669333333,18.8386666667,12.8341333333,15.4437333333,17.2018,16.8326266667,32.9274666667,11.6524285714
621.95,17.0892666667,47.0090666667,30.6968333333,42.0291333333,18.7274,12.7196,15.2946666667,17.0942,16.6758933333,32.8361333333,11.5579333333
622.28,17.1632666666,47.1074,30.7795666667,42.1302666667,18.7864666667,12.8212,15.3571333333,17.1575333333,16.71084,32.8727333333,11.6082666667
622.62,17.1762,47.1031333333,30.8031666667,42.1552,18.7438,12.8542666667,15.3381333333,17.1152666667,16.7008933333,32.8947333333,11.6457333333
622.95,17.1522666667,47.0150666667,30.7886333333,42.0781333333,18.6782666667,12.8458,15.2688666666,17.0903333333,16.7037333334,32.8503333333,11.6513809524
623.28,17.0506,47.002,30.7138,42.0703333333,18.6336666667,12.8241333333,15.2004666667,17.0420666667,16.63936,32.7823333333,11.6345142857
623.62,17.0688666667,47.0238666667,30.7228333333,42.0999333333,18.6816666667,12.8556666667,15.1607333333,17.023,16.6072933333,32.8175333333,11.6725619048
623.95,17.0000666667,46.8532666667,30.5945,41.9849333333,18.574,12.7791333333,15.0360666667,16.9463333333,16.49968,32.6616666667,11.6334666666
624.28,17.0674,46.8706,30.6254333333,42.0484,18.6082666667,12.8048,15.0747333333,16.9938666667,16.4933333333,32.6902666666,11.7054095238
624.62,17.1241333334,47.0165333333,30.7812666667,42.1996,18.6976666667,12.8912,15.1276,17.0497333333,16.5467466667,32.8194666667,11.7956952381
624.95,17.1588,47.0659333333,30.8527333333,42.2308666667,18.7312666667,12.9188,15.1424,17.0822666667,16.5685866667,32.8675333333,11.8184666667
625.28,17.1949333333,47.1296,30.9349,42.2734666667,18.7922666667,12.9442,15.1094666667,17.1124666667,16.60452,32.9575333333,11.8745619048
625.61,17.1751333333,47.1703333333,30.9219666667,42.3466666667,18.7922,12.8915333333,15.0448,17.1007333333,16.5744933333,32.9350666667,11.8841428571
625.95,17.0946666667,47.1252,30.8581666667,42.3118,18.7404666667,12.8152666667,14.9973333333,16.9706666667,16.47808,32.9224666667,11.8365619048
626.28,17.0861333333,47.0839333333,30.7786666667,42.2876666667,18.6994,12.8280666667,14.9816666666,16.9531333333,16.4362533333,32.9142,11.7907333333
626.61,16.9861333333,47.0442,30.7011,42.2773333333,18.6269333333,12.7495333333,14.9018,16.8725333333,16.36696,32.862,11.7434666667
626.94,17.016,47.2336,30.8143333333,42.4089333333,18.7010666666,12.799,14.9562666667,16.8929333333,16.3748266667,33.0180666667,11.7808761905
627.28,16.9192666667,47.1308666667,30.7198666667,42.3253333333,18.6284,12.7834666667,14.8746,16.8135333333,16.3279333333,32.9035333333,11.7324190476
627.61,16.8858666667,47.0536,30.5811333333,42.2623333333,18.5782,12.7536,14.7831333333,16.7536,16.26828,32.8531333333,11.7158190476
627.94,16.8546666667,47.0552,30.4961333333,42.2215333333,18.5513333333,12.6854,14.7338,16.6894,16.2276,32.8399333333,11.7517809524
628.27,16.8068,46.9706,30.3395,42.1703333333,18.5257333333,12.6628666667,14.7202,16.6089333333,16.16076,32.7934666667,11.7553619048
628.61,16.8506666667,46.9459333333,30.3739666667,42.1162666667,18.5735333333,12.7448,14.7764666667,16.604,16.19268,32.8617333333,11.8125047619
628.94,16.8794666667,46.9332,30.3484333333,42.0893333333,18.5871333333,12.7826666667,14.7590666667,16.6188666667,16.1819866667,32.8148666667,11.8793047619
629.27,16.9384666667,46.9330666667,30.4239333333,42.1202,18.6553333334,12.8065333333,14.765,16.6566,16.2224666667,32.8580666667,12.0164666666
629.60,16.9259333333,46.8738,30.3481666667,41.9916666667,18.5774,12.7976666667,14.7204666666,16.5979333333,16.2153466667,32.7754,12.0052666667
629.94,16.8829333333,46.7386,30.2336,41.892,18.4876666667,12.7625333333,14.6216666667,16.5465333333,16.1827066667,32.6875333333,12.0096666667
630.27,16.9210666667,46.8251333333,30.3071333333,41.9704666667,18.5771333333,12.7918,14.6135333333,16.6012,16.20132,32.7901333334,12.0687619048
630.60,16.9607333333,46.8721333333,30.3704,42.018,18.6204666667,12.8353333334,14.654,16.6536666667,16.2666266667,32.8134,12.1828666667
630.93,16.9758666667,46.811,30.3666,42.0244,18.617,12.9222666667,14.6608666667,16.6711333333,16.2832933333,32.8210666667,12.2041904762
631.26,16.9892,46.8122666667,30.3892,42.0488,18.5355333333,12.9282666667,14.5772,16.6488666667,16.2764133333,32.8564666667,12.2106476191
631.60,16.9019333333,46.7614,30.3088333333,42.0049333334,18.4016,12.8529333333,14.4455333333,16.5966,16.2027733333,32.7962666667,12.1834761905
631.93,16.8658666667,46.6892666667,30.2537666667,42.0238,18.3894,12.8152666667,14.4083333333,16.5916,16.19804,32.857,12.1482666667
632.26,16.8008,46.6173333333,30.1822666667,41.9486666666,18.3187333333,12.7633333333,14.3328666667,16.4937333333,16.1076666666,32.8337333333,12.1117619048
632.59,16.7796666667,46.5867333333,30.18,41.9726,18.2954666667,12.7173333333,14.2612666667,16.5066,16.00812,32.8052666667,12.0985142857
632.92,16.8078666667,46.6182,30.2239,42.0738666667,18.316,12.6979333333,14.2682,16.5402666667,16.0144133333,32.8748666666,12.1313047619
633.26,16.7328666667,46.5944,30.1599,41.9892,18.2012,12.6123333333,14.1836666667,16.4251333333,15.9268666667,32.8274666667,12.0749904762
