wavelength,Back_SalMamm,Belly_SalMamm,Breast_SalMamm,Crissum_SalMamm,Crown_SalMamm,DorTail_SalMamm,Patch10_SalMamm,Patch11_SalMamm,Patch12_SalMamm,Rump_SalMamm,Throat_SalMamm,WingTip_SalMamm
187.53,105.372,94.5794999999,103.009666667,104.660266667,116.440133334,109.601238146,104.207066667,105.663433333,109.8382,99.4012833333,93.1391333333,87.4434666667
187.91,105.0,93.3333333332,105.933333333,104.666666667,113.466666666,111.33083779,101.6,104.3,112.2,100.3,94.4,84.4666666668
188.29,97.5811666667,82.9648333334,100.825966667,97.6400666669,105.2508,101.921825669,92.2712666666,94.6018666667,106.666733333,93.4957250001,88.8495333333,79.3510666667
188.67,88.9806666667,72.5205,90.5510000001,89.3663333333,96.0880666666,91.7396158645,83.3607333333,83.5536333333,101.597666667,84.1597499999,81.5428666667,71.7906666667
189.05,92.9394000001,69.8485,93.8787666666,92.5453999999,101.272866667,95.5013573975,86.6060666667,85.9088666667,108.424266667,87.2122666667,83.3332666667,72.2424666667
189.43,87.6453,63.7615833333,90.6727666666,86.9724000001,98.8990000001,92.140244385,80.1834666666,84.2507333334,102.752333333,81.0321083333,77.2476000001,65.0765333333
189.81,79.7220999999,59.02775,85.2160333334,78.5186,95.4940000001,88.460602852,73.0864000001,77.0060666667,99.7531333332,75.3008833333,73.8271333333,59.7531333333
190.19,79.2473,56.6310833333,83.6200999999,75.6988666666,97.2760666666,92.0308554368,73.8350666666,78.3154333333,104.014333333,74.856625,74.8386666666,58.4229333333
190.57,76.0369666667,55.1850833333,78.2595333334,74.0740666666,91.2592666665,89.9732901961,68.8148666667,79.7037000001,98.8148666667,73.0834083333,74.3704,55.1852
190.95,75.6589666667,57.5579166667,78.6045999999,77.5194666667,90.6977333334,93.4984695188,69.1472,84.2636333333,101.395266667,76.2985416668,76.9766666667,54.8061333334
191.33,70.3225,54.8385833334,70.4301,73.4766666666,83.6559333334,85.7815244207,62.6522666667,77.7776666667,92.6882,70.4033333333,73.5482666667,49.6056
191.71,64.2015,49.6529166667,63.0554,64.5833333333,74.4444,76.8480024956,52.9859999999,72.1181333334,87.2222666667,63.2204583333,66.0418,45.0694
192.09,62.5,45.1991666667,60.2898,58.4057333333,75.3622,76.5158846702,51.8114666666,71.6303333334,84.6375333333,61.675625,65.9420666666,42.7536
192.47,55.9739666667,38.9609166667,55.8441,51.4284666667,70.3897333333,75.3942467023,44.4155333333,69.3507,81.9046000001,56.2230166667,62.7706666667,31.948
192.85,47.9167,36.111,54.6295,45.926,64.8146666667,76.0875326202,36.2036666667,69.9074999999,77.1297333333,53.749925,61.8518666667,22.5001333333
193.23,47.9517666667,41.3655,54.0560333333,46.9076666667,62.0884666667,74.124727451,36.7871333333,70.3615,75.1805999999,54.55815,60.9638666666,28.8354666667
193.61,49.0953333333,42.1428333333,54.5238333333,53.0477333333,64.857,81.4382377896,38.7620000001,75.3809333333,87.9999333333,61.8690666667,66.0952,28.381
193.99,51.7609666667,39.6226666666,52.3271333333,59.3711333334,71.4466,90.5966572193,40.6289333334,86.0379333333,103.270533333,71.9183833333,70.6916666667,22.5158666666
194.37,51.2,35.8333333333,52.5333333333,63.9999999999,68.2666666667,88.5019607844,31.4666666667,84.6666666665,107.066666667,73.3166666665,70.8000000001,19.3333333333
194.75,42.1313,26.9127499999,45.8470666667,52.3497333333,55.1911333333,74.286855615,21.3112666667,64.5354999999,83.7157333335,59.2212833333,57.2678000001,17.1586666666
195.13,42.1213,29.0910833333,43.0303333333,52.2425333333,59.2727333333,76.7759037434,19.3938,64.0605,85.6967999999,65.9847416667,62.9092000001,15.9999333334
195.51,31.3158,11.6228333334,42.7193333333,41.0524666666,55.7894000001,81.4846996435,5.61400000007,70.0875999999,98.7719333332,69.3420833333,64.3859333333,3.3333333334
195.89,17.8666666666,-8.0,56.0,39.4666666668,62.3999999999,102.606060606,-8.26666666688,81.8666666666,134.4,85.7666666665,91.7333333332,-19.1999999999
196.27,-0.55553333332,-11.4583333333,34.0279000001,17.5,32.2221333333,80.803614082,-28.3333333333,59.5832666667,139.722266667,63.9930166667,74.4444666667,-31.3889333333
196.65,1.41053333332,-14.1025000001,24.1024666667,9.7437333332,25.3846,79.9720163993,-14.3591333333,56.6666999999,142.307733333,67.2435333332,68.2051999999,-29.2308666666
197.03,-12.9411333334,-50.9805833332,3.9216,-13.3333333334,5.88233333334,98.6411525846,-35.6863333334,63.1372666667,189.803866667,83.1862333331,74.1176,-78.4313333333
197.40,-65.4166666668,-131.25,-48.7500000001,-59.1666666666,-83.3333333333,176.185383244,-145.833333333,90.4166666666,355.833333333,142.1875,141.666666667,-235.0
197.78,20.4762333333,-9.52383333325,29.3652,-0.95240000014,-9.52393333333,106.900966845,-30.1588,78.8889333333,159.682466667,80.6746833335,82.8570666668,-45.3967333332
198.16,22.7777666667,-1.389,39.8147333333,-22.5924666666,-42.2222,116.693444385,-63.3333333333,81.8517999999,176.296333333,81.5278416667,88.1481999999,-55.9259333333
198.54,5.50000000002,-5.00000000008,32.3333333333,-32.3333333334,-37.3333333333,105.197860963,-57.3333333333,71.3333333334,158.666666667,68.9166666668,63.9999999999,-50.0
198.92,-336.666666667,66.6666666667,63.3333333326,-1373.33333333,-1186.66666667,1543.68983957,-1413.33333333,1076.66666667,2713.33333333,905.0,760.000000001,-1393.33333333
199.30,172.666666666,176.666666667,103.333333333,403.999999999,398.666666667,-132.395721924,410.666666667,-106.666666667,-430.666666667,-13.8333333334,45.3333333335,403.999999999
199.68,516.666666667,555.555666667,581.111033335,806.666666667,855.555466668,-18.3481213898,882.222199998,55.5555666668,-459.999866667,241.388958333,308.888866667,848.888866665
200.06,184.444466667,165.00025,196.222066667,218.222066667,262.666666667,75.2704251338,221.777733333,86.4445666667,-20.4445333332,108.499975,140.8888,238.2222
200.44,119.2425,84.0909166667,118.939366667,114.242533333,159.090733333,29.9303092693,130.606133333,29.2425333333,-16.6665999999,50.2650666666,79.6969333333,146.363666667
200.82,87.7143333333,58.09525,83.4285666666,77.7143333333,110.8572,30.4546948307,95.2380666667,28.7619333333,7.23806666668,40.261925,57.7141333333,89.1428666666
201.19,74.1304333334,41.1231666668,60.2172,60.1449333333,90.2898666665,32.013899287,76.9564666665,26.5941666667,3.47820000002,31.0327166667,48.5508,65.0724000001
201.57,85.4237666666,54.9434999999,72.5424333335,71.7515333333,92.9943333333,54.2551638146,82.0337333335,49.7741,26.3276666667,50.9038916667,64.4068,71.8644
201.95,91.3964,63.7385833334,82.5225000001,77.0270666668,92.3422666667,68.125272549,87.0270666667,61.5314666667,39.0990666667,63.35575,68.2881999999,78.919
202.33,85.4273666666,60.4702499999,78.5044000001,69.1452666667,85.3846,64.8953672014,80.0855333333,51.5812666667,35.2136,59.31615,60.0854,76.2392666667
202.71,81.6050333333,59.8765,82.7571333334,68.1480666666,86.9134666666,63.7705565062,81.1524000001,52.0576,38.6830666667,59.2592916667,56.7078,75.3087333333
203.09,87.5225000001,65.8782500001,87.4775000001,68.6487333333,93.7839333333,65.7696269162,87.117,54.5043666667,36.3064,60.2253583334,57.4774666667,79.8198666666
203.47,108.688466667,76.0929999999,105.082033333,80.8742000001,109.508066667,74.3137516934,105.792333333,67.2131333333,43.7158,69.2349249999,69.3987333333,94.4262666667
203.85,103.5785,69.8529166667,95.0001666667,76.2744666667,101.9608,70.0010409982,103.8236,67.5000333333,41.6666666667,62.4755583333,69.8040666667,92.2548666666
204.22,99.5383666667,70.8975,92.1539,72.923,92.8203999999,60.5095019608,109.0256,59.4359666667,39.0768666667,57.3333166667,67.5898666667,91.7948000001
204.60,102.044366667,82.2223333333,96.2665666667,82.5776666666,93.6889333334,68.0430344029,112.711066667,69.7778333334,48.6222666667,64.4556333334,75.4666000001,94.7555333333
204.98,109.651766667,83.2088333334,95.9204999998,85.4726666667,96.0199333333,68.2230016042,120.696466666,72.7861333333,49.1542,65.9327,76.3184666667,99.2040666666
205.36,128.444333333,99.7220833333,117.944433333,106.555533333,116.110933333,81.0811431373,140.999866667,87.6665999999,66.4444666666,82.0972499999,94.4445333332,116.666666667
205.74,167.0475,119.28575,156.381,142.666533333,153.904666667,89.0562629233,191.428466667,86.3809999999,63.2380666666,90.4999666666,110.8572,154.857066667
206.12,148.650766667,116.269666667,137.7777,133.174733333,147.777733333,87.3100522281,166.190533333,80.0794333334,64.4445333333,81.7658583333,101.746133333,141.4286
206.50,157.823266667,131.292583333,144.557866667,142.857133333,156.326466667,100.303439394,169.524,97.4829999999,86.8030000001,93.9455416666,116.326533333,142.721266667
206.87,176.666633333,142.802916667,146.136333333,155.454533333,172.878733333,110.458520321,180.303,101.9696,99.5454666665,98.0112833333,126.515133333,150.151533333
207.25,167.291666667,139.236083333,135.972333333,149.444466667,162.777733333,106.307248128,165.2778,98.1945000001,96.1111333333,98.7847083333,119.166666667,138.611066667
207.63,163.617033333,143.262416667,139.929066667,150.212666667,170.3546,103.841274153,162.5532,98.5106333333,93.6170000001,107.783783333,116.170333333,139.7164
208.01,195.5239,167.857083333,172.666666667,191.999933333,219.809333333,123.201914795,194.476133333,113.809366667,104.000066666,125.952333333,133.3334,164.952266667
208.39,201.296466667,165.740833333,177.037066667,194.6298,235.000066667,149.623610517,206.111,130.277766667,119.074266667,135.46295,138.3334,164.074066667
208.77,304.333333333,242.916666667,251.5,295.333333333,390.333333333,228.867201426,314.666666667,188.666666667,176.666666667,198.75,184.666666667,247.666666667
209.14,292.608633333,236.9565,258.115833333,290.144933333,371.884066667,247.033221034,301.739266667,188.2609,182.029066666,207.210125,197.101466666,249.855
209.52,277.083366667,242.360916667,251.111266667,269.4444,348.888933334,243.160297683,286.388866666,178.472333333,174.444333333,198.749966667,190.0,238.611066667
209.90,231.619,201.42875,204.380966667,213.904733333,274.8572,204.495944742,232.000066667,167.619066667,160.5714,176.904933333,175.0476,196.000133333
210.28,194.102666667,161.11125,173.7607,179.829066666,227.5214,167.932789126,205.9828,145.384766667,126.666666667,145.512758333,148.718,160.000066667
210.66,197.070766667,147.47475,170.808166667,173.3332,234.9496,161.240729768,207.070733333,143.1314,110.909266667,144.67165,143.0302,160.201933333
211.03,169.0991,123.198166667,153.783733333,149.549466667,204.684666667,143.94802139,183.964066667,130.720633333,91.8917333332,127.139733333,125.0452,149.5494
211.41,155.9459,120.495583333,138.378466667,134.054,194.2342,137.154709447,178.198133333,124.504533333,85.5855333334,109.707166667,119.099,142.342333333
211.79,128.4496,92.0541666668,103.7985,110.2326,156.124133333,116.729586987,150.697533333,95.4264,66.2015333333,79.3797166667,98.1396000001,115.658933333
212.17,104.2768,66.5094999999,74.2768333333,79.6226666667,116.478,87.1232907308,120.629,68.7422,51.9498,61.1006499999,78.4905333334,91.4464000001
212.55,115.646166667,71.4284166667,86.1223999999,85.5782000001,121.088466667,89.3369714795,123.265333333,75.0342000001,57.2788666666,69.9150333335,85.034,100.0
212.92,119.066666667,67.1666666667,97.9333333332,86.4,118.133333333,92.0449197861,128.8,74.5333333333,55.2,76.5833333333,90.3999999999,104.933333333
213.30,115.384633333,58.4935000001,98.0127999998,79.359,114.359,84.4972221034,123.8462,70.2564,53.0769999999,72.3879249999,85.8976000001,101.4102
213.68,101.1765,42.3205000001,84.9671666667,63.0064666666,107.712466667,68.2849099821,117.124133333,59.4117666667,36.0784666666,61.0294083333,73.5948,90.8497333333
214.06,80.0512333332,40.12825,71.0769666667,54.0514,85.9487333335,59.2470918004,98.2563999999,51.9486666667,32.205,47.4743166667,62.6665333333,74.9744666667
214.44,88.4946333333,38.9786666667,75.9677333334,57.2043333334,89.7849333334,70.8397962567,101.612933333,55.4300666666,43.7636666666,53.1048916667,67.4192666666,76.4517333333
214.81,100.0575,44.5403333333,83.6206333333,69.6550666666,98.9655333333,87.4296843138,113.448333334,63.5058,51.0344000001,61.1206916667,78.6206666667,84.3678666667
215.19,134.1666,64.0625833333,109.1668,98.1946,124.999933334,116.498491087,142.9166,84.1666333334,68.7497999999,80.6596916666,106.6666,108.3334
215.57,170.476133333,82.9366666667,145.317466667,129.682666667,153.015866667,147.668294296,172.2222,108.492133333,95.2380666667,105.694433333,135.714266667,138.888866667
215.95,234.343366667,112.12125,193.9394,170.505133333,196.5656,188.262894653,221.616066667,149.495066667,131.313133333,140.807958333,166.060533333,180.202
216.32,258.75,142.447916667,225.520833333,194.583333333,221.666666667,217.218137255,242.5,170.9375,152.291666667,156.822916667,172.5,203.333333333
216.70,201.031733333,112.30175,180.634866667,153.491933333,174.603266667,162.419997148,182.857266667,133.8889,110.634933333,116.567516667,138.7302,155.396933333
217.08,188.8889,109.073916667,160.5185,140.7408,159.111,149.18878574,162.370333333,121.333366667,106.370333333,102.870425,130.962933333,139.555533333
217.46,185.797066667,119.746416667,149.710166667,145.362333333,152.7536,148.339539572,162.028933333,122.3914,106.376866667,107.880391667,133.623333333,139.5652
217.83,181.634,114.542583333,139.803966667,142.745,137.647,152.132840642,151.503133333,122.091533333,109.150266667,106.111091667,128.366066667,133.8562
218.21,184.583333333,113.020666667,137.2915,146.389,139.7222,150.625748307,157.222266667,123.6112,112.5,115.41665,124.583266667,138.750066667
218.59,206.825366667,133.730083333,151.507966667,163.1746,151.111066667,153.50103779,168.8888,135.2382,118.730266667,126.527808333,138.888933333,165.5556
218.97,234.6875,150.78125,166.354166667,176.875,153.333333333,157.908311052,178.333333333,148.541666667,121.25,126.979166667,144.583333334,183.541666667
219.34,241.827966667,152.688,165.376466667,169.8924,157.419333333,156.492985562,187.957,154.731166667,119.784933333,130.752616667,139.139733333,184.086
219.72,237.6667,143.88875,153.444466667,159.555533333,153.555533333,154.506960606,192.444466667,157.111233333,108.444533333,129.277675,139.333333333,185.111133333
220.10,172.6494,112.179583333,120.256466667,123.247933333,127.521333333,125.359983422,150.427133333,122.735,80.1709333335,108.696475,120.342,142.393133333
220.47,169.607833333,113.7255,112.745066667,129.607866667,139.803866667,126.71172852,156.666666667,128.0391,70.0000000001,119.093158333,131.1766,144.901866667
220.85,2036.66666667,1341.66666667,1103.33333333,1696.66666667,1903.33333333,1638.43137255,2183.33333333,1556.66666667,586.666666668,1571.66666666,1630.0,1820.0
221.23,-2.75930772624e+15,-1.87116887927e+15,-1.66752599839e+15,-2.51195092853e+15,-2.74651340912e+15,-2.2653467377e+15,-3.14313723994e+15,-2.35415435067e+15,-9.80897646113e+14,-2.16437198001e+15,-2.25606458606e+15,-2.60151114839e+15
221.61,-543.809466667,-358.33325,-354.7619,-492.380933333,-582.857066667,-450.672262567,-619.0476,-461.9048,-164.762,-413.095191667,-448.571466667,-518.095133333
221.98,-177.666666667,-125.0,-124.833333333,-173.333333333,-198.333333333,-139.819964349,-202.0,-144.5,-35.3333333333,-138.041666667,-155.666666667,-176.0
222.36,-108.75,-81.7708333334,-68.8541666667,-96.4583333333,-113.125,-83.7817513369,-107.708333333,-83.2291666666,-7.70833333332,-72.5520833333,-101.458333333,-100.0
222.74,-81.8254333334,-64.6825833334,-48.3333666667,-74.6031333334,-93.4921333333,-66.9730222817,-84.127,-67.6190333333,-10.4763333333,-58.1350416667,-82.5396666667,-74.2855999999
223.11,-107.350466667,-87.60675,-68.7177666667,-101.367533333,-130.085466666,-87.6155575756,-113.504333333,-95.1281333332,-37.4358666667,-87.7563333333,-110.769066667,-93.5043333332
223.49,-107.999966667,-101.428583333,-79.8096333333,-117.9048,-144.190533333,-86.6192008914,-117.714333333,-97.6191333335,-45.1429333333,-94.9285749999,-118.857133333,-104.761866667
223.87,-169.358966667,-169.55125,-144.102566667,-194.8718,-227.179533333,-135.608064706,-187.6922,-151.2821,-98.7179333333,-170.2243,-182.820666667,-167.179533333
224.24,-88.4553333332,-86.1788333333,-65.6096666667,-98.5365999999,-113.495866667,-61.1004377897,-93.4959333332,-68.6178333333,-40.9756,-77.4999749999,-90.0814666667,-77.0731333332
224.62,-95.0793333333,-81.7460000001,-69.9206666667,-92.3808666667,-106.825333333,-61.6321648841,-89.5238666666,-65.8729000001,-44.2856666666,-70.8532000001,-96.1906666668,-76.0317333332
225.00,-137.634366667,-118.279416667,-104.1935,-123.0108,-149.032266667,-89.7676490195,-125.5914,-96.4514666666,-66.8816666666,-91.3440916669,-137.204466667,-119.785066667
225.38,-83.9855333333,-73.1884166666,-64.9999666667,-71.3043999999,-93.6232666668,-57.9295778967,-80.4346666666,-57.7536333333,-43.6232,-59.9817583333,-87.8259333333,-67.2463333333
225.75,-55.3763,-48.38725,-36.9355333333,-43.0106666666,-62.5806,-33.6937998217,-55.1612666667,-40.5377333333,-27.8494,-38.2259166667,-55.9138666666,-41.1828
226.13,-53.1342666667,-45.398,-36.4178333333,-38.2089333334,-59.7014,-33.0542588235,-56.9153999999,-43.6815,-28.8556666667,-38.5571666667,-52.4378,-40.3980666667
226.51,-37.9746,-26.7931666667,-27.5525666667,-24.3038666667,-42.1941333333,-18.3233752228,-40.6751333333,-29.3671666667,-17.2996,-22.8902833333,-31.8987333333,-24.135
226.88,-26.9047666667,-17.8571666667,-20.6801666667,-15.2382,-28.2993333333,-11.5663076649,-30.8844,-19.7957333333,-6.3946,-13.5629,-22.3809333333,-11.9727333333
227.26,-17.641,-10.5769166666,-14.2052,-7.99986666667,-16.9742666667,-7.6000909091,-21.5896666667,-12.4361,-0.410266666659,-6.19219999999,-15.7436,-5.48726666667
227.64,-13.4177,-5.69616666667,-8.64969999999,-3.67079999999,-11.7722666667,-5.19210231729,-16.0760666667,-8.03783333333,2.23626666667,-3.60220000001,-13.0800666667,-1.94100000001
228.01,-4.79926666666,3.53408333334,1.11696666667,4.08366666665,-1.466,2.10584474153,-5.7242,-0.733066666667,9.00526666666,5.02186666666,-3.9092,5.65453333333
228.39,-4.15539999999,4.45191666666,0.76103333334,3.62253333333,-0.943666666666,2.46155597148,-4.93153333333,-1.97863333333,8.554,3.87356666666,-3.53126666667,4.14
228.76,-2.95973333333,5.15200000001,2.15770000001,3.51313333334,-6.66666646e-05,2.96082655973,-3.20886666667,-3.18126666667,8.93499999999,3.516475,-1.1894,4.73033333333
229.14,-2.1835,5.52341666667,3.70796666666,2.94580000001,1.34366666667,4.05860819964,-2.17039999999,-2.86826666667,8.83706666667,3.05238333333,-0.956133333328,6.51166666666
229.52,-2.48739999999,4.514,3.40923333333,2.3232,1.4394,4.92952852051,-1.48993333333,-2.1085,8.86366666668,3.24819166667,-0.757466666666,5.95960000001
229.89,-2.53620000001,5.52533333334,2.94700000001,1.6908,1.73906666667,5.03553475936,-1.23193333333,-0.567633333332,8.33326666667,3.35154166666,-0.845399999999,6.28013333333
230.27,2.05299999999,9.79583333332,6.51223333333,5.73953333334,6.24726666667,9.46352032085,3.33333333333,5.0221,11.501,8.10711666666,4.43719999999,11.2142
230.65,3.38639999999,10.77475,7.85563333332,6.75160000001,6.9002,10.318968984,4.45846666667,6.61353333333,12.2293333333,8.49259166667,5.45646666666,12.8237333333
231.02,7.21696666667,13.7566666667,10.6877333333,9.52379999999,9.71433333334,12.960473975,7.36499999999,9.39676666665,14.6455333333,11.5078583333,8.63473333333,16.0848
231.40,9.98920000001,15.7525833333,12.7741,11.3333333333,12.2151333333,15.3272746881,10.4946,12.2472333333,16.8816,14.23925,11.4194,17.8494666667
231.78,11.6889666667,16.9724166667,13.9889,12.1999333333,13.8000666667,16.6704700535,11.3110666667,14.2777,17.9556,15.13035,14.0668,19.6445333333
232.15,12.1306333333,16.323,13.8028,11.363,13.3562,16.7733778966,11.1799333333,15.6585666667,18.3961333333,14.3699666667,14.0204666667,20.3666666667
232.53,11.439,14.3295,12.8043,9.2004,12.2508,15.091113369,9.225,16.0023,17.3676,13.58535,14.0466,19.1142
232.90,13.0637,14.2463333333,13.8848333333,9.70593333334,14.4362666667,15.5488313725,9.55873333333,18.6152666667,19.3873333333,15.1195416666,15.2941333333,21.0782666667
233.28,11.7843,12.9491666667,12.7880666667,9.83886666667,14.2008,14.5871650624,8.62446666666,18.736,19.2566,13.57815,14.5972666667,20.2478666667
233.66,12.5269666666,13.38725,13.7424333333,11.1672,15.2346,15.2146393939,9.72319999999,18.3755,21.0590666667,13.4445416667,14.3680666667,21.9255333333
234.03,11.9686666667,11.26225,12.4999666667,9.85513333333,14.8068,13.8997759358,9.54093333333,16.7632666667,21.0869333333,13.1521583333,12.3430666667,22.0531333333
234.41,9.16663333333,6.37416666667,10.087,6.46760000001,11.6417333333,10.40024082,6.69153333334,12.5247666667,19.1790666667,9.47134999999,8.90546666668,19.3782666667
234.78,8.41446666667,4.24458333334,9.62546666666,5.41813333333,10.1372,8.530085205,5.04379999999,10.6242333333,17.5030666667,8.80457499999,7.21600000001,17.6778666666
235.16,5.07313333333,1.76400000001,6.80046666667,3.47933333333,7.056,5.90649607844,2.5304,7.66416666667,14.1363333333,5.76634166667,4.67153333333,14.0388666667
235.54,1.41793333333,-2.20783333333,2.53726666667,-0.174133333334,2.38799999999,1.53110516934,-2.46273333333,3.15913333333,10.3732,0.432283333333,-0.596866666666,10.8456666667
235.91,-1.51043333333,-5.74275,-0.399733333333,-2.92146666666,-1.4232,-1.01964402852,-4.04499999999,-0.1874,8.36466666665,-0.883375,-5.46813333334,8.83893333333
236.29,-4.5318,-8.27091666667,-4.55689999999,-4.16986666668,-4.41946666666,-4.09915008912,-6.1424,-3.88263333333,7.06626666667,-2.21279166667,-9.18853333333,6.09240000001
236.66,-4.14253333333,-5.94808333333,-3.9371,-2.60866666667,-3.261,-2.01889803921,-3.91313333333,-4.05786666666,7.05313333333,-1.02943333333,-9.20286666667,7.39133333334
237.04,-6.64246666668,-7.0255,-5.70563333333,-5.1338,-5.49886666666,-2.11969055259,-5.81513333334,-6.24103333334,3.86846666667,-3.56444166666,-11.8248666667,4.93926666667
237.41,-5.48276666666,-4.45416666667,-4.3908,-3.97706666666,-4.20686666666,-0.89391782531,-4.16093333333,-4.28736666667,3.72413333334,-1.25865833333,-10.8275333333,5.95399999999
237.79,-7.04323333334,-5.9645,-5.8333,-6.00446666666,-6.34706666667,-3.05642745098,-5.82193333333,-5.35393333334,-0.09126666668,-2.85666666666,-11.3012666667,3.31053333333
238.17,-7.02109999999,-5.64783333333,-4.80623333333,-5.00546666665,-7.08739999999,-2.40070784314,-5.93566666667,-4.90590000001,-0.332333333326,-3.49667499999,-9.6346,2.59133333333
238.54,-6.3501,-4.16675,-4.21936666667,-4.30386666667,-6.39253333333,-1.68450142603,-5.232,-4.38806666667,-1.03366666667,-2.95359166667,-9.47253333334,2.55293333333
238.92,-6.0658,-3.96716666667,-4.47893333333,-3.81213333333,-5.78406666667,-1.72180677362,-5.16446666666,-4.82626666667,-1.10793333333,-3.763025,-8.56346666667,2.2348
239.29,-4.76196666667,-2.29125,-2.5877,-1.761,-4.3306,0.086231550802,-3.97133333334,-3.01893333333,0.287533333332,-2.27549166667,-6.64866666667,3.7018
239.67,-3.3813,-1.10175,-1.2821,0.016133333334,-2.43593333333,1.00087219251,-2.48406666666,-1.29013333333,0.833266666666,-0.763308333332,-3.84626666667,4.91993333333
240.04,-0.339466666666,2.46175,1.12436666667,2.60813333333,0.771866666668,3.01049108734,0.119666666665,1.25746666667,3.3532,1.15253333333,-0.159866666666,6.8796
240.42,2.0101,4.74375,3.73863333333,3.9528,3.018,5.47745490196,2.26353333333,3.55863333333,4.75233333333,3.27988333333,2.78146666667,9.17793333333
240.79,2.71753333333,4.56983333333,4.1057,3.77326666667,2.99133333333,5.75825597148,2.56106666667,3.79283333333,4.73126666667,3.27106666667,3.59726666667,9.57960000001
241.17,3.55326666667,4.82975,4.62263333333,4.614,3.1566,5.84067165775,2.95826666667,3.79903333333,5.0108,3.60066666667,4.04493333333,10.0216666667
