wavelength,Back_CreDenm,Belly_CreDenm,Breast_CreDenm,Crissum_CreDenm,Crown_CreDenm,DorTail_CreDenm,Patch10_CreDenm,Rump_CreDenm,Throat_CreDenm,WingTip_CreDenm
752.53,12.00425,21.0313333333,17.2267083333,19.6715,36.2460833334,14.3125,7.94975,11.9275833333,15.60475,15.0553333333
752.85,11.858,20.8718333333,17.029875,19.585,36.0639166667,14.0469166667,7.64683333333,11.6519166667,15.4969166667,14.9149166667
753.16,12.0486666666,20.8824166667,17.0211666667,19.7095,36.0415,14.07825,7.61783333333,11.86125,15.5919166667,14.9809166667
753.47,11.83575,20.4016666667,16.522625,19.51075,35.6691666667,13.7705,7.51583333333,11.7467916667,15.2674166667,14.6796666667
753.79,11.6770833333,20.44975,16.2475416667,19.7569166667,35.7738333333,13.7295,7.56316666666,11.8766666667,15.1973333333,14.66525
754.10,11.527,20.2825833333,15.99625,19.5500833333,35.7605,13.4387083334,7.45191666667,11.7660416667,14.9751666667,14.5003333333
754.42,11.1821666667,19.7760833333,15.7254166667,19.1171666667,35.561,12.796625,7.03441666667,11.562,14.7215,14.0499166666
754.73,10.8799166667,19.6649166667,15.4932916667,18.9430833333,35.5175,12.2600833333,6.61316666667,11.3409583333,14.51425,13.8943333333
755.05,10.9473333333,19.78125,15.6353333333,18.853,35.4403333333,12.3858333333,6.57158333333,11.3910833333,14.7496666667,13.99875
755.36,10.6581666667,19.5495833333,15.309625,18.7299166666,35.1830833333,12.1778333333,6.2955,11.07125,14.5555,13.8378333333
755.67,10.5016666667,19.3385833333,15.2489583334,18.7228333333,34.8955,12.0558333333,6.19391666667,10.9428333333,14.4246666667,13.6736666667
755.99,10.44575,19.42075,15.205375,18.5848333333,34.99225,11.873,5.96825,10.9238333333,14.37275,13.5725
756.30,10.4061666667,19.2206666667,14.90075,18.3714166667,34.8929166666,11.8445833333,6.04725,11.068,14.2741666667,13.6929166667
756.62,10.0566666667,18.9600833333,14.4089583333,17.9143333333,34.6496666666,11.3810416667,5.46341666667,10.6479583334,13.9399166667,13.3796666667
