wavelength,Back_ThrPalm,Belly_ThrPalm,Breast_ThrPalm,Crissum_ThrPalm,Crown_ThrPalm,DorTail_ThrPalm,Patch10_ThrPalm,Patch11_ThrPalm,Rump_ThrPalm,Throat_ThrPalm,WingTip_ThrPalm
601.54,10.5303333333,19.9471666667,17.8942666667,20.8923330719,20.3997666667,10.1849,22.1380666667,20.5908666667,15.6752,19.5584666667,9.14546666667
601.88,10.5169333333,19.9602666667,17.8978,20.8922096732,20.3676333333,10.1795333333,22.0619333333,20.535,15.6770666667,19.5107333333,9.12633333333
602.21,10.5473333333,20.0317666667,17.9505333333,20.9329882353,20.3659,10.1877666667,22.0996,20.5528666667,15.7168666667,19.5854,9.17086666667
602.55,10.6612,20.1244333333,18.0252,21.0312470588,20.4289333333,10.2646666667,22.1870666667,20.6378,15.794,19.6611333333,9.25699999999
602.88,10.6623333333,20.1295,18.0137333333,21.0354020915,20.446,10.2712,22.2116666667,20.6849333333,15.8199333333,19.6651333333,9.24066666667
603.22,10.7364,20.191,18.0482,21.0688439216,20.4502333333,10.3294666667,22.2196666667,20.718,15.8688,19.7112,9.29473333333
603.56,10.7291333333,20.2038666667,18.0676666667,21.0614002614,20.4390333334,10.3515666667,22.1959333333,20.7455333333,15.89,19.7118666667,9.32293333333
603.89,10.748,20.2083333333,18.0679333333,21.0897900654,20.4334,10.3717333333,22.1830666667,20.7596,15.9101333333,19.7035333333,9.33433333334
604.23,10.7620666666,20.231,18.0832666667,21.1097756863,20.4456666667,10.4039333333,22.1912,20.7480666667,15.9076666667,19.7133333333,9.37033333333
604.56,10.7838666666,20.2487,18.0785333333,21.1430711111,20.4666,10.4321,22.2269333333,20.7616666667,15.9628666667,19.7572666667,9.42426666667
604.90,10.8021333333,20.2507333333,18.1082,21.1552763399,20.5067,10.4620666667,22.2792666667,20.8058666667,16.0167333333,19.7948,9.46813333333
605.23,10.8098666667,20.2153,18.0578,21.124307451,20.5165666667,10.4896,22.2491333333,20.7908,16.0220666667,19.7476,9.46493333332
605.57,10.8152666667,20.2118,18.0821333333,21.1160708497,20.5401666667,10.4896333333,22.2637333333,20.7924,16.0638666667,19.7501333333,9.50193333333
605.90,10.8763333333,20.2895333333,18.1437333334,21.1744277124,20.6016666667,10.5407,22.3028,20.8393333333,16.1197333333,19.8143333333,9.57799999999
