wavelength,Back_LanAurf,Belly_LanAurf,Breast_LanAurf,Crissum_LanAurf,Crown_LanAurf,DorTail_LanAurf,Patch10_LanAurf,Patch11_LanAurf,Rump_LanAurf,Throat_LanAurf,WingTip_LanAurf
382.69,2.64973333333,10.99,8.52696666667,5.027,3.07193333333,4.926,4.18546666667,6.85546666666,2.04286666667,7.27353333333,5.94413333333
383.05,2.64593333333,10.9862666667,8.4797,4.986,3.04506666667,4.8978,4.15466666667,6.83866666667,2.01686666667,7.25566666667,5.91
383.41,2.69013333333,11.0246,8.51953333333,5.03586666667,3.1238,4.92873333333,4.20173333333,6.90553333333,2.071,7.32986666667,5.9756
383.77,2.72893333333,11.0352,8.53196666667,5.0676,3.1574,4.9774,4.24126666667,6.92979999999,2.1038,7.36420000001,6.0138
384.14,2.78946666667,11.1041333334,8.59006666667,5.161,3.20993333333,5.05186666667,4.30573333333,6.9922,2.14673333333,7.42873333333,6.0782
384.50,2.77826666667,11.084,8.57666666667,5.12513333333,3.19866666667,5.02206666666,4.25386666666,6.99186666667,2.11446666667,7.43073333333,6.0636
384.86,2.73526666666,11.0315333333,8.53533333333,5.1128,3.17846666667,4.99793333334,4.21033333333,6.95299999999,2.08606666667,7.40553333333,6.04293333333
385.22,2.80253333333,11.0866,8.61616666667,5.1906,3.27133333333,5.05873333333,4.27366666667,7.03846666667,2.14553333333,7.4932,6.1366
385.58,2.8456,11.1024666667,8.6649,5.20733333333,3.28646666667,5.0928,4.29653333333,7.08053333333,2.16226666667,7.54813333333,6.1618
385.94,2.89626666667,11.079,8.67473333333,5.22306666667,3.29706666667,5.1164,4.31266666667,7.10126666667,2.18833333333,7.57640000001,6.1854
386.30,2.927,11.0754666667,8.68386666667,5.23626666667,3.31646666667,5.15906666667,4.33326666667,7.09453333333,2.2116,7.62186666667,6.19866666667
386.66,2.9772,11.1105333333,8.72353333333,5.28,3.37113333333,5.20673333334,4.38333333333,7.15413333333,2.26886666667,7.66526666666,6.23846666667
387.03,2.9812,11.0945333333,8.74076666667,5.31433333333,3.39673333334,5.22093333333,4.40933333334,7.15486666666,2.28586666667,7.70106666667,6.25593333333
387.39,2.93113333333,11.0356,8.67953333333,5.2442,3.32186666667,5.14686666667,4.3536,7.10833333333,2.22073333333,7.65579999999,6.19013333333
387.75,2.9484,11.0409333333,8.70006666667,5.254,3.33766666667,5.15153333333,4.36246666667,7.12693333333,2.23626666667,7.69433333333,6.206
388.11,2.9394,10.9808666667,8.6831,5.19726666667,3.327,5.12833333333,4.33086666667,7.09313333333,2.22466666667,7.67886666666,6.171
388.47,2.90873333333,10.9166,8.64023333334,5.156,3.2782,5.1066,4.31873333333,7.05206666667,2.1794,7.65686666666,6.13693333333
388.83,2.9506,10.9357333333,8.6516,5.17873333333,3.29553333333,5.11726666667,4.35173333333,7.0854,2.2066,7.71979999999,6.15733333333
389.19,2.88426666667,10.8748,8.57736666667,5.13086666666,3.22246666667,5.0822,4.3012,7.02146666666,2.15606666667,7.69460000001,6.09813333333
389.55,2.8102,10.7617333333,8.4841,5.07286666667,3.1476,5.00173333333,4.23966666667,6.96146666666,2.0958,7.62906666666,6.02413333333
389.91,2.77893333333,10.7492666667,8.4478,5.077,3.1486,4.98233333333,4.22633333333,6.95260000001,2.08186666667,7.64766666666,6.0166
390.27,2.78526666667,10.7232,8.45306666667,5.08633333333,3.16693333333,4.99613333334,4.229,6.98886666666,2.10353333333,7.66779999999,6.03573333333
390.63,2.7436,10.6487333333,8.38173333333,5.04353333334,3.1204,4.96813333333,4.184,6.95479999999,2.05486666667,7.65553333333,6.00353333333
391.00,2.7736,10.6253333333,8.36816666667,5.06193333333,3.1334,4.9938,4.20673333333,6.97140000001,2.06926666667,7.6862,6.02313333333
391.36,2.82946666667,10.6264,8.39176666667,5.11446666667,3.19346666667,5.05766666667,4.27066666667,7.00793333333,2.12426666667,7.74680000001,6.07993333333
391.72,2.85133333333,10.6156,8.39516666667,5.12773333333,3.22773333333,5.09893333333,4.29313333333,7.02740000001,2.1548,7.78373333334,6.10033333333
392.08,2.85306666667,10.5858666667,8.37223333333,5.13993333333,3.22506666667,5.0972,4.30033333333,7.02886666667,2.148,7.79886666666,6.1132
392.44,2.92626666667,10.6066,8.40486666667,5.21226666667,3.30753333333,5.17313333334,4.37286666667,7.09499999999,2.23346666667,7.87853333333,6.17826666667
392.80,2.9216,10.5522,8.3584,5.20006666666,3.31513333333,5.17413333333,4.3802,7.08526666667,2.2342,7.88393333333,6.16693333333
393.16,2.9218,10.5186,8.3476,5.21826666667,3.31806666667,5.18593333333,4.3948,7.102,2.2582,7.91813333334,6.188
393.52,2.96453333333,10.4984,8.3421,5.26013333333,3.35866666667,5.22713333333,4.45153333333,7.12526666666,2.2968,7.98546666666,6.2352
393.88,2.96206666667,10.4502,8.30483333333,5.25666666667,3.34053333333,5.249,4.44593333334,7.11339999999,2.29566666667,7.99046666666,6.23766666667
394.24,2.93713333333,10.3736,8.21186666667,5.2226,3.2942,5.20066666667,4.43153333333,7.05006666667,2.2398,7.97033333333,6.19533333333
394.60,2.92666666667,10.3243333333,8.2074,5.22446666667,3.28906666667,5.19706666667,4.447,7.03753333333,2.25053333333,7.98993333333,6.19166666667
394.96,2.91273333333,10.2713333333,8.1549,5.1984,3.28746666667,5.17946666667,4.4384,7.03646666666,2.24813333333,7.99093333334,6.20393333333
395.32,2.87566666667,10.1723333333,8.0695,5.13726666666,3.23733333333,5.12873333333,4.38766666667,6.98926666667,2.1824,7.94233333334,6.16386666666
395.68,2.8726,10.1125333333,8.0367,5.118,3.22913333333,5.11193333333,4.3916,6.9872,2.16326666667,7.94860000001,6.17533333333
396.04,2.91833333333,10.0928666667,8.03986666667,5.15206666667,3.27826666667,5.16333333333,4.4442,7.01399999999,2.2138,8.01466666667,6.21906666667
396.40,2.87826666667,9.98679999999,7.9526,5.09653333333,3.23226666667,5.1078,4.39246666666,6.94826666667,2.16313333333,7.98373333334,6.18306666667
396.76,2.90026666666,9.95013333334,7.94876666667,5.10406666667,3.2276,5.13526666667,4.41466666667,6.95299999999,2.18513333333,8.02039999999,6.21793333333
