wavelength,Back_EmbLonf,Belly_EmbLonf,Breast_EmbLonf,Crissum_EmbLonf,Crown_EmbLonf,DorTail_EmbLonf,Patch10_EmbLonf,Rump_EmbLonf,Throat_EmbLonf,WingTip_EmbLonf
190.19,362.037,204.6295,-13.8886666665,-1.85183333335,211.111166666,86.111,246.296166666,74.074,78.7036666668,312.963
190.57,213.888833334,113.333166667,17.2223333334,10.5553333333,114.444166666,82.49975,130.000166666,37.7776666666,38.8886666667,182.222333333
190.95,197.777666667,87.7778333334,9.99983333335,-5.55550000001,92.2223333335,57.49975,100.555333333,6.11116666667,34.4443333334,140.0
191.33,175.3085,41.9751666666,-69.136,-61.1111666667,50.6175,11.11125,56.79,-61.7283333333,-18.5186666667,50.6173333333
191.71,279.8245,86.8421666665,-91.2281666665,-52.6316666666,87.7193333334,40.7895,95.6139999998,-73.6841666665,-3.50866666665,34.2106666665
192.09,232.539666667,59.524,-149.999833333,-31.7461666667,32.5396666665,27.38075,41.27,-89.6826666665,16.6666666666,42.0633333334
192.47,295.238,64.2856666665,-235.714166666,-36.9048333335,-2.381,23.21425,4.762,-139.285833333,0.0,40.476
192.85,-3433.33333334,-716.666666669,3816.66666666,483.333333332,766.666666665,-200.0,133.333333333,2250.0,550.0,-450.0
193.23,946.666666669,540.0,-353.333333333,243.333333333,223.333333333,420.0,283.333333333,-86.6666666665,203.333333334,493.333333333
193.61,697.619166666,502.381,-99.9996666665,285.714333333,180.952666666,332.14275,352.380833333,35.7141666665,264.285666667,416.666833333
193.99,399.999833333,295.833333334,-45.8335,204.166666667,101.388833334,202.0835,187.5,40.2779999998,155.5555,237.499833333
194.37,332.222333334,255.555666666,-52.222,157.777833333,103.3335,188.33325,137.778,62.2223333335,118.888833333,208.888833333
194.75,466.666666667,386.904833333,55.9526666667,241.6665,205.952333334,255.35725,238.095333334,166.666666667,236.904666667,241.6665
195.13,-3025.0,-2625.0,-116.666666667,-1616.66666667,-1608.33333333,-1887.5,-1833.33333333,-1100.0,-1416.66666666,-1766.66666667
195.51,-6783.33333334,-5966.66666667,-1550.0,-4483.33333334,-4133.33333333,-5325.0,-4500.0,-3333.33333333,-3766.66666666,-5300.0
195.89,-1449.99983333,-1333.33333334,11.1111666665,-816.666833333,-638.888833335,-1074.99975,-916.666666667,-455.555833332,-655.555666666,-1366.667
196.27,-577.777833333,-613.888666667,-102.777666667,-258.333333333,-158.3335,-329.16675,-402.777833333,-108.333333334,-105.5555,-558.3335
196.65,355.555666667,404.166666667,141.666666667,200.0,163.888833334,270.83325,379.166666667,143.055666667,152.777833333,376.389
197.03,295.454666666,410.606,128.787666667,187.878833333,128.787666667,297.72725,333.3335,77.272666667,219.697,312.121666667
197.40,-272.222333333,-377.778,-5.5555,-133.3335,52.7778333331,-433.3335,-388.888833333,52.7776666665,-208.3335,-241.666333334
197.78,-3.33333333335,-106.666666667,176.666666666,93.3333333333,183.333333334,-122.5,-13.3333333335,186.666666667,48.3333333333,-48.3333333333
198.16,53.125,-11.4583333333,132.291666666,133.333333333,150.0,-45.3125,52.0833333332,202.083333333,113.541666666,41.6666666665
198.54,56.4815,24.537,78.241,72.6853333333,86.5741666667,-14.5835,37.5001666667,113.426,71.7591666667,40.7408333333
198.92,94.0861666667,48.9246666666,129.032166666,91.3978333332,111.828166667,-29.0325,52.1506666665,143.010833333,98.9248333333,55.914
199.30,134.666666667,79.3333333333,186.0,134.666666667,144.0,-8.0,102.666666667,189.333333334,154.0,93.3333333335
199.68,192.5,134.166666667,251.666666666,190.0,177.5,33.75,132.5,237.5,195.0,175.0
200.06,251.666666667,128.333333334,395.0,236.666666667,150.0,-97.5,196.666666667,315.0,248.333333333,218.333333334
200.44,202.380833333,40.4763333334,485.714166667,223.8095,-2.381,-314.28575,123.8095,259.524,161.904833333,97.6188333335
200.82,157.5,138.333333333,245.0,159.166666667,94.9999999998,-35.0,169.166666667,205.0,145.833333333,115.0
201.19,225.0,286.110833333,361.111,286.111333333,143.055666667,-62.5,286.111333333,316.666666667,313.888666667,251.388833334
201.57,151.041666667,225.0,318.75,244.791666667,137.5,32.8125,261.458333334,242.708333333,290.625,227.083333334
201.95,98.3333333335,150.833333333,258.333333334,168.333333333,69.1666666665,-23.75,147.5,146.666666667,210.833333333,190.0
202.33,76.8518333334,122.222166667,256.4815,112.037,46.2961666668,-51.389,101.852,132.407333333,159.259333333,176.851833333
202.71,450.0,1816.66666667,4383.33333334,1516.66666666,466.66666667,-1500.0,1316.66666667,1916.66666667,2133.33333333,2850.0
203.09,83.3334999999,192.307833334,308.974333333,129.487166667,58.9743333335,-57.69225,139.7435,182.051166667,175.641,226.923166667
203.47,-10.2565,55.1281666666,96.1538333334,16.6665,20.5128333331,-61.53875,33.9743333334,50.0001666665,41.0258333332,77.5641666665
203.85,18.2798333333,53.2255,110.7525,38.1721666667,68.2796666665,-30.645,65.0538333335,79.0321666667,58.0645,90.8603333333
204.22,-13.6905,38.6903333333,84.5236666667,23.2143333333,54.1666666667,-65.17875,50.0,69.0473333335,22.0238333332,107.143
204.60,-0.5953333333,50.0,76.7858333333,33.333,69.643,-38.393,85.7143333333,102.976333333,30.9523333334,132.142833333
204.98,-12.5,31.7708333334,68.75,26.5625,49.9999999999,-17.1875,79.6874999999,83.3333333335,13.5416666667,142.1875
205.36,16.6666666666,38.5713333333,82.8573333333,20.9521666667,62.8573333333,13.57175,83.3333333331,82.8571666665,25.238,136.190333333
205.74,24.1666666667,55.0,72.5,12.5,87.5,22.5,99.1666666668,150.0,8.33333333335,236.666666667
206.12,65.8333333333,123.333333333,52.5,25.0,123.333333334,66.25,154.166666667,200.833333334,48.3333333333,296.666666667
206.50,135.714166667,184.127,105.5555,88.0951666667,157.143,126.19025,209.523833333,230.158666666,89.6826666667,306.3495
206.87,149.999833333,173.485,43.1818333333,84.8485,192.424,154.5455,207.5755,216.666666667,68.1816666667,301.515166667
207.25,114.6465,147.474833333,42.9293333334,106.060666667,176.262666667,128.03025,189.393833333,187.373666666,74.2425,243.939166667
207.63,151.613,212.903166667,89.2473333335,153.763333333,221.505166667,159.6775,239.247166666,238.709666666,100.5375,300.5375
208.01,128.205,180.341833333,71.3671666667,129.914333333,157.264833334,139.10275,189.7435,186.324666667,83.3331666667,246.154
208.39,122.916666667,164.285666666,79.7621666667,119.345333333,134.8215,126.33925,163.095333333,154.166666667,87.5,195.536
208.77,118.421,169.005833333,86.2573333334,111.9885,135.087666667,117.10525,161.111,149.707666666,90.6433333334,201.462333333
209.14,117.724666667,163.492166666,89.947,104.232833333,132.0105,120.23825,146.031666667,142.328,96.0318333333,181.481666667
209.52,99.6166666668,136.206833333,81.801,96.7435000001,114.942666667,106.0345,118.390833333,122.988333333,80.46,152.682
209.90,96.3301666667,122.171,86.8501666667,91.1315,106.880833333,96.55975,112.691,107.951166667,81.0398333334,136.085833334
210.28,90.5913333334,117.742,90.7258333333,92.7421666667,103.629166667,93.5485,108.064666666,100.268833333,77.285,127.5535
210.66,85.7333333333,116.133333333,88.6666666667,94.8,106.4,86.0,107.333333334,96.6666666669,77.2,130.0
211.03,90.9203333333,118.656833334,95.0251666666,97.2638333335,103.98,86.3805,105.3485,93.7811666666,84.9505,127.2385
211.41,87.198,112.319166667,93.237,90.942,96.86,82.971,97.1015000001,83.3333333333,82.4878333333,122.343333333
211.79,87.3433333333,110.526166666,87.2181666667,91.3531666667,96.4913333334,84.02275,97.8696666667,83.0826666666,82.3308333333,127.193166666
212.17,85.7725,110.162666667,86.8565,90.6503333334,102.438833333,77.439,101.219333333,82.6556666667,79.2683333334,125.8805
212.55,82.8985,105.797,83.1883333333,89.565,106.666833333,80.435,94.4926666668,83.4781666667,77.5361666666,128.840666666
212.92,88.7955,102.941333333,86.2746666667,92.1568333333,111.064333333,84.6635,95.3781666667,81.7926666667,78.2913333333,129.692
213.30,78.607,91.6666666665,78.9801666667,87.1891666667,100.870666667,72.948,88.0596666667,72.6366666667,72.5123333333,120.397833333
213.68,70.5333333333,91.4666666665,77.0666666667,84.8,96.6666666669,65.2,87.7333333333,66.5333333334,69.2,115.2
214.06,56.1333333333,82.1333333334,58.6666666667,73.3333333333,85.3333333335,53.8,76.9333333333,57.4666666666,57.4666666666,102.4
214.44,56.5575,80.601,61.202,75.0,87.8418333335,57.37725,79.3716666667,60.1093333333,60.7921666666,104.371333334
214.81,50.4166666667,74.3053333334,52.0835,68.7501666667,82.7778333335,59.79175,72.9166666667,59.3056666667,56.3888333333,94.5836666667
215.19,47.0831666667,70.1388333333,47.0831666667,66.5278333334,78.3331666665,56.458,70.2775,57.9166666667,49.4443333334,94.7221666666
215.57,49.8333333333,70.6666666667,51.5,67.0,82.0000000001,59.75,72.8333333333,58.3333333333,43.0,92.1666666667
215.95,52.8333333333,67.3333333333,56.8333333333,60.3333333333,77.6666666667,52.5,63.3333333333,53.0,37.5,87.3333333333
216.32,54.2903333334,66.8316666666,62.3763333334,60.8911666667,77.5578333334,70.04925,60.8913333333,55.9408333333,43.5643333333,94.5545
216.70,42.61,60.22,59.1193333333,55.0313333333,72.799,60.613,62.2643333333,48.1133333333,39.4653333334,86.635
217.08,35.2941666666,61.1111666666,47.7123333334,45.9148333334,62.2548333334,52.696,55.2288333333,38.889,32.843,78.2678333333
217.46,39.1473333333,69.5736666667,35.8525,45.349,60.8526666667,55.814,60.465,41.2791666666,29.4575,79.4573333333
217.83,34.6016666667,63.0435,29.8913333333,36.7753333333,58.1518333333,62.22825,55.6158333333,33.5145,28.9853333333,71.9203333334
218.21,47.4206666667,69.0478333333,45.6345,42.6586666666,67.6586666666,71.72625,65.6746666666,43.4523333333,37.6981666666,79.9605
218.59,37.4508333333,60.392,25.0981666667,29.6078333334,59.6078333334,65.8825,52.549,31.1765,24.5098333333,62.5493333333
218.97,40.9238333334,63.2013333333,36.4685,33.0031666667,62.0461666666,61.63375,56.7658333334,33.1683333333,33.9935,70.9575
219.34,39.4346666667,60.5655,42.4106666667,32.1426666667,63.8393333333,62.94625,59.0773333333,41.8156666667,41.0715,74.2558333333
219.72,37.7688333334,62.6341666667,43.0105,33.3333333333,64.2471666667,59.47575,57.7956666666,45.2958333334,44.758,80.6451666666
220.10,37.4046666667,62.468,44.7838333334,36.514,64.3766666667,61.832,62.85,45.4198333333,48.855,77.6081666666
220.47,30.8456666667,56.9651666667,35.0748333333,29.2286666666,55.2238333334,47.2015,52.3633333333,37.4376666667,42.2883333334,63.8058333334
220.85,39.8371666666,63.1438333334,43.0891666667,33.198,60.2981666667,51.62575,55.6911666667,43.9023333333,47.4255,65.854
221.23,44.7436666667,63.3335,50.769,43.9743333334,66.4101666666,56.53875,56.7951666667,48.7181666667,52.0513333333,73.4616666666
221.61,43.7983333333,60.0775,58.7858333333,43.1523333333,67.0541666667,56.00775,53.3591666667,46.2533333333,48.579,76.7441666666
221.98,49.1378333334,60.632,65.0863333333,51.4368333333,69.3966666666,50.2155,54.7411666667,51.868,50.4311666667,78.7356666666
222.36,43.8838333333,58.5626666666,66.0551666666,49.5415,68.8071666667,51.14675,53.5168333334,49.2355,47.0948333334,79.2051666667
222.74,45.5128333334,57.2116666667,73.0768333333,48.3975,66.8268333333,43.9905,56.0896666667,48.3973333334,46.6346666666,81.7308333334
223.11,56.1796666667,63.6705,84.8316666666,58.0525,73.4081666667,50.843,57.116,51.1235,47.3781666667,94.7566666667
223.49,54.3655,67.262,80.9523333333,56.9445,64.2856666667,47.917,58.135,42.2621666667,40.0793333333,86.5076666666
223.87,60.5485,73.8396666665,89.2405,63.0801666667,69.4093333333,56.96225,64.979,51.8988333333,51.0548333334,96.8356666666
224.24,74.7748333334,91.6666666665,99.5495,69.5943333333,74.7749999998,73.98625,69.3693333333,59.6846666667,61.4865,109.009
224.62,78.0091666667,104.398333333,107.176166666,71.5278333333,81.7128333335,86.111,81.25,67.8241666667,64.8146666666,114.1205
225.00,80.4688333335,113.021166667,100.781,65.1043333333,76.8231666666,84.766,73.698,61.7188333333,62.2396666668,130.208333334
225.38,73.6111666667,113.0555,91.9446666665,55.0001666667,69.4445000002,82.91675,71.111,65.2776666666,60.2779999998,123.055333334
225.75,69.7436666667,111.282,87.1796666665,57.4358333334,79.4871666669,85.0,74.8718333333,66.1538333333,68.4614999999,113.846166667
226.13,54.5456666666,102.020166667,62.1208333333,45.707,73.9899999998,75.0,59.0906666667,57.323,58.8383333334,107.5755
226.51,58.8745,104.545333333,55.4111666665,54.3288333333,85.9306666665,73.05225,58.0086666667,55.8441666666,58.0088333333,101.515166667
226.88,60.606,104.5455,62.4998333335,63.8256666666,90.7196666669,81.818,68.75,70.8333333333,66.856,113.068333333
227.26,49.847,86.0856666665,53.0581666666,53.517,75.841,71.10075,63.1498333334,66.208,59.786,90.2138333334
227.64,44.9495,81.8181666669,51.5153333334,48.6531666667,72.3906666667,69.44425,58.0808333333,64.1415,55.2188333333,91.4138333333
228.01,38.9408333333,72.2741666667,36.9158333334,43.6138333333,62.461,63.084,50.7786666666,54.2056666667,44.7041666666,74.299
228.39,28.6136666667,63.2743333334,29.4985,33.0381666666,55.1621666667,51.3275,44.1003333333,49.41,39.528,65.6345
228.76,25.2733333333,57.7868333333,24.0436666667,31.9673333333,49.7266666667,42.00825,40.4371666667,45.0818333333,32.787,60.7923333334
229.14,21.8036666667,46.5753333333,21.6891666666,28.1961666667,43.9498333333,37.67125,35.7306666666,35.0456666667,28.1961666667,43.4931666666
229.52,20.1075,40.7526666667,24.0861666667,24.1933333334,38.172,30.6455,32.3656666667,30.7528333334,22.2581666666,42.2581666666
229.89,16.8736666667,37.5776666667,22.2566666667,20.1863333333,31.1595,31.36675,27.6396666667,26.8116666666,20.2898333333,38.613
230.27,22.2891666667,41.5661666666,32.3293333334,20.3816666667,31.2248333333,37.048,33.4336666667,29.9195,25.2008333333,39.0561666667
230.65,6.43450000002,27.3206666666,23.6285,7.59499999998,12.3416666666,23.576,19.6201666667,22.0463333333,15.8228333333,25.7383333334
231.02,-6.48133333333,12.847,10.8795,-3.81933333333,-3.00933333335,12.6735,4.977,8.91216666665,3.00933333333,8.44883333333
231.40,-16.6666666667,8.87116666665,0.940833333335,-8.60216666668,-9.9465,11.29025,-0.806333333335,0.672,0.8065,6.98916666666
231.78,-17.5573333333,8.52416666665,-0.890833333335,-8.26966666666,-10.8143333333,11.4505,-2.92616666669,1.52666666666,4.3258333333,7.3795
232.15,-27.0835,3.0555,1.66683333334,-17.9166666667,-17.7778333333,5.83325,-9.99999999998,-5.13866666665,0.5555,1.11116666666
232.53,-24.5256666667,0.6775,2.03266666666,-12.466,-19.9186666667,4.67475,-10.1625,-2.71,-4.065,-0.1355
232.90,-18.9566666667,1.9085,5.725,-10.0506666667,-18.5751666667,9.351,-10.0506666667,-5.85216666668,1.9085,1.39966666665
233.28,-24.9311666667,-0.413166666665,8.26433333334,-14.876,-26.9971666666,1.033,-12.1211666667,-5.23416666665,1.7906666667,3.5815
233.66,-25.0686666667,3.44366666666,11.9831666667,-16.116,-25.0688333333,6.81825,-8.26450000001,-3.16783333335,5.37183333335,2.89266666665
234.03,-38.5711666667,-10.3176666667,2.381,-29.6825,-45.0795,-11.90475,-19.524,-7.14283333332,-7.77783333335,-0.000166666649999
234.41,-47.9561666666,-15.566,-0.4715,-34.4338333334,-51.2576666667,-22.16975,-25.6288333333,-11.3208333333,-13.0505,-2.35816666665
234.78,-42.9486666666,-11.0575,6.73083333335,-34.4551666667,-45.9936666667,-23.5575,-21.9551666667,-15.5448333334,-13.3011666667,-0.1605
235.16,-34.2681666667,-6.07466666667,7.4765,-35.2025,-37.5388333333,-22.89725,-21.3398333334,-16.5108333333,-11.8378333333,-1.55783333335
235.54,-32.7635,-12.5356666667,6.41,-39.0313333333,-35.6125,-30.5555,-22.6496666666,-18.0911666667,-19.658,-8.12
235.91,-31.9328333333,-10.9243333333,12.885,-34.5938333334,-30.8123333334,-28.151,-21.7086666667,-18.0673333333,-16.3865,-10.0841666667
236.29,-30.0525,-10.3675,10.2365,-30.0525,-29.1335,-23.42525,-17.979,-15.7481666667,-15.6168333333,-11.2858333333
236.66,-41.799,-20.767,1.1905,-40.0791666666,-35.5821666666,-31.34925,-27.1165,-25.2646666667,-23.0158333333,-15.6088333333
237.04,-48.1333333333,-27.2,-2.0,-42.4,-37.8666666667,-37.2,-28.9333333333,-18.5333333334,-26.8,-17.2
237.41,-36.0495,-14.5678333334,6.29633333334,-31.7283333334,-22.7161666667,-15.18525,-16.2961666666,-5.80233333333,-16.9135,-8.27166666667
237.79,-36.7683333334,-15.1401666667,3.5625,-33.2061666666,-22.2646666667,-17.748,-17.0483333334,-8.6515,-18.575,-10.687
238.17,-19.8051666667,-1.19033333331,10.2815,-18.8311666666,-9.19883333331,-4.0585,-7.143,-0.324666666665,-9.19916666665,-4.32916666666
238.54,-24.8858333333,-8.78999999998,0.570833333335,-22.7168333333,-13.1278333334,-6.3355,-13.4701666667,-6.16416666667,-14.84,-9.81733333334
238.92,-9.86616666669,0.0955,6.1305,-8.33333333334,-4.406,9.05175,-2.58616666667,5.45966666667,-4.31050000001,5.07683333335
239.29,-6.78400000002,5.02533333334,10.72,-4.85766666665,-1.75883333333,13.191,2.5125,12.0603333333,3.01516666665,11.4741666666
239.67,-7.42516666668,4.18666666667,7.81966666667,-7.18816666667,-6.39816666667,11.493,0.552833333335,10.9003333333,1.73783333335,10.4261666667
240.04,-9.59816666666,-0.96733333333,-1.3395,-11.9793333333,-12.5745,3.0135,-2.381,5.878,-3.4225,8.5565
240.42,-6.37616666667,0.75766666667,-3.59816666667,-10.2273333333,-12.6893333333,-0.66325,-2.1465,3.6615,-3.66166666666,8.58583333333
240.79,-3.02016666667,2.12533333333,-1.063,-7.83016666668,-9.78733333332,0.4195,-1.51,2.6845,-1.23033333335,9.78783333334
241.17,-1.64666666667,3.54266666667,-0.2995,-7.08583333333,-9.43116666665,1.497,-0.199666666665,1.447,-1.09783333332,9.7305
241.54,-0.39783333333,2.65266666667,0.0,-5.21666666667,-9.50466666665,0.3315,-1.503,0.132666666665,-1.282,10.168
241.92,2.61516666667,4.76183333333,1.8735,-1.171,-5.6205,2.9275,1.054,2.42,1.7565,11.4753333334
242.29,1.23983333333,3.39183333333,1.021,-1.787,-5.57983333333,1.91475,1.3495,0.32816666667,1.53183333334,9.44566666665
242.67,3.69633333334,5.813,3.99866666667,1.20983333333,-3.15866666667,4.03225,3.66283333334,1.54583333334,3.05783333333,11.5255
243.05,1.71966666667,4.62966666666,3.83616666667,0.066166666667,-4.99316666667,2.381,2.7115,-0.165333333335,1.885,9.2265
243.42,-1.06883333333,1.336,-0.033166666665,-2.63866666667,-8.58383333335,-1.90375,-0.3005,-4.442,-1.4695,5.14366666667
243.80,-2.18116666666,1.23683333333,-0.618166666665,-3.12483333334,-8.95183333331,-3.41775,-0.6185,-5.6315,-2.37633333333,2.40883333334
244.17,-0.662999999999,3.53533333333,2.841,-0.726,-6.09216666667,-0.09475,1.83083333333,-3.56683333333,-1.32583333333,3.53516666666
244.55,-1.93633333333,2.0635,3.68266666666,-1.11116666666,-6.381,0.57125,1.61916666667,-3.46016666666,-1.96833333333,2.92066666666
244.92,-0.386666666669,3.988,5.0295,1.04183333333,-4.58316666666,2.857,4.31566666666,-0.833166666665,-0.535833333335,3.48216666666
245.30,-2.027,3.18116666666,4.92666666666,0.422166666665,-4.92666666667,2.23825,3.20933333334,-1.91433333333,-1.60466666667,4.25083333333
245.67,-4.14083333333,2.4845,2.09633333333,-0.699,-5.5125,0.89275,3.02783333333,-2.38116666666,-2.79516666666,2.89866666667
246.05,-6.34366666666,1.1235,0.514833333334,-2.29416666667,-7.37366666667,-0.73725,1.07683333333,-3.839,-4.28366666666,1.82583333333
246.42,-6.9425,-0.46,-1.00766666667,-3.8765,-7.84050000002,-0.5915,-0.372166666667,-3.85466666667,-5.03716666666,0.722833333333
246.79,-5.48283333333,-0.178833333333,-0.337666666666,-3.973,-6.89316666667,-0.02975,0.417166666667,-2.46316666667,-4.03266666667,1.152
247.17,-4.7855,0.11,-1.02683333333,-4.05233333333,-6.01383333334,0.7425,0.990166666667,-1.85183333333,-3.28183333333,1.90666666667
247.54,-4.097,1.0635,-0.453333333334,-3.26,-5.4395,1.8045,1.4645,-0.7845,-2.71966666666,2.56283333333
247.92,-3.43783333333,1.12916666666,-0.471833333333,-2.66266666667,-4.78583333333,2.2245,1.82016666667,-0.134666666665,-2.27516666667,3.97716666667
248.29,-3.091,1.521,-0.637833333334,-1.93,-3.99083333333,2.62475,1.73383333333,0.376333333335,-1.48833333333,4.66133333333
248.67,-3.01983333333,1.959,-1.24033333333,-2.23633333333,-3.98283333333,2.4485,1.19166666667,0.114333333334,-1.159,4.73383333333
249.04,-4.12016666666,1.24966666667,-2.51633333333,-3.79933333333,-5.13333333333,1.697,0.0336666666665,-0.793833333332,-1.8235,3.66416666667
249.42,-3.03666666666,1.65633333333,-3.51983333333,-3.79566666666,-4.693,2.0965,0.1725,-0.483166666665,-1.46666666667,2.81233333334
249.79,-2.425,1.26666666667,-3.3295,-4.488,-5.03066666667,2.063,0.0903333333335,0.0361666666665,-1.23066666667,2.46133333334
250.17,-0.709833333332,2.12883333334,-2.589,-3.49033333333,-4.507,3.3085,0.805666666666,2.2055,-0.421833333334,3.29866666666
250.54,-0.1815,2.80133333334,-2.0555,-3.10366666667,-4.474,2.66025,1.14866666667,2.257,0.181333333334,3.66816666666
250.92,0.965499999999,4.78583333333,-0.608666666665,-0.839666666665,-2.87566666666,3.93575,3.25366666667,4.38716666667,2.624,5.2265
251.29,2.62816666666,6.218,1.68833333334,1.73066666667,-1.15383333333,4.583,4.70083333333,6.15383333334,4.23083333334,6.581
251.66,4.58883333333,7.75966666666,4.69366666666,4.06733333334,1.5435,6.16375,7.19666666667,8.156,6.75816666666,8.59416666667
252.04,5.01883333334,8.72016666667,5.91816666666,4.26583333333,2.17483333333,7.30875,7.73733333333,8.11383333333,7.86283333333,8.51083333334
252.41,5.71683333333,8.89033333335,6.55766666666,3.531,1.7445,6.71525,7.7135,7.8815,7.90266666667,8.09133333334
252.79,7.11933333333,10.247,8.70383333333,5.39066666667,2.77783333333,8.33325,9.321,9.13566666665,9.09466666667,9.34133333334
253.16,8.57483333334,11.8961666667,10.4671666666,7.28666666666,5.05233333333,9.57125,11.0105,10.5071666667,10.1048333334,10.95
253.54,8.759,12.7853333333,12.7436666667,7.51333333333,5.50016666667,9.4645,11.9345,11.4571666667,11.1041666667,11.8513333333
253.91,9.12533333335,13.8148333333,14.9766666667,8.80866666667,6.10483333333,10.076,12.1038333333,11.9773333333,12.1883333334,13.4345
254.28,7.67583333333,12.4406666666,14.3593333334,7.35216666667,5.67066666666,9.12025,11.4056666667,10.1551666667,11.6428333333,12.8288333334
254.66,7.0715,13.0548333333,15.2306666666,7.376,5.83116666667,9.3995,11.7493333334,10.8571666667,11.227,13.033
255.03,5.98633333334,11.2473333333,13.8323333334,5.2835,4.127,7.89125,9.592,8.86616666665,8.9115,10.2725
255.41,3.97633333333,8.92833333334,11.1188333334,2.07133333334,2.0715,6.4285,6.59516666667,5.9285,6.28566666666,8.38116666665
255.78,1.57616666667,6.53733333333,8.01033333333,-1.34366666667,-0.671666666665,4.4185,3.38483333334,1.98966666667,3.20416666666,5.5815
256.15,1.164,5.52916666667,8.14816666667,-1.95783333333,-1.455,3.373,2.06366666667,0.740833333333,2.01066666667,5.60816666666
256.53,-0.103666666665,4.84716666667,6.29883333334,-2.359,-2.17733333334,2.7995,1.34783333333,0.129666666667,1.65883333333,5.13216666667
256.90,-0.820833333335,3.93016666667,5.27383333334,-3.43283333334,-0.820666666665,1.97775,1.04466666666,0.522333333333,0.746333333335,6.21916666667
