wavelength,Back_SpoInaf,Belly_SpoInaf,Breast_SpoInaf,Crissum_SpoInaf,Crown_SpoInaf,DorTail_SpoInaf,Patch10_SpoInaf,Rump_SpoInaf,Throat_SpoInaf,WingTip_SpoInaf
784.67,31.4467916667,52.7745,43.78,56.4245,29.5689047619,26.7411666667,30.2605,28.9201666667,36.9086666666,28.8453333333
784.98,32.0378166667,53.6451666666,44.9643333333,56.5765,30.5390714286,27.546,31.21025,29.9698333333,36.9973333333,29.6128333334
785.29,33.0272916667,54.334,46.8936666666,56.4733333333,31.9037142857,28.2923333334,32.3104166666,31.2315,38.9136666667,29.929
785.60,31.2144083333,52.1746666667,45.8881666667,54.3128333333,30.6599761905,26.462,30.90275,29.916,38.0666666666,28.2161666667
785.91,31.6149083333,52.9618333334,46.3393333333,53.8078333334,30.3059047619,26.2323333333,30.7579166667,29.5253333333,37.3618333333,27.8331666667
786.22,31.8803333333,52.6173333334,45.9106666667,52.9261666667,29.5529285714,25.5545,30.0255833333,29.5891666667,37.041,27.9535
786.53,32.428775,52.4891666667,46.194,53.0843333333,29.62,25.5773333333,30.2309166666,29.744,37.5901666666,28.4813333334
786.84,32.4223,52.7838333334,47.0021666666,53.1228333333,30.1826666667,25.1961666667,30.83525,29.5503333333,37.366,28.0513333334
787.14,31.2906,52.2036666667,45.8901666667,52.0986666667,29.2034761905,24.0643333333,29.7045,28.5238333333,36.7261666667,27.3521666666
787.45,30.5466,52.254,44.8526666666,51.5441666666,28.2596428571,22.8258333333,28.6209166667,27.7601666667,34.789,25.9496666666
787.76,28.5514833333,50.3726666667,43.1488333333,50.3726666667,26.5427619048,20.2163333334,26.9523333333,26.198,33.7413333333,24.1568333334
788.07,28.9373083334,49.9653333333,43.2741666667,50.1736666666,26.3022380953,20.1251666666,26.8250833334,25.6691666667,33.8891666666,24.3306666666
788.38,29.6090416667,49.7103333334,42.8935,50.8006666667,26.4342142857,20.4838333333,26.6021666666,25.6646666667,34.3896666667,24.7275
788.69,28.6223333333,49.22,41.1836666666,50.8648333333,25.8706904762,20.1255,26.0680833333,24.4996666667,33.418,23.8385
789.00,28.309225,50.1368333333,41.5983333333,51.4201666667,26.4519761905,19.9178333334,26.728,24.7945,33.59,23.939
789.31,28.1068416667,49.8113333333,41.5208333333,51.4935,26.6121190477,19.6533333333,26.9568333333,24.734,33.7966666666,24.4938333334
789.62,28.3518916667,51.2901666667,42.0676666666,52.8243333333,27.7148809524,20.4846666666,28.208,25.279,34.5536666667,25.7498333333
789.92,27.1678916667,51.0531666667,41.1218333333,52.1785,27.2047380953,20.2615,27.9320833334,24.2375,34.7495,24.3826666666
790.23,27.181925,51.1615,40.4128333334,52.3413333334,27.0121666667,20.7228333333,27.5535833333,24.8525,34.4025,25.2215
790.54,27.0951083333,51.165,40.06,51.8415,27.3043333334,20.6688333333,27.7431666666,24.8028333334,33.7278333333,25.855
790.85,26.7894166667,50.7303333333,40.618,51.9665,27.9508571428,21.4795,28.1835833334,25.0936666667,35.0185,26.03
791.16,27.1130083333,51.05,40.851,51.9871666666,28.2288095238,22.3096666666,28.3653333334,25.1595,35.8456666666,25.4405
791.47,25.4196833334,49.6168333334,39.6933333333,50.2681666667,27.1238095238,21.2643333333,27.1265,23.3525,35.0958333334,23.4485
791.78,24.6590333333,49.1743333333,38.7973333333,49.3315,26.4907619048,20.5581666667,26.4739166666,22.6021666666,34.3556666667,21.6985
792.08,24.9254583333,48.4705,39.0146666667,48.232,25.9124761905,19.9641666667,26.23175,21.9905,33.6111666666,21.4145
792.39,25.99545,48.8863333333,39.1008333333,49.1448333333,26.3384761905,20.6441666667,26.7304166667,22.5338333334,33.7711666667,21.9966666667
792.70,26.3722833333,49.5333333334,40.2558333333,50.2235,26.9560952381,21.214,27.3244166667,22.3711666667,34.1248333333,21.8838333333
793.01,26.7921083333,48.7848333334,39.9351666666,48.9065,27.3014761905,20.899,26.64025,21.9521666667,33.8801666666,21.8306666666
793.32,27.736375,48.3903333334,40.263,48.8416666667,27.2054761905,20.9855,26.19725,22.4576666666,34.7075,22.5755
793.62,27.3815833334,48.044,39.9453333333,48.3373333334,26.7522380952,20.3441666667,25.3230833333,21.205,34.8788333334,21.5963333333
793.93,27.9221666667,48.289,40.3113333333,49.1926666666,27.428952381,21.0303333333,25.0768333334,21.6263333333,36.0441666666,21.3573333333
794.24,28.5666916667,49.7263333333,40.6408333334,50.2346666666,27.8957857143,21.278,26.1723333334,21.9618333334,36.7915,21.7075
794.55,29.151675,50.0788333333,41.6665,50.3153333333,29.0021666667,22.045,27.29525,22.8721666667,37.1551666667,23.1086666667
794.86,29.83895,51.2565,42.0101666667,51.1385,29.6874523809,23.184,28.1704166666,24.0088333333,35.8856666666,24.028
795.16,29.33985,51.6235,42.5665,51.6821666667,29.7256428571,22.1245,28.6384166667,24.1001666667,35.3288333334,24.4718333333
795.47,29.368475,53.002,42.963,52.3001666667,30.3119285714,23.0213333333,29.5129166666,25.0876666667,35.965,26.0041666667
795.78,29.8891,53.6025,43.4875,52.593,30.531047619,23.0403333333,29.2556666667,26.1283333333,37.0743333333,25.8906666666
796.09,29.8059333333,52.8626666667,42.3331666667,52.1961666667,29.6135476191,22.6666666667,28.15675,26.5098333333,36.6078333334,26.0781666666
796.40,29.4660833333,53.5586666667,43.3766666666,53.104,29.416,22.934,28.6871666667,27.0265,37.1488333333,25.8006666667
796.70,29.3901666667,54.4918333333,43.7195,54.0853333334,29.5209047619,23.2115,29.1360833334,27.6015,37.2155,26.5448333333
797.01,29.6865416667,54.514,44.5871666667,54.3708333333,30.1150952381,23.9786666667,30.2288333333,28.8193333333,37.153,26.961
797.32,30.6948,55.7898333333,45.699,54.9008333334,30.8607619047,24.5863333333,31.2965833334,29.756,36.7865,28.0808333334
797.63,30.844925,55.3393333333,44.9748333333,54.7948333333,31.1799047619,24.3511666667,30.758,29.6483333333,36.097,27.9523333333
797.93,29.4273,54.2881666666,43.1345,53.5698333333,29.370952381,22.4335,29.024,27.3555,34.3683333334,26.2358333334
798.24,28.875325,53.6406666667,42.6138333333,53.0093333333,28.5564523809,21.1908333333,27.66225,27.0411666666,34.9118333334,26.1576666667
798.55,29.5653666667,53.6496666667,42.785,52.405,28.1706428571,21.8141666667,26.6035,27.616,35.2531666667,27.0676666666
798.85,29.700925,53.6465,42.9215,53.1531666667,28.3448571428,21.2785,26.07275,28.4,35.8001666667,26.7056666666
799.16,28.8770916667,52.5625,41.9465,52.1533333334,27.4947142857,20.2411666667,25.8398333334,26.4641666667,35.0991666666,26.3781666666
799.47,29.9721,53.9795,43.3246666667,52.4175,29.2958095239,21.78,27.5674166666,27.6636666667,36.949,28.4336666666
799.78,29.9227,53.2218333333,42.2253333334,51.8898333333,28.442547619,21.2416666666,26.9975833334,27.1265,36.1896666666,28.6511666666
800.08,30.454675,53.2441666667,42.5996666666,52.1203333333,28.9620952381,21.9255,27.2050833333,27.9473333333,36.4293333334,29.283
800.39,30.38515,53.2286666666,42.4086666666,52.4868333333,28.4124761905,21.2695,26.3089166666,27.0071666667,36.191,28.9266666667
800.70,29.0710916666,52.0693333333,41.4775,51.6688333334,26.7975952381,20.0713333334,24.9331666666,25.8121666667,35.848,27.4143333334
801.00,28.613175,51.378,41.9731666667,51.1155,25.5875952381,20.8881666667,24.96725,26.0063333333,34.0553333334,27.4058333334
801.31,30.447025,52.8976666666,44.025,53.5266666667,26.8194047619,22.5966666667,26.7294166666,28.167,36.4555,29.2676666667
801.62,30.3700916666,53.371,44.4365,53.9131666666,26.9144761905,23.1966666666,27.428,28.4065,36.5866666667,29.9621666666
801.92,29.76885,52.658,43.4145,53.5441666667,26.8541428572,23.3476666666,27.9214166667,27.203,36.3983333334,29.5258333334
802.23,29.5308833333,51.5393333333,43.9635,53.4388333333,26.1663809524,23.3766666667,27.6575833334,26.2868333333,36.8446666666,29.8698333334
802.54,30.49345,52.615,46.0411666666,54.3255,27.5028571429,24.6823333334,27.8224166666,27.908,37.8545,30.865
802.84,29.853525,51.2895,45.3373333333,53.5713333333,26.1621190476,23.3381666667,26.05425,26.6616666666,36.6073333333,28.3483333333
803.15,29.0917583334,50.9966666667,45.5155,53.4131666666,25.8486666667,23.3183333334,25.1245,25.3863333334,36.9958333333,26.831
803.46,28.1871666667,50.807,45.2851666666,52.6978333333,25.9924761905,22.5918333333,25.2269166666,24.4073333333,35.88,25.6178333333
803.76,28.5954166667,50.9461666667,46.3125,52.7898333333,26.5718333333,23.9448333334,26.286,25.376,36.5598333333,27.0015
804.07,29.5231833333,51.1195,46.7881666666,53.6738333334,27.6191666666,25.3285,27.1045833333,25.8883333334,36.7153333334,28.2725
804.38,29.26945,50.7498333333,46.7585,53.193,28.0737857143,23.9963333334,26.9836666666,25.3508333333,38.3161666667,27.939
804.68,28.6876583334,51.3183333333,46.0688333333,52.4953333333,28.4740714285,24.1056666666,27.4129166666,25.4473333333,38.7948333333,27.6838333334
804.99,30.2405,52.7506666667,47.2723333333,53.953,29.4200238095,24.0405,28.1205,26.6066666666,40.8461666666,28.8951666666
805.30,31.0139583333,53.5911666667,48.3426666667,55.0875,30.5183809524,25.0,28.8903333334,27.7393333334,41.6663333333,29.627
805.60,31.9224666667,55.4928333333,49.2223333334,56.1291666667,32.1309761905,25.6013333333,29.9975833334,28.6658333334,41.9141666667,29.986
805.91,31.43645,55.959,48.2543333334,55.6563333333,31.5875714285,25.1628333334,30.3773333333,28.4683333334,41.3406666666,30.4006666667
806.21,31.0984083333,56.8526666666,47.7556666667,56.065,31.6650952381,25.2386666667,30.8380833333,28.1993333334,40.6636666667,29.7995
806.52,31.2367416667,56.4546666667,47.5673333333,56.0215,32.1049761905,24.7831666667,31.1899166666,28.6368333333,39.6193333333,29.9133333333
806.83,31.9158333334,57.2656666667,48.159,56.7256666666,32.1410952381,24.693,32.106,29.4306666667,40.5743333333,30.6821666667
807.13,31.013025,56.1838333334,46.1036666666,55.5053333333,31.2898571428,22.7503333333,31.6740833333,28.9845,39.6931666667,29.4621666666
807.44,29.9134416667,55.3165,44.9803333333,53.907,30.8321904762,21.3403333333,32.0351666666,28.6348333333,39.7376666667,29.08
807.74,31.1005416666,56.4375,45.3433333334,54.962,31.076,22.2136666666,32.81175,29.3893333333,39.6943333334,29.8476666666
808.05,30.5564,54.8721666667,44.9415,54.5258333334,29.5565476191,20.3408333333,30.9105833333,27.3163333334,37.7,28.9136666667
808.35,30.25895,54.0918333333,44.5798333333,54.6883333334,29.6438333333,20.3523333334,30.90775,26.5581666667,36.0163333333,28.1028333333
808.66,30.86885,54.4061666666,43.9243333333,55.3365,29.2868095238,20.2518333333,30.5419166667,27.2578333333,36.1521666667,27.3125
808.97,31.028125,53.4043333333,43.0558333334,54.33,28.2991428572,19.526,29.43925,26.4433333333,35.24,26.6615
809.27,32.1002666667,52.8716666667,43.2151666666,55.6305,28.3178571429,19.7353333333,29.7438333333,25.6756666667,35.332,26.436
809.58,32.3322166667,52.4958333333,43.0948333333,56.905,28.5398809524,21.2423333333,30.0886666666,26.4835,37.5763333334,28.5911666667
809.88,33.0763416667,53.4548333333,43.0348333333,57.4626666667,29.4243809524,22.9408333333,31.73025,28.137,38.723,30.7351666666
810.19,34.0147416666,53.608,43.942,58.0776666667,31.037,24.852,32.0005833334,28.3521666666,38.9876666667,32.3911666667
