wavelength,Back_TanDesf,Belly_TanDesf,Breast_TanDesf,Crissum_TanDesf,Crown_TanDesf,DorTail_TanDesf,Patch10_TanDesf,Patch11_TanDesf,Patch12_TanDesf,Patch13_TanDesf,Patch14_TanDesf,Patch15_TanDesf,Patch16_TanDesf,Rump_TanDesf,Throat_TanDesf,WingTip_TanDesf
204.60,300.0,470.3125,338.541666667,576.041666667,364.0625,445.3125,432.291666666,349.479166667,232.291666667,464.0625,373.958333333,619.791666667,367.1875,238.020833333,606.770833333,357.552083333
204.98,430.128166667,601.922999999,464.102583333,749.358916667,456.410416666,601.923041667,553.846083334,478.205083333,326.923,576.282,489.7435,809.615416666,502.564083333,332.692166666,771.15375,455.448791667
205.36,557.051166666,698.717999999,581.41025,859.936125,567.307583333,747.756208334,666.025583333,584.615333333,440.384416666,653.846333333,574.359,905.769166665,580.769166667,435.897583333,826.281916667,553.525541667
205.74,1585.0,1970.0,1545.0,2352.5,1623.33333333,2070.0,1846.66666667,1616.66666667,1296.66666666,1741.66666667,1563.33333333,2398.33333333,1626.66666667,1211.66666667,2238.33333334,1556.66666667
206.12,715.97225,833.333416666,640.277833333,986.805541667,727.083250001,864.583333333,817.361166668,693.750083333,611.8055,739.583333333,691.666833334,1065.27775,701.388916667,545.833333333,968.055666665,727.77775
206.50,275.245083333,319.852916667,265.441166667,382.352958333,287.25475,327.696,328.186083333,282.598,260.784416666,287.254833333,276.225583333,407.352833333,292.156833334,225.73525,373.03925,288.357833334
206.87,304.487083334,371.474333333,304.166583334,437.820416667,307.05125,363.30125,389.743583333,298.397583333,286.538333334,319.230583333,294.871916666,474.359,332.371833333,248.077083333,448.3975,332.692208333
207.25,332.575666667,392.0455,323.484833333,468.371125,323.48475,383.522583333,414.394083334,314.393916666,307.197,331.060416667,321.212166667,512.121333333,350.37875,264.015,470.454416667,350.757541667
207.63,455.208333333,519.791666667,439.0625,596.354166667,440.104166667,527.34375,535.416666667,438.020833334,394.791666667,426.041666667,446.354166667,664.0625,452.604166667,362.5,620.3125,462.239583333
208.01,243.05575,261.111166667,220.833333334,291.782458334,240.972083333,262.268291667,278.24075,230.324083333,215.50925,219.907416667,231.713083333,323.842583333,236.805583333,201.851916666,308.101916667,242.477
208.39,214.6825,232.9365,191.666583333,256.646625,216.865,234.722125,251.785833333,203.372916667,190.872916667,199.8015,204.960333333,278.769833334,211.507916667,179.960333333,274.20625,203.869041667
208.77,218.125,248.75,202.083333333,254.6875,230.208333333,245.416666667,261.041666667,206.25,191.666666667,209.166666667,220.625,292.083333334,220.0,186.458333333,295.0,211.145833334
209.14,187.137666667,214.673916667,169.203,220.833416667,201.44925,208.514416667,232.60875,189.1305,162.681166667,193.478166667,194.384,252.355083333,184.782666667,172.645,264.855083333,187.5905
209.52,186.43425,218.7985,170.155,219.573625,208.139583333,209.496125,241.278916667,196.511666667,168.217,202.131916667,204.844916667,258.914666667,193.023333333,184.69,284.496,191.085333333
209.90,143.081833333,176.7295,146.226333333,182.232708333,172.012416667,180.424625,199.214,165.72325,147.16975,177.201333334,169.654,215.251583333,164.779833333,167.767416667,235.691666667,167.138291667
210.28,136.240166667,187.015666667,152.519333333,203.682125,172.480583333,200.484375,203.100833333,173.44975,145.7365,199.80625,181.39525,230.038666667,174.224833333,175.775166667,256.782833333,167.829416667
210.66,178.666666667,266.333333333,202.666666667,285.166666667,225.333333333,289.833333333,277.333333333,232.333333333,185.666666666,301.0,264.666666667,340.333333333,232.0,246.333333333,375.333333333,226.0
211.03,258.333333333,345.0,268.75,389.583333333,312.916666667,392.708333333,350.0,334.166666667,252.916666667,394.583333334,359.583333333,462.083333333,333.75,335.833333333,473.75,270.833333333
211.41,228.819416667,305.5555,235.0695,342.361041667,269.09725,344.791708333,305.208416666,294.4445,213.888916667,338.541666667,318.750166667,396.52775,308.680583333,298.611166667,412.5,218.402625
211.79,190.229916667,271.839166667,197.12625,304.7415,237.068833333,278.87925,255.459833333,251.43675,177.586333333,278.160833333,279.885,334.770166667,269.54025,261.7815,356.896666667,177.298791667
212.17,221.591,350.757583333,239.015166667,394.697,282.954666666,348.105916666,310.22725,310.227333333,196.969666667,339.394083333,348.106,431.4395,326.894,324.242416667,444.697,207.007583334
212.55,152.777833333,281.597166667,181.944333334,326.562458333,220.833333333,275.6945,228.125,247.916583333,134.722333333,276.736083333,283.680583333,364.236,248.95825,268.40275,370.138833333,151.736291667
212.92,145.698833333,237.365583333,154.032166667,282.661291667,193.2795,232.258125,195.698916666,223.11825,123.387,239.785,238.978416667,308.0645,210.483833333,240.591416667,302.4195,143.010833333
213.30,164.0625,263.020833333,191.927083334,294.791666667,210.677083333,246.223958333,209.895833333,233.854166667,146.354166667,242.708333333,264.0625,318.489583333,225.78125,258.59375,311.197916667,171.354166667
213.68,167.741916667,269.8925,193.010666667,305.242125,213.440833333,251.88175,215.59125,244.086083333,146.2365,247.31175,268.279583333,331.451583333,223.11825,260.484,318.279416666,178.494708334
214.06,444.4445,731.481500001,508.333416667,868.981375,550.925916666,686.111,547.222083333,658.333416666,280.5555,651.851833333,756.481499999,982.407333333,562.037,685.185166666,905.555583334,396.75925
214.44,279.166666667,395.370333334,320.8335,457.4075,311.574166666,363.888791667,327.315,370.370416667,178.240833333,344.4445,415.740666667,541.666583333,312.499916666,378.24075,472.685333334,233.796208334
