wavelength,Back_PooNigm,Belly_PooNigm,Breast_PooNigm,Crissum_PooNigm,Crown_PooNigm,DorTail_PooNigm,Patch10_PooNigm,Rump_PooNigm,Throat_PooNigm,WingTip_PooNigm
186.01,111.999933333,100.969666667,98.0607,128.848333333,121.2122,108.363766667,107.424416667,123.636466667,98.9090666665,78.0305000001
186.39,103.928666666,103.6906,99.7024000001,125.5952,123.9286,107.678566667,110.267833333,122.5,101.666666667,81.3986666666
186.77,118.787933333,120.454666667,113.181866667,150.606133333,146.818333333,127.954533333,134.46975,147.8788,121.515266667,93.7499166667
187.15,92.9761999999,89.6428666667,81.1309666666,113.5716,109.6428,93.4523000001,98.5120000001,111.547733333,89.2857333333,63.9880833333
187.53,69.9485999999,73.7435333334,65.4872,90.4616,85.5383999999,67.6411,90.2564166665,87.6923333332,71.4871999999,48.84625
187.91,60.0939333334,68.3567333334,55.3522333333,77.4648666667,69.4836,58.9671333333,82.2768333333,75.3050666667,59.3428,40.9624166667
188.29,38.5964666666,54.5612666667,32.8508333333,58.0700666666,49.2983333334,35.3948666667,63.5964166667,51.1404,41.0526666667,21.92975
188.67,34.8333333333,50.25,30.375,52.9166666667,44.6666666666,32.9166666667,54.8958333333,43.9166666667,38.5,18.0208333333
189.05,37.7552,54.4898,38.2314,52.0408666667,50.7484,37.8571333333,59.0988333333,47.6872,43.6055333334,25.0849166667
189.43,25.6508666667,44.1905333333,29.3968,38.3493333333,37.5874666667,25.8096333333,47.6985,38.8571333333,34.2222666667,15.1585833333
189.81,11.1594666667,32.6087333333,15.9057666667,27.1014666667,25.6520666667,5.5072,41.3948333333,25.5797333333,22.029,-1.35858333332
190.19,-7.5,19.25,-3.58333333333,15.1666666667,11.0,-17.5416666667,26.3541666667,6.08333333332,5.33333333334,-22.6041666667
190.57,-9.4016,17.8632,-10.5555333333,12.2222666667,3.76066666666,-25.5127666667,22.3290833333,4.01706666667,-6.75213333333,-29.3804166667
190.95,-16.2602,10.4065333333,-19.3902333333,3.73986666668,-9.34960000001,-32.236,12.9065,-4.06506666666,-13.4957333333,-32.92675
191.33,-30.0469333333,8.92006666665,-25.7746666666,-0.938866666674,-17.8404666667,-43.0517666667,8.09883333333,-8.9202,-17.3708666667,-44.8356666667
191.71,-22.4474666667,14.8523333333,-15.9915666667,3.54446666668,-12.4894666667,-26.3713333333,5.27416666667,-4.135,-13.3333333333,-34.59925
192.09,-23.6754,10.0854,-18.3333,0.2564,-10.3419333333,-28.5468666667,5.23516666668,-2.99139999998,-11.7094666667,-32.47875
192.47,-20.8696,16.6184,-11.0143333333,2.8986,-9.17886666667,-29.6136333333,9.54091666667,7.82613333334,-8.11586666666,-30.5556666667
192.85,-27.1794666667,5.55546666666,-18.9316333333,-12.6496666667,-22.6496,-34.1453666667,-0.53425,1.70939999999,-22.8204666667,-35.6839166667
193.23,-51.4009333334,-19.6135333333,-46.9564999999,-38.2609333333,-54.4928,-62.8984666666,-21.8599166667,-18.1641333333,-45.797,-64.0096666667
193.61,-45.0876666667,-20.6140666667,-43.2456666667,-36.5789333333,-49.6490666667,-52.7192,-20.614,-15.9648666667,-41.579,-58.99125
193.99,-41.5384,-19.5726666667,-40.3419333334,-30.3419333333,-48.547,-47.8632666667,-19.0170833333,-10.0854666667,-39.5727333333,-55.1283333333
194.37,-32.0163999999,-15.8848666667,-29.5060666667,-24.3622666667,-42.3044666667,-37.2839,-11.9341666667,-2.22226666665,-34.8971333333,-39.9176666666
194.75,-38.5016666667,-23.8201333333,-31.9476333333,-31.3108666667,-46.9664,-38.5392333333,-16.1984166667,-9.73800000002,-35.0562,-38.8576666667
195.13,-43.5714666667,-31.9048666667,-36.7063666667,-39.0476666667,-54.127,-44.0477666667,-22.8175,-14.6826,-42.2222666667,-49.5039166667
195.51,-23.8272666667,-16.7902,-20.6172,-22.3456,-34.3208666667,-23.9505333333,-8.41041666667,-2.77773333334,-23.8888,-28.6265833333
195.89,-20.0,-14.4654666667,-21.1005333333,-20.0628,-34.6541333333,-21.8239333333,-3.69499999998,1.06900000002,-21.3836,-28.2231666667
196.27,-14.9122,-9.12273333333,-19.1228333333,-16.0818666667,-32.2222,-15.6724333333,-2.41225,0.935733333346,-20.1754666667,-28.3625833333
196.65,-16.7478666667,-6.39573333332,-22.0867,-12.5744666667,-30.6774666666,-11.1652,-0.338666666668,2.439,-20.867,-23.84825
197.03,-10.3936666667,4.46199999999,-14.9082666667,-1.57473333333,-23.3071333333,-4.06843333334,9.18650000002,9.2388,-15.1180666667,-13.1234166667
197.40,-7.76979999999,5.65946666667,-10.1439666667,2.25406666667,-20.1918,2.75773333333,9.952,11.9903333333,-13.717,-7.43408333333
197.78,-12.0094,4.77553333333,-10.5910333333,1.79673333333,-21.9385333333,0.685666666668,10.1653333334,9.73986666667,-18.1560666667,-7.15124999998
198.16,0.114999999986,13.2566,2.54783333333,8.62066666669,-7.66279999999,9.55940000001,15.3736666667,16.8966,-6.81993333333,0.718333333325
198.54,-1.01366666665,12.7875333333,0.682233333333,7.68026666668,-8.38206666667,9.6298,15.30225,15.5166,-6.86166666667,-3.11899999999
198.92,5.96886666666,18.7209333333,5.73643333332,12.4806,-2.90686666667,16.3758333333,21.85075,20.0000666667,-1.62799999999,4.74799999999
199.30,3.73486666667,18.7550666667,3.9359,12.5300666667,-4.13673333333,16.3252333333,20.83325,18.5141333333,-4.257,4.46791666667
199.68,-1.18213333333,19.2436666667,1.74950000001,10.26,-9.03073333334,16.8320666667,19.7989166667,16.8322,-11.4420666667,-0.76825
200.06,-2.12973333335,20.0000666667,1.08796666665,9.0742,-7.31486666666,15.8796333333,20.1388333333,14.9999333333,-10.3704,0.115583333325
200.44,-9.49493333333,16.0100666667,-2.80306666667,3.78786666666,-13.1819333333,13.5605666667,16.8560833333,12.2223333333,-13.7374,-6.24983333331
200.82,-11.4436,11.5484666667,-1.36490000001,-1.15486666667,-13.8582666667,11.3911,16.7979166667,5.61680000001,-14.3306666667,-9.12058333334
201.19,-7.76893333333,10.3412666667,-0.91853333332,-2.67726666666,-9.92126666667,12.9657666667,15.1574166667,4.77679999999,-8.71386666666,-9.77691666668
201.57,-1.15706666667,19.1736666666,5.28916666668,2.92006666666,-2.97513333332,18.7878,22.3830833333,9.2012,-2.53433333334,-6.47383333332
201.95,5.35613333331,22.2222,7.63540000001,2.621,-2.10833333334,23.5897333333,22.3646666667,12.6495333333,1.13980000001,-2.42149999999
202.33,-16.4874666667,8.5304,-13.0108333333,-16.2007333333,-23.7993333333,10.2508666667,12.0073333333,-3.9426,-19.2830666667,-20.96775
202.71,-24.0579333333,2.68106666666,-20.6522333333,-28.2608,-35.7246,-0.07246666666,4.34783333335,-9.49280000001,-28.1882666667,-27.3549999999
203.09,-43.9999333333,-16.3704,-38.7407666666,-49.9259333333,-55.9258666667,-19.5927,-13.7963333333,-24.5184666667,-45.111,-48.9815
203.47,-36.5278666666,-15.0693333333,-31.9791666667,-44.0276666667,-51.2499333333,-16.4932,-9.5485,-21.3193333333,-40.5555333333,-43.3160833333
203.85,-34.9834666666,-17.6237333333,-30.2311,-41.7161333333,-50.891,-17.5909,-10.5610833333,-19.67,-41.0560666667,-38.2012499999
204.22,-19.6236666667,-7.58059999999,-13.8442666667,-25.2686666667,-33.6559333333,-1.98909999999,-4.906,-6.18286666667,-25.1074666667,-20.3628333333
204.60,-22.7512666667,-10.2645333333,-16.9046666667,-28.8888,-35.2380666667,-4.15353333333,-6.54775000001,-7.51326666667,-29.2592,-20.1058333333
204.98,-22.6666666667,-8.41033333335,-18.564,-28.0512666667,-36.1026,-4.35890000001,-11.282,-6.10246666666,-28.6667333333,-20.0640833334
205.36,-27.7776666667,-11.0581333333,-19.2328,-30.1058,-42.1692666667,-5.29093333333,-15.14525,-7.93653333333,-34.9207333333,-22.553
205.74,-36.1581333334,-14.7458,-26.2429,-40.3390666667,-49.8305333333,-12.4576666667,-23.0225833333,-14.8022666667,-42.7683333333,-25.6355
206.12,-25.6488,-5.49613333332,-18.2442333333,-30.7378,-35.1144,-3.61323333333,-9.35116666667,-5.80146666667,-29.3129333333,-19.2113333333
206.50,-17.5669333333,2.1412,-12.3114666667,-25.8880666667,-28.613,5.27973333333,-2.31158333332,-0.486600000014,-20.9732666667,-11.0706666667
206.87,-13.0882666667,5.88240000001,-6.69133333333,-19.6568666667,-22.3528666667,13.2598666667,1.6545,2.54906666667,-15.196,-6.924
207.25,-4.16653333333,12.1296,-0.5322,-11.2037333333,-13.5184,18.426,8.33333333335,8.05546666665,-8.1484,-2.25683333333
207.63,-1.84213333333,13.6842666667,1.22816666668,-11.3158,-10.1316,18.1578,11.0745,8.64033333335,-7.93853333332,0.109666666676
208.01,1.65606666665,16.4755333333,-0.063800000014,-10.9979333333,-7.1338,22.3991666667,13.0574166667,9.25686666667,-4.50099999999,2.12299999999
208.39,-6.43880000001,12.5356666667,-12.1366,-26.4387333333,-16.9230666667,14.8149,11.9659166667,2.62106666667,-16.5811333333,-10.39875
208.77,-0.17700000002,16.6371333333,-9.58686666666,-24.7788,-13.5693333333,16.4602666667,13.2741666667,4.1888,-12.2713333333,-6.56341666667
209.14,-1.96833333332,14.0952666667,-14.7619666667,-32.5713333333,-16.3174,13.5873,12.9365,2.53973333332,-19.0476,-10.0794166667
209.52,-6.66660000002,10.3472666667,-24.8612333333,-40.7638,-21.7360666667,4.20116666667,6.16308333335,-5.55560000002,-23.8888,-15.71175
209.90,-2.38106666668,9.11560000001,-22.8570666667,-39.7278,-21.0883333333,1.70056666667,6.12225,-6.73473333334,-24.2177333333,-19.1326666667
210.28,-12.7132,1.6278,-28.2944,-48.9922,-34.031,-8.64313333332,-4.65125,-17.7518666667,-37.4419333333,-24.7092500001
210.66,-19.9098666667,-6.93706666666,-36.3063,-56.1261999999,-40.1803333333,-22.7028666667,-13.2881666667,-28.018,-49.3694666667,-30.856
211.03,-23.3332666667,-8.6666,-40.9047666667,-61.7142666665,-45.7142666667,-30.6189666667,-16.0715,-32.1905333334,-58.2856666667,-32.1428333333
211.41,-28.8889333333,-1.69306666664,-41.9047333333,-64.7618666667,-48.7832,-36.7725333333,-16.6666666667,-38.6243333333,-63.7037333333,-32.4075833334
211.79,-11.3542,20.9374666667,-24.5312666667,-37.6041999999,-29.0625333333,-18.7498333333,-1.82291666665,-15.1042666666,-38.646,-15.7552500002
212.17,-29.5403333333,8.85066666664,-33.0459666667,-54.8275999999,-45.5172666666,-45.7471666667,-18.5344166667,-36.3218666667,-51.8390666667,-27.0113333335
212.55,-15.7936,9.04766666666,-12.5,-31.1905333333,-28.6506666667,-27.8174,-10.5156666667,-23.8889333333,-30.7936666667,-8.82933333342
212.92,-18.0157333333,8.3334,-11.5079,-33.4920666667,-32.619,-29.6030666667,-12.4006666667,-27.6982,-36.3491333333,-11.9049166667
213.30,-3.96826666666,18.0952666667,1.74586666665,-17.7778,-19.4444,-18.7303,-7.242,-20.5554,-23.9682,1.78574999999
213.68,8.70166666665,30.807,13.5790333333,-5.26313333334,-2.31586666668,-1.78946666667,12.0175833333,-5.61413333334,-6.5262,16.579
214.06,2.99320000002,24.3538,7.72106666665,-6.80266666667,-4.42166666668,-6.46260000001,9.60883333333,-7.48293333334,-5.78253333334,16.4965833333
214.44,7.0588,26.4052666667,11.7645666667,-6.40513333335,1.96073333333,-4.7385,12.5,-1.56853333333,-2.22219999998,18.8725
214.81,15.3764,30.7525333333,20.8331,3.17193333333,11.3440666667,7.39253333332,15.86025,7.74193333332,9.30113333334,24.7983333334
215.19,12.0313333333,28.1250666666,16.5104,0.57293333332,9.11453333336,5.07806666666,11.5235,2.8646,8.17693333334,21.28925
215.57,14.88,27.4133333333,19.7066666667,3.35999999999,12.5866666667,8.4,15.0666666667,5.76,11.52,22.2666666666
215.95,6.93773333331,20.5960666667,13.0080666667,-5.149,7.04606666666,1.08383333334,9.01091666665,-1.95113333334,6.23293333333,18.6993333333
216.32,14.9579333333,30.1960666667,19.9998333333,0.56013333332,12.1568666667,7.59096666666,15.0560833333,8.73946666666,10.1400666667,26.3304166667
216.70,5.46033333334,26.0954,11.0477,-12.0632666667,5.71419999998,3.5555,2.6985,0.82540000002,2.73019999998,17.1428333333
217.08,5.9864,24.898,8.67366666668,-14.8298666667,8.84366666667,0.06803333334,0.59516666665,-0.34013333332,2.31306666664,17.0918333333
217.46,3.75413333335,23.6246666667,8.99666666667,-16.7638,8.15526666665,2.6213,4.85433333333,1.48853333335,2.84793333332,12.864
217.83,-4.37026666666,15.5556,4.29630000001,-29.8518,-1.48140000001,-3.99983333334,-6.66658333332,-6.22219999999,-5.85186666666,3.14824999998
218.21,0.548933333346,19.2157333333,8.62753333333,-28.0,2.98033333331,5.01956666668,-1.86258333333,0.862666666674,-1.64720000002,5.49008333333
218.59,-4.84020000001,19.9999333333,-0.63936666666,-36.8949333333,-4.38359999999,1.18720000001,-7.99075,-4.38353333331,-5.93613333334,0.22825
218.97,-38.8617333333,-0.4878,-36.9106333333,-103.089466667,-44.2275999999,-36.3414333333,-47.561,-45.8536666667,-38.5366,-36.7885833335
219.34,-14.3396,13.2075333333,-11.1949333333,-62.8930666666,-17.61,-12.4526666667,-19.9684166667,-11.0690666667,-13.8364666667,-8.01875
219.72,-19.6898666667,4.49593333332,-29.6899666667,-90.0776000001,-33.1782,-26.8992666667,-41.8605,-25.5813333333,-29.6124666667,-20.1551666666
220.10,-36.2962666667,-17.2222,-60.2778666667,-135.925933333,-66.1110666668,-53.889,-70.6018333332,-62.2222666666,-59.2592000001,-55.0925833333
220.47,-44.7153999999,-40.1626,-71.7074333333,-127.967333333,-64.5528666665,-50.0813,-71.13825,-78.5365333334,-57.2356666666,-70.9349166667
220.85,-45.0876666667,-48.2455333333,-82.1054,-132.6316,-64.0351333333,-64.7369,-77.6315000001,-82.9824666667,-64.9122666666,-61.4035000001
221.23,-16.9445333333,-10.9722,-44.7221666667,-76.9444666666,-27.2222666667,-21.1111333333,-34.0278333333,-42.7776666666,-28.3334666667,-24.6529166667
221.61,-30.0000666666,-14.6296,-67.6851,-102.407333333,-42.9629999999,-35.1852,-49.0741666666,-70.0000000001,-32.4074666667,-44.9075833333
221.98,-39.4119333333,-24.7060000001,-81.2745666667,-105.4902,-48.0392,-57.255,-47.0586666667,-79.4117333333,-40.3922,-66.9118333333
222.36,-35.6989333333,-17.8496000001,-83.2259666666,-113.763333333,-57.2044000001,-70.4299666667,-52.6880833333,-101.505333333,-48.1720000001,-76.0751666666
222.74,-5.78953333334,-2.63153333333,-43.5965,-74.0351333333,-26.4912666665,-44.0352333333,-21.4913333334,-61.2280666665,-22.9824666667,-45.1754166666
223.11,10.864,13.0864666667,-17.1605666667,-39.6296666667,-1.60486666666,-15.7407666667,0.308666666675,-19.8766000001,-9.50626666668,-10.4938333333
223.49,-11.453,-11.795,-50.0853666667,-81.8803333333,-26.3248,-47.6925,-20.513,-53.8460666667,-36.9230666666,-47.4359166666
223.87,-12.6497333333,-2.05126666667,-43.9316666667,-79.9999333334,-20.0000666667,-38.547,-13.0343333333,-50.9401333335,-34.1881333333,-32.0512500001
224.24,-23.2257333333,-4.51606666674,-47.9568666667,-88.3871999999,-30.7526666665,-45.8062666667,-26.613,-60.4301333335,-46.6665999999,-36.0215833334
224.62,-11.7171333333,13.5353333333,-30.6060666666,-73.1311333334,-22.4242666667,-50.9092666667,-19.4445,-47.2727333334,-39.5961333333,-28.2827499999
225.00,13.7929333333,41.1496000001,-17.9308333333,-62.7586666666,-14.4828,-28.8505333333,7.18383333333,-30.5747333333,-16.322,-26.1493333334
225.38,4.1974,26.1728666666,-29.2593000001,-78.0249333332,-28.3950000001,-56.0492000001,-1.23475000001,-40.9876666665,-26.4198666667,-41.9754166666
225.75,-19.5959333333,-14.3434666667,-53.8383,-99.9999333334,-52.3231999999,-78.2827333333,-24.7473333333,-52.3232666666,-61.4141333334,-56.8179999999
226.13,-7.9998,-5.92593333331,-32.4444,-74.8147333333,-40.7407999999,-55.4075333333,-24.4444166667,-41.9259333333,-46.8148,-28.5185
226.51,-39.7036666667,-40.1482,-50.1482999999,-95.2592666667,-61.7777333333,-70.5183333333,-50.3703333333,-64.5924666666,-62.5185333333,-48.1483333334
226.88,-127.083333333,-126.25,-145.729166667,-198.125,-155.625,-153.020833333,-141.666666667,-165.625,-150.416666667,-135.15625
227.26,-263.5088,-244.561533333,-277.894666667,-376.4914,-308.771866667,-281.929866667,-273.68425,-331.579,-283.1578,-280.26325
227.64,-104.0,-98.4444666667,-108.5555,-183.3334,-138.000066667,-127.666533333,-124.166583334,-165.5554,-133.111266667,-123.611083333
228.01,-106.666733333,-100.605933333,-115.151566667,-178.585866667,-147.474866667,-133.2322,-137.626333333,-160.605933333,-140.8082,-130.303
228.39,-60.4167333333,-54.1666,-68.6111333334,-110.555533333,-84.1666666666,-68.2639666667,-73.2639166667,-90.4165333334,-86.1111999999,-84.5485833333
228.76,-54.8718,-47.5641333333,-56.4101666667,-90.8975333333,-74.2307333333,-51.6666666667,-54.4871666667,-71.4103333333,-80.8976000001,-66.1859166666
229.14,-50.8603333333,-39.7848666667,-48.8710666667,-75.9139333333,-59.8925333333,-46.1291,-39.1129166667,-54.5162666667,-74.5161999999,-57.2581666668
229.52,-57.2946666667,-47.1496666667,-52.2706,-77.0048,-64.541,-48.2126333333,-46.8599166667,-58.8406666667,-76.1353333333,-61.8357499999
229.89,-70.7602666667,-60.9356,-66.4911333333,-90.2924666665,-79.0644000001,-57.0175,-65.6433333334,-79.4153333334,-93.9181999999,-71.4910833333
230.27,-62.9628666667,-50.6174666667,-55.9876666667,-74.8149333334,-67.1605333333,-43.8271333333,-49.3826666667,-66.1727333333,-90.0000666666,-63.4258333333
230.65,-33.3334666667,-17.7010666667,-28.908,-47.0116666667,-39.3104,-18.9655333333,-17.2414166667,-30.2299333333,-71.1495333334,-36.3504166666
231.02,-4.03766666667,13.8967333333,5.02353333334,-11.0798666667,-4.50713333333,4.13163333333,6.33808333333,1.4084,-33.5212666667,-4.5775
231.40,0.253199999994,18.3965333333,5.78073333332,-4.05086666667,1.6878,7.59499999999,9.49375000001,2.95353333333,-23.9662,-2.21525
231.78,-16.6666666667,6.40333333333,-14.9562333333,-17.6316,-11.1402666667,-7.7192,-9.86833333334,-10.5263333333,-34.7369333333,-17.8729166666
232.15,-26.8544666667,-2.3474,-22.1127,-24.507,-17.7464666667,-14.507,-12.55875,-16.8075333333,-42.1596,-27.8168333333
232.53,-25.1742,-0.597000000008,-19.4527333333,-23.5821333333,-15.4228666667,-15.5721666667,-16.5421666667,-16.1194,-41.0944666667,-23.5075
232.90,-19.4118,2.64706666667,-17.8432,-25.7843333333,-9.01953333333,-11.6666,-12.7450833333,-15.1960666667,-32.7450666667,-21.4461666667
233.28,-18.0000666667,1.04753333333,-11.0475,-29.5238,-17.1429333333,-10.8096,-16.1905,-20.0952,-27.9048,-21.0715
233.66,-15.5932,5.64973333335,-9.66106666667,-32.5424666667,-23.2769333333,-16.3275666667,-17.2315833333,-20.113,-28.4745333333,-20.7626666667
234.03,-1.19653333333,15.8118666667,1.83763333333,-16.0684666667,-12.1366666667,-7.05146666667,-3.95291666668,-4.87166666668,-10.1708666667,-7.5855
234.41,-11.2941333333,3.76473333335,-10.1568333333,-25.5684666667,-20.7059333333,-14.6666,-16.7645833333,-15.9215333333,-16.3922,-14.7056666667
234.78,-19.5061333333,-3.29213333333,-21.4816333333,-32.9219333333,-33.251,-24.8557666667,-28.70375,-29.7943333333,-24.7737333333,-25.8230833333
235.16,-2.90133333333,9.38273333333,-7.09866666667,-15.1852,-15.4938666667,-6.97533333334,-8.02466666667,-14.1357333333,-8.76533333334,-8.79641666665
235.54,2.2222,11.3278666667,-0.2168,-9.756,-11.1652666667,-4.0379,-2.23575,-7.6964,-4.28173333333,-0.6775
235.91,8.85493333334,16.8448666667,7.91350000001,-3.76586666668,-6.05606666665,3.1551,6.74283333335,-2.84979999999,-0.4072,8.14241666666
236.29,15.1773333333,22.8842,13.6169333333,0.898333333326,1.22926666667,9.24360000001,13.8296666667,3.40433333333,6.80853333333,16.13475
236.66,19.342,25.3070666666,17.4342,3.68426666666,4.78073333333,11.9298333333,18.75,7.58773333333,11.3158,23.35525
237.04,18.9473333333,24.9998666667,16.0086333333,4.47366666667,3.772,10.9869666667,17.8178333333,7.98240000001,10.263,23.5198333333
237.41,13.0202,20.8948666667,8.5459,1.8344,1.87913333333,8.25503333333,13.5905833333,1.0738,5.23486666667,21.53225
237.79,12.2786666667,20.2108666667,9.43046666667,1.5612,4.17719999999,10.0210666667,12.6055833333,1.60346666666,4.93686666667,19.6200833333
238.17,6.79093333333,15.9833333333,5.27956666666,-0.621133333333,0.993733333332,6.2319,8.22983333334,-1.69766666667,0.74533333334,15.99375
238.54,15.2652,25.4544,13.4279333333,7.31073333333,8.63633333333,15.4734,16.9506666667,5.87113333333,8.75000000001,23.6269166667
238.92,14.0702666667,23.5176,12.2612,5.42706666667,9.27973333332,13.4841333333,12.2696666667,4.89113333333,9.48066666666,22.6131666666
239.29,11.8481333333,20.2418666667,8.85996666667,1.89973333333,6.6668,12.6942666667,8.54925000001,3.48873333333,6.97766666667,22.064
239.67,9.6,19.6,6.88333333333,2.0,6.73333333333,15.55,7.95833333333,3.5,7.6,21.7916666667
240.04,10.3245333333,19.351,6.6372,3.36273333334,7.58113333333,17.4632666667,8.14900000001,6.01779999999,10.2656,21.165
240.42,13.6840666666,20.1252666667,9.93750000001,8.64660000001,10.9022,21.7420333333,10.0251666667,10.2255333333,13.7592,23.8408333333
240.79,9.53013333332,15.8250666667,5.72666666668,7.45346666668,8.8086,17.4752666667,7.34975,7.47540000001,11.1038,19.0984166666
241.17,7.52680000001,13.8808,4.65306666667,6.11933333333,7.99606666666,16.5396333333,5.08291666667,4.86806666667,9.9316,17.8640833333
241.54,10.0251333333,15.1804666666,7.06106666668,8.91673333333,9.97493333333,17.6321333333,7.15783333333,7.48946666667,11.5028666667,19.1014166667
241.92,11.7367333333,16.4228,8.35906666667,11.1159333333,11.456,19.1131,9.79308333333,9.57886666667,13.1117333333,20.7315
242.29,13.5181333333,18.165,11.373,12.5676,13.4389333333,21.4192333333,12.55775,12.1453333333,14.8778666667,21.6501666667
242.67,11.8561333333,15.9537333333,9.9936,11.4322,12.6911333333,19.8201333333,10.549,11.368,14.0140666667,20.6486666667
243.05,12.5313333333,15.7768666667,10.4386333333,12.3057333333,12.6191333333,20.2946333333,11.7481666667,12.1678666667,14.198,20.9743333333
243.42,12.1415333333,14.9473333333,9.88830000001,11.8807333333,12.365,19.8511,11.3283333333,11.4710666667,13.6560666666,20.8566666666
243.80,12.5898,14.2771333333,9.91153333332,12.1886666667,12.4365333333,19.7286,11.68125,11.8464666667,13.2508,19.77875
244.17,12.2904666667,13.521,9.91793333333,12.443,12.1850666667,19.2854333333,11.73125,10.6036,12.4192666667,19.4055
244.55,10.4994,11.9744,8.32166666666,11.0105333333,10.3716666667,17.6481333333,10.4094166667,8.55980000001,10.7666666667,17.2475
244.92,9.8412,11.7234,8.3446,9.67106666667,9.39906666665,16.6440666667,9.2405,7.43766666666,9.69379999999,15.9155833333
245.30,9.67226666666,11.3050666666,7.8937,8.9442,8.09133333333,15.4550333333,8.77525,7.36326666666,9.33933333332,14.8856666666
245.67,8.74813333333,10.9544666667,7.84666666667,8.30686666667,7.0024,14.1438666667,8.06950000002,6.897,8.54666666666,13.8009166667
246.05,7.55960000001,9.92053333335,7.02916666667,7.47126666667,5.96806666667,13.5765,6.55391666667,5.63206666667,7.17946666667,13.09675
246.42,7.27640000001,9.56906666665,6.49996666667,7.73973333334,5.626,13.4471,5.94524999999,5.2114,7.1544,12.9065833333
246.79,6.26226666667,8.79833333334,5.93886666666,6.89453333333,4.54973333333,12.7048666667,5.54958333333,4.59393333334,6.80633333333,11.687
247.17,5.57273333333,8.34886666667,5.43423333333,6.31353333333,4.14686666667,12.3190333333,5.04508333333,4.03593333333,6.37586666667,11.2668333333
247.54,4.79473333333,7.95413333333,4.7586,6.0756,3.3628,11.8194333333,4.42516666667,3.62546666667,5.8654,10.0491666667
247.92,5.00166666667,8.74646666667,5.30466666666,6.55826666667,3.88513333333,11.7066666667,4.59333333333,4.08286666667,6.34133333333,10.606
248.29,3.64666666667,7.70066666667,3.81266666667,5.50126666667,2.7632,10.1474333333,3.62633333333,3.5338,4.75573333333,9.47683333334
248.67,3.04106666667,7.5994,3.49493333333,5.0436,2.13933333333,9.22873333333,3.04733333333,3.4702,4.0174,8.78408333333
249.04,2.82433333333,7.28146666667,2.8435,5.0848,1.7612,9.16103333333,2.59375,3.20206666667,3.70806666667,8.2775
249.42,2.11886666667,6.6936,2.31433333333,4.6694,1.7814,8.75506666668,2.10858333333,2.92833333333,3.23213333334,7.61641666666
249.79,2.6122,6.83186666667,2.06666666667,4.93726666667,2.31066666667,9.12819999999,2.37716666667,3.4302,3.76026666667,7.83991666667
