wavelength,Back_SpoBoef,Belly_SpoBoef,Breast_SpoBoef,Crissum_SpoBoef,Crown_SpoBoef,DorTail_SpoBoef,Patch10_SpoBoef,Rump_SpoBoef,Throat_SpoBoef,WingTip_SpoBoef
200.44,2.63166666667,121.929666667,-36.842,119.298333333,-9.649,22.807,-1.18423789293e-15,49.1226666667,-55.2633333333,101.754333333
200.82,-8.33333333333,134.523666667,-73.8096666667,144.047666667,-34.5236666667,-3.57133333333,-27.381,39.2856666667,-116.666666667,129.762
201.19,15.942,87.6813333333,-19.5653333333,99.2753333333,-10.8696666667,35.5073333333,-0.000333333333334,28.2606666667,-50.725,90.58
201.57,15.2173333333,83.3333333333,-12.319,81.1596666667,-36.2316666667,41.3046666667,-15.2173333333,21.7393333333,-60.145,80.4346666667
201.95,5.0,80.8333333333,-28.3333333333,67.5,-48.3333333333,45.0,-40.8333333333,11.6666666667,-90.8333333333,56.6666666667
202.33,-4.301,96.7743333333,-59.1396666667,59.1396666667,-49.4623333333,53.7633333333,-51.6126666667,-20.43,-129.032333333,56.9893333333
202.71,-32.0513333333,91.0256666667,-110.256333333,29.487,-135.897333333,23.077,-101.282333333,-96.154,-169.230666667,41.026
203.09,-35.714,58.333,-105.952333333,21.4286666667,-110.714333333,2.381,-74.9996666667,-101.190666667,-148.809333333,17.8573333333
203.47,-52.0833333333,58.3333333333,-90.625,2.08333333333,-101.041666667,14.5833333333,-70.8333333333,-109.375,-141.666666667,-11.4583333333
203.85,-9.42033333333,67.391,-31.1593333333,28.261,-42.029,41.3043333333,-34.7823333333,-64.4926666667,-60.8696666667,11.5943333333
204.22,9.94166666667,95.9063333333,4.09366666667,39.1813333333,-8.772,57.8946666667,-4.67833333333,-43.8596666667,-24.5613333333,35.0876666667
204.60,17.5436666667,119.883,12.8653333333,39.766,17.5436666667,71.93,-1.18423789293e-15,-34.5026666667,-9.35666666667,45.0293333333
204.98,4.47733333333,101.99,19.403,34.8256666667,14.9256666667,63.184,9.95033333333,-31.8406666667,6.46766666667,40.796
205.36,3.37533333333,95.7806666667,24.8943333333,34.1773333333,26.1603333333,53.5866666667,17.2996666667,-30.8016666667,19.4093333333,41.3503333333
205.74,-1.66666666667,87.9166666667,18.3333333333,35.0,23.3333333333,46.25,29.5833333333,-39.5833333333,31.6666666667,42.0833333333
206.12,-9.82933333333,86.752,24.359,28.205,15.3846666667,50.8546666667,25.2136666667,-46.1536666667,34.6153333333,53.4186666667
206.50,3.90066666667,91.1346666667,31.915,34.7516666667,18.44,61.3476666667,39.007,-22.3403333333,43.617,61.702
206.87,-7.595,95.3583333333,35.443,37.5526666667,16.8776666667,57.384,48.5233333333,-28.6916666667,36.709,64.1353333333
207.25,-18.8596666667,89.912,46.0526666667,20.614,13.158,58.3333333333,37.2803333333,-48.2456666667,24.5613333333,69.7366666667
207.63,-12.549,90.5883333333,41.961,23.9216666667,18.4316666667,68.235,38.4313333333,-41.9606666667,28.2353333333,73.7256666667
208.01,-34.1666666667,80.4166666667,27.9166666667,4.58333333333,3.75,62.5,45.8333333333,-60.8333333333,25.0,61.25
208.39,-36.0356666667,74.7746666667,23.4233333333,-3.60333333333,-3.15333333333,65.3153333333,48.1983333333,-65.3153333333,24.7743333333,67.1173333333
208.77,-28.7876666667,59.8483333333,32.197,7.197,-1.515,60.2273333333,37.121,-57.197,21.9696666667,56.4393333333
209.14,-26.923,73.0773333333,39.7436666667,6.83766666667,1.282,69.658,29.487,-68.3763333333,15.812,64.9573333333
209.52,-24.5616666667,68.421,40.7896666667,10.965,-4.825,77.6313333333,21.9296666667,-71.0526666667,11.4036666667,68.8596666667
209.90,-19.5553333333,76.4446666667,56.0,18.2223333333,8.88866666667,88.0,32.889,-67.9996666667,22.6666666667,72.889
210.28,-9.17866666667,82.6086666667,74.3963333333,37.1983333333,13.0436666667,88.889,60.8696666667,-70.0483333333,39.6136666667,77.295
210.66,-17.7086666667,74.9996666667,89.0623333333,43.75,7.81233333333,92.708,69.2706666667,-80.2086666667,38.5416666667,84.8956666667
211.03,7.173,78.481,102.11,46.4133333333,21.097,96.6246666667,75.9493333333,-51.899,56.962,96.2026666667
211.41,12.676,85.4463333333,120.187666667,60.5633333333,17.8403333333,100.469333333,95.3053333333,-48.8263333333,64.3193333333,108.920333333
211.79,24.1026666667,90.7693333333,144.615333333,64.6153333333,18.9743333333,105.128,108.205,-34.8716666667,81.5383333333,117.948666667
212.17,40.1826666667,95.4336666667,150.684666667,86.3016666667,36.073,101.826333333,106.392666667,-2.74,86.301,123.287666667
212.55,46.9696666667,81.818,130.303,85.9846666667,40.1516666667,89.394,101.893666667,3.03066666667,83.3333333333,108.712
212.92,61.574,96.759,157.870333333,106.944666667,47.2223333333,104.166666667,126.389,6.48166666667,110.648,131.481333333
213.30,64.4143333333,90.991,152.702333333,106.756666667,47.7476666667,95.946,135.135333333,16.2166666667,116.666666667,129.279
213.68,77.4646666667,95.7746666667,178.403666667,122.065666667,66.197,87.3243333333,145.54,31.9246666667,122.535333333,138.967
214.06,73.9316666667,91.453,165.812,122.222333333,63.6753333333,84.188,133.760333333,44.872,105.983,126.495666667
214.44,76.6286666667,93.1033333333,147.892666667,113.793,69.7316666667,77.778,114.559333333,48.659,104.214666667,118.391
214.81,81.624,93.5896666667,152.991666667,115.812,70.9403333333,78.6326666667,110.256333333,49.573,117.094333333,122.649666667
215.19,84.8486666667,93.5066666667,144.589,119.480666667,73.5933333333,78.788,100.433,56.277,123.809333333,122.510666667
215.57,74.7573333333,77.3463333333,119.417666667,107.443333333,70.55,68.6083333333,84.466,58.2526666667,111.974,100.970666667
215.95,70.238,65.7736666667,107.142666667,99.107,65.774,66.0716666667,75.893,52.381,104.464333333,100.595333333
216.32,75.238,61.587,109.523666667,98.095,63.492,67.3016666667,75.873,49.2063333333,101.904666667,107.619
216.70,88.07,75.4386666667,136.491333333,123.859666667,81.7546666667,86.6666666667,96.4913333333,65.614,125.965,131.929666667
217.08,89.3333333333,80.6666666667,125.666666667,116.333333333,84.6666666667,98.6666666667,101.333333333,70.0,128.0,140.0
217.46,100.0,79.924,133.712,126.515,91.6666666667,106.818,107.197,75.7576666667,134.469666667,155.682
217.83,92.5926666667,74.074,115.185,115.555333333,85.185,108.518666667,106.296333333,70.7406666667,134.814666667,147.777666667
218.21,100.362666667,74.2753333333,116.304333333,119.927333333,89.8553333333,104.347666667,108.333,76.4493333333,140.579333333,162.318666667
218.59,99.6453333333,77.6596666667,123.758666667,122.695333333,87.9433333333,107.446666667,110.993333333,77.305,139.716666667,159.22
218.97,115.972,83.3333333333,138.888666667,133.333333333,98.264,112.499666667,120.138666667,84.3746666667,151.389,160.069333333
219.34,126.449333333,90.942,144.565333333,138.768,109.42,117.753666667,134.42,93.4783333333,160.869666667,161.231666667
219.72,197.175333333,140.678,215.819333333,216.384333333,162.146666667,181.921,208.474666667,146.892666667,242.937666667,251.412333333
220.10,257.971,196.376666667,285.507,293.478333333,218.116,218.840666667,267.391333333,194.203,307.246333333,323.913333333
220.47,261.594333333,214.492666667,295.652333333,300.724666667,226.087,207.971,281.884,201.449333333,323.913333333,322.463666667
220.85,216.666333333,166.666666667,226.786,215.476333333,161.309666667,150.595333333,211.309666667,153.571333333,254.762,253.571
221.23,216.931333333,161.375666667,222.751333333,205.291,158.201,126.984,201.587333333,148.677,245.502333333,227.513333333
221.61,228.735666667,164.942666667,235.632,226.437,173.563,130.46,221.839,151.149333333,274.712666667,225.862
221.98,297.163333333,207.092333333,300.0,295.744666667,219.858333333,160.284,271.631333333,182.978666667,335.461,275.177333333
222.36,348.333333333,240.833333333,356.666666667,315.0,235.833333333,184.166666667,290.833333333,185.0,374.166666667,291.666666667
222.74,351.851666667,220.370666667,368.518666667,299.074,240.740666667,175.926,294.444333333,181.481666667,369.444666667,315.740666667
223.11,359.375,228.125,376.041666667,304.166666667,264.583333333,166.666666667,320.833333333,187.5,381.25,339.583333333
223.49,317.204333333,188.172,352.688,305.376666667,248.387333333,148.387333333,290.322333333,165.591333333,375.268666667,348.387
223.87,217.424333333,124.242333333,241.666666667,208.333666667,176.515,92.4243333333,186.363666667,109.848666667,262.878666667,234.091
224.24,215.909333333,119.697,235.606,217.424,172.727333333,96.212,206.060666667,113.636333333,289.394,234.848333333
224.62,278.125,106.25,285.416666667,265.625,210.416666667,109.375,232.291666667,135.416666667,380.208333333,290.625
225.00,381.159333333,111.594,395.652333333,386.956333333,310.144666667,155.072666667,368.116,213.043333333,523.188333333,405.797333333
225.38,504.444333333,88.889,582.222333333,597.777666667,442.222,206.666666667,506.666666667,320.000333333,684.444333333,551.111
225.75,338.461666667,101.282,375.641,408.974333333,298.718,162.820333333,324.359333333,289.743666667,437.179666667,401.282
226.13,245.045333333,72.072,272.973,281.982,214.414333333,127.027,230.630666667,238.738666667,331.531333333,295.495666667
226.51,234.210666667,65.7896666667,245.614,292.105,230.701666667,118.421,237.719333333,250.0,353.509,314.912666667
226.88,233.333333333,61.4813333333,214.814666667,291.111333333,215.555333333,117.037,219.259,226.666666667,325.926,290.370333333
227.26,180.302666667,57.576,169.697,229.293,167.676666667,109.091,163.131333333,183.838333333,245.454666667,224.242666667
227.64,173.076666667,67.5213333333,163.675333333,208.119666667,163.247666667,108.547,156.41,168.803333333,213.247666667,198.718
228.01,170.222,56.4443333333,168.889,195.111,151.555333333,101.333333333,157.333333333,158.222333333,206.222333333,192.444333333
228.39,153.64,47.893,151.724,167.816,143.295,92.337,140.23,143.295,169.732,155.938666667
228.76,147.712333333,51.961,145.751666667,160.457333333,131.699333333,86.928,135.294,136.274666667,152.614333333,144.771333333
229.14,155.434666667,55.4346666667,152.536666667,161.956666667,139.130666667,84.058,132.608333333,137.681333333,152.898666667,147.101333333
229.52,161.685666667,50.5743333333,152.107,158.237333333,148.275666667,80.843,140.996333333,138.697333333,158.620666667,153.64
229.89,167.901333333,46.9133333333,157.613,156.378333333,132.098666667,77.366,135.391,122.634,159.259333333,147.736666667
230.27,210.929,48.0873333333,197.814333333,191.803333333,169.945666667,79.7813333333,183.06,144.808666667,189.617666667,180.874
230.65,296.748,43.9026666667,274.797,258.536666667,238.211333333,81.3006666667,243.089333333,191.869666667,227.642,247.967333333
231.02,569.841333333,101.587333333,561.904666667,503.174666667,465.079666667,150.793666667,457.143,411.111333333,434.920666667,474.603333333
231.40,-852.777666667,-25.0,-738.888666667,-700.0,-580.555666667,-30.5556666667,-566.666666667,-497.222,-491.666666667,-552.778
231.78,-171.739,57.2463333333,-139.130333333,-133.333333333,-104.348,41.304,-82.6086666667,-89.1303333333,-81.884,-93.478
232.15,-142.373,33.3333333333,-85.3106666667,-109.604333333,-83.6156666667,33.3333333333,-63.277,-66.102,-57.062,-67.2316666667
232.53,-87.6066666667,39.316,-49.5723333333,-73.5043333333,-49.9996666667,43.1623333333,-25.641,-44.4443333333,-36.7523333333,-41.0253333333
232.90,-60.215,35.4836666667,-27.5986666667,-52.3293333333,-40.1433333333,45.8783333333,-7.16833333333,-27.2403333333,-25.0896666667,-27.24
233.28,-59.804,34.6406666667,-26.4703333333,-52.2876666667,-42.8106666667,44.7713333333,-1.96033333333,-20.915,-27.778,-26.4706666667
233.66,-43.658,39.823,-11.5046666667,-35.3983333333,-22.714,51.9173333333,11.5046666667,-10.3243333333,-10.6193333333,-15.6343333333
234.03,-25.3843333333,46.923,6.923,-8.20533333333,-11.5383333333,58.4613333333,21.282,2.82066666667,6.66666666667,3.846
234.41,-20.865,43.2573333333,12.468,-7.63333333333,-7.63366666667,59.7963333333,29.771,7.12466666667,13.486,9.92366666667
234.78,-15.5876666667,45.5633333333,21.1033333333,-3.837,-0.719333333333,54.6763333333,34.053,7.19433333333,10.072,21.8226666667
235.16,-16.0493333333,44.6913333333,34.074,4.19766666667,0.987666666667,60.4936666667,33.58,13.5803333333,11.605,31.111
235.54,-19.487,38.9743333333,32.564,4.10233333333,-3.33333333333,58.4616666667,29.2306666667,7.69233333333,3.33333333333,21.0256666667
235.91,-24.4793333333,34.3746666667,32.2916666667,6.25,-2.34366666667,61.719,25.0,9.375,5.729,17.7083333333
236.29,-31.5153333333,34.8483333333,29.697,-1.212,-12.4243333333,60.909,26.3636666667,-1.515,-6.66666666667,7.273
236.66,-33.6363333333,31.5153333333,27.879,8.485,-7.879,58.1816666667,31.8183333333,5.45433333333,-3.33366666667,4.84866666667
237.04,-28.0556666667,35.5556666667,31.389,18.8886666667,-0.277666666667,61.389,28.611,10.2776666667,5.55566666667,15.0
237.41,-24.269,36.842,33.3333333333,16.959,0.585,61.111,26.0233333333,3.21666666667,5.84833333333,21.345
237.79,-30.994,20.7603333333,21.6376666667,0.292333333333,-21.637,47.9533333333,17.8363333333,-7.01733333333,-7.89466666667,13.4503333333
238.17,-40.1183333333,3.54,10.6193333333,-18.289,-33.6283333333,37.7583333333,8.55433333333,-14.7493333333,-15.339,4.42466666667
238.54,-37.5706666667,9.60433333333,14.9716666667,-15.2543333333,-29.096,37.006,11.5816666667,-13.842,-12.147,3.39
238.92,-35.2776666667,2.5,1.66633333333,-15.0,-30.8333333333,31.111,3.88866666667,-16.9443333333,-11.111,-7.22233333333
239.29,-18.648,10.0233333333,2.331,-10.0233333333,-16.084,34.2656666667,15.1516666667,-5.59433333333,3.03033333333,2.564
239.67,-5.58866666667,12.575,3.593,-3.19366666667,-7.78433333333,32.535,20.958,0.000333333333334,11.3773333333,11.1773333333
240.04,-4.12166666667,4.83866666667,0.538,-8.24366666667,-6.45166666667,23.656,18.6376666667,-2.86733333333,8.602,12.5446666667
240.42,0.728,6.987,4.51266666667,3.05666666667,4.36666666667,25.91,21.106,2.03766666667,19.0683333333,17.6126666667
240.79,2.29,9.669,7.888,1.52666666667,8.01533333333,26.2083333333,20.738,5.47066666667,20.3563333333,18.448
241.17,3.33333333333,8.046,5.74733333333,0.689666666667,8.73566666667,21.724,23.678,3.10366666667,17.816,16.8966666667
241.54,7.39566666667,8.54166666667,9.06233333333,3.02066666667,13.854,20.5206666667,27.9166666667,4.27033333333,21.3543333333,18.1246666667
241.92,8.28566666667,10.0956666667,11.0476666667,5.90466666667,18.8573333333,20.952,27.6186666667,6.09533333333,23.4286666667,20.5713333333
242.29,8.35666666667,9.84233333333,9.84233333333,6.59233333333,17.0843333333,19.5913333333,27.0196666667,4.08533333333,24.9766666667,19.2203333333
242.67,9.98266666667,7.986,11.0246666667,9.54866666667,17.535,20.573,27.1703333333,5.98966666667,25.521,21.2673333333
243.05,12.3763333333,8.911,13.366,12.046,19.637,22.8546666667,30.4456666667,8.25066666667,29.0426666667,24.0926666667
243.42,16.508,11.2696666667,19.4446666667,17.7776666667,22.857,22.6983333333,35.1586666667,11.508,32.381,26.5873333333
243.80,17.6516666667,12.2143333333,21.119,17.888,23.4043333333,24.35,32.8606666667,12.7663333333,32.3086666667,26.7926666667
244.17,18.2326666667,12.3696666667,21.3653333333,20.482,24.016,26.426,34.538,14.699,33.735,27.8716666667
244.55,20.3616666667,15.4873333333,23.5063333333,20.6763333333,25.3143333333,28.6946666667,36.95,17.1383333333,34.67,29.245
244.92,22.4213333333,13.6023333333,23.5423333333,23.0943333333,25.2616666667,30.7923333333,36.024,17.414,35.9493333333,31.1656666667
245.30,23.8193333333,12.7993333333,25.188,23.409,24.846,31.3486666667,35.0443333333,18.275,36.6186666667,31.2113333333
245.67,21.9153333333,11.3566666667,22.591,22.4063333333,21.915,29.0363333333,29.5273333333,16.8813333333,32.7193333333,28.9746666667
246.05,22.0146666667,10.7526666667,22.2976666667,22.3543333333,21.9013333333,28.8623333333,29.7113333333,17.0343333333,30.6733333333,28.3533333333
246.42,21.8513333333,10.774,22.205,20.688,22.205,27.4156666667,28.6293333333,17.097,26.5046666667,27.3646666667
246.79,21.4283333333,9.757,20.448,17.1333333333,21.522,24.6496666667,26.6106666667,15.6396666667,23.7163333333,24.93
247.17,19.973,8.177,19.75,15.907,21.2246666667,23.4583333333,24.799,15.0133333333,20.7776666667,23.9496666667
247.54,16.402,5.99666666667,15.6083333333,13.8006666667,19.1356666667,22.046,20.679,11.552,16.7106666667,21.12
247.92,14.6403333333,4.66233333333,13.377,13.769,17.865,20.697,21.2636666667,9.93466666667,15.6863333333,19.782
248.29,14.7206666667,5.28766666667,13.4516666667,14.002,18.2743333333,20.262,21.1926666667,9.56,16.328,18.993
248.67,14.2856666667,3.582,12.895,13.064,16.9406666667,18.289,20.1433333333,8.80733333333,14.5386666667,17.9523333333
249.04,13.4656666667,2.86966666667,12.7593333333,12.8476666667,17.4833333333,16.2473333333,20.0,8.60933333333,13.6423333333,16.0263333333
249.42,13.502,2.25033333333,11.7206666667,12.0956666667,18.5653333333,15.143,18.6593333333,9.14233333333,13.08,15.4713333333
249.79,12.07,0.256666666667,11.7103333333,10.991,19.2603333333,15.1003333333,20.8013333333,8.73133333333,12.5323333333,13.5593333333
250.17,12.9783333333,0.332666666667,12.3683333333,10.76,19.9666666667,14.1433333333,20.6876666667,9.484,14.1986666667,12.923
250.54,13.75,0.476333333333,12.0833333333,12.738,21.8453333333,14.2856666667,21.6666666667,10.9523333333,17.3213333333,11.786
250.92,11.776,0.965,11.39,15.8303333333,21.9433333333,14.1566666667,22.909,11.9046666667,18.79,10.9396666667
251.29,13.0113333333,1.54233333333,12.475,17.0353333333,22.267,14.9563333333,24.7486666667,14.0173333333,21.395,11.603
251.66,14.18,-0.537666666667,14.6503333333,15.9273333333,21.774,13.777,24.5293333333,14.6506666667,22.8493333333,10.6853333333
252.04,16.3266666667,0.884333333333,16.2583333333,15.9863333333,22.653,14.966,24.8296666667,15.9863333333,24.898,12.449
252.41,19.008,1.79033333333,18.733,16.2533333333,23.7606666667,15.7023333333,25.069,17.6993333333,25.2063333333,14.325
252.79,17.943,-0.354666666667,16.8793333333,15.7446666667,22.411,14.681,23.475,16.9503333333,25.6026666667,14.1136666667
253.16,16.702,-0.349666666667,15.234,13.417,20.6146666667,14.3956666667,21.593,15.374,24.0393333333,14.5353333333
253.54,17.0096666667,2.26333333333,17.6956666667,14.5403333333,21.5363333333,16.735,22.908,16.1866666667,26.2003333333,16.804
253.91,19.5283333333,4.512,19.0573333333,17.9123333333,22.6936666667,19.259,23.4343333333,19.7306666667,28.4846666667,19.3266666667
254.28,19.592,4.82966666667,18.5033333333,18.4353333333,22.313,19.388,23.8776666667,18.7756666667,27.007,19.3196666667
254.66,19.4563333333,4.184,17.5036666667,16.597,20.9903333333,17.9916666667,22.8033333333,17.4336666667,24.0586666667,18.898
255.03,22.2223333333,3.03,17.8933333333,16.1616666667,21.717,17.677,21.9336666667,16.45,21.7893333333,19.1196666667
255.41,22.7236666667,2.03166666667,16.8546666667,14.071,21.219,17.3063333333,20.6923333333,15.7263333333,19.338,19.0366666667
255.78,22.1966666667,2.765,13.9013333333,12.3653333333,21.352,17.0506666667,19.9693333333,16.206,17.742,18.6636666667
256.15,20.5246666667,0.231666666667,12.886,10.4163333333,21.3736666667,13.8116666667,16.204,13.966,14.0433333333,15.6636666667
256.53,16.015,-2.14533333333,11.1876666667,9.57866666667,19.9996666667,10.115,13.41,10.115,10.1916666667,10.9576666667
256.90,16.7346666667,1.08833333333,10.4763333333,9.524,20.204,9.11533333333,12.177,10.408,7.00666666667,9.52366666667
257.28,17.4203333333,2.04966666667,10.428,9.524,18.9873333333,9.22233333333,11.3323333333,9.946,6.088,9.162
257.65,16.2366666667,-0.430333333333,6.72033333333,6.828,16.2903333333,7.204,9.89266666667,7.957,3.27966666667,5.269
258.02,14.7986666667,-0.670333333333,4.45433333333,4.59766666667,14.703,5.268,9.67433333333,7.232,2.29866666667,4.88533333333
258.40,12.811,-0.367333333333,5.059,3.99833333333,12.893,6.283,9.83266666667,7.62966666667,2.52966666667,5.63066666667
258.77,13.2253333333,0.756666666667,6.126,4.57666666667,12.3963333333,7.71166666667,9.76566666667,8.28866666667,3.53133333333,6.126
259.15,11.4886666667,1.06833333333,5.728,4.207,11.4563333333,7.57266666667,9.70866666667,7.89633333333,4.07766666667,6.21366666667
259.52,10.351,1.32,4.71033333333,3.27,10.351,6.90066666667,8.881,6.72066666667,3.42033333333,5.40066666667
