wavelength,Back_TanArgm,Belly_TanArgm,Breast_TanArgm,Crissum_TanArgm,Crown_TanArgm,DorTail_TanArgm,Patch10_TanArgm,Patch11_TanArgm,Rump_TanArgm,Throat_TanArgm,WingTip_TanArgm
747.81,62.6521666667,6.39983333333,5.172,8.40133333333,4.45166666666,6.97833333333,5.85083333333,46.7291666667,54.6995,23.8811666666,8.24183333335
748.12,62.8716666667,6.69258333333,5.4475,8.652,4.78616666667,7.1705,5.93733333333,47.3915,55.3648333333,24.1913333333,8.48083333332
748.44,63.2418333334,7.12625,5.66316666667,9.03533333334,5.09933333334,7.47866666666,6.0805,47.938,55.6573333333,24.4271666667,8.70649999999
748.75,63.3605,7.28525,5.82,9.09666666666,5.05633333334,7.71666666667,6.1075,48.0151666667,55.7261666667,24.7121666666,8.93233333332
749.07,63.2123333334,7.75766666666,6.22833333333,9.4905,5.58866666667,8.22266666667,6.44933333333,48.1975,55.6585,24.9361666667,9.47900000002
749.38,63.2521666667,7.98316666667,6.27883333333,9.48483333332,5.57283333333,8.22933333333,6.5565,48.2348333333,55.654,25.0635,9.40383333335
749.70,63.5496666666,8.30425,6.44333333333,9.62999999998,5.664,8.31,6.7225,48.1623333334,55.449,25.157,9.51383333332
750.01,63.622,8.409,6.56066666666,9.66366666668,5.81533333333,8.4585,6.77033333333,48.1196666666,55.35,25.2763333333,9.57033333334
750.33,63.4655,8.09083333334,6.315,9.49300000001,5.69,8.1555,6.531,48.0313333333,55.0883333334,25.1373333333,9.49866666667
750.64,63.6555,7.90091666667,6.28683333333,9.4095,5.5575,8.00966666666,6.43966666666,48.1358333333,55.193,25.106,9.30966666667
750.96,63.6981666667,7.40058333333,5.82983333333,9.06666666667,5.037,7.60016666667,6.14566666666,48.0508333333,55.3171666666,25.0716666666,8.82816666669
751.27,63.894,6.754,5.18366666667,8.487,4.41816666667,7.09466666667,5.7865,47.794,55.2801666667,24.8461666666,8.17950000002
751.59,63.7741666667,6.4885,4.88516666667,8.2065,4.19083333333,6.95666666666,5.63416666666,47.3731666667,54.8308333333,24.541,7.69933333333
751.90,63.532,6.40191666667,4.92183333333,8.14066666667,4.1275,6.9735,5.70983333334,46.7871666666,54.6028333334,24.3625,7.63533333333
752.22,63.9438333333,7.08,5.3915,8.648,4.59383333333,7.34066666667,6.17733333333,47.0793333334,54.78,24.6851666666,7.85666666667
752.53,63.5793333334,6.58766666666,4.78766666667,8.03183333333,3.89533333333,6.88633333333,5.80666666667,46.7318333333,54.5586666666,24.2098333333,7.22366666667
752.85,63.4971666667,6.64533333333,4.72983333333,8.051,3.70983333333,6.78216666667,5.7135,46.776,54.663,24.0255,7.23733333334
753.16,63.0926666667,6.32133333333,4.44333333333,7.87733333334,3.422,6.69833333334,5.3795,46.985,54.966,23.985,7.02033333333
753.47,63.0831666667,6.47475,4.75566666667,8.27883333333,3.62,7.1065,5.65466666667,47.2486666667,54.9988333333,24.0768333333,7.30683333333
753.79,63.3273333333,6.80308333333,5.17916666667,8.71283333333,4.03783333333,7.66233333333,6.18083333333,47.6441666666,55.0273333333,24.3715,7.64416666667
754.10,63.1146666667,6.96408333333,5.38566666667,8.87666666666,4.20183333334,7.98416666666,6.35683333334,47.7473333333,54.8998333333,24.4443333334,7.97200000001
754.42,63.1351666667,7.49291666666,5.84816666666,9.33699999999,4.79583333333,8.43616666666,6.749,47.95,54.9286666667,24.758,8.49066666668
754.73,62.6895,7.36325,5.7295,9.27016666666,4.83816666666,8.3605,6.45083333333,47.7021666667,54.6866666666,24.5543333333,8.50616666669
755.05,62.8223333333,7.58525,6.1315,9.51933333332,5.13966666666,8.4855,6.67866666667,47.9561666666,55.0303333334,24.7871666667,8.91716666665
755.36,62.8421666667,7.65791666667,6.09583333333,9.4105,5.26066666666,8.453,6.722,48.2383333333,55.1136666667,24.7268333334,9.03650000001
755.67,62.3165,7.334,5.80033333333,8.95966666667,5.03516666666,8.29333333333,6.41116666667,47.8153333333,54.8066666667,24.386,8.89783333335
755.99,62.7518333333,7.5905,5.96583333333,9.2345,5.332,8.4515,6.63683333333,48.0673333333,55.1453333333,24.6955,9.0915
756.30,62.6515,7.41225,6.05083333333,9.1045,5.27666666666,8.44883333333,6.63783333333,47.9895,54.9521666667,24.591,8.99850000001
756.62,62.3815,7.40241666667,6.06566666666,8.97683333333,5.04733333333,8.40816666667,6.45933333333,47.5011666667,54.6351666667,24.2003333333,8.88300000002
756.93,62.3645,7.07975,5.63716666666,8.37116666667,4.5415,7.88616666667,6.07216666666,47.2473333333,54.5161666666,23.86,8.33333333332
757.24,61.7556666667,6.96733333334,5.5075,7.969,4.18233333334,7.47316666666,5.64566666666,46.797,54.333,23.4931666666,8.14483333334
757.56,61.797,6.79175,5.197,7.71366666667,4.0645,7.21683333333,5.41116666667,46.7786666666,54.3918333334,23.3546666667,7.90866666666
757.87,61.8251666667,6.46583333334,4.892,7.26816666666,3.66583333333,6.98383333333,5.03733333333,46.5491666667,54.222,23.0375,7.55283333334
758.18,62.0015,6.56416666667,4.84883333333,7.24783333334,3.67766666667,6.91866666667,5.2095,46.7085,54.5701666666,22.9078333333,7.60216666667
758.50,61.7056666667,6.40666666667,4.44166666667,7.169,3.53066666666,6.71366666667,4.99233333333,46.6273333333,54.3786666667,22.6273333334,7.42233333333
758.81,61.5436666667,6.08533333333,4.05883333333,6.87683333334,3.25483333333,6.47166666666,4.6795,46.4856666666,54.2805,22.5048333333,7.06683333333
759.13,61.8083333334,5.64666666667,3.7135,6.72133333333,3.02066666666,6.32066666667,4.375,46.4835,54.184,22.3831666667,6.82966666667
759.44,61.5233333333,5.20983333334,3.50066666666,6.29133333334,2.7335,6.025,3.6975,46.0235,54.008,21.8416666666,6.602
759.75,61.7125,5.49683333334,3.72316666667,6.279,3.00383333333,6.38633333333,3.72966666667,46.2956666666,54.285,22.0686666667,6.81583333334
760.07,61.9208333333,6.05716666667,4.07133333333,6.63166666667,3.6345,6.87516666667,4.26516666667,46.6466666666,54.1901666667,22.5365,7.33733333333
760.38,61.9275,6.63275,4.65316666666,7.46483333334,4.34633333334,7.50133333333,4.74516666667,46.9243333333,54.248,22.9156666667,7.83933333333
760.69,61.88,6.6715,4.6725,7.8095,4.51583333333,7.75533333333,4.93733333334,46.7728333333,54.1426666667,22.8563333333,7.80933333335
761.01,61.9388333333,6.94191666666,4.956,8.14316666667,4.6925,8.02583333333,5.079,46.8776666667,54.4228333333,23.0053333333,8.03183333335
761.32,61.846,6.86091666667,4.90566666667,8.06466666667,4.55516666667,7.98,5.12616666667,46.6711666666,54.2273333334,23.1265,7.87266666665
761.63,61.589,6.63625,4.96333333333,8.048,4.464,7.97733333333,4.92033333333,46.541,54.0351666666,23.216,7.82016666665
761.94,62.0528333333,6.983,5.40583333333,8.289,4.55633333334,8.35683333334,5.3695,46.6218333333,54.2903333334,23.5326666667,8.09633333334
762.26,61.8885,7.25208333333,5.68816666667,8.45783333333,4.62933333333,8.363,5.61383333334,46.5243333334,54.127,23.4785,8.22416666669
