wavelength,Back_DigGlsf,Belly_DigGlsf,Breast_DigGlsf,Crissum_DigGlsf,Crown_DigGlsf,DorTail_DigGlsf,Patch10_DigGlsf,Rump_DigGlsf,Throat_DigGlsf,WingTip_DigGlsf
724.35,8.35644444445,28.7256666666,32.2113333333,26.5588333334,9.38049999999,11.6506666667,15.8753333333,10.089,9.9483888889,12.0538333333
724.67,8.59269444445,29.0088333333,32.4188333334,26.6581666666,9.32016666669,11.9081666667,15.9175,10.286,9.94413888886,12.4713333333
724.98,8.77777777779,29.0021666666,32.496,26.8238333333,9.56633333335,12.1918333334,16.0705,10.3165,10.1383611111,12.60025
725.30,8.90891666667,28.7866666667,32.112,26.5966666667,9.53966666665,12.1958333333,15.9568333333,10.1328333333,10.1219166666,12.7560833333
725.62,8.91752777779,28.8485,32.1363333333,26.6363333333,9.54033333333,12.2321666667,15.9293333333,10.0051666667,10.0665555555,12.6465
725.94,8.97438888889,28.9343333334,32.1433333334,26.4486666667,9.45550000002,12.2171666666,15.9435,10.0481666667,9.99622222223,12.73475
726.26,8.47611111112,28.691,32.1753333333,26.1681666667,9.02316666669,11.9031666666,15.584,9.66266666667,9.61819444445,12.26575
726.58,8.19716666666,28.5096666667,32.0198333334,25.8276666667,8.71433333332,11.4668333333,15.338,9.4715,9.37041666665,11.95875
726.90,7.97305555555,28.3653333334,32.085,25.4841666666,8.33816666666,11.2841666667,15.0388333333,9.34183333333,9.04644444445,11.7409166667
727.21,8.02638888889,28.3343333333,32.263,25.5105,8.29866666666,11.2116666667,15.1208333333,9.31416666666,8.92938888889,11.8708333333
727.53,8.23777777778,28.2723333333,32.231,25.3726666667,8.26966666666,10.9886666666,15.1576666666,9.2935,8.9292777778,11.8974166667
727.85,8.12955555555,27.8296666666,32.0908333333,24.9951666667,7.9015,10.833,14.973,9.0615,8.74275,11.8839166667
728.17,8.08013888888,27.6795,32.2016666666,25.0146666667,7.94633333333,10.7998333333,15.0415,9.13116666667,8.77036111111,11.7648333334
728.49,7.70122222221,27.3658333334,31.9568333334,24.4875,7.455,10.0491666666,14.6258333333,8.81216666667,8.49455555555,11.4351666666
728.80,7.60958333334,27.3633333333,32.1481666666,24.5541666666,7.33366666666,9.8535,14.5851666667,8.75983333333,8.32916666666,11.3664166667
729.12,7.50194444445,27.3498333333,32.0358333333,24.5098333333,7.17016666667,9.8185,14.5233333333,8.732,8.25327777778,11.53875
729.44,7.36813888888,27.2208333334,32.0408333334,24.5836666667,7.2085,9.755,14.5225,8.7305,8.24530555555,11.49
729.76,7.54430555555,27.2126666667,32.0466666667,24.6818333333,7.41216666667,9.93366666665,14.6153333333,8.9365,8.35947222222,11.7163333334
730.08,7.60522222222,27.292,32.274,24.7266666666,7.40016666666,10.0885,14.6718333333,9.067,8.39805555555,11.8859166667
730.39,7.42516666666,27.1611666667,32.0611666667,24.7681666667,7.392,9.98366666665,14.6848333333,8.93416666667,8.45338888888,11.8946666667
730.71,7.23458333334,27.055,31.9271666667,24.678,7.27283333333,9.84866666665,14.5596666666,8.96766666667,8.36791666666,11.714
731.03,7.43494444445,27.3856666666,32.4026666666,25.1698333333,7.56333333334,10.2798333334,14.8715,9.33483333334,8.71377777779,12.044
731.35,7.68180555555,27.8401666666,32.6741666667,25.6661666666,8.15333333334,10.3646666666,15.3481666667,9.66333333335,9.13111111112,12.2625833334
731.67,7.70427777778,27.8998333333,32.6826666667,25.8643333334,8.17066666666,10.3178333334,15.379,9.616,9.23527777778,12.42575
731.98,8.26225,28.6211666667,33.2358333334,26.611,8.81600000002,11.0028333334,16.17,10.0278333333,9.69180555555,13.1803333333
732.30,8.2907222222,28.7036666667,33.4961666667,26.7031666667,8.89166666668,11.1761666667,16.3503333333,10.2363333333,9.93316666665,13.3094166666
732.62,8.09188888889,28.385,33.3426666667,26.5861666667,8.54149999998,10.7978333333,16.1853333334,10.1068333334,9.60558333333,13.069
732.94,8.31927777779,28.5755,33.6866666666,26.9738333334,8.60650000002,10.9288333333,16.436,10.2741666667,9.87933333334,13.3644166666
733.25,8.18563888888,28.6216666667,33.648,26.9863333333,8.42633333333,10.9633333334,16.3855,10.1288333333,9.8251111111,13.3046666667
733.57,8.53794444446,28.7106666666,33.6981666666,27.3905,8.823,11.2421666667,16.801,10.3255,10.0013055556,13.4814166666
733.89,8.9120277778,29.1016666667,33.965,27.5686666666,9.01150000002,11.441,17.1075,10.5398333333,10.2034444444,13.6815833333
734.21,9.29725000001,29.6381666667,34.3828333333,27.9021666667,9.42983333335,11.6535,17.3581666666,10.6931666667,10.4817777778,14.0633333333
734.52,9.44919444445,29.8865,34.5753333333,27.8335,9.55983333333,11.704,17.4726666667,10.65,10.5003055555,14.1068333334
734.84,9.38258333335,29.878,34.4726666667,27.5836666667,9.29333333335,11.5776666666,17.2285,10.4225,10.3346944445,14.104
735.16,9.50408333334,29.927,34.499,27.58,9.67883333333,11.7185,17.2441666666,10.5211666667,10.3631388888,14.243
735.48,9.46761111112,29.7066666667,34.5155,27.6876666667,9.49933333333,11.8201666666,17.0283333333,10.5461666667,10.4833888888,14.2136666666
735.79,9.74000000001,30.0821666667,34.3841666667,27.9201666666,9.74833333334,11.8448333333,17.1208333333,10.7115,10.6767777778,14.47175
736.11,10.0286388889,30.4506666667,34.719,28.0968333333,10.0945,12.198,17.3956666667,10.8403333333,11.0285,14.5993333333
736.43,9.82180555555,30.4356666667,34.5953333333,27.8438333333,10.0906666666,11.9975,17.1193333333,10.5658333333,10.6311111111,14.3351666667
736.74,10.1274722222,30.5736666666,34.864,28.1496666667,10.4073333333,12.2565,17.4861666666,11.1128333333,11.0284722223,14.6380833334
737.06,9.8319722222,30.5748333333,34.9873333333,27.9361666666,10.0618333333,12.3166666667,17.1416666666,11.0518333334,11.1159166667,14.5490833333
737.38,9.48041666667,30.1803333333,34.8898333333,27.6656666667,9.619,12.0368333333,16.5983333333,10.7651666666,10.9390833333,14.4113333333
737.69,9.23313888888,29.984,34.845,27.5163333333,9.22933333333,11.783,16.3631666667,10.6663333333,10.8393333333,14.0901666667
738.01,8.8105277778,29.5181666666,34.4806666667,27.5328333333,8.84116666667,11.5723333334,16.0585,10.4418333333,10.5880277778,13.86125
738.33,8.97927777777,29.5951666667,34.9265,27.9906666667,9.08666666665,11.6286666667,16.385,10.6221666667,10.6555277778,13.9465
738.64,9.21202777778,29.992,35.4896666666,28.4136666667,9.11066666665,11.8796666666,16.996,11.0013333334,10.9483611111,14.331
738.96,8.88944444445,30.0838333334,35.1676666666,28.1563333333,9.0205,11.5361666667,16.719,10.6626666667,10.615,14.0984166666
739.28,8.82425,30.0546666667,35.2795,28.2726666667,9.00533333335,11.7751666666,16.55,10.56,10.4934166666,14.1158333334
739.59,8.63580555556,29.9976666666,35.0365,28.2711666666,8.86783333333,11.9625,16.52,10.5003333333,10.4856388888,13.8595
739.91,8.49333333332,30.1423333333,35.1778333334,28.3451666667,8.5765,11.8683333333,16.459,10.433,10.5358333334,13.7750833334
740.23,8.51255555557,30.245,35.0538333333,28.3453333333,8.48266666667,11.6848333333,16.4516666666,10.1433333333,10.2578333333,13.6650833334
740.54,8.17972222222,29.8716666667,34.6005,27.9313333334,8.26366666666,11.3373333333,16.2118333334,9.60366666669,9.66813888889,13.299
740.86,8.37427777777,30.378,34.6323333333,28.0566666667,8.70566666665,11.4763333334,16.4633333334,9.691,9.67738888888,13.3295833334
741.18,8.50244444443,30.5493333333,34.5605,28.0955,8.73199999998,11.7213333333,16.5856666667,9.75349999998,9.53941666666,13.4745833334
741.49,8.7517222222,31.0671666667,34.9656666666,28.2175,9.07733333333,11.8268333334,16.9808333333,9.868,9.83263888889,13.7948333334
741.81,8.535,31.1993333333,34.8466666667,28.052,9.02366666667,11.9043333333,16.7551666666,9.80883333333,9.809,13.7948333333
742.12,8.28077777778,31.0688333333,34.4945,27.7265,8.55133333334,11.3098333333,16.0763333334,9.25066666666,9.25930555555,13.3596666666
742.44,8.3150277778,31.1461666667,34.7675,27.6805,8.55416666667,11.1435,16.1931666667,9.24849999999,9.23544444445,13.3374166667
742.76,8.25644444445,31.2458333333,34.8105,27.3991666667,8.481,11.0936666667,16.3186666666,8.97983333333,9.18130555555,12.9055
743.07,8.18991666666,30.939,34.7738333333,27.2643333334,8.31633333334,10.5038333334,15.9265,8.79016666666,8.72897222221,12.7885
743.39,8.28777777778,30.6825,34.4083333334,27.0501666667,8.3,10.41,15.8653333333,8.634,8.59933333334,12.7505
743.70,8.08447222222,30.6551666667,34.6623333333,26.9868333333,8.24516666666,10.2791666666,15.7511666667,8.43516666667,8.35469444445,12.6386666666
744.02,8.60036111111,30.9201666667,35.3238333334,27.5731666666,8.698,10.2385,16.3123333334,8.94366666665,8.79594444445,13.1936666666
744.34,8.60891666665,30.7328333333,35.5361666667,27.659,8.55633333333,9.92183333335,16.4263333333,8.982,8.69697222221,13.1740833334
744.65,8.3264722222,30.3068333333,35.3486666666,27.459,8.4605,9.57483333335,16.309,8.50866666667,8.53047222221,12.8214166667
744.97,8.525,30.2565,35.0035,27.3805,8.42683333334,9.61866666665,15.9805,8.40616666667,8.30563888888,12.30075
745.28,8.9475,30.1816666667,34.899,27.5631666666,8.5825,9.78083333335,16.1608333333,8.54816666667,8.69002777778,12.3201666666
745.60,8.70338888888,29.8121666667,34.753,27.5086666667,8.45499999999,9.91616666665,16.0333333334,8.483,8.48280555555,12.2615833333
745.91,8.73077777779,29.8276666667,34.7916666667,27.8711666666,8.49116666667,10.23,16.1685,8.6525,8.55533333333,12.1055
746.23,8.3357777778,29.2986666666,34.6056666667,27.759,8.2665,9.989,15.8583333333,8.45616666667,8.14336111112,11.964
746.55,8.5156111111,29.6945,35.278,27.9868333333,8.69233333335,10.5811666667,16.2481666667,8.70633333333,8.36347222222,12.5854166667
746.86,8.76277777779,30.0553333333,35.6526666666,28.368,9.02783333333,10.9445,16.6598333334,9.15966666665,8.55325,12.7328333334
747.18,8.96044444445,30.0521666667,35.4245,28.2156666667,8.97666666665,10.9573333334,16.5841666667,9.05916666668,8.54069444445,12.6355833334
747.49,8.91152777777,30.5543333334,35.3123333333,28.1273333333,8.71599999998,11.4466666666,16.37,8.84033333335,8.34588888888,12.3051666667
747.81,8.55744444447,30.3326666667,35.2113333333,28.0735,8.2465,11.3238333333,15.925,8.51716666667,8.06536111112,11.8434166667
748.12,8.46402777779,30.2443333333,34.9436666667,27.7315,8.05233333333,10.9813333334,15.8683333333,8.22566666666,7.61941666667,11.7138333333
748.44,8.01263888888,29.8566666667,34.9405,27.4833333334,7.87116666667,10.8168333334,15.9215,8.14716666667,7.38013888888,11.6515833334
748.75,7.39197222222,29.6305,34.7923333334,27.0181666666,7.18333333333,10.2541666667,15.5135,7.545,6.60936111111,11.1190833333
749.07,7.45433333333,29.9115,34.6671666667,27.0911666666,7.34816666666,10.701,15.7056666666,7.58333333333,6.91505555555,11.02575
749.38,7.60641666667,30.2415,35.1281666667,27.1771666667,7.5075,11.0771666667,15.9091666667,7.7055,7.04119444445,11.4795
749.70,8.04638888888,30.6531666667,35.3333333333,27.5375,7.84366666667,11.0066666667,16.0815,8.42200000002,7.69725,12.0919166667
750.01,7.94841666666,30.9063333333,35.0796666666,27.5851666667,7.78316666667,10.795,16.1921666666,8.27133333331,7.749,11.826
750.33,7.9425,31.2381666667,35.2488333334,27.5311666667,8.10516666666,10.8781666666,16.3208333334,8.20883333334,7.84586111111,12.099
750.64,7.79241666666,31.2203333333,35.0293333333,27.537,8.10400000001,10.5853333334,16.2638333333,8.257,7.87938888888,12.2185833334
750.96,7.82213888889,31.2003333333,35.3618333333,27.8823333333,8.42050000002,10.6303333334,16.4435,8.44133333334,7.91411111111,12.38675
751.27,7.95183333333,31.0926666667,35.2628333334,27.9321666666,8.69966666668,10.809,16.6115,8.58250000002,8.06841666666,12.3685833333
751.59,8.38594444445,31.4831666667,35.4098333334,28.4403333334,9.12133333334,11.3073333333,16.7213333333,9.12816666666,8.58577777779,12.9353333334
751.90,8.83791666667,32.0575,35.7123333333,28.8788333333,9.26066666665,11.3983333333,16.9355,9.32966666667,8.87561111112,13.4361666666
752.22,8.7418888889,32.1635,35.8388333333,28.8691666667,9.19150000002,11.2198333333,16.6666666666,9.24000000001,8.71411111112,13.5831666667
752.53,8.79330555555,32.2556666667,36.1006666667,28.9666666666,9.1155,10.9026666666,16.7708333333,9.13633333332,8.47219444445,13.649
752.85,8.85261111113,31.8833333333,35.773,28.886,9.23583333332,10.5118333334,16.6178333333,9.07583333331,8.39577777778,13.59625
753.16,9.1829722222,32.1855,36.1295,29.0065,9.37650000001,10.956,17.1048333334,8.84083333334,8.35558333333,13.86325
753.47,9.5268611111,32.1916666667,36.2045,28.9746666667,9.47833333334,11.042,17.2825,9.10466666667,8.43705555555,13.9408333333
753.79,9.25855555555,31.7145,35.9941666667,28.5258333334,8.96916666667,10.6226666666,16.8821666667,8.78149999998,8.04633333333,13.3840833334
754.10,9.38452777778,31.9198333333,36.2293333333,28.4458333333,8.89016666665,10.8395,16.9661666667,8.73,8.28475,13.426
754.42,9.10208333333,31.8445,35.7051666667,28.0326666667,8.556,10.149,16.792,8.59766666667,8.35316666667,13.4078333334
754.73,8.70725,31.786,35.3516666667,27.2715,7.79183333334,9.641,16.3713333333,8.12233333333,7.80705555555,13.3615833333
755.05,8.04377777778,31.503,35.228,26.8268333333,7.12133333333,8.866,15.7155,7.57916666666,7.33219444445,12.7661666667
755.36,7.44266666666,31.158,35.0403333333,26.491,6.68383333333,8.63566666665,15.3701666667,7.37516666666,7.09677777779,12.4134166667
755.67,7.45619444445,30.8398333334,34.6705,26.3083333333,6.65633333333,8.74516666665,15.3581666666,7.63933333333,7.22636111112,12.3484166666
755.99,7.08533333333,30.7516666666,34.6278333333,26.02,6.34066666667,8.57816666665,14.9116666667,7.37166666666,7.16069444445,12.1251666666
756.30,6.77505555555,30.857,34.475,25.645,5.642,8.37783333335,14.435,7.00616666666,6.99127777779,11.6883333334
756.62,6.22580555555,30.4811666667,34.0333333333,25.5211666667,5.05666666667,8.214,14.0455,6.8365,6.62561111112,10.9285833333
756.93,5.79219444445,30.6445,34.0993333333,25.6121666666,4.8145,8.0295,14.0228333333,6.50433333333,6.27536111112,10.75925
757.24,5.91502777779,30.6153333334,34.095,25.9256666667,4.89083333333,8.06433333335,14.1128333334,6.54883333333,6.57102777778,11.3088333333
757.56,5.92883333333,30.3776666667,33.9528333334,26.1008333333,5.0305,8.09083333335,14.0543333333,6.53816666667,6.52827777779,11.2666666666
757.87,5.88525,30.081,34.0676666666,25.787,4.69133333333,8.01816666665,13.5116666667,6.1225,5.99519444444,10.7839166667
758.18,6.48680555555,30.4171666667,34.5501666667,26.3875,5.66183333334,8.53366666665,14.099,6.4855,6.53016666667,11.1716666667
758.50,6.67188888888,30.373,34.547,26.2506666666,5.78,8.99233333335,14.4093333334,6.5125,6.7025,10.8978333334
758.81,6.73180555555,30.2213333334,34.2256666667,26.1135,5.8925,9.03383333335,14.329,6.22416666666,6.64947222221,10.9108333333
759.13,6.75275,30.5176666667,34.3773333333,26.371,6.06516666667,9.02833333335,14.358,5.96983333333,6.72211111111,11.0718333333
759.44,7.00219444445,30.2343333334,34.3516666667,26.5055,6.13933333334,8.76183333335,14.4543333333,5.9415,6.78780555555,10.9745
759.75,7.14719444445,30.0478333333,34.2201666667,26.5083333333,6.19283333333,8.744,14.5008333334,6.06916666666,6.91475,11.0591666667
760.07,7.08411111111,29.9106666667,34.3645,26.2105,6.304,8.52,14.2243333333,5.865,6.75997222221,11.2585
760.38,7.10030555555,29.6198333333,34.2943333333,26.2488333333,6.42916666667,8.7375,13.987,5.90516666667,6.95475,11.3441666667
760.69,7.49983333334,29.836,34.6646666667,26.5256666667,6.98033333333,9.1465,14.3063333334,6.448,7.26686111112,11.56075
761.01,7.25227777779,30.0581666667,34.9498333333,26.5845,6.905,8.84733333335,14.327,6.45833333334,7.02630555555,11.7606666666
761.32,7.27188888888,30.2176666667,35.17,26.8813333333,7.257,9.3135,14.7751666667,6.79616666667,7.31991666667,12.199
761.63,7.26102777778,30.309,35.1373333333,27.0461666666,7.08316666666,9.55683333335,14.6971666667,7.03666666667,7.5495,12.283
761.94,7.6985,30.6378333333,35.5986666667,27.7396666667,7.63733333334,10.0101666667,15.1731666666,7.60583333333,8.12641666667,12.9998333334
762.26,7.98736111111,31.0443333333,35.8408333333,28.057,7.88083333333,10.4551666666,15.2821666666,7.97216666669,8.31722222222,13.2451666667
