wavelength,Back_DonAlbf,Belly_DonAlbf,Breast_DonAlbf,Crissum_DonAlbf,Crown_DonAlbf,DorTail_DonAlbf,Patch10_DonAlbf,Patch11_DonAlbf,Patch12_DonAlbf,Rump_DonAlbf,Throat_DonAlbf,WingTip_DonAlbf
192.09,7.73808333333,-0.562125,-7.14283333333,0.327761705684,-9.19316666667,-1.488125,1.65341666668,5.47797101449,-16.6666666667,4.13358333334,-7.73808333332,7.80433333333
192.47,1.70608333333,-7.08666666667,-13.6483333333,-2.60190078038,-13.2546666667,-8.72691666665,-0.72175,-1.57192028985,-18.6351666667,-2.395,-11.9423333333,0.590499999992
192.85,1.61283333333,-10.3830416667,-15.9273333333,1.40513447603,-10.6183333333,-8.5685,3.62908333335,-2.37842028985,-14.1129166667,1.94904166667,-11.96225,5.64525000001
193.23,-5.10049999997,-16.487,-22.84475,-6.50381493868,-19.25275,-17.6724166667,-1.14924999998,-10.2666050725,-21.1205833333,-1.54441666668,-18.82175,-1.14933333334
193.61,-12.74925,-22.6495416667,-31.4101666667,-9.56145819397,-27.9913333333,-21.15375,-8.68941666667,-17.3293297101,-27.0654166667,-7.30066666668,-25.7835,-8.97441666668
193.99,-13.264,-19.1666666667,-24.3056666666,-2.88038196767,-25.0695833333,-17.986125,-5.41666666666,-14.3327644927,-24.3056666667,-6.14595833333,-21.2499166667,-7.01383333333
194.37,-29.2168333333,-44.879625,-52.91175,-17.4944717113,-40.4619166667,-32.58025,-20.2810833333,-33.7697644927,-46.78725,-22.69075,-42.1688333333,-21.988
194.75,-56.6403333333,-78.7107083333,-83.98425,-33.8375054348,-69.2706666666,-53.1248333333,-42.3175833333,-65.8456413043,-71.8747499999,-44.0100416667,-68.229,-39.0624166667
195.13,-92.2100833333,-129.619708333,-126.268083333,-51.840294175,-110.688416667,-73.8226250001,-71.9202499999,-113.067148551,-111.775333333,-70.8332083332,-108.152166667,-63.7679166665
195.51,-113.068166667,-138.257833333,-141.856,-69.2296291807,-129.73475,-94.3182916666,-79.3562499999,-135.005025362,-127.840916667,-92.5188750001,-131.0605,-84.4696666667
195.89,-104.16675,-118.206666667,-129.891333333,-65.0734902453,-122.2825,-81.7029583334,-69.9275833332,-130.31657971,-119.021666667,-83.5144583333,-116.30425,-85.8694999999
196.27,-117.88625,-140.345333333,-151.626,-70.7578933945,-128.252166667,-68.0896666667,-74.9999166666,-159.623561594,-132.723583333,-93.6992916665,-120.731666667,-104.878083333
196.65,-138.235416667,-170.95575,-172.549,-88.4336532887,-144.853,-66.9115833333,-94.1176666667,-190.69681884,-158.5785,-106.004875,-134.803833333,-121.568666667
197.03,-108.531666667,-129.365125,-129.563416667,-67.3498602285,-105.555583333,-36.01175,-76.5872499999,-151.095532609,-122.023916667,-85.7142916668,-101.785666667,-102.579333333
197.40,-71.7687500001,-86.224625,-87.2450833333,-29.3897307692,-62.2449999999,2.38087500008,-47.4489166666,-106.8175,-76.8708333333,-49.4897499999,-73.4693333332,-67.0069166668
197.78,-230.416666667,-250.0,-252.5,-104.543617614,-175.416666666,-16.4583333332,-135.833333333,-304.800724638,-226.666666666,-151.666666667,-209.583333333,-201.25
198.16,1727.77775,1830.55566667,1880.55566666,870.735985228,1308.33325,199.999916667,902.777750001,2230.79703261,1597.22216667,1038.88895833,1597.22225,1491.66666667
198.54,981.944333334,893.749958333,870.833416667,459.403996934,701.388916667,154.166625,476.38875,1200.06033696,754.166583333,479.166666667,759.722249999,806.944583335
198.92,6458.33333333,5383.33333333,5466.66666666,3434.29487179,4425.0,912.5,3508.33333333,7408.33333333,5266.66666666,3275.0,4925.0,5433.33333333
199.30,-483.974333333,-386.538291667,-429.487333333,-240.616074275,-353.205166667,-40.7050416667,-292.948666667,-536.148347826,-401.282166667,-238.140791667,-377.564166667,-434.615416666
