wavelength,Back_DacNigf,Belly_DacNigf,Breast_DacNigf,Crissum_DacNigf,Crown_DacNigf,DorTail_DacNigf,Rump_DacNigf,Throat_DacNigf,WingTip_DacNigf
760.07,17.7383333333,46.008,32.246,40.8353333333,14.7713333333,17.3503333333,20.2703333333,30.6926666667,15.2843333333
760.38,17.5746666667,45.847,31.8583333333,40.77,14.392,17.1713333333,19.8883333333,30.244,14.501
760.69,17.559,46.2383333333,31.7973333333,40.996,13.929,16.9536666667,19.761,29.9053333333,14.131
761.01,17.2523333333,46.067,31.5683333333,40.5753333333,13.3726666667,16.507,19.5343333333,29.4843333333,13.3273333333
761.32,17.209,46.2766666667,31.7796666667,40.677,13.4856666667,16.4613333333,19.5983333333,29.4193333333,13.1923333333
761.63,17.2213333333,46.53,31.4136666667,40.572,13.737,16.5386666667,19.9513333333,29.6786666667,13.3813333333
761.94,17.572,46.1866666667,31.2206666667,39.4513333333,14.0333333333,16.2686666667,19.904,29.657,13.4843333333
762.26,17.5116666667,45.5926666667,30.4386666667,38.939,13.7913333333,16.241,19.4893333333,29.26,13.805
762.57,17.8993333333,45.547,30.4023333333,38.918,13.761,16.7296666667,20.05,29.5723333333,14.264
762.88,18.0346666667,45.3606666667,30.2323333333,38.7573333333,13.523,16.8553333333,19.8466666667,29.3446666667,14.52
763.20,18.2013333333,45.3363333333,30.3953333333,38.7316666667,13.2806666667,17.1146666667,19.6103333333,29.6066666667,14.511
763.51,18.0043333333,45.0706666667,30.493,38.3806666667,13.2746666667,17.277,19.4013333333,29.1546666667,14.3663333333
763.82,18.547,45.694,30.8023333333,38.7463333333,13.755,17.657,19.8363333333,29.6193333333,14.669
764.14,18.6613333333,45.595,30.771,38.9023333333,14.2626666667,17.983,19.96,29.4723333333,14.9526666667
764.45,18.794,45.9416666667,30.7026666667,39.5066666667,14.6696666667,18.3076666667,20.097,29.47,15.9143333333
764.76,18.8996666667,46.1076666667,30.332,39.3606666667,14.5926666667,18.1916666667,20.0343333333,29.4533333333,15.8003333333
765.07,18.963,45.9673333333,30.452,39.6626666667,14.6723333333,18.4096666667,19.8316666667,29.659,15.654
765.39,18.8373333333,46.1853333333,30.9786666667,40.345,14.5883333333,18.9556666667,20.3103333333,30.1106666667,15.6403333333
765.70,18.9023333333,46.7616666667,31.1326666667,40.3536666667,14.793,18.8743333333,20.1283333333,30.0876666667,15.531
766.01,18.317,46.935,30.8426666667,40.1563333333,14.4123333333,18.376,19.3636666667,29.5903333333,14.972
766.32,19.07,47.1753333333,31.055,40.465,14.966,18.4303333333,19.6003333333,29.9313333333,14.9966666667
766.64,19.0733333333,47.626,31.303,40.9956666667,15.4223333333,18.713,19.9243333333,30.1896666667,14.997
766.95,19.8293333333,48.0816666667,31.9353333333,41.7563333333,16.0103333333,19.1473333333,20.1536666667,30.878,16.607
767.26,19.167,47.128,31.755,41.1343333333,15.124,18.6523333333,19.3083333333,30.1066666667,16.259
767.57,19.3126666667,47.5193333333,32.0103333333,40.6836666667,15.0863333333,18.6143333333,19.423,30.7793333333,16.7216666667
767.88,19.045,47.3353333333,31.996,40.0193333333,14.6133333333,18.2616666667,19.3503333333,30.7353333333,15.4156666667
768.20,18.4523333333,46.409,31.786,39.9203333333,14.0673333333,17.8966666667,18.6706666667,30.278,14.762
768.51,18.295,46.2976666667,31.57,39.7846666667,13.752,16.6976666667,18.44,29.7033333333,14.292
768.82,17.2813333333,46.2136666667,30.55,38.77,12.794,15.8793333333,16.742,28.3493333333,13.01
769.13,17.553,46.038,30.752,39.4163333333,12.5026666667,16.2516666667,16.3413333333,28.4623333333,12.6376666667
769.44,17.2676666667,45.469,30.8366666667,39.3436666667,12.6443333333,16.4816666667,15.7883333333,28.2706666667,12.6213333333
769.76,15.5983333333,45.0376666667,30.8166666667,38.319,12.1556666667,16.3106666667,15.527,27.991,12.6303333333
770.07,15.609,44.566,30.732,37.3206666667,11.573,15.4386666667,15.001,27.571,13.105
770.38,15.031,43.9853333333,29.668,36.7036666667,11.0453333333,14.7603333333,14.5143333333,27.6506666667,11.021
770.69,15.719,45.186,30.2246666667,36.77,11.8773333333,14.8093333333,14.9356666667,28.7336666667,11.777
771.00,15.6726666667,44.952,30.8286666667,36.7413333333,11.5673333333,14.201,14.64,28.9696666667,11.5413333333
771.32,16.4203333333,45.4213333333,31.4656666667,37.147,12.685,15.0196666667,15.4863333333,29.624,12.5553333333
771.63,17.059,46.18,31.9466666667,37.232,13.2913333333,15.3063333333,16.693,30.429,13.265
771.94,17.5066666667,46.6403333333,32.5456666667,36.9026666667,13.8056666667,16.4563333333,17.0343333333,30.866,14.1733333333
772.25,18.446,45.8396666667,33.412,38.174,14.9923333333,17.2423333333,18.446,32.025,15.332
772.56,18.6626666667,46.319,33.3853333333,38.7506666667,15.7076666667,17.4183333333,19.4403333333,32.6853333333,16.2516666667
772.87,19.2543333333,46.5196666667,34.1213333333,39.3746666667,15.524,17.4416666667,20.515,32.887,16.233
773.18,20.8626666667,47.634,34.771,40.4443333333,16.3133333333,18.6666666667,21.4116666667,33.3856666667,17.4903333333
773.50,20.4216666667,47.4306666667,34.7563333333,40.8696666667,16.2846666667,19.025,21.7126666667,33.4383333333,16.5483333333
773.81,20.3466666667,47.4666666667,34.96,41.28,16.3733333333,19.0133333333,22.0,32.4533333333,16.5333333333
774.12,19.7556666667,46.327,34.7653333333,41.448,15.8846666667,19.2256666667,22.2486666667,31.901,16.3083333333
774.43,19.1536666667,45.8633333333,33.9983333333,41.1016666667,15.536,19.4733333333,22.3466666667,31.418,15.5363333333
774.74,18.7993333333,45.3953333333,33.605,41.13,14.724,19.424,22.168,31.187,15.3216666667
775.05,18.172,44.8003333333,33.6073333333,41.5706666667,14.3133333333,19.212,21.4286666667,30.7606666667,14.614
775.36,16.7216666667,43.592,33.0306666667,41.2263333333,13.256,18.4266666667,20.572,30.088,13.5586666667
775.67,16.032,44.233,32.8643333333,40.149,12.5826666667,17.9636666667,19.9503333333,29.194,13.1343333333
775.98,16.0763333333,44.0136666667,33.6143333333,39.095,12.1696666667,17.8186666667,20.0113333333,28.6116666667,12.7036666667
776.30,16.112,43.5663333333,33.056,38.103,12.3126666667,17.2766666667,19.1626666667,28.4803333333,12.7843333333
776.61,15.1233333333,42.649,32.4636666667,37.5143333333,11.476,16.1896666667,18.6026666667,28.1426666667,11.3356666667
776.92,14.6096666667,42.298,31.716,36.255,11.4326666667,15.5176666667,18.0426666667,27.6593333333,11.6876666667
777.23,14.8563333333,42.2583333333,32.2783333333,35.7286666667,11.7476666667,16.481,18.192,29.1133333333,12.3463333333
777.54,14.6836666667,43.5343333333,32.6726666667,35.3733333333,11.954,15.8906666667,17.73,29.339,11.523
777.85,15.2463333333,43.6813333333,33.536,35.8843333333,12.8406666667,15.884,17.942,29.855,11.826
778.16,15.178,44.0453333333,34.238,36.2226666667,13.1053333333,15.2363333333,17.2213333333,30.064,11.792
778.47,14.53,44.3856666667,33.746,35.6326666667,13.4393333333,14.8833333333,16.6523333333,29.0303333333,12.2013333333
778.78,15.024,44.6536666667,33.5426666667,35.0056666667,13.2916666667,14.6656666667,16.6073333333,28.614,12.7243333333
