wavelength,Back_ThrGlaf,Belly_ThrGlaf,Breast_ThrGlaf,Crissum_ThrGlaf,Crown_ThrGlaf,DorTail_ThrGlaf,Patch10_ThrGlaf,Patch11_ThrGlaf,Rump_ThrGlaf,Throat_ThrGlaf,WingTip_ThrGlaf
312.96,12.5715,19.4671666667,16.4258333333,15.786099537,6.79766666667,11.8036666666,17.8558333333,13.8513333334,13.9415,11.8788333334,9.71458333335
313.33,12.538,19.13075,16.324,15.2544421296,6.726,11.662,17.5806666666,13.917,13.6273333333,12.2411666666,9.31575
313.70,12.0291666666,18.7303333333,16.1096666667,15.4369409722,6.23833333333,11.174,17.2316666666,13.7555,13.1355,12.0526666666,8.88258333333
314.07,12.8363333333,19.43525,16.7468333333,16.2020844907,6.67466666666,11.7226666667,17.8205,14.2946666667,13.9023333333,12.54,9.27883333335
314.43,13.216,19.7630833334,17.1875,16.4593599537,7.365,12.0771666667,18.2373333334,14.7296666667,14.6241666666,12.98,9.48083333335
314.80,13.1071666667,19.9959166667,17.2278333333,16.2662581018,7.328,12.136,18.4005,14.397,14.8241666667,12.5543333333,9.33816666665
315.17,13.9075,20.8355,17.8443333333,17.0591909722,7.81333333333,12.6953333333,19.2885,14.8013333333,15.661,12.9965,9.786
315.54,14.0896666667,20.98625,18.0031666666,17.0892511574,7.95766666667,12.8316666667,19.3133333334,14.5875,15.7145,12.937,10.076
315.91,14.6483333333,21.748,18.6761666667,17.9932939815,8.86666666667,13.8553333333,20.2538333333,15.2566666667,16.561,14.0755,11.2329166666
316.28,15.0568333333,21.72275,19.0145,18.0873877315,8.8935,13.8028333333,20.3843333333,15.6175,17.0846666667,14.6031666667,11.237
316.64,15.8961666667,22.2370833334,19.713,18.8320104167,10.0248333333,14.6301666667,21.1125,16.2771666667,17.9151666667,15.356,11.7205833333
317.01,16.2946666667,22.4984166667,19.8636666666,18.8638761574,10.8661666666,15.4001666666,21.1123333333,16.4983333334,18.4646666666,15.4355,12.18125
317.38,16.3811666666,23.1229166666,20.4476666667,19.4493645833,11.1823333333,16.0423333333,21.9546666666,16.6041666667,18.8693333333,15.4091666667,12.6625
317.75,16.6315,23.4505833334,20.71,19.3452152778,11.3081666666,16.4196666667,22.4841666666,16.7813333333,19.0943333334,15.766,13.0695
318.12,16.4186666667,23.8,20.8643333334,19.3150706018,11.8136666667,16.587,22.9455,16.9146666666,19.2351666666,16.507,13.4118333333
318.49,16.0063333333,23.6485833334,20.7695,19.3573379629,11.4896666666,16.6401666666,23.006,16.79,18.9293333334,16.4465,13.1319166666
318.85,15.546,23.3459166666,20.6776666667,19.2784039352,11.0015,16.0798333334,22.7943333334,16.569,18.4541666666,16.6221666666,12.9401666667
