wavelength,Back_ConSitm,Belly_ConSitm,Breast_ConSitm,Crissum_ConSitm,Crown_ConSitm,DorTail_ConSitm,Rump_ConSitm,Throat_ConSitm,WingTip_ConSitm
424.37,14.2661333333,8.50779999999,8.0902,6.67266666667,4.26766666667,6.36853333333,20.1128666667,5.598,6.2194
424.73,14.2323333333,8.50273333333,8.08546666667,6.66446666667,4.2566,6.3526,20.0674,5.59066666666,6.2069
425.08,14.1920666667,8.48813333334,8.05693333333,6.6396,4.23193333333,6.33526666667,20.004,5.56526666667,6.1782
425.44,14.173,8.51293333334,8.05286666667,6.66153333333,4.24226666667,6.3336,19.963,5.564,6.18166666667
425.80,14.1438,8.51953333333,8.0618,6.66906666667,4.2452,6.3234,19.9226,5.55546666666,6.17456666667
426.16,14.1610666667,8.56366666667,8.1098,6.7044,4.26346666667,6.35693333333,19.9213333333,5.5784,6.19536666667
426.51,14.1392666667,8.58906666666,8.1154,6.71066666667,4.2622,6.356,19.9104,5.59526666667,6.19203333333
426.87,14.1444,8.63033333333,8.1454,6.74266666667,4.27633333333,6.36873333333,19.8926666667,5.60486666667,6.20313333333
427.23,14.1296666667,8.67186666666,8.17733333333,6.7922,4.29306666667,6.37366666667,19.8600666667,5.62846666667,6.20786666666
427.58,14.1378666667,8.72173333334,8.2314,6.82533333333,4.31553333333,6.40246666667,19.8629333333,5.6554,6.24496666667
427.94,14.0936,8.72573333333,8.24093333333,6.78393333333,4.27806666667,6.3876,19.8238,5.63586666666,6.22446666667
428.30,14.0528666667,8.73906666667,8.25213333333,6.79913333333,4.2724,6.3806,19.7825333333,5.62173333333,6.21673333333
428.65,14.0411333333,8.75286666666,8.28873333333,6.8202,4.25653333333,6.36913333333,19.7768,5.6106,6.21446666667
429.01,14.0078,8.7754,8.31353333333,6.82286666667,4.23953333333,6.35066666667,19.7433333333,5.6216,6.2167
429.37,14.0023333333,8.80840000001,8.36146666667,6.84133333333,4.24886666667,6.36386666667,19.7432666667,5.64226666667,6.22663333333
429.72,14.0076666667,8.83040000001,8.40033333333,6.87126666666,4.26746666667,6.39633333333,19.7388,5.6512,6.24
430.08,13.9747333333,8.83593333334,8.41573333333,6.8848,4.27286666667,6.39706666667,19.702,5.66326666667,6.22483333333
430.44,13.9368666667,8.82193333334,8.405,6.886,4.23993333333,6.382,19.6453333333,5.6286,6.20656666667
430.79,13.8698666667,8.78846666667,8.38553333333,6.8378,4.19946666667,6.34866666667,19.5946666667,5.57686666667,6.15693333333
431.15,13.8532,8.81833333333,8.3884,6.8432,4.18706666667,6.35226666667,19.5752,5.5622,6.14706666667
431.50,13.769,8.76806666667,8.3434,6.80626666667,4.12473333333,6.3098,19.4954666667,5.51413333333,6.08716666667
