wavelength,Back_TanCyvm,Belly_TanCyvm,Breast_TanCyvm,Crissum_TanCyvm,Crown_TanCyvm,DorTail_TanCyvm,Patch10_TanCyvm,Patch11_TanCyvm,Rump_TanCyvm,Throat_TanCyvm,WingTip_TanCyvm
368.20,5.05677777778,50.2482222222,50.112,14.5031111111,4.13755555556,6.615,7.94311111111,5.43577777778,9.24911111112,6.62288888889,8.28455555556
368.56,5.09733333334,50.3958888889,50.2642222222,14.5457777778,4.212,6.59233333333,8.03466666666,5.52755555556,9.26711111112,6.738,8.36777777778
368.93,5.05155555556,50.3902222222,50.2125555555,14.5286666666,4.212,6.66088888889,8.01133333333,5.47355555556,9.20266666669,6.67611111111,8.34466666666
369.29,4.97222222222,50.2893333333,50.0496666667,14.4111111111,4.13222222222,6.50233333334,7.91488888889,5.35433333334,9.07688888891,6.56577777778,8.19644444444
369.65,5.161,50.2018888889,50.1068888889,14.639,4.41466666667,6.71322222222,8.18111111111,5.56766666667,9.19977777776,6.76366666667,8.328
370.01,5.40644444444,50.4156666667,50.1974444444,14.7778888889,4.545,6.91577777778,8.457,5.841,9.37000000002,6.97955555556,8.56155555556
370.38,5.41155555556,50.286,50.1082222222,14.6784444445,4.66188888889,7.00022222222,8.47555555555,5.90277777778,9.30877777778,6.99277777778,8.54122222222
370.74,5.346,50.0915555555,50.003,14.6203333333,4.75388888889,6.96533333333,8.45955555556,5.88633333333,9.28788888889,6.93888888889,8.44488888889
371.10,5.28188888889,50.038,49.8446666667,14.5031111111,4.61733333333,6.88488888889,8.36922222222,5.88488888889,9.22399999999,6.88777777778,8.34122222222
371.46,5.37311111111,50.037,49.8205555555,14.5661111111,4.71066666667,7.03388888889,8.57866666667,6.03133333333,9.25422222223,6.922,8.47533333333
371.83,5.25611111111,49.932,49.6571111111,14.3395555555,4.60233333333,6.91366666667,8.37455555556,5.92722222222,9.02533333332,6.78911111111,8.30944444444
372.19,5.25177777778,50.0245555555,49.6574444445,14.3091111111,4.54811111111,6.99044444445,8.40233333333,5.97433333333,9.02277777776,6.86244444445,8.25266666667
372.55,5.16777777778,49.8486666667,49.3614444445,14.1631111111,4.47255555556,6.92388888889,8.26688888889,5.80433333333,8.79300000001,6.77466666667,8.16544444445
372.92,5.29288888889,49.7702222222,49.385,14.1264444444,4.568,6.98833333333,8.34833333333,5.92244444445,8.78077777777,6.88266666667,8.24266666667
373.28,5.233,49.8297777778,49.5164444444,14.0877777778,4.57355555556,6.972,8.31811111111,5.95622222222,8.66133333333,6.87244444444,8.31944444445
373.64,5.11533333333,49.8331111111,49.4333333334,13.9255555555,4.40288888889,6.88333333333,8.19,5.91044444444,8.47455555555,6.82777777778,8.237
374.00,5.13777777778,49.8241111111,49.5356666667,13.9281111111,4.38166666667,6.84111111111,8.14444444445,5.93377777778,8.31533333335,6.84955555555,8.17266666667
374.37,5.02777777778,49.7304444444,49.4864444444,13.8495555556,4.16322222222,6.59,7.97822222222,5.81944444445,8.18744444445,6.72622222222,8.09477777778
374.73,5.01622222222,49.5765555555,49.3751111111,13.8801111111,4.17311111111,6.65655555555,8.108,5.92244444444,8.17799999999,6.78488888889,8.18077777778
375.09,4.907,49.2875555556,49.2591111111,13.7447777778,4.09911111111,6.56733333333,7.93933333333,5.78922222222,7.92966666667,6.66244444444,8.02177777778
375.45,4.79266666667,49.1,49.1958888889,13.614,3.97377777778,6.38233333333,7.74555555555,5.68866666667,7.76422222222,6.58188888889,7.87188888889
375.81,4.92911111111,49.1712222222,49.4177777778,13.8642222222,4.13911111111,6.59455555556,7.96644444445,5.84522222222,7.913,6.78777777778,8.09177777778
376.18,4.69711111111,48.9563333333,49.314,13.6204444445,3.91488888889,6.38288888889,7.65066666667,5.55933333334,7.56822222222,6.58122222222,7.91066666667
376.54,4.91666666667,49.1012222222,49.6388888889,13.8274444444,4.079,6.62655555556,7.87266666667,5.77366666667,7.77755555556,6.82155555556,8.10444444444
376.90,4.89622222222,48.999,49.5153333333,13.8766666667,4.07411111111,6.61788888889,7.84644444445,5.76566666667,7.72788888889,6.80366666667,8.08966666667
377.26,4.83877777778,48.6157777778,49.2266666667,13.7691111111,3.99677777778,6.52066666667,7.72911111111,5.62944444445,7.60255555555,6.75933333333,8.00311111111
377.63,4.96477777778,48.6156666667,49.3421111111,13.854,4.07288888889,6.60455555556,7.83155555556,5.74811111111,7.70866666667,6.83633333333,8.10577777778
377.99,5.01444444444,48.3731111111,49.2084444444,13.8414444444,4.18055555556,6.71611111111,7.874,5.748,7.77811111111,6.818,8.18922222222
378.35,5.09822222222,48.2858888889,49.0904444445,13.888,4.30655555556,6.85677777778,7.88444444445,5.78744444444,7.79066666667,6.91133333333,8.25366666667
378.71,5.21655555556,48.2058888889,49.0666666667,13.9021111111,4.31811111111,6.87933333334,7.89322222222,5.78366666666,7.77422222222,6.98655555555,8.30222222222
379.07,5.34866666667,48.1637777778,49.07,14.01,4.45311111111,6.97911111111,7.99422222222,5.90188888889,7.85588888889,7.08466666666,8.47955555556
379.44,5.314,48.0315555556,48.9214444444,13.9617777778,4.37277777778,6.95333333333,7.93188888889,5.80277777778,7.75222222222,6.99322222222,8.465
379.80,5.32722222222,47.8493333333,48.7186666667,13.9023333333,4.30555555556,6.84977777778,7.77244444444,5.74555555555,7.65244444445,6.94877777778,8.42711111111
380.16,5.48555555555,47.6703333333,48.581,14.0186666667,4.46388888889,7.00477777778,7.884,5.88022222222,7.80066666667,7.051,8.60744444444
380.52,5.38044444445,47.3168888889,48.2134444444,13.893,4.34166666667,6.87266666667,7.719,5.84866666667,7.68788888889,6.915,8.51044444445
380.88,5.29533333333,47.1078888889,48.1753333333,13.7746666666,4.24477777778,6.76388888889,7.67677777778,5.76,7.59955555555,6.90377777778,8.443
381.24,5.32366666667,47.1877777778,48.3031111111,13.9048888889,4.29277777778,6.89266666667,7.75888888889,5.881,7.654,6.96155555556,8.49422222222
381.61,5.207,46.8164444445,47.9863333333,13.7371111111,4.16633333333,6.73877777778,7.52344444444,5.70711111111,7.45222222222,6.79422222222,8.325
381.97,5.121,46.6976666667,47.8812222222,13.6467777778,4.01922222222,6.61322222222,7.35655555556,5.61288888889,7.25766666667,6.728,8.20277777778
382.33,5.05133333334,46.5561111111,47.8188888889,13.5595555556,3.91444444444,6.52588888889,7.30422222222,5.59022222222,7.17066666667,6.66744444444,8.10077777778
382.69,4.89511111111,46.4324444444,47.6254444445,13.4448888889,3.78777777778,6.39322222222,7.14277777778,5.50411111111,7.01288888889,6.521,7.957
