wavelength,Back_LoxNocf,Belly_LoxNocf,Breast_LoxNocf,Crissum_LoxNocf,Crown_LoxNocf,DorTail_LoxNocf,Rump_LoxNocf,Throat_LoxNocf,WingTip_LoxNocf
788.07,13.7492666667,33.7412,26.0246666667,40.5652666667,15.7602,21.0660666667,16.2123333334,19.4428,22.0876
788.38,14.1141333333,33.8997333333,26.1932666667,40.9709333333,16.0395333333,21.2013333333,16.3673333333,19.8179333333,22.1522
788.69,14.2678,33.7684,26.1750666667,40.8700666667,15.9436,21.0674666667,16.3626,19.9636,22.0946666667
789.00,14.6820666667,33.9956,26.5496,40.9932666667,16.1882,21.3283333333,16.5515333333,20.3958,22.5882666666
789.31,14.9152666667,34.4123333334,26.8056666667,41.3774,16.493,21.4674,16.7382,20.9482666667,22.7752
789.62,15.0383333333,34.7404,27.1591333333,41.651,16.5777333334,21.6180666667,17.0079333333,21.1628,22.9298
789.92,15.1728,34.8501333334,27.3371333333,41.3450666667,16.7190666666,21.6131333333,17.0374,21.1523333333,23.1090666667
790.23,15.8087333333,35.4052666667,27.7392,41.6946,17.3787333333,22.2179333333,17.4945333333,21.5571333333,23.8524
790.54,15.8072666667,35.2993333333,27.6302666667,41.5147333333,17.4695333333,22.1788,17.6346,21.4105333333,23.7889333333
790.85,15.2561333333,34.6182666667,27.1244,40.7392666667,16.8934666667,21.4169333333,17.0430666667,20.7832666667,23.0714
791.16,15.1854666667,34.1684666667,26.9063333334,40.3332,16.9753333333,21.1415333333,16.9354,20.6306,22.9269333333
791.47,15.5326666667,34.5586,27.4758666667,41.0334,17.3434666667,21.4998,17.1102,20.9464666667,23.5528666666
791.78,15.4412666667,34.7741333333,27.6348,40.8339333333,17.2248666667,21.6630666667,16.8404666667,20.9172,23.6506666667
792.08,15.3667333333,34.9675333333,27.8134,40.5385333333,17.2331333333,22.0658666667,16.9452666667,21.0586,23.742
792.39,15.3436666667,35.3861333333,28.305,40.7862666667,17.5942666667,22.3022,17.2879333333,21.2900666667,23.7805333333
792.70,15.2677333334,35.1120666667,28.5067333333,40.7644,17.7164666667,22.4722666667,17.3107333333,21.156,23.9962666667
793.01,15.1222666667,34.9324666667,28.3986,40.7402666667,17.7746666667,22.7521333333,17.0344,21.1768666667,23.9810666667
793.32,15.8362666667,35.5570666667,29.0796666667,41.4621333333,18.4670666667,23.3451333333,17.5964,21.9494666666,24.4998666667
793.62,16.2344,36.2012,29.6527333333,42.1781333333,18.9463333333,23.9736,17.9683333333,22.7215333333,25.1642
793.93,16.0444,36.1197333333,29.3304666667,42.1453333333,18.5478666667,23.8943333333,17.4635333333,22.6214,24.8136666667
794.24,16.7087333333,36.8394,29.9392,42.8758,19.3231333333,25.0046,18.2212,23.2446,25.7190666667
794.55,17.4405333333,37.6114666667,30.82,43.294,19.8984666667,25.835,18.9606,23.7884666667,26.2047333333
794.86,17.7444,37.9214666667,30.8646666667,43.1949333333,20.0954,26.1810666667,19.3328,23.9119333333,26.1448666667
795.16,17.838,37.6755333333,30.6522,43.2318666667,20.0135333333,26.2062666666,19.4177333333,23.8726666667,25.8316666667
795.47,18.013,37.3796,30.4548666667,43.4802666667,19.9909333333,26.2728666667,19.4930666667,23.8423333333,25.621
795.78,17.9497333333,36.8594666667,29.8878,43.0192666667,19.5424,25.7918666667,18.9952,23.4231333334,25.1188666667
796.09,17.9865333333,36.7874666667,29.6555333333,42.8636,19.2304,25.3064,18.7518,23.208,24.6487333333
796.40,18.3423333333,36.9206666667,29.8617333333,42.7896666667,19.3226,25.2405333333,18.9928666667,23.2130666667,24.6882
796.70,18.0000666667,36.4060666667,29.3597333333,42.3663333333,19.0417333333,24.6976666667,18.9757333333,22.861,24.2824666667
797.01,17.5464666667,36.1274,28.9214,41.9495333333,18.6206,24.1821333333,18.8594,22.343,23.8506
797.32,17.9418666667,36.6756666667,29.4453333333,42.0940666667,19.0335333333,24.7203333333,19.4987333333,22.8590666667,24.3356
797.63,17.7476666666,36.5626,29.2538,42.0262,18.7155333334,24.3736666667,19.4436,22.6685333333,24.1021333333
797.93,17.7244666667,36.3521333333,28.9512,42.1430666667,18.9101333333,24.2680666667,19.3387333333,22.6994,23.9808666666
798.24,17.547,35.7543333333,28.6106,41.7240666667,18.6382,23.801,19.2022666667,22.5494,23.879
798.55,17.235,35.5926,28.4714666667,41.5727333333,18.5618,23.5908666667,19.0720666667,22.1619333334,23.8042666667
798.85,17.3389333333,35.9803333333,28.6834666667,41.6712666667,19.0102666667,23.4455333333,18.9543333333,22.2969333333,24.1223333333
799.16,16.8562666667,35.8132,28.4826,41.5125333333,18.6913333333,23.2953333333,18.8384,21.9677333333,24.1158
799.47,16.5544,35.7132666667,28.2484666666,41.4766,18.7002,23.3406666667,19.006,21.8161333333,24.1815333333
799.78,16.6232666667,35.8816,28.1695333333,41.8015333333,18.9402,23.5983333333,19.4894,21.9989333333,24.4268666667
800.08,16.4823333333,35.5846,28.1174,41.4846,18.6753333333,23.508,19.3158666667,21.5817333333,24.3133333333
800.39,16.1848666667,34.8398,27.8698,40.8853333333,18.4249333333,23.013,18.9336666667,21.35,23.8444
800.70,16.5094,34.8524,27.9744666667,41.0620666667,18.5792,23.1266666667,19.0854666667,21.2782,24.0412
801.00,16.5969333333,34.9650666666,28.3133333334,41.2288,18.8259333333,23.1991333333,19.2488,21.3285333333,24.3183333333
801.31,16.1207333334,34.8006,27.7887333333,40.7972,18.0299333333,22.7316,18.5478,20.8733333333,24.1788
801.62,16.0142666667,34.6686666667,27.7786,40.7718,18.0960666667,22.6351333333,18.2991333333,20.8632,24.1686666666
801.92,16.499,34.9186666667,28.2063333333,40.9554,18.3230666667,22.8302666667,18.3739333333,21.4838,24.6037333333
802.23,16.5108666666,34.5441333333,27.8569333333,40.5313333333,17.9208666667,22.6872,18.3856666667,21.2720666667,24.613
802.54,16.9408,34.3889333333,28.0194666667,40.5124,18.2936666667,22.762,18.309,21.4041333333,24.7039333333
802.84,17.0377333333,34.6804,28.3925333333,40.8104,18.3846,22.7730666667,18.2952666667,21.5468666667,25.0040666667
803.15,16.5362,34.2804,28.1617333333,40.6012,17.7652666667,22.3888,17.4780666666,21.261,24.7619333333
803.46,17.0148666667,34.9797333333,28.664,41.3280666667,18.3265333333,23.1202,17.9324666667,22.0998666667,25.598
803.76,17.0839333333,35.1056666667,28.8943333334,41.7453333333,18.4606666667,23.5989333333,17.9782666667,21.9458666667,25.767
804.07,16.9572,35.3924666666,29.2255333334,42.1569333333,18.4458666667,23.6564,18.0710666667,22.1242,26.1448666667
804.38,16.7857333333,35.0324666667,29.0204666667,41.8722,18.0628,23.5388666667,18.0033333333,22.0022,25.8495333333
804.68,17.3074,35.1675333333,29.4718,42.2901333333,18.4874666667,24.1565333333,18.5142,22.6495333333,26.1194666667
804.99,17.5788666667,35.57,29.9022,42.709,18.4636666667,24.4136666667,18.6482666667,23.0184666667,26.2215333333
805.30,18.0245333333,36.136,30.1224666667,43.0910666667,18.7484,24.7673333333,19.4994666667,23.2598666667,26.6503333333
805.60,18.1402,36.2206666666,30.4676,43.1430666667,19.0808666666,25.204,19.8422,23.2082,26.9604
805.91,18.2567333333,36.5192666667,30.6064666667,43.5682,19.2021333333,25.2240666667,20.153,23.2622666667,26.9563333333
806.21,18.5676666667,36.5859333333,30.6029333333,43.5594666667,19.5152666667,25.7135333333,20.4146666667,23.4733333333,26.9950666667
806.52,18.7577333333,36.9264,30.7201333333,43.5448666667,19.7642666667,25.9652,20.6211333333,23.5555333333,27.1647333333
