wavelength,Back_NeoFasf,Belly_NeoFasf,Breast_NeoFasf,Crissum_NeoFasf,Crown_NeoFasf,DorTail_NeoFasf,Patch10_NeoFasf,Rump_NeoFasf,Throat_NeoFasf,WingTip_NeoFasf
220.10,107.111111111,89.3333333335,126.888888889,11.3333333333,126.222222222,109.555555556,103.555555555,85.5555555556,72.6666666665,160.222222222
220.47,134.625444444,118.346222222,158.139555556,35.9172222222,158.397888889,128.423777778,128.940444444,115.503888889,89.9225555557,191.472666667
220.85,156.228777778,143.434333333,194.949555555,32.66,192.929333333,162.289666667,165.656555556,141.077444445,108.754111111,235.016777778
221.23,166.666666667,151.709111111,207.692333333,15.8121111111,211.111,187.179444444,173.076888889,144.017111111,108.546888889,255.555555555
221.61,240.522666667,253.594777778,283.006444444,37.9085555553,298.039222222,283.660111111,264.052333333,214.378888889,173.856444444,376.470555555
221.98,308.080888889,323.232444444,344.444333333,-5.05044444443,374.747555556,366.666777778,376.767666667,295.959666667,171.717333333,518.181888889
222.36,-269.135777778,-277.777888889,-312.345777778,114.815,-367.901222222,-319.753222222,-324.691555556,-260.493666667,-96.2961111112,-513.580222222
222.74,-63.4258888889,-55.0926666666,-67.5925555556,86.5742222222,-88.8889999999,-63.8886666666,-56.4814444445,-39.3518888888,31.0185555556,-146.759111111
223.11,-46.2364444445,-42.2937777779,-34.7671111111,65.5914444444,-67.7418888888,-32.9747777778,-27.2401111111,-21.5052222222,48.3868888889,-95.3404444446
223.49,-89.6551111112,-74.7125555555,-58.2375555555,40.9962222221,-110.728,-57.8544444444,-56.3218888889,-50.5746666667,47.1265555556,-126.053666667
223.87,-110.727888889,-78.1608888889,-62.0691111111,36.7816666669,-116.475,-80.0765555554,-68.1993333333,-52.4904444445,39.4635555555,-121.456111111
224.24,-121.146777778,-81.3619999999,-81.7204444446,20.0717777777,-123.656,-97.8494444446,-84.5876666668,-77.777888889,11.1111111111,-102.508888889
