wavelength,Back_PooAltf,Belly_PooAltf,Breast_PooAltf,Crissum_PooAltf,Crown_PooAltf,DorTail_PooAltf,Patch10_PooAltf,Patch11_PooAltf,Patch12_PooAltf,Patch13_PooAltf,Rump_PooAltf,Throat_PooAltf,WingTip_PooAltf
184.11,8.187,74.269,53.2163333333,-70.7603333333,-14.62,87.7193333333,-3.50866666667,112.281,62.5733333333,-38.5963333333,-6.43266666667,59.0643333333,-102.339333333
184.49,13.7253333333,67.157,45.588,-49.0196666667,5.88266666667,72.549,1.47066666667,102.450666667,54.902,-22.5486666667,9.80433333333,39.216,-78.4313333333
184.87,21.3676666667,65.812,51.2823333333,-32.0513333333,19.231,76.0683333333,9.40166666667,91.453,52.9913333333,-15.8123333333,13.675,41.0256666667,-66.6666666667
185.25,14.6893333333,68.9266666667,62.7116666667,-60.452,9.60466666667,96.0453333333,-14.1243333333,107.344333333,49.1523333333,-39.548,-1.13,37.2883333333,-99.435
185.63,11.111,60.1853333333,61.574,-40.7406666667,19.4443333333,86.1113333333,-12.5,94.4443333333,56.4816666667,-23.6113333333,12.5,28.2406666667,-75.926
186.01,13.615,53.5213333333,57.277,-48.8263333333,23.474,84.5073333333,-23.0043333333,84.0376666667,49.296,-18.7796666667,7.51166666667,16.9016666667,-82.629
186.39,-9.77,45.4023333333,37.3563333333,-84.4826666667,-4.59766666667,82.7586666667,-58.6206666667,85.6323333333,32.1836666667,-44.8276666667,-13.2183333333,-17.816,-122.988666667
186.77,-17.037,40.0,47.4076666667,-125.926,-42.2223333333,85.926,-94.074,89.63,11.852,-68.889,-22.963,-56.2963333333,-165.185333333
187.15,-40.9526666667,0.0,35.238,-173.333333333,-85.7143333333,80.9523333333,-133.333333333,107.619,-1.90466666667,-99.0476666667,-21.905,-95.238,-219.047666667
187.53,-40.8603333333,-13.9786666667,40.8603333333,-189.247333333,-83.871,78.4946666667,-135.484,88.1723333333,15.0536666667,-119.354666667,-33.3333333333,-84.9463333333,-224.731333333
187.91,-29.8853333333,-31.0343333333,27.586,-203.448,-63.2183333333,71.2643333333,-157.471,81.6093333333,22.9886666667,-145.977,-36.7816666667,-89.6553333333,-222.988333333
188.29,5.128,-46.1536666667,34.6153333333,-229.487,-42.308,93.5896666667,-161.538666667,88.4613333333,30.7693333333,-135.897333333,-5.128,-78.205,-210.256333333
188.67,-59.524,-123.809666667,-30.9523333333,-480.952333333,-150.0,145.238,-357.143,80.9523333333,11.905,-316.666666667,-50.0,-238.095333333,-383.333666667
189.05,-10.0,-190.0,-50.0,-613.333333333,-176.666666667,200.0,-520.0,126.666666667,50.0,-350.0,53.3333333333,-310.0,-436.666666667
189.43,49.4253333333,-34.483,11.4943333333,-145.977333333,-19.5403333333,86.2066666667,-136.781666667,71.2643333333,71.2643333333,-79.3106666667,90.8046666667,-66.6666666667,-97.701
189.81,306.666666667,-346.666666667,-26.6666666667,-786.666666667,-180.0,353.333333333,-813.333333333,446.666666667,200.0,-426.666666667,580.0,-526.666666667,-720.0
190.19,-142.857333333,423.809333333,119.047666667,642.857333333,195.238,-171.428666667,604.761666667,-247.619,14.2856666667,300.0,-380.952333333,557.142666667,509.523666667
190.57,-47.9166666667,162.5,81.25,293.75,70.8333333333,-52.0833333333,254.166666667,-87.5,8.33333333333,133.333333333,-172.916666667,254.166666667,162.5
190.95,37.8376666667,104.504333333,81.982,149.549333333,54.054,3.60366666667,147.748,1.18423789293e-15,50.4506666667,88.2883333333,-23.4233333333,145.045,103.603666667
191.33,52.6316666667,101.754,92.105,139.474,54.3863333333,4.386,161.403333333,33.3333333333,58.772,88.5963333333,1.75466666667,153.508666667,116.667
191.71,74.1933333333,126.881666667,115.054,158.064333333,47.312,19.355,208.602,41.9353333333,73.1183333333,90.3226666667,-1.07533333333,209.677333333,161.290666667
192.09,92.157,129.412,127.451333333,158.823666667,62.7453333333,39.2153333333,205.882333333,76.4703333333,88.2353333333,78.4313333333,37.255,209.804,178.431333333
192.47,100.0,125.438666667,134.210666667,154.386,81.579,51.7546666667,214.035,86.842,110.526333333,64.9123333333,53.5086666667,211.403666667,184.210666667
192.85,88.2883333333,127.026666667,113.513333333,155.855666667,65.766,38.7386666667,222.522333333,75.6753333333,108.108,28.829,46.847,181.981666667,176.576666667
193.23,144.444666667,165.432333333,166.667,193.827333333,75.3086666667,30.864,283.950666667,118.518666667,165.432333333,25.926,79.012,230.864333333,241.975666667
193.61,157.291666667,153.125,168.75,189.583333333,73.9583333333,44.7916666667,237.5,97.9166666667,158.333333333,18.75,82.2916666667,222.916666667,219.791666667
193.99,277.083333333,239.583333333,316.666666667,372.916666667,68.75,41.6666666667,445.833333333,179.166666667,225.0,-6.25,133.333333333,377.083333333,358.333333333
194.37,253.030333333,186.363666667,303.030333333,301.515,92.4246666667,95.4543333333,384.848666667,177.272666667,171.211666667,46.9696666667,128.788,304.545666667,315.151666667
194.75,298.245333333,226.315666667,329.824666667,340.350666667,115.789,126.315666667,433.333,221.052666667,219.298333333,64.9123333333,154.385666667,378.947333333,363.158
195.13,-1722.222,-877.777666667,-1755.55566667,-1877.77766667,-377.777666667,-533.333333333,-2722.22233333,-1066.66633333,-822.222333333,122.222333333,-411.111,-2177.77766667,-1855.55566667
195.51,591.666666667,337.5,712.5,754.166666667,170.833333333,262.5,1108.33333333,450.0,362.5,-20.8333333333,108.333333333,887.5,616.666666667
195.89,166.666666667,113.58,256.790333333,256.790333333,87.654,86.4196666667,355.555333333,137.036666667,156.79,23.4566666667,41.9756666667,274.074333333,171.605
196.27,118.627,93.1373333333,206.862666667,194.117666667,68.6276666667,71.569,262.745333333,100.980333333,120.588,9.80366666667,2.941,224.509666667,98.039
196.65,233.333333333,137.778,400.0,322.222333333,75.5556666667,62.222,500.0,146.667,133.333333333,-26.6666666667,-44.4443333333,464.444666667,111.111
197.03,766.666333333,255.555333333,1911.11133333,1177.778,-122.222,22.222,1855.55566667,533.333666667,366.666666667,-277.778,-688.889,2177.77766667,100.0
197.40,187.879,145.454333333,581.818,381.818,-3.03033333333,63.6363333333,515.151666667,175.757666667,109.091,-48.4846666667,-187.878666667,721.212333333,42.424
197.78,169.444666667,127.777666667,508.333333333,347.222333333,13.889,22.2223333333,483.333333333,225.0,136.111,-77.7776666667,-166.666666667,677.777666667,19.4443333333
198.16,103.571333333,98.8093333333,232.143,175.0,21.4286666667,39.2856666667,220.238,157.142666667,108.333333333,-14.2853333333,-41.6666666667,358.333333333,54.762
198.54,67.5926666667,75.9256666667,161.111,125.926,8.33333333333,31.4813333333,150.925666667,108.333333333,83.3333333333,-26.852,-37.037,270.370333333,33.3333333333
198.92,50.476,78.0953333333,167.619,114.285666667,-3.80966666667,39.0476666667,161.904666667,122.857333333,88.5713333333,-50.4763333333,-39.048,255.238333333,42.857
199.30,5.128,82.0513333333,141.880333333,68.376,-26.496,53.846,123.931666667,117.948666667,87.1793333333,-58.9746666667,-25.641,218.803333333,29.9146666667
199.68,-35.632,77.0116666667,118.390666667,32.184,-80.4596666667,62.0686666667,95.402,90.8046666667,82.7586666667,-133.333333333,-72.4136666667,248.276,-6.89666666667
200.06,-37.3333333333,32.0,102.666666667,-20.0,-117.333333333,68.0,68.0,101.333333333,52.0,-178.666666667,-121.333333333,294.666666667,-34.6666666667
200.44,-34.6156666667,17.9486666667,79.487,-11.5386666667,-132.051,58.974,79.4873333333,94.8716666667,38.4616666667,-153.846,-98.718,285.897333333,-29.4873333333
200.82,-24.8063333333,27.1316666667,53.4883333333,8.52733333333,-64.341,69.7673333333,66.6666666667,72.868,48.0623333333,-59.69,-36.4343333333,183.721333333,-0.775333333333
201.19,17.9893333333,42.857,65.6083333333,26.984,-12.6983333333,82.0106666667,74.603,77.249,60.3173333333,-16.402,10.0526666667,155.555666667,37.0373333333
201.57,30.0,30.9526666667,64.762,31.905,-9.52366666667,86.1906666667,79.0476666667,73.3333333333,63.8096666667,-0.952333333333,17.619,137.143,33.8096666667
201.95,30.2223333333,30.6666666667,80.4443333333,35.5556666667,-5.33333333333,92.0,85.778,78.2223333333,62.222,15.111,21.3333333333,129.333333333,29.3333333333
202.33,25.4903333333,19.608,90.196,20.098,-4.412,94.6076666667,92.1566666667,79.412,64.7056666667,14.2156666667,17.157,127.451,14.7056666667
202.71,31.7203333333,8.602,99.462,3.22566666667,-11.8276666667,86.559,100.0,97.8493333333,73.656,29.0323333333,18.2796666667,139.247,6.98933333333
203.09,21.469,-3.95466666667,92.6553333333,-7.34466666667,-20.339,75.7063333333,101.130333333,90.3956666667,66.102,26.5536666667,5.64966666667,145.762666667,-9.60433333333
203.47,31.313,-8.081,92.4243333333,2.52533333333,-3.03,56.5656666667,89.3936666667,88.384,70.202,34.3433333333,-1.51533333333,132.323,-4.54533333333
203.85,47.297,17.1173333333,115.315333333,25.2253333333,24.3243333333,75.225,103.153,114.865,101.351666667,63.9636666667,33.3333333333,143.693666667,20.721
204.22,54.0083333333,43.038,129.113666667,40.5066666667,35.865,89.8733333333,111.392333333,125.316333333,116.455333333,75.1053333333,57.806,148.101333333,26.5823333333
204.60,58.1196666667,49.145,138.034,32.0513333333,39.7433333333,98.2903333333,121.367333333,134.188,121.795,69.658,57.6923333333,159.829,21.3676666667
204.98,61.3526666667,37.681,143.478333333,22.2223333333,22.2226666667,99.517,123.671333333,146.86,115.942,54.5896666667,42.9953333333,163.768,0.966333333333
205.36,59.896,39.0626666667,131.771333333,18.2293333333,7.29133333333,108.854333333,125.0,145.833,105.729,43.229,36.4583333333,168.229666667,-21.875
205.74,51.2436666667,39.3033333333,106.965333333,-0.995,13.9303333333,92.04,107.960333333,134.328,89.5523333333,27.861,26.3683333333,168.159,-26.8656666667
206.12,34.2723333333,32.8636666667,87.7933333333,-18.7793333333,3.75566666667,71.8313333333,83.5683333333,115.023666667,64.7886666667,2.817,13.615,153.051666667,-38.967
206.50,35.965,35.088,82.8946666667,-14.035,-7.456,69.2983333333,73.2456666667,101.754333333,47.807,-10.526,8.33333333333,149.122666667,-43.8596666667
206.87,20.9036666667,46.3276666667,87.0056666667,-23.1636666667,-41.808,78.5313333333,72.3163333333,103.389666667,22.599,-47.4576666667,-19.774,174.576333333,-77.966
207.25,18.4396666667,53.9006666667,100.709333333,-33.3333333333,-75.1773333333,95.0353333333,75.8866666667,129.787333333,19.1486666667,-67.376,-30.4963333333,220.567666667,-104.964333333
207.63,1.96066666667,76.4706666667,123.529333333,-46.0786666667,-119.608,141.176666667,96.0786666667,164.706,18.6273333333,-113.725333333,-45.0983333333,309.803666667,-167.647333333
208.01,-17.647,46.0786666667,113.725333333,-50.9806666667,-170.588333333,113.725666667,76.471,147.059,-27.451,-145.098,-82.353,290.196,-196.078666667
208.39,-40.741,39.815,97.2223333333,-54.6296666667,-180.555666667,81.4816666667,58.3336666667,113.888666667,-50.0003333333,-150.0,-103.704,270.370333333,-196.296333333
208.77,-43.3333333333,34.6666666667,58.6666666667,-46.6666666667,-132.0,46.0,12.0,66.0,-38.6666666667,-113.333333333,-92.0,178.0,-144.666666667
209.14,-53.4393333333,29.1003333333,45.5026666667,-33.3333333333,-93.6506666667,39.1536666667,-5.92118946467e-16,43.3863333333,-9.524,-100.529333333,-80.9523333333,135.449666667,-113.227666667
209.52,-63.8496666667,21.5963333333,50.235,-28.6386666667,-78.4036666667,22.5353333333,-6.10333333333,32.8636666667,-0.469333333333,-92.019,-75.5866666667,111.267333333,-102.347333333
209.90,-60.569,26.0163333333,54.0653333333,-11.3816666667,-69.9186666667,28.8616666667,2.96059473233e-16,29.2683333333,7.72366666667,-76.829,-64.2276666667,91.057,-89.8373333333
210.28,-54.4716666667,27.2356666667,48.7803333333,-5.28433333333,-66.6666666667,42.2766666667,6.91066666667,36.992,22.764,-64.2276666667,-52.4393333333,94.309,-77.6423333333
210.66,-47.3116666667,29.0323333333,48.387,7.88533333333,-44.0856666667,52.3293333333,18.9963333333,44.803,35.1256666667,-37.993,-32.258,83.154,-65.5913333333
211.03,-26.9446666667,31.6666666667,48.611,15.278,-13.0556666667,56.3886666667,33.3336666667,48.8886666667,49.4446666667,-15.278,-5.55533333333,69.167,-40.5556666667
211.41,-16.0583333333,33.3333333333,45.2553333333,14.8416666667,-5.596,51.8246666667,33.09,44.5253333333,42.8223333333,-11.1923333333,3.163,55.7176666667,-33.5766666667
211.79,-5.144,34.568,44.8556666667,17.0783333333,-1.44033333333,49.3826666667,30.4526666667,42.387,39.9176666667,-2.26333333333,9.671,50.8226666667,-24.897
212.17,1.82166666667,36.612,41.8943333333,20.0363333333,9.28966666667,46.9946666667,30.4186666667,40.2553333333,40.984,4.918,13.479,48.816,-18.215
212.55,4.71033333333,31.5216666667,37.8623333333,17.754,9.23933333333,45.8333333333,27.355,38.5866666667,39.8546666667,0.362,9.60133333333,43.478,-19.7463333333
212.92,4.93066666667,26.43,42.801,19.724,11.637,48.5206666667,30.1776666667,37.278,41.2226666667,0.789,13.6096666667,46.1536666667,-24.8523333333
213.30,20.0,38.018,47.7476666667,24.6846666667,17.838,54.2346666667,36.9366666667,45.2253333333,43.063,11.5313333333,27.5676666667,51.8916666667,-11.8916666667
213.68,29.1003333333,43.0333333333,48.501,26.2786666667,22.3986666667,61.3756666667,44.4443333333,50.7936666667,46.0316666667,18.8713333333,35.8023333333,59.083,-5.82033333333
214.06,31.6666666667,41.1113333333,46.852,24.2593333333,19.6296666667,60.185,45.5553333333,51.6666666667,43.7036666667,15.5556666667,37.037,58.1483333333,-11.111
214.44,31.6943333333,38.7976666667,46.084,20.9473333333,16.2113333333,53.9163333333,40.8016666667,44.2623333333,39.5266666667,10.3823333333,29.144,52.641,-16.2113333333
214.81,29.806,31.217,37.0373333333,13.5803333333,12.6983333333,43.21,33.3333333333,38.2713333333,34.9206666667,2.99833333333,20.9876666667,48.501,-17.813
215.19,33.3333333333,29.3196666667,34.0316666667,15.0086666667,10.1223333333,39.4413333333,26.8763333333,34.7293333333,33.857,1.22166666667,19.1973333333,49.5636666667,-17.801
215.57,36.447,31.685,39.194,15.5676666667,13.9193333333,44.1393333333,28.3883333333,35.8973333333,39.011,0.915666666667,17.216,56.7766666667,-16.4836666667
215.95,38.6063333333,30.5086666667,42.1843333333,15.2543333333,15.254,47.6456666667,34.4633333333,39.548,39.9246666667,0.941333333333,17.7023333333,58.3806666667,-12.806
216.32,39.114,28.3236666667,46.0503333333,12.524,10.212,48.9403333333,35.4526666667,41.6183333333,36.8013333333,-2.312,15.8,58.5743333333,-10.0193333333
216.70,38.2936666667,35.7143333333,50.7933333333,14.4836666667,16.865,53.9683333333,42.857,48.611,41.4683333333,2.976,22.8176666667,62.5,-8.532
217.08,38.828,37.3623333333,47.4356666667,18.132,15.0183333333,49.6336666667,43.4066666667,48.5346666667,43.4066666667,6.044,21.612,59.1573333333,-7.143
217.46,34.5526666667,28.6583333333,44.106,15.244,8.73966666667,43.2926666667,41.057,44.919,41.6663333333,-3.70074341542e-16,13.008,61.382,-17.8863333333
217.83,28.602,20.43,38.0646666667,8.60233333333,0.430333333333,32.258,33.5483333333,39.355,35.269,-12.9033333333,-0.645333333333,52.4733333333,-29.032
218.21,26.9736666667,19.0786666667,41.886,7.89466666667,-0.877,34.8686666667,34.8683333333,42.325,43.6403333333,-12.0613333333,-2.851,57.4563333333,-22.3683333333
218.59,28.859,23.7136666667,46.3086666667,15.4363333333,3.57933333333,46.0853333333,40.2683333333,50.3353333333,52.573,-3.803,8.054,66.443,-16.331
218.97,29.6566666667,28.6763333333,58.0883333333,21.3236666667,0.245333333333,54.167,44.1176666667,52.9413333333,58.3333333333,4.16666666667,14.9506666667,71.5686666667,-16.9116666667
219.34,23.577,26.0163333333,60.9756666667,16.26,-1.08366666667,57.7233333333,44.9866666667,53.9296666667,57.4526666667,3.794,10.569,69.1056666667,-21.6803333333
219.72,15.104,23.9586666667,54.1666666667,13.5416666667,-7.03133333333,50.7813333333,40.104,47.396,52.6043333333,-1.82266666667,7.55233333333,63.0206666667,-26.823
220.10,5.12833333333,25.926,47.5783333333,7.97733333333,-13.9603333333,42.1656666667,33.0483333333,40.456,49.8573333333,-9.11666666667,0.854666666667,61.2533333333,-41.3106666667
220.47,-3.90366666667,18.018,35.135,0.600666666667,-19.5193333333,28.5286666667,28.5283333333,24.925,44.144,-20.4203333333,-12.913,50.751,-58.5583333333
220.85,-5.17266666667,10.9196666667,31.0346666667,5.46,-20.1146666667,22.7013333333,25.5746666667,18.678,39.0803333333,-20.9766666667,-20.115,48.563,-54.3103333333
221.23,-7.37433333333,10.0296666667,28.6136666667,0.884666666667,-18.289,27.1386666667,29.2033333333,18.584,35.693,-25.9586666667,-21.239,43.3626666667,-49.5573333333
221.61,-9.90966666667,15.015,33.9336666667,1.201,-14.1143333333,35.135,35.4353333333,23.4236666667,36.937,-20.721,-20.1203333333,39.6393333333,-47.147
221.98,-4.44466666667,25.5556666667,39.167,9.72233333333,-6.94433333333,41.389,41.9443333333,29.4443333333,36.9446666667,-2.5,-9.16666666667,41.9443333333,-34.1666666667
222.36,-9.83633333333,31.1476666667,32.5136666667,5.73766666667,-4.64466666667,36.339,33.06,24.317,24.3173333333,0.273,-9.01633333333,30.8743333333,-37.978
222.74,-22.689,23.2493333333,29.1316666667,-5.60233333333,-10.084,23.5296666667,25.7703333333,17.0866666667,11.4846666667,-12.045,-14.5656666667,13.4453333333,-45.9383333333
223.11,-25.9256666667,26.4956666667,27.6353333333,-9.68666666667,-1.13966666667,21.3676666667,29.0596666667,18.8033333333,10.5413333333,-17.6636666667,-14.815,11.966,-42.4503333333
223.49,-25.3563333333,34.7576666667,32.1936666667,-8.54733333333,5.69833333333,23.6466666667,34.7576666667,26.496,12.8206666667,-14.53,-3.70366666667,18.8036666667,-40.456
223.87,-5.0,41.4283333333,37.143,10.7143333333,21.1903333333,32.381,40.4763333333,35.238,25.4763333333,6.42833333333,11.4283333333,24.0476666667,-19.762
224.24,-1.35133333333,37.6126666667,38.5133333333,12.6123333333,22.2973333333,34.234,36.937,29.7296666667,21.171,9.234,14.6396666667,20.4956666667,-17.3423333333
224.62,4.73,45.2703333333,45.4953333333,15.09,27.4773333333,47.5226666667,38.063,35.135,22.973,18.6936666667,24.9996666667,23.6486666667,-10.3603333333
225.00,5.59166666667,42.3653333333,41.5053333333,10.9676666667,27.957,41.9353333333,33.9783333333,31.828,18.2796666667,20.43,30.968,17.6343333333,-9.89233333333
225.38,2.25266666667,37.1623333333,40.3153333333,9.00866666667,27.2523333333,37.387,25.0,28.8286666667,12.3873333333,18.6936666667,26.8016666667,15.3153333333,-17.7926666667
225.75,3.82166666667,27.3883333333,33.121,6.58133333333,20.8066666667,29.7243333333,19.1083333333,25.69,9.76633333333,11.2526666667,21.8686666667,12.5263333333,-18.6836666667
226.13,5.85833333333,26.0603333333,28.889,7.273,21.2123333333,29.293,17.3736666667,25.6563333333,13.737,9.69666666667,21.616,16.97,-15.9596666667
226.51,9.171,23.4566666667,29.6296666667,11.8166666667,24.1623333333,32.4516666667,21.517,24.6916666667,16.0496666667,13.7563333333,25.3966666667,23.104,-8.46533333333
226.88,13.5986666667,21.8906666667,24.544,11.4426666667,23.8806666667,32.1726666667,22.554,21.8906666667,15.257,13.2666666667,21.8906666667,25.8706666667,-6.136
227.26,13.4256666667,20.5246666667,20.9876666667,9.41366666667,21.142,30.4013333333,19.753,20.216,13.5803333333,13.117,19.5986666667,22.994,-4.16666666667
227.64,12.2733333333,14.923,15.76,7.95,16.1783333333,22.455,15.7603333333,14.7836666667,9.205,11.018,12.2733333333,18.689,-2.65
228.01,2.72133333333,7.211,8.16333333333,0.816333333333,6.12233333333,12.245,8.70766666667,6.93866666667,-1.08833333333,4.76166666667,6.80266666667,11.7006666667,-6.53033333333
228.39,4.301,8.72166666667,7.16833333333,2.15033333333,5.496,11.2303333333,10.1553333333,8.841,1.19466666667,6.093,6.69033333333,11.1113333333,-1.55333333333
228.76,0.660333333333,4.07033333333,2.86033333333,-0.99,0.99,7.48066666667,7.371,7.70066666667,0.329666666667,0.88,2.31,8.691,-3.19033333333
229.14,-0.207,1.24233333333,1.967,-2.381,-3.416,6.10766666667,5.48666666667,5.59,-0.621,-2.17366666667,-2.588,7.24633333333,-3.934
229.52,1.03566666667,4.708,2.54233333333,0.470666666667,-4.614,8.004,7.25033333333,4.80233333333,2.54266666667,-2.354,-1.31833333333,9.228,0.0943333333333
229.89,1.22166666667,8.72633333333,5.41,3.14133333333,-2.356,10.1223333333,6.19533333333,5.23566666667,2.87933333333,-0.262,0.436,11.0816666667,2.53066666667
230.27,-0.166,7.96,7.87733333333,1.907,-2.57033333333,10.4476666667,4.97533333333,5.887,1.24366666667,-0.912,0.414666666667,9.78433333333,2.322
230.65,0.717666666667,8.373,7.09733333333,0.478333333333,-4.06733333333,9.729,3.26966666667,5.263,2.23266666667,-2.31266666667,-0.637666666667,8.85166666667,2.71133333333
231.02,1.08766666667,10.334,6.60433333333,0.699333333333,-4.04033333333,9.013,2.95266666667,4.50666666667,3.652,-0.699,0.0776666666667,9.16833333333,3.186
231.40,3.14633333333,11.7603333333,8.16466666667,2.24733333333,-2.996,10.7116666667,4.794,6.81633333333,5.91766666667,0.524333333333,1.798,10.262,4.11966666667
231.78,2.56433333333,11.6893333333,7.31533333333,3.24266666667,-3.77066666667,11.3876666667,5.42966666667,6.63633333333,6.25966666667,0.679,1.35766666667,9.276,3.16733333333
232.15,3.75266666667,12.1413333333,7.72666666667,4.26766666667,-2.281,11.847,5.519,7.35833333333,7.06433333333,1.39766666667,1.25066666667,10.449,2.134
232.53,1.52233333333,10.5783333333,5.55533333333,4.186,-2.35933333333,10.5023333333,4.03366666667,5.55566666667,6.31633333333,0.152,-0.304333333333,9.96966666667,1.37
232.90,0.925666666667,12.1913333333,7.02133333333,6.55866666667,-1.00333333333,10.648,5.16966666667,5.71,7.87066666667,1.23433333333,-1.85037170771e-17,11.651,1.77466666667
233.28,3.132,14.7653333333,8.42666666667,8.203,1.86433333333,13.8703333333,6.48766666667,7.457,11.0366666667,2.90833333333,2.53566666667,16.033,4.54866666667
233.66,3.63066666667,13.8706666667,8.71466666667,7.77066666667,3.994,14.5243333333,7.698,10.022,11.6193333333,4.06666666667,3.77633333333,15.1776666667,6.318
234.03,4.80266666667,14.4083333333,10.036,8.387,6.95333333333,14.6236666667,10.251,10.9676666667,13.1183333333,6.30833333333,5.51966666667,16.4156666667,8.817
234.41,6.32933333333,15.1196666667,8.86066666667,8.79033333333,9.564,14.8383333333,12.5173333333,10.5483333333,14.8383333333,6.75133333333,6.61066666667,17.0183333333,10.9703333333
234.78,5.53166666667,13.0496666667,7.092,9.71633333333,10.0,12.837,12.4823333333,10.4963333333,13.5463333333,6.87933333333,5.24833333333,16.383,9.43233333333
235.16,4.115,11.1796666667,6.92766666667,9.671,10.2883333333,12.4143333333,10.5626666667,11.1796666667,11.5226666667,5.82966666667,4.11533333333,14.9516666667,8.848
235.54,4.36266666667,8.65666666667,5.65766666667,9.06566666667,10.293,10.9063333333,8.248,7.83866666667,8.45233333333,5.04433333333,3.06733333333,12.747,7.70266666667
235.91,5.8,8.4,6.33333333333,7.33333333333,9.6,11.4666666667,7.53333333333,6.8,7.6,2.8,3.53333333333,13.1333333333,7.6
236.29,7.312,9.88166666667,7.378,7.77333333333,10.0133333333,13.307,9.15666666667,7.70766666667,8.03666666667,3.49166666667,4.15033333333,13.241,9.223
236.66,9.85533333333,11.8643333333,9.22766666667,8.85133333333,11.4876666667,15.3796666667,13.057,10.797,9.228,5.587,6.34033333333,15.4426666667,11.2996666667
237.04,11.4146666667,11.1716666667,8.68233333333,9.654,11.8396666667,15.543,13.1146666667,11.4146666667,8.25733333333,5.64666666667,7.58966666667,15.422,11.2323333333
237.41,12.0593333333,11.6263333333,8.34866666667,10.0186666667,12.6776666667,16.079,14.533,11.7503333333,7.05033333333,7.48333333333,8.16333333333,13.7906666667,11.9973333333
237.79,14.717,10.9433333333,7.10666666667,8.93066666667,12.327,14.8426666667,13.3963333333,10.6286666667,4.591,6.918,7.86166666667,12.7043333333,10.7546666667
238.17,11.3463333333,6.731,2.628,4.87166666667,7.30766666667,11.987,10.3206666667,7.88466666667,1.795,3.205,4.61533333333,8.52566666667,6.41033333333
238.54,7.79466666667,2.28133333333,-0.127,2.028,3.232,8.68166666667,5.25966666667,3.16866666667,-1.77433333333,0.950666666667,1.58433333333,4.49933333333,2.15433333333
238.92,8.61566666667,3.56533333333,1.30733333333,1.545,3.80266666667,9.62566666667,5.526,3.38666666667,-1.307,0.950666666667,2.67366666667,3.862,2.971
239.29,10.0563333333,4.97166666667,2.599,3.33333333333,3.61566666667,10.226,6.893,4.12433333333,0.282666666667,2.42933333333,4.85866666667,5.593,4.80233333333
239.67,8.65733333333,6.27233333333,3.73233333333,4.45833333333,3.836,10.9903333333,7.413,5.23566666667,1.65866666667,3.94,5.08033333333,7.102,6.32433333333
240.04,7.62733333333,6.638,4.143,5.69666666667,4.80233333333,11.158,7.58,5.273,2.825,5.08466666667,4.849,7.439,8.14533333333
240.42,5.59,4.803,3.35433333333,4.51333333333,4.058,9.97933333333,5.92166666667,4.058,1.822,3.685,3.354,6.33533333333,7.702
