wavelength,Back_SicTacm,Belly_SicTacm,Breast_SicTacm,Crissum_SicTacm,Crown_SicTacm,DorTail_SicTacm,Patch10_SicTacm,Rump_SicTacm,Throat_SicTacm,WingTip_SicTacm
187.53,-219.166666667,-314.166666667,-255.0,-194.270833333,-172.916666667,-227.590460526,-287.916666667,-170.0,-157.083333333,-134.166666667
187.91,-957.999999999,-1206.66666666,-981.333333333,-821.666666668,-769.333333335,-883.513157896,-1088.0,-764.000000001,-669.333333333,-573.111111112
188.29,-2768.33333333,-3183.33333334,-2586.66666667,-2204.16666667,-2050.0,-2382.4122807,-2926.66666667,-2166.66666667,-1900.0,-1748.33333333
188.67,697.22225,755.5556,681.481466667,574.073916666,537.036866667,593.939981579,709.629666667,582.222333333,493.333200001,466.913566667
189.05,-506.5,-539.333333333,-482.666666667,-398.333333334,-366.0,-393.74122807,-505.333333334,-388.666666667,-304.666666667,-297.222222222
189.43,-252.1929,-260.351,-239.298133333,-197.368583333,-155.7894,-191.524671053,-257.543733333,-176.842066667,-131.228066667,-137.193044445
189.81,-163.630833333,-169.047666667,-151.904733333,-146.428416667,-105.476133333,-127.283775219,-161.9046,-120.0,-95.4761333334,-83.1349777777
190.19,-151.0714,-157.857133333,-136.4286,-143.75,-96.1906000001,-119.468225219,-133.3332,-108.333266667,-86.4285999999,-64.1665555555
190.57,-120.806483333,-126.4516,-111.612933333,-127.688,-83.6559333333,-112.918885307,-98.7097999999,-83.8709333334,-66.4517333335,-47.2759555555
190.95,-95.9910166667,-105.5856,-90.4503999999,-108.558333333,-68.2883333335,-102.413401535,-72.973,-67.5674666665,-54.5945333334,-44.2942444444
191.33,-130.222266667,-144.888733333,-131.111066667,-152.777583333,-104.6666,-147.611772149,-105.333266667,-93.9999999999,-88.4444666667,-69.5186555555
191.71,-111.041666667,-115.0,-101.333333333,-135.416666667,-85.9999999999,-126.658991228,-79.3333333335,-67.1666666667,-77.6666666667,-61.3888888888
192.09,-57.0402166667,-58.3908666667,-53.9080666667,-76.1492500001,-35.2874,-73.0644839913,-29.6551333333,-22.6438000001,-39.5402666667,-28.6588888889
192.47,-46.0734333333,-43.9547333333,-47.5706,-68.7853333333,-24.1808,-65.2118381579,-17.9662,-8.81373333333,-32.2033333333,-20.3955222221
192.85,-28.5679,-23.5418666667,-27.9167333333,-51.172,-8.75013333334,-50.9513548246,-0.625266666646,6.87493333332,-17.6041333333,-9.37521111112
193.23,-57.2592333334,-46.8147999999,-56.1482000001,-90.1852500001,-28.4443333333,-93.9336298246,-11.8518666667,4.14806666666,-38.6667333333,-36.8395777778
193.61,-34.1503,-25.2287999999,-34.7713333333,-66.3400833333,-14.7713333333,-69.4320914473,12.0262000001,22.4836666667,-20.3923333334,-19.6515000001
193.99,-27.8703,-12.8395333333,-29.2593333334,-46.1418333333,-4.8148,-60.3707587719,15.4321333333,26.2962,-16.5431333333,-14.0534888889
194.37,-16.63785,4.02300000001,-16.5516666667,-16.5230833333,3.33340000002,-44.9191859649,24.023,32.9885333333,-8.16073333334,-9.34864444452
194.75,-9.57636666667,5.42373333333,-9.94346666668,-5.22608333334,11.8645333333,-29.4261140351,31.1863999999,35.2542,-2.59880000001,-3.52165555556
195.13,3.49455,18.4946666667,6.55926666665,8.46775,18.3870666667,-16.129383114,38.9248,43.0107333333,10.4301333333,5.68102222228
195.51,13.4505833333,30.7981333333,12.3942,12.6760833333,23.7558,-2.95680197367,44.1314666666,46.0094,19.6245333333,12.0657333333
195.89,29.34785,50.6279999999,23.8648,28.1401666667,35.169,11.2500197369,61.4492000001,54.6858,34.5894,25.3139777778
196.27,33.3880666667,65.0273999999,33.7705333333,31.6939166667,42.8416666667,16.5203548246,74.4261999999,63.3881333333,46.0109333333,33.5519666667
196.65,37.0959499999,64.5454000001,34.7474666667,39.1413333333,42.3232666667,22.0630199561,81.4141333333,60.7071333333,44.7474666667,39.2761333333
197.03,27.6388333333,59.6666666667,19.4444666667,26.2499166666,35.3333333333,16.8073142544,77.5554666667,51.3334666667,37.0,34.5185
197.40,14.57145,42.2858000001,7.04746666665,7.38075,23.7142,7.73874846491,55.7144000001,29.1428666667,22.0,22.8254555556
197.78,-7.86106666674,29.5555333333,-19.3332666667,-19.58325,-1.66659999999,-13.8220754386,40.8889999999,7.11113333333,2.99986666666,8.4814777778
198.16,-19.2734666667,29.9146,-47.0085999999,-49.7864166667,-19.1454666667,-38.4991532894,56.4102666666,-2.05139999997,-5.29913333331,4.1311222222
198.54,-98.1943666667,-32.7778,-142.500066667,-164.236083333,-79.7221999999,-127.711926754,32.2222,-60.2778666665,-64.1666000001,-40.7869333333
198.92,-66.4705499999,-7.8431333334,-86.8627333333,-105.147333333,-51.3724666668,-93.4246975876,32.5491333333,-32.9411333334,-34.3136666667,-13.3659222222
199.30,-107.903316667,-32.4730000001,-126.6666,-146.236583333,-83.0108000001,-127.421539693,16.3440666667,-59.3548666667,-60.4300000001,-35.1969111112
199.68,-147.777866667,-67.9014000001,-165.432133333,-189.197666667,-123.703733333,-175.181122588,-2.96293333339,-88.1482000001,-88.3949999999,-57.7365222222
200.06,-126.875,-66.4583333333,-142.291666667,-168.489583333,-105.0,-144.223547149,-8.54166666655,-73.9583333334,-73.5416666667,-48.8541666667
200.44,-95.0855333334,-58.8033999999,-118.974266667,-144.444416667,-90.2563999999,-113.647107675,-6.66660000014,-58.8034,-58.9743999999,-33.0485666667
200.82,-123.190466667,-79.6191333332,-150.476133333,-181.904583333,-116.380933334,-139.493183114,-29.5238,-84.5714666667,-74.4762,-50.7620222223
201.19,-64.3464833334,-35.4249333333,-79.3463333334,-103.268,-59.0849333333,-78.544091228,3.92159999993,-32.4183333333,-28.2353333333,-10.0436888889
201.57,-37.6602333334,-10.2563999999,-57.9486666667,-70.1924166667,-36.0256666667,-56.0312298246,33.5897333334,-9.74359999999,-5.89733333334,15.7050444445
201.95,-14.9657499999,3.26540000001,-36.5986666667,-55.61225,-15.7822666667,-35.785948465,56.0544666667,-0.13593333332,11.0204666667,31.2471222221
202.33,-30.8805166667,-10.8176,-45.2830666667,-66.66675,-24.7799333333,-43.4529311404,36.6037999999,-15.9748666667,0.628866666666,14.1299111111
202.71,-4.6875,10.2082,-19.271,-37.63025,-4.16673333334,-21.8275673246,46.2500666667,0.6248,20.4166666667,25.6424888889
203.09,-33.5319166667,-16.8254,-56.0317333334,-96.8255833333,-32.3809333333,-58.7783508772,46.9840666666,-30.0000000001,8.09520000001,5.84656666665
203.47,-26.6667333333,-10.9402000001,-50.4272666667,-103.418833333,-21.5384666667,-67.4346638158,56.4102666667,-32.1367333334,10.5982,4.67238888887
203.85,-8.77783333326,-2.07400000001,-30.9630000001,-83.148,-6.6666,-50.1967752194,64.1481333333,-19.4073333334,8.14813333332,5.28404444448
204.22,-25.6666666666,-18.2222666668,-62.2222,-139.722083333,-29.1110666667,-101.456873465,80.6667333333,-53.3334,-18.6666666667,-24.0739666666
204.60,-23.6538166666,-22.5640666667,-77.9487333333,-152.884583333,-44.6153333333,-118.668106579,90.0000666667,-71.2819999999,-36.9231333334,-37.1367333332
204.98,-52.4561000002,-52.2807333334,-129.8246,-241.228166667,-84.2105999999,-200.540143202,107.017466667,-129.824466667,-71.2280666667,-78.5380111111
205.36,437.999999999,434.666666667,725.333333334,1148.33333333,601.333333334,975.105263157,-120.0,785.333333333,564.0,612.444444444
205.74,550.833333334,548.333333333,900.000000001,1545.83333334,798.333333333,1183.81030702,-138.333333333,1020.0,749.999999999,790.000000001
206.12,-931.111049999,-977.777733334,-1453.3332,-2297.22225,-1313.3334,-1857.2514136,-68.889,-1644.44433334,-1235.55546667,-1270.7407
206.50,-259.791666667,-301.666666667,-459.166666666,-807.291666667,-422.5,-643.560855262,45.8333333333,-570.0,-410.833333333,-425.833333333
206.87,-137.17955,-169.743533333,-265.641,-504.487166667,-241.025533333,-360.941285526,32.3077333335,-325.641,-248.205133333,-242.905988889
207.25,-32.5757666667,-41.4140666665,-94.3433999999,-165.151416667,-78.7879333334,-124.182673903,21.4142000001,-106.666533333,-82.4242000001,-72.1212
