wavelength,Back_OryCraf,Belly_OryCraf,Breast_OryCraf,Crissum_OryCraf,Crown_OryCraf,DorTail_OryCraf,Patch10_OryCraf,Rump_OryCraf,Throat_OryCraf,WingTip_OryCraf
184.11,-401.949296296,-269.590611111,-287.134333333,-250.292444444,-361.988222222,-449.707444445,-361.403555556,-366.959055556,-287.719222222,-455.555333333
184.49,-843.703703704,-608.333333333,-647.777777778,-547.777777778,-849.999999999,-950.000000001,-768.888888889,-776.111111112,-671.111111111,-969.999999998
184.87,-626.234592593,-439.351944444,-490.740555556,-412.037,-623.148222222,-774.07411111,-541.666888889,-568.055555556,-518.518555555,-733.333222222
185.25,-187.429888889,-117.845055555,-145.791111111,-125.926,-182.491666667,-206.397444444,-152.188555556,-164.141333333,-148.148111111,-229.966333334
185.63,-144.444444445,-76.111111111,-96.3888888888,-93.0555555554,-137.222222222,-131.388888889,-105.555555556,-112.361111111,-101.666666667,-180.0
186.01,-169.493148148,-111.257277778,-119.882888889,-123.391777778,-174.561444444,-161.111222222,-131.286333333,-145.3215,-126.608222222,-214.619888889
186.39,-148.677259259,-87.5660555557,-106.084777778,-113.227555555,-146.825333333,-149.471,-112.433777778,-127.381,-106.613666667,-184.920777778
186.77,-99.9998518517,-45.5356666667,-64.6825555556,-70.635,-90.8732222224,-89.2857777777,-64.0872222223,-79.1666111112,-64.4841111111,-121.23
187.15,-84.2107037037,-30.4093888889,-56.3354444444,-59.8442222222,-68.8108888889,-78.1677777778,-41.3253333333,-68.5185000001,-55.5554444444,-103.313888889
187.53,-88.2612592594,-37.9472222222,-61.7702222222,-63.0883333333,-69.868,-79.2843333334,-47.081,-71.9396666668,-51.4124444444,-92.2788888888
187.91,-90.3325925925,-48.6815555557,-68.9265555557,-62.7118888889,-69.1148888889,-86.2523333333,-56.4971111111,-71.3747222221,-55.7438888889,-82.2975555556
188.29,-220.668925926,-145.878166667,-183.154,-168.817333334,-174.552111111,-206.451555556,-154.838777778,-179.032222222,-136.917444445,-189.247333333
188.67,-287.373703704,-165.909222222,-245.959444444,-228.283,-188.888888889,-268.686777778,-191.919222222,-229.545555555,-143.434444445,-236.363555556
189.05,-598.290666667,-352.136944444,-514.529888889,-479.487111111,-435.897777778,-523.076777778,-430.769333333,-461.965888889,-325.641222222,-470.085333333
189.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189.81,1148.14811111,792.85711111,1065.07944445,782.539777778,850.793666668,1173.01555556,836.508,853.174500001,685.714333333,855.555666667
190.19,616.666740741,380.158833333,532.539666667,408.730222222,422.222222222,576.984222222,439.682444444,407.936444444,350.0,376.984111111
190.57,453.909703704,272.531,406.172777778,309.876555556,329.012444445,432.716222222,329.012444445,261.419888889,249.382555556,269.753
190.95,372.390703704,236.111111111,339.394111111,266.666444444,265.656666667,376.767777778,286.363666667,202.777833333,217.171555556,221.717111111
191.33,606.666703704,423.703777778,523.703777778,423.703777778,422.963,597.037111111,480.000111111,315.926111111,385.925777778,362.222111111
191.71,271.412037037,211.111111111,246.527777778,186.805555556,192.361111111,280.902777778,222.916666667,159.548611111,186.805555556,173.263888889
192.09,245.533740741,163.398833333,206.536,145.751555556,152.287444445,233.006777778,187.581777778,131.372444445,161.764777778,152.941222222
192.47,276.954703704,179.218111111,223.868333334,138.683111111,175.308555556,253.497888889,196.707777778,134.156388889,179.012333333,164.197444444
192.85,281.755814815,190.1235,218.929777778,129.629444444,180.658444444,236.214,194.650111111,120.987777778,192.181111111,162.551444445
193.23,223.544925926,144.841055556,164.285777778,83.3333333333,115.079333333,179.761888889,129.364888889,71.230111111,138.888777778,142.460222222
193.61,299.536962963,212.037,231.944444444,137.962888889,156.481555556,232.407222222,187.963,115.740611111,182.870555555,187.963
193.99,223.627037037,163.984777778,185.057555556,107.279777778,106.513444445,177.777777778,146.360222222,98.6589444443,146.36,150.957777778
194.37,205.236333333,157.088055556,190.038333333,109.578555555,91.1877777779,181.609111111,141.762555555,89.8467222222,144.444555556,157.471333333
194.75,227.208037037,156.837666667,208.119666667,112.393333333,82.9058888889,207.264888889,144.872,105.769277778,169.230666667,163.675333333
195.13,229.118740741,174.904277778,216.858222222,125.670555555,100.766222222,211.877444445,148.658888889,133.333388889,184.291333333,176.628333333
195.51,160.059925926,112.762666667,151.051111111,88.8887777779,61.8618888888,155.555666667,101.501555555,104.354222222,127.627666667,128.828777778
195.89,158.781296296,89.2474444443,130.466,76.344,55.1972222223,148.745777778,100.716888889,85.663,134.408555555,127.957
196.27,160.606074074,79.040388889,142.929222222,76.7677777778,38.383888889,145.959666667,70.7071111111,62.373722222,143.434222222,125.252555556
196.65,169.005925926,52.6316111112,167.251666667,83.6256666666,15.2046666667,116.374333333,54.3860000001,71.052611111,164.912222222,134.502888889
197.03,106.851851852,10.2777777778,131.111111111,71.1111111111,-21.6666666667,79.4444444444,28.3333333333,53.8888888889,138.333333333,101.666666667
197.40,110.317407407,-2.3808888889,194.444444444,71.4286666667,-61.1112222222,104.761888889,34.127,49.6032222222,193.650888889,95.238
197.78,-72.5925925927,-404.444444444,204.444444443,-60.0000000002,-453.333333334,28.888888889,-197.777777778,-155.555555556,311.111111111,17.7777777777
198.16,-138.518518519,-498.888888889,82.2222222223,-146.666666667,-502.222222222,-75.5555555553,-342.222222222,-326.666666667,251.111111111,-108.88888889
198.54,-228.395074074,-513.888888889,-68.5185555558,-214.814888889,-394.444444444,-227.777777778,-425.925777778,-353.703666667,120.370333333,-205.555555555
198.92,414.814814815,643.333333333,300.0,431.111111111,675.555555556,513.333333334,677.777777778,552.222222222,15.5555555557,344.444444443
199.30,-270.370481482,-408.080722222,-220.202222222,-309.090888889,-402.020111111,-333.333333333,-374.747555556,-348.484944445,-88.8887777779,-219.191888889
199.68,4425.92592593,6011.11111111,4088.88888889,4555.55555555,5266.66666667,5388.8888889,5211.11111111,5672.22222222,2222.22222222,3877.77777778
200.06,-283.068814815,-386.904666667,-209.524,-273.015777778,-355.555444445,-386.507777778,-384.127,-374.603111111,-146.825444444,-238.095111111
200.44,-256.04937037,-325.925722222,-200.740666667,-236.296333333,-342.963111111,-371.851888889,-345.185222222,-327.4075,-140.000111111,-198.518666667
200.82,-292.592592593,-358.333444444,-211.904666667,-254.762,-403.968333333,-429.365111111,-357.143,-383.730444445,-152.381,-236.507777778
201.19,1987.03703704,2622.22222222,1777.77777778,2161.11111111,3033.33333333,3333.33333333,2755.55555556,2808.33333334,1366.66666667,1722.22222222
201.57,584.656037037,713.49211111,528.571333334,607.936444443,830.158777777,961.904777778,753.968222222,773.015777778,380.952333333,457.142888889
201.95,-534.920666667,-689.682499999,-500.000333334,-552.380888888,-769.841111111,-912.698222222,-696.825444444,-746.031944445,-371.428333333,-461.904888889
202.33,-2105.55555556,-2605.55555555,-2000.0,-2294.44444444,-2916.66666667,-3316.66666667,-2427.77777778,-2705.55555556,-1550.0,-1727.77777778
202.71,518.855074074,630.808055556,504.040222222,591.919444444,704.040333333,709.090999999,574.747333333,595.4545,430.303111111,452.525222222
203.09,1278.51851852,1496.66666667,1111.11111111,1351.11111111,1600.0,1684.44444445,1306.66666667,1394.44444445,1057.77777778,1066.66666667
203.47,343.266074074,399.999944445,317.171555556,354.545666667,419.191888889,452.525333333,350.0,372.222388889,308.585888889,320.202
203.85,2474.07403704,2775.926,2037.037,2470.37033333,2959.25922222,3277.77788889,2559.25911111,2409.25916667,2218.51866667,2148.14811111
204.22,408.703703704,460.0,361.666666667,377.777777778,450.555555556,497.222222222,408.888888889,391.666666667,353.888888889,339.444444444
204.60,939.094592591,1021.60494445,786.419888889,882.71588889,977.777666668,1049.38266667,895.061666667,899.999888889,825.925888889,762.963
204.98,-5.57500522054e+15,-5.58685181047e+15,-4.60595416435e+15,-5.22434615864e+15,-5.5157722709e+15,-5.40915296153e+15,-5.21723820469e+15,-5.04664730971e+15,-4.88316436869e+15,-4.22212465066e+15
205.36,-723.362037037,-711.111222222,-577.777777778,-658.119666667,-677.777888889,-640.171,-680.341888889,-678.632388889,-632.478444444,-547.008666667
205.74,-463.468,-447.727166667,-377.272666667,-422.222222222,-440.909222222,-420.201888889,-430.808111111,-420.201944445,-411.111111111,-364.646444444
206.12,-429.783851852,-391.666666667,-365.277888889,-385.648,-427.777777778,-389.814888889,-396.759333334,-368.981666667,-387.499888889,-329.166777778
206.50,-342.017851852,-303.639944445,-286.59,-281.225888889,-328.735777778,-303.448222222,-300.766111111,-284.674222222,-313.026888889,-241.379333333
206.87,-293.086444444,-254.999833333,-231.111,-238.148111111,-279.999888889,-245.555555556,-248.148111111,-246.296222222,-269.259444444,-186.666666667
207.25,-169.001518519,-150.2415,-134.057888889,-144.203111111,-166.425111111,-144.444666667,-146.135222222,-144.202944444,-159.662,-95.1688888889
207.63,-140.202222222,-119.494888889,-107.676888889,-113.535555556,-131.515111111,-105.050444445,-109.091,-105.353777778,-124.848333333,-70.505
208.01,-152.834407407,-125.056611111,-111.337777778,-124.716555556,-145.578333333,-104.762111111,-111.564555555,-117.573555555,-142.630444444,-75.5102222223
208.39,-156.558592592,-118.865833333,-102.777888889,-131.018555555,-160.185222222,-116.666555556,-109.953777778,-117.245444444,-150.463,-78.2407777777
208.77,-172.927666667,-137.963111111,-124.603222222,-140.476222222,-180.952555556,-127.777777778,-120.105888889,-129.1005,-162.169333333,-98.4126666668
209.14,-223.420629629,-199.019666667,-160.784222222,-184.313777778,-230.718888889,-174.836777778,-156.209222222,-165.849611111,-226.797222222,-143.790888889
209.52,-275.720037037,-252.880666667,-183.127444444,-224.279777778,-288.065888889,-218.518444445,-182.716111111,-184.156388889,-283.539222222,-164.197444444
209.90,-460.185185185,-445.833333333,-315.277777778,-392.361111111,-472.916666667,-353.472222222,-314.583333333,-303.819444445,-471.527777778,-251.388888889
210.28,-225.185148148,-221.481444444,-142.222222222,-193.333222222,-211.111,-166.296333333,-154.444333333,-154.259111111,-223.703555556,-123.333333333
210.66,-333.95062963,-328.703611111,-221.759444444,-307.407333333,-313.889,-268.055444444,-257.870333333,-229.629777778,-320.833333333,-218.981666667
211.03,-211.585888889,-195.014222222,-147.293555555,-189.173555555,-191.737888889,-174.928888889,-156.410222222,-137.607,-198.575444444,-135.897444444
211.41,-248.888925926,-220.158666667,-163.174666667,-216.825222222,-204.761888889,-195.872888889,-166.984222222,-146.666722222,-213.333444445,-164.762
211.79,-258.473666666,-216.161666667,-161.952888889,-224.579222222,-203.703777778,-214.141333333,-174.410777778,-152.525222222,-224.242333333,-153.535333333
212.17,-188.148148148,-161.25,-112.222222222,-163.888888889,-140.277777778,-161.388888889,-122.777777778,-102.916666667,-153.611111111,-101.666666667
212.55,-132.605851852,-112.500222222,-82.1428888888,-116.071555556,-84.3254444443,-101.984111111,-82.5398888889,-70.6350555557,-102.778,-68.254111111
212.92,-183.687925926,-156.619277778,-118.439777778,-162.647666667,-127.423222222,-152.718333333,-126.477555556,-106.855777778,-152.718666667,-91.2528888888
213.30,-133.811111111,-101.523111111,-91.5769999998,-114.157666667,-85.6632222221,-115.591444444,-85.6632222222,-70.3404444445,-108.064333333,-48.5661111111
213.68,-128.774740741,-93.4186666666,-95.0427777776,-108.888777778,-76.4102222221,-115.555444444,-80.5126666668,-67.0085555557,-104.957333334,-46.1537777778
214.06,-129.132,-87.5621666667,-85.5719999999,-101.160888889,-72.8026666667,-114.925333333,-74.2953333334,-64.1792222221,-109.618555556,-51.5754444444
214.44,-204.784,-155.324111111,-145.601777778,-177.546333333,-132.175888889,-191.203555556,-133.564777778,-116.898166667,-183.564888889,-94.6760000001
214.81,-158.465814815,-121.726055556,-112.499777778,-140.476222222,-93.0555555556,-146.825333333,-95.4364444446,-85.5158333332,-140.476,-68.254
215.19,-196.682111111,-145.138888889,-134.722444444,-170.370444444,-118.286888889,-186.111111111,-122.222222222,-106.134277778,-171.759222222,-91.8979999999
215.57,-153.106296296,-103.853,-108.602222222,-128.315555555,-90.5016666668,-135.663,-92.8314444446,-87.0071111111,-140.501888889,-65.7706666667
215.95,-173.21437037,-116.964333333,-122.420666667,-146.825333333,-99.8014444443,-149.007888889,-108.135,-100.396833333,-156.944444444,-73.8095555555
216.32,-279.537037037,-204.583333333,-211.388888889,-240.0,-178.333333333,-247.5,-185.277777778,-166.805555556,-256.111111111,-138.611111111
216.70,-314.379148148,-233.006666667,-250.0,-282.026111111,-202.941222222,-281.045777778,-199.673111111,-178.268,-297.385777778,-154.248333333
217.08,-273.002,-198.830388889,-215.204777778,-246.491222222,-152.924222222,-229.239666667,-155.555555555,-154.093722222,-248.538,-135.380111111
217.46,-284.156703704,-208.4875,-218.518444445,-248.148222222,-158.950555556,-227.160444444,-151.543333333,-169.135944444,-238.580111111,-141.975333333
217.83,-275.973259259,-202.991555555,-212.250777778,-247.578111111,-178.062555556,-216.809333333,-145.014,-164.672333333,-225.071111111,-149.287666666
218.21,-282.621074074,-219.515666667,-240.455777778,-257.834888889,-193.732333333,-223.361888889,-160.968777778,-179.772055556,-233.618222222,-157.834666667
218.59,-358.932444444,-284.803888889,-307.843222222,-329.411666667,-262.418333334,-277.450777778,-214.706,-247.222277778,-299.346444444,-219.280888889
218.97,-458.333333333,-357.341333333,-389.285666666,-417.460222222,-346.428555556,-353.571444444,-290.873111111,-335.515722222,-380.158888889,-284.920777778
219.34,-588.720481482,-476.515222222,-495.959444444,-542.929333333,-442.929333333,-434.848444444,-379.797888889,-430.050555556,-503.030333333,-380.808
219.72,1457.77777778,1224.44444445,1248.88888889,1364.44444445,1116.66666667,1135.55555556,989.999999999,1097.22222222,1277.77777778,1032.22222222
220.10,-2395.0617037,-2069.4445,-2066.66666666,-2242.59266667,-1833.33344444,-1796.29633333,-1557.40744445,-1786.11105555,-2048.148,-1798.14811111
220.47,-626.455,-508.465611111,-526.984222222,-570.370333333,-455.026666667,-440.740666667,-386.772555555,-473.809277778,-531.746111111,-449.735555556
220.85,-387.429888889,-300.168333333,-311.784444444,-333.67,-280.808111111,-280.134666667,-240.067222222,-296.969555556,-328.282777778,-273.400777778
221.23,-435.632111111,-335.4405,-355.938666667,-367.432888889,-325.670333333,-324.137777778,-272.030666666,-346.551722222,-372.796888889,-302.682
221.61,-586.86862963,-462.373666667,-493.434222222,-506.060666667,-458.585888889,-456.060444444,-391.919,-472.474666667,-531.313111111,-430.808111111
221.98,-544.122444444,-445.652222222,-445.893555556,-451.207777778,-392.270444444,-398.550777778,-342.029,-415.700722222,-481.642555556,-390.338222222
222.36,-307.707851852,-248.348166667,-241.741777778,-263.663666667,-212.012,-225.225333333,-190.090111111,-239.489333333,-262.162111111,-216.516777778
222.74,-163.492111111,-110.118944444,-112.698555556,-126.388666667,-87.8965555554,-107.936555556,-78.5715555556,-108.630888889,-125.992111111,-94.4444444443
223.11,-149.187777778,-103.508888889,-101.559444444,-115.204666667,-75.0485555557,-101.949222222,-62.5731111111,-90.9357777777,-116.764333333,-79.5322222221
223.49,-149.936037037,-113.601388889,-106.321666667,-118.007777778,-76.6282222222,-113.409777778,-68.1991111112,-99.2337222221,-111.685777778,-76.6283333334
223.87,-138.25262963,-101.389055556,-94.2712222221,-102.951666667,-70.6598888889,-101.041666667,-67.8823333334,-85.7643333333,-94.0975555557,-69.9656666667
224.24,-160.493888889,-116.958888889,-109.551666667,-117.348666667,-80.5068888889,-115.204777778,-83.6257777777,-102.6315,-114.230111111,-75.4386666668
224.62,-162.764481482,-118.055777778,-116.269777778,-122.619111111,-78.7698888889,-116.27,-83.730111111,-98.8096666666,-114.682555556,-84.3254444444
225.00,-307.295185185,-242.087555556,-229.966111111,-249.158222222,-174.410777778,-208.081,-172.390555555,-194.276166667,-222.895666667,-179.124555555
225.38,-174.451888889,-130.385333333,-115.192666667,-135.600777778,-90.4762222221,-97.5057777777,-80.0453333333,-83.5601111111,-123.129222222,-92.9704444444
225.75,-149.725740741,-106.275777778,-100.823,-113.991777778,-71.6048888889,-77.572,-64.4034444445,-64.1975555556,-102.469111111,-83.7448888889
226.13,-80.3270740741,-43.0015,-44.3001111111,-57.72,-27.5613333334,-27.7055555556,-24.3867777778,-28.5714444444,-45.4545555556,-36.2193333333
226.51,-82.952925926,-39.726,-40.6392222222,-52.5112222222,-25.2663333333,-15.2206666667,-16.7427777778,-20.3197777778,-42.0091111111,-35.6164444445
226.88,-71.9372592593,-33.1197777778,-35.755,-43.0198888889,-21.0825555556,-3.84611111113,-10.3987777778,-12.4642777778,-38.8887777778,-29.2022222222
227.26,-47.4154814815,-5.3725,-19.4141111111,-21.4896666667,-3.90722222223,14.5297777778,4.8841111111,4.63972222222,-15.873,-10.0122222222
227.64,-40.1102962963,2.95494444447,-15.3664444445,-16.9031111111,0.59088888889,23.6405555556,11.7022222222,15.2482777778,-10.2836666667,-1.65477777778
228.01,-24.5542222222,10.5454444445,-6.1728888889,-6.58422222223,3.90944444444,30.2467777778,16.8723333333,15.998,-1.95466666667,12.3455555556
228.39,-18.9446666667,12.1926666667,-4.91644444443,-7.86622222221,-1.37655555558,28.417,15.4375555556,16.8634444444,-2.16333333333,11.8976666666
228.76,-24.0579259259,4.78266666667,-8.01933333333,-12.85,-11.8841111111,19.7098888889,12.657,11.3045,-6.18344444446,7.43955555553
229.14,-11.3938888889,14.4188333333,7.20966666668,-1.442,2.12033333333,24.5121111111,20.0171111111,18.8720555556,3.90155555554,17.2178888889
229.52,-14.8148148148,12.6595,6.01088888888,-5.28233333332,2.09466666668,21.2202222222,15.7558888889,14.2076666667,2.09477777777,14.8451111111
229.89,-10.005962963,15.7705,10.1253333333,-0.62722222221,4.48022222223,25.1793333333,17.2937777778,15.1881666667,4.74900000001,21.326
230.27,-17.3386296296,11.8486666667,-0.884777777767,-5.50655555553,-3.73644444444,15.6343333333,8.75122222221,10.7669444444,-6.98122222222,16.8141111111
230.65,-22.4601111111,5.70827777779,-11.2132222222,-11.6207777778,-13.6594444444,3.66966666667,-1.12122222223,-0.10188888889,-19.9795555556,11.3151111111
231.02,-35.0761851852,-11.5470555556,-23.6384444444,-26.3616666667,-31.5904444444,-15.5774444444,-16.6666666667,-12.5272777778,-35.1851111111,-2.06966666668
231.40,-47.914037037,-29.9414444444,-39.9998888889,-39.0644444444,-47.7193333333,-27.1345555556,-30.2924444444,-29.5322222222,-56.959,-15.4385555555
231.78,-18.7381851852,-6.63838888888,-13.7477777778,-10.9228888889,-23.8231111111,-5.36733333332,-6.21466666667,-8.85111111111,-31.0733333333,0.564999999977
232.15,-5.29944444445,0.6775,-3.70366666667,-2.89066666667,-6.775,3.88433333333,8.22033333333,5.8265,-21.0476666667,8.943
232.53,-6.70511111112,0.957944444443,-4.21444444444,1.62822222221,-2.49055555555,7.567,11.9731111111,6.89655555557,-22.4137777778,11.1111111111
232.90,-11.2446296296,-4.05405555554,-11.5114444444,-4.20411111113,-2.70255555555,8.50833333333,2.60255555555,-0.100222222233,-29.0291111111,5.30533333333
233.28,-24.4047037037,-15.6747222222,-28.6705555556,-17.1625555556,-14.1864444444,-1.09133333333,-9.72211111112,-8.1348888889,-37.1031111111,-6.34922222223
233.66,-24.5629629629,-19.6888888889,-29.6,-18.3111111111,-16.1777777778,-1.24444444443,-11.7333333333,-8.17777777779,-36.7111111111,-8.35555555556
234.03,-28.4922962963,-26.7716111111,-30.971,-20.2973333333,-18.6352222222,-4.89944444447,-13.2108888889,-8.7051111111,-37.7078888889,-15.9231111111
234.41,-38.4375925926,-35.6206666667,-37.0681111111,-28.478,-22.9692222222,-10.7374444444,-20.7281111111,-15.8262222222,-43.3238888889,-27.8245555556
234.78,-28.2298148148,-26.4216111111,-25.8091111111,-20.1223333333,-8.39899999999,-1.13733333333,-10.7612222222,-3.32483333334,-28.6964444445,-17.9353333333
235.16,-24.8347777778,-20.4995555556,-23.7725555555,-13.7811111111,-2.84233333333,4.13433333333,-6.37388888889,0.43066666667,-19.8965555555,-14.6426666667
235.54,-25.476962963,-16.9613888889,-18.5184444444,-15.0674444444,-1.26255555556,6.3128888889,-5.63988888889,4.83977777778,-15.9933333333,-15.2355555556
235.91,-36.2846666667,-23.4807222222,-27.9513333333,-26.3887777778,-10.7637777778,-0.0866666666667,-17.7083333333,-7.55205555557,-26.0415555555,-25.6075555556
236.29,-52.1072592593,-32.3276666667,-36.7815555556,-37.2606666667,-25.5748888889,-6.51344444446,-32.3754444444,-17.9117777778,-32.8544444444,-39.2721111111
236.66,-51.4403333333,-33.5538333333,-38.889,-38.9772222222,-29.4533333333,-11.8166666667,-37.6541111111,-22.5749444445,-32.1868888889,-40.7406666667
237.04,-42.4820370371,-26.3681666667,-31.5091111111,-31.5917777778,-26.4512222222,-10.7793333333,-33.0016666666,-18.0763333333,-27.2802222222,-31.0117777778
237.41,-47.5452222222,-32.7302777778,-36.0034444444,-35.3144444444,-37.4676666667,-17.1405555556,-40.2238888889,-23.4711111111,-35.4004444444,-40.4824444444
237.79,-47.5404814815,-33.854,-36.1111111111,-36.9792222222,-39.4963333333,-22.4825555555,-46.2672222222,-25.3036666667,-36.1112222222,-40.7117777778
238.17,-53.2671111111,-39.7471111111,-41.0116666667,-45.167,-45.1671111111,-30.7135555556,-57.7235555556,-35.0948888889,-43.9025555555,-42.8185555556
238.54,-46.3829259259,-34.7654444444,-38.1942222222,-41.4931111111,-43.0553333333,-25.3471111111,-54.8611111111,-33.724,-40.625,-34.8957777778
238.92,-45.0039629629,-36.3710555556,-39.968,-43.4052222222,-47.7217777778,-26.8584444444,-58.1136666666,-37.7297222222,-46.123,-36.6106666666
239.29,-44.3914814815,-32.8968333333,-34.6031111111,-41.7462222222,-44.0476666667,-24.6031111111,-58.9683333334,-38.889,-47.4604444444,-33.9683333334
239.67,-39.1636296296,-33.7992777778,-33.7633333334,-33.9067777778,-41.5053333333,-27.0965555555,-56.846,-38.1362222222,-45.6631111111,-30.896
240.04,-44.3072222222,-37.4144444445,-40.3292222222,-33.1961111111,-43.6901111111,-33.1277777778,-59.0534444444,-39.2318333333,-49.314,-31.9616666667
240.42,-31.9325185185,-29.4472777778,-33.5058888889,-24.4098888889,-31.8363333333,-25.9065555556,-46.5744444445,-31.0018333333,-40.2992222222,-22.8554444444
240.79,-29.4759259259,-28.4948333333,-32.6164444444,-23.656,-28.5204444445,-24.0145555556,-42.6011111111,-31.5923888889,-36.9174444445,-20.635
241.17,-23.0735185185,-21.9242222222,-24.6913333333,-18.9868888889,-19.0718888889,-18.0077777778,-31.375,-25.0958888889,-29.4168888889,-15.0701111111
241.54,-14.3398518518,-15.2777222222,-17.2718888889,-12.0014444444,-10.0784444444,-11.2177777778,-21.154,-18.8035,-22.1508888889,-7.40744444444
241.92,-8.00581481483,-7.92327777778,-12.3801111111,-5.16855555556,-4.45688888889,-4.02366666666,-12.2252222222,-13.061,-14.8868888889,-1.02133333333
242.29,-4.15170370369,-3.20983333333,-9.87666666668,-2.332,-2.24966666667,0.247111111113,-7.29777777778,-8.84783333333,-10.6173333333,2.03011111111
242.67,-2.79092592593,-2.13177777778,-9.48311111112,-0.723666666667,-1.52455555556,1.60211111111,-5.013,-6.55061111111,-10.0258888889,2.94588888889
243.05,-3.24577777778,-2.42833333333,-9.615,0.122555555557,-1.251,1.03022222222,-3.87544444444,-6.14433333333,-8.38855555556,2.74722222222
243.42,-4.56903703704,-4.63177777778,-13.0061111111,-2.24566666667,-3.46177777778,-0.51477777778,-4.86533333333,-7.33333333334,-9.89477777779,0.88877777778
243.80,-5.80555555557,-5.71961111111,-13.8303333333,-4.14911111111,-4.05544444445,-0.937777777777,-5.11022222222,-8.8725,-10.2673333333,0.25788888889
244.17,-2.74211111111,-4.16955555556,-11.1561111111,-3.58344444445,-1.71288888889,1.62277777778,-2.637,-7.06572222222,-7.798,2.45666666667
244.55,-1.289,-2.01933333333,-8.95300000001,-2.82055555555,-0.063999999999,3.56844444445,-0.299111111113,-5.46994444444,-6.49577777778,3.46144444444
244.92,0.909037037039,0.51538888889,-5.47466666667,-0.747555555553,2.24244444444,5.111,2.101,-2.43427777778,-5.19188888889,4.76755555556
245.30,0.165592592593,0.0475555555567,-6.51011111111,-0.515555555557,-0.114555555554,4.71555555556,1.33655555556,-1.38411111111,-5.78477777778,4.31466666666
245.67,-0.0872222222233,1.00455555556,-6.18444444444,-0.716222222222,-0.786333333333,5.38066666667,1.18788888889,-0.0175555555557,-4.66477777778,3.86077777778
246.05,-1.09211111111,-0.443277777778,-6.695,-2.54833333333,-1.48766666667,4.511,0.379888888888,0.03172222222,-5.74555555556,2.75388888889
246.42,-1.39314814815,-0.888222222222,-5.98511111111,-2.28644444444,-0.46588888889,4.22288888889,0.46611111111,0.473388888891,-5.24244444445,2.65033333333
246.79,-0.616037037038,-0.235777777777,-4.61233333333,-1.36255555555,0.432333333333,4.73022222222,1.284,1.30372222222,-3.91766666667,3.36733333333
247.17,1.12737037037,1.21605555555,-3.74066666667,-0.580111111112,1.72833333333,6.07433333333,2.17266666667,2.0865,-3.27155555556,4.40744444445
247.54,1.18370370371,1.21111111111,-3.17466666667,-0.364444444443,1.58733333333,6.10211111111,2.187,2.10455555556,-3.43333333333,4.77377777778
247.92,2.28896296296,2.65127777778,-2.229,0.461555555553,2.55533333333,7.13733333333,2.972,3.37172222222,-2.67911111111,5.59488888889
248.29,2.17762962963,3.08505555556,-2.02033333333,0.505111111113,2.536,7.32311111111,2.70088888889,3.60672222222,-2.34977777778,5.33611111111
248.67,0.911222222223,1.70261111111,-3.19211111111,-0.481444444447,0.839999999999,6.07111111111,1.42244444445,2.64333333333,-3.696,4.357
