wavelength,Back_PorCaem,Belly_PorCaem,Breast_PorCaem,Crissum_PorCaem,Crown_PorCaem,DorTail_PorCaem,Rump_PorCaem,Throat_PorCaem,WingTip_PorCaem
588.07,9.53680000001,9.9158,9.4092,9.65866666666,9.31666666666,6.92233333333,9.229,10.1672,7.28086666667
588.41,9.4714,9.87453333333,9.34793333334,9.61446666667,9.26606666667,6.8898,9.18733333333,10.1017333333,7.2686
588.74,9.46066666667,9.84493333334,9.31973333334,9.5854,9.25666666666,6.88673333334,9.17593333333,10.0792,7.24873333333
589.08,9.4262,9.80913333333,9.28693333333,9.57593333334,9.21879999999,6.86746666667,9.14266666667,10.0475333333,7.23726666667
589.42,9.45306666667,9.83653333333,9.31113333333,9.61219999999,9.23906666667,6.91186666667,9.15906666667,10.0678666667,7.28526666667
589.76,9.46426666667,9.81040000001,9.28786666667,9.61660000001,9.22606666667,6.90673333333,9.13786666667,10.0781333333,7.30873333333
590.09,9.48233333333,9.84953333332,9.31106666667,9.66873333333,9.23606666667,6.927,9.17533333333,10.1146,7.3496
590.43,9.3664,9.75506666666,9.19333333333,9.568,9.1112,6.8572,9.0742,10.0234,7.27933333333
590.77,9.38733333333,9.76466666667,9.2176,9.5974,9.13706666667,6.88346666667,9.11133333333,10.0354666667,7.30046666667
591.11,9.34893333333,9.71220000001,9.167,9.54253333334,9.08053333333,6.85806666667,9.08253333334,9.98893333334,7.2692
591.44,9.2822,9.65066666668,9.1052,9.489,9.01633333334,6.8002,9.0252,9.93900000001,7.215
591.78,9.26626666667,9.66299999999,9.09093333333,9.48033333333,9.00726666666,6.79773333333,9.02826666667,9.92480000001,7.26133333333
592.12,9.30373333333,9.67953333333,9.13266666666,9.50460000001,9.03693333333,6.8356,9.0648,9.97893333335,7.3104
592.46,9.31013333333,9.69626666667,9.1202,9.5108,9.01013333334,6.84333333333,9.06006666667,9.98479999999,7.31266666667
592.79,9.3164,9.7144,9.0994,9.51386666667,9.01053333333,6.86573333333,9.06586666667,9.99619999999,7.30586666667
593.13,9.3094,9.69000000001,9.07873333333,9.5026,9.00439999999,6.84266666667,9.08193333333,9.96900000001,7.2996
593.47,9.31666666667,9.67293333333,9.07213333333,9.48633333334,8.97533333333,6.83473333333,9.0878,9.94013333335,7.26933333333
593.80,9.24153333333,9.58646666667,8.99806666667,9.3918,8.88746666667,6.75313333333,9.0086,9.84939999999,7.19713333333
594.14,9.2976,9.64513333335,9.06233333333,9.45093333333,8.95166666666,6.8036,9.08446666667,9.90606666667,7.27146666667
594.48,9.29506666667,9.65173333335,9.0594,9.45560000001,8.94973333333,6.818,9.06833333333,9.92966666667,7.29666666667
594.81,9.32666666667,9.66913333333,9.0732,9.48013333333,8.96013333333,6.85033333333,9.07113333333,9.94973333335,7.3402
595.15,9.3578,9.67120000001,9.08906666667,9.51126666667,8.96899999999,6.88826666667,9.09393333333,9.95519999999,7.37506666667
595.49,9.37613333333,9.66546666667,9.09633333333,9.52933333334,8.98606666666,6.9164,9.0956,9.95906666667,7.39166666667
595.82,9.37953333333,9.66533333333,9.1026,9.54706666667,8.98700000001,6.90886666667,9.0986,9.94713333332,7.40233333333
596.16,9.3876,9.66579999999,9.11886666667,9.56506666666,8.99473333334,6.90513333333,9.11946666667,9.9582,7.42486666667
596.50,9.37986666667,9.62460000001,9.094,9.52473333333,8.95833333334,6.88546666667,9.1066,9.92373333333,7.42533333333
596.83,9.3622,9.60873333334,9.0584,9.50179999999,8.91746666666,6.86913333333,9.065,9.9186,7.41333333333
597.17,9.36266666667,9.63799999999,9.06153333333,9.5128,8.93826666667,6.89066666666,9.08166666667,9.94366666667,7.45686666667
597.51,9.42233333333,9.68613333334,9.1068,9.5836,8.9808,6.97233333333,9.12946666667,9.9966,7.52093333333
597.84,9.40533333333,9.65180000001,9.06613333333,9.56053333334,8.96866666666,6.973,9.10126666667,9.9664,7.506
598.18,9.41213333333,9.64540000001,9.063,9.55260000001,8.95760000001,6.9778,9.11413333333,9.94739999999,7.503
598.52,9.40766666667,9.6388,9.076,9.54666666667,8.95539999999,6.9776,9.1034,9.93066666667,7.494
598.85,9.38893333333,9.62340000001,9.03293333333,9.50906666667,8.91193333333,6.94666666667,9.07633333333,9.90086666667,7.48906666667
599.19,9.37073333333,9.58746666667,8.9992,9.48146666666,8.87693333333,6.93366666666,9.0618,9.87519999999,7.47086666667
599.53,9.3476,9.56053333333,8.95893333333,9.45699999999,8.82033333333,6.92366666667,9.03793333333,9.85393333333,7.44373333333
599.86,9.346,9.57060000001,8.95626666667,9.4618,8.83606666666,6.95093333333,9.029,9.85866666666,7.47366666667
600.20,9.37633333333,9.62859999999,9.02986666667,9.51920000001,8.89126666666,7.00753333333,9.07506666667,9.91346666667,7.5462
600.53,9.38346666667,9.63593333334,9.03106666667,9.51386666666,8.89673333334,7.01213333333,9.0832,9.91440000001,7.5698
600.87,9.38493333334,9.62959999999,9.02913333333,9.51746666667,8.88379999999,7.0192,9.09033333333,9.88986666666,7.56113333333
601.21,9.36526666668,9.63700000001,9.0278,9.49859999999,8.88406666667,7.00386666667,9.09013333333,9.90100000001,7.57606666667
601.54,9.38433333334,9.63779999999,9.04733333333,9.53186666666,8.86546666666,7.02473333333,9.1034,9.91079999999,7.60553333333
601.88,9.31806666667,9.59839999999,9.00553333333,9.49746666667,8.80606666667,6.99753333333,9.05446666667,9.86866666666,7.5896
602.21,9.3096,9.583,8.9698,9.48953333334,8.78960000001,7.00573333333,9.069,9.88006666666,7.6176
602.55,9.3426,9.61053333332,9.01646666667,9.52060000001,8.83473333333,7.0564,9.09866666667,9.92680000001,7.64993333333
602.88,9.35126666666,9.61806666667,9.0228,9.54433333333,8.82780000001,7.07466666667,9.09673333333,9.95173333333,7.669
603.22,9.37026666667,9.62953333333,9.0532,9.56333333333,8.863,7.1288,9.11133333333,9.97053333333,7.69433333333
603.56,9.36906666667,9.61939999999,9.0442,9.55833333334,8.82973333333,7.1106,9.1054,9.94673333333,7.69566666667
603.89,9.37,9.59793333333,9.0052,9.556,8.81653333333,7.10093333333,9.0958,9.94346666667,7.68266666667
604.23,9.3362,9.55733333332,8.97306666667,9.53506666667,8.7832,7.08486666667,9.0868,9.91966666667,7.66833333333
604.56,9.29673333333,9.52440000001,8.93326666667,9.51026666666,8.76113333333,7.08086666667,9.055,9.91146666667,7.6752
604.90,9.29306666667,9.52086666666,8.92166666667,9.51046666666,8.75066666667,7.09326666667,9.05686666667,9.89840000001,7.67413333333
605.23,9.29493333333,9.54906666667,8.93006666667,9.51173333333,8.75626666667,7.1006,9.0764,9.9208,7.69793333333
605.57,9.34026666667,9.55426666667,8.9402,9.5274,8.78833333334,7.12646666667,9.1116,9.95360000001,7.7282
605.90,9.3196,9.54173333333,8.9174,9.52073333332,8.77559999999,7.1166,9.09746666667,9.94666666666,7.72386666667
606.24,9.3032,9.51646666667,8.87113333333,9.50166666667,8.74293333333,7.09,9.08613333333,9.90686666666,7.717
606.58,9.3248,9.54513333333,8.8752,9.52500000001,8.77693333333,7.11426666667,9.1234,9.91606666667,7.75246666667
606.91,9.34273333333,9.54599999999,8.85933333333,9.53846666667,8.76946666666,7.10573333333,9.13353333333,9.91486666666,7.77273333333
607.25,9.3568,9.5482,8.8554,9.54433333333,8.78426666667,7.14633333333,9.1336,9.92046666667,7.77873333333
607.58,9.3278,9.54613333334,8.84426666667,9.5386,8.74673333333,7.15233333333,9.10966666667,9.8792,7.77486666667
607.92,9.3228,9.54533333334,8.839,9.55586666667,8.74673333334,7.18386666667,9.09133333333,9.86626666667,7.78333333333
608.25,9.3518,9.55946666667,8.87633333333,9.58246666667,8.74873333334,7.205,9.1142,9.86466666667,7.80553333333
