wavelength,Back_DelCasm,Belly_DelCasm,Breast_DelCasm,Crissum_DelCasm,Crown_DelCasm,DorTail_DelCasm,Patch10_DelCasm,Patch11_DelCasm,Rump_DelCasm,Throat_DelCasm,WingTip_DelCasm
757.24,10.283,51.4864,49.355,47.4586666667,15.3224,11.9040666667,6.91413333333,12.3959333333,11.0194666667,44.9404666667,14.7564
757.56,10.1390666667,51.2215333333,49.0320666667,47.3284666667,15.1020666667,11.5646,6.70993333333,12.2325333333,10.7854,44.8547333333,14.6507333333
757.87,10.1926,51.4433333333,49.5158,47.4766,15.3103333333,11.5332,6.73793333333,12.1725333333,10.8969333333,45.0311333334,14.7267333333
758.18,9.73420000001,51.2195333333,49.6340666667,47.5015333333,14.9280666667,11.0350666667,6.432,11.626,10.6254,44.9968,14.3966
758.50,9.65746666667,51.2810666667,49.7452,47.4488,14.8881333333,10.9556666667,6.4226,11.525,10.4958666667,44.9522,14.5064666667
758.81,9.89840000001,51.5438666667,50.3018,47.8336666667,15.129,11.3310666667,6.64786666667,11.6158,10.6210666667,45.4436,14.9224666667
759.13,10.0125333333,51.8376,50.6177333333,48.2157333333,15.2178666667,11.5208,6.78266666667,11.571,10.6930666667,45.6506666667,15.1646666667
759.44,10.1362,51.9273333333,50.8063333333,48.1509333333,15.2152666667,11.6204,6.81706666667,11.6706666666,10.7593333334,45.674,15.3499333333
759.75,10.0452666667,52.1674666667,50.9642,48.2042666667,15.0586,11.5206,6.8448,11.708,10.5641333333,45.6758,15.2930666667
760.07,10.1436,51.9406,50.6624666667,47.8647333333,15.152,11.5423333333,6.90446666666,11.9098666667,10.582,45.2802,15.5196
760.38,9.91473333333,51.5645333333,50.4696,47.6548666667,15.0625333333,11.5492666667,6.8434,11.8878,10.3874666667,45.0166,15.4680666667
760.69,10.0796,52.1335333333,50.6781333333,47.9776666667,15.345,11.8387333333,7.00353333333,12.2206666667,10.5698666667,45.3224666667,15.766
761.01,10.2405333333,52.2198666667,50.5960666667,47.9112666666,15.4729333333,11.9808,7.05433333333,12.3218666666,10.6604,45.247,15.9714666667
761.32,10.1242,52.1309333333,50.3387333333,47.7898666667,15.1905333333,11.7698666667,6.743,12.0801333333,10.4544666667,45.1510666667,15.8143333333
761.63,10.2714666667,52.6865333333,50.5444,48.1348666667,15.3746,11.8706666667,6.7268,12.1108,10.457,45.1958,15.9202666667
761.94,10.4248666667,53.1246666667,50.9211333333,48.6144666667,15.6346666667,11.9608,6.73533333333,12.2248666667,10.5701333333,45.4842,16.0358
762.26,10.4099333333,52.8754666667,50.5030666667,48.1911333333,15.4867333333,11.7838,6.70686666666,12.2892666667,10.5233333333,45.1673333333,15.9246
762.57,10.3924666667,52.7320666667,50.3899333333,47.9343333333,15.4824,11.9015333333,6.7294,12.3868666667,10.74,45.0295333333,15.8082666667
762.88,10.3898666667,53.1212666667,50.6963333333,48.1842,15.5980666667,11.9829333333,6.75386666667,12.4001333333,10.8518666667,45.3091333333,15.73
763.20,10.3310666667,53.0068,50.6434,48.1666,15.5809333333,11.9722,6.676,12.3103333333,10.8912,45.3123333333,15.6297333333
763.51,10.3034,52.9028,50.6836,48.1873333333,15.5226666667,11.9545333333,6.67113333333,12.2385333333,10.8186,45.3566,15.4493333333
763.82,10.5402,53.3196,51.1088,48.7008666667,15.7160666667,12.2026666666,6.92353333333,12.4549333333,11.0996,45.6231333333,15.5668666667
764.14,10.4855333333,53.1507333333,51.209,48.6222,15.6336,12.1336,6.7868,12.2745333334,11.0794666666,45.5455333333,15.3536666666
764.45,10.5737333333,53.4471333333,51.477,48.9426666667,15.6662,12.1552,6.78753333333,12.2546,11.2043333333,45.6282666666,15.3296
764.76,10.7726,53.2920666667,51.4089333333,48.8727333333,15.6971333333,12.3493333333,6.96553333333,12.3762,11.3412,45.4567333333,15.2916666667
765.07,10.899,52.9963333333,51.2762,48.7514666667,15.6544,12.3550666667,7.04886666667,12.3852,11.573,45.4494,15.2847333333
765.39,10.8766666667,52.4241333333,50.762,48.2662,15.4514,12.3121333333,7.01053333333,12.1766,11.5097333333,45.0644666666,15.1309333333
765.70,10.7946666667,52.4273333333,50.8576666667,48.2554,15.4069333333,12.2292666667,6.83446666667,11.9674666667,11.4388,44.8602,14.859
766.01,11.0528,52.7646,51.1900666667,48.5973333333,15.6372666667,12.2309333333,6.92353333334,12.0617333333,11.4203333333,45.1384666667,15.0917333333
766.32,10.9265333333,52.5722666667,51.2266666667,48.8044,15.4462666667,11.9134,6.54906666667,11.7616666667,11.041,44.9591333333,14.9822
766.64,10.7098666667,52.6398666667,51.3411333333,48.7406666667,15.1357333333,11.5669333333,6.23486666667,11.665,10.5560666667,44.7497333333,14.7105333333
766.95,10.9329333333,53.095,51.6309333333,48.9444666667,15.5363333333,11.6580666667,6.40793333333,11.8591333333,10.9431333333,44.9505333333,14.7939333333
767.26,10.9978666667,52.7416666667,51.1694,48.2388,15.3607333333,11.362,6.23953333333,11.5511333333,10.7843333333,44.5448,14.5834
767.57,11.3638,53.141,51.5815333333,48.3388,15.6945333333,11.6359333333,6.61593333333,11.9042,10.9575333333,44.7043333333,14.9981333333
767.88,11.4907333333,53.1434666667,51.5912,48.1556666667,15.8533333333,12.0492,7.02033333333,12.1495333333,11.1558,44.8129333333,15.1722666667
768.20,11.2562,53.3140666667,51.7726,48.1273333333,15.8920666667,12.0230666667,7.01726666667,12.1888,10.9594666666,44.9558666667,15.1483333333
768.51,10.5126666667,52.9902666667,51.3783333333,47.6522,15.3520666667,11.6378,6.32353333333,11.5142,9.98606666667,44.4006666667,14.2829333333
768.82,9.72493333334,52.9408666667,51.0767333333,47.266,14.8996666667,11.1549333333,5.60873333333,11.1094666667,9.415,43.7156666666,13.7671333333
769.13,9.61433333334,53.3076666667,51.4866,47.7720666667,15.0386,11.2039333333,5.36426666667,11.1738666667,9.40019999999,43.929,14.0102
769.44,9.64279999999,53.3947333333,51.2162666667,47.7318666667,14.9768666667,11.1812666667,5.28593333333,11.3346666667,9.40606666667,43.7474666667,13.9996
769.76,9.52633333333,52.9854,50.5970666667,46.8823333333,14.9726,11.2227333333,5.4814,11.3506,9.54393333332,43.3002666667,13.9414
770.07,10.43,53.351,50.7977333333,47.3671333333,15.8820666667,11.9857333333,6.281,12.0034666667,10.5628666667,43.577,14.836
770.38,9.86626666665,53.1067333333,50.5053333333,46.9839333334,15.3590666667,11.806,5.81013333333,11.5838,10.1381333333,43.3311333333,14.6339333333
770.69,9.66026666665,52.9936,50.3949333333,47.0568,15.7026,12.0018,5.9596,12.0339333333,10.2984666666,43.3242,14.9725333333
771.00,9.35199999999,53.2772666667,50.2129333333,47.5603333333,15.5883333333,11.9298,5.81526666667,12.1028,10.3299333333,43.5508666667,15.0082666667
771.32,9.04360000001,52.8883333333,49.9006666667,47.6137333334,15.5397333333,11.5674,5.6724,12.0975333333,10.0472666667,43.1534,14.8200666667
771.63,9.12959999999,52.9556666667,49.8803333334,47.7236,15.5524,11.6834,5.6432,12.2334,10.1292,43.0464,14.9402
771.94,9.7574,53.2806666667,50.3528,47.9050666667,15.9540666667,12.2102,6.17713333333,12.8246,10.6022,43.4558,15.4789333333
772.25,10.1354,53.3526666667,50.6289333333,47.9342,15.8684666667,12.4721333333,6.49726666667,13.1591333333,10.8031333334,43.8945333333,15.5008666667
772.56,9.88420000001,52.7632,50.1738666667,47.3236666667,15.4153333333,12.3333333333,6.56033333333,13.198,10.8262666667,43.5508,15.2174666666
772.87,9.96353333332,52.8074,50.3773333333,47.363,15.5588,12.3544666667,6.6326,13.1579333333,10.8546,43.7692,15.2130666667
773.18,10.8702,53.5594666667,51.1848666667,48.4168666667,16.0964,13.0582,7.5712,14.1691333333,11.6616,44.6016666667,16.0078666667
773.50,10.9234,53.3235333333,51.0121333333,48.2815333333,15.8319333333,13.0666,7.5654,14.3852666667,11.7778,44.479,15.8617333333
773.81,11.7638666667,53.7718,51.7189333333,49.1081333333,16.3776666667,13.5226,8.34573333333,14.9975333334,12.1973333333,44.7682666667,16.5919333334
774.12,12.3968,53.9274666667,52.1600666667,49.6174,16.5961333333,13.8922,8.92239999999,15.438,12.8398666666,45.131,16.9687333334
774.43,12.7938666667,54.0304666667,52.4987333333,49.7708,16.6869333333,14.2851333333,9.38933333333,15.4808666667,13.0737333333,45.0738,17.1756
774.74,12.6409333333,54.1034,52.5736,49.5556,16.3978666667,14.2429333333,8.95093333334,15.0284666667,12.8992,45.0284666667,16.708
775.05,13.3072,54.6801333333,53.0933333333,50.1854,16.9826666667,14.7116666667,9.44393333333,15.338,13.3594,45.6695333333,17.0399333333
775.36,13.3124666667,54.5203333333,52.8365333333,50.1909333333,17.1032666667,14.719,9.52673333334,15.634,13.4588,45.7046,17.2392
