wavelength,Back_HemXanm,Belly_HemXanm,Breast_HemXanm,Crissum_HemXanm,Crown_HemXanm,DorTail_HemXanm,Rump_HemXanm,Throat_HemXanm,WingTip_HemXanm
789.92,18.3446,55.8833333333,35.5216,35.3251333333,21.0974,20.1331333333,17.5007333333,37.8876666667,19.3908666667
790.23,19.4037333333,56.1624,36.3843333333,36.0927333333,21.9093333333,21.1165333333,18.5347333333,38.1921333333,19.9684
790.54,19.9355333333,56.699,36.7182666667,36.3828,22.3080666667,21.2443333333,19.1361333333,38.4913333334,20.5092
790.85,19.9079333333,56.3935333333,36.466,36.2290666666,22.0073333333,20.7372,18.8748,38.0255333333,20.3618666667
791.16,19.6220666667,56.0324666667,35.6478666667,35.8706,21.4641333333,19.8921333333,18.05,37.7665333333,20.0540666667
791.47,19.9729333333,56.2089333333,35.7340666667,36.0054,21.4785333333,19.8371333333,18.0127333333,37.701,20.6172
791.78,20.4609333334,57.0003333333,36.7182666667,36.622,22.628,20.4127333333,18.8579333333,38.2936666667,21.3554
792.08,20.9205333333,57.6081333333,37.3362,37.0571333333,23.3193333333,20.8577333333,19.6513333333,39.0726666667,21.8130666667
792.39,21.6508,58.6582666667,38.1030666667,37.745,24.0182,21.5454,20.3090666667,39.8174,22.7046
792.70,20.4445333333,58.172,37.4623333334,36.9030666667,22.8172,20.4946666667,19.4409333333,38.8388,21.9857333333
793.01,20.6150666667,58.0758666667,37.4248666667,36.6166,23.2046,20.6368,19.5135333333,39.0558,22.0316
793.32,21.298,57.8652666667,37.688,36.7375333333,23.6666666667,20.7659333333,20.156,39.2977333333,22.5603333333
793.62,20.8917333333,57.0487333333,36.8506666667,36.2492,23.1564666667,20.1627333333,19.6248666667,38.6907333333,22.2719333333
793.93,20.4149333334,56.8454,36.395,36.0730666667,22.8611333333,20.0643333333,18.8984,38.5192,22.0887333333
794.24,19.6934666667,56.1852,35.8929333333,35.7433333333,22.346,19.6649333334,18.2389333333,37.9893333333,21.9893333333
794.55,19.7352666667,56.9314,36.5308,36.0371333333,22.5535333333,20.2789333333,18.3333333333,38.4835333333,22.4891333333
794.86,19.6731333333,56.7519333333,36.6381333333,35.8493333333,22.8573333333,20.3767333334,18.4363333333,38.6638666667,22.3028
795.16,19.6044666667,56.6807333333,36.5394666667,36.0876,22.4859333333,20.572,18.5735333333,39.3078666667,22.5634666667
795.47,19.3031333333,56.2407333333,36.0084,35.8183333333,21.9358666667,20.0212,17.8457333333,39.3171333333,22.1542666667
795.78,18.4238666667,55.449,35.1012666667,35.0231333333,20.7098666667,18.7858,16.6135333333,38.5870666667,20.8946
796.09,18.8924666667,55.6190666667,35.6121333333,35.7037333333,21.1781333333,19.1956666667,17.2204,39.4427333333,21.2981333333
796.40,18.481,56.2132666667,35.8100666667,36.1268,20.8134,18.7545333333,17.0914666667,39.6543333333,21.087
796.70,17.6323333333,56.5890666667,35.8714,35.9896,20.5993333333,18.5128,16.3966666667,39.7781333333,20.5549333333
797.01,17.6458,57.2646666667,36.5993333333,36.405,21.2406666667,18.834,16.6443333333,40.7848,20.6502666667
797.32,17.9480666667,57.5046666667,37.1815333333,36.9184,21.4430666667,19.0303333333,17.2943333333,41.3528,20.6012666667
797.63,18.1421333333,58.4557333333,37.9664,37.3165333333,21.5674,19.549,17.8364666667,42.0641333333,20.7416
797.93,18.5862666667,58.4036666666,38.1603333333,37.7956,22.2729333333,19.8479333333,18.5938,42.1435333333,21.3074
798.24,18.8698,58.9772666667,38.7389333333,38.9236,22.8681333333,20.3306666667,19.454,42.4836666667,21.907
798.55,18.7532666667,58.343,38.6449333333,38.6372666667,23.0662,20.3794,19.1018,41.5486666667,21.3086
