wavelength,Back_LoxAnom,Belly_LoxAnom,Breast_LoxAnom,Crissum_LoxAnom,Crown_LoxAnom,DorTail_LoxAnom,Patch10_LoxAnom,Rump_LoxAnom,Throat_LoxAnom,WingTip_LoxAnom
588.41,15.636,10.41425,7.33025,15.683,6.21116666667,8.62266666667,26.9698333333,17.8119166667,5.80258333333,11.5255833333
588.74,15.6703333333,10.4265833333,7.33791666667,15.73725,6.22716666667,8.65866666667,27.0375833333,17.8495833333,5.825,11.54675
589.08,15.7021666667,10.4668333333,7.37316666667,15.78075,6.23991666666,8.65025,27.0216666666,17.8560833333,5.85583333333,11.5573333333
589.42,15.7045833333,10.46675,7.34241666667,15.7770833333,6.19441666667,8.621,27.0256666667,17.8280833333,5.82991666667,11.5436666667
589.76,15.7235833333,10.4915,7.33658333333,15.8555833333,6.19941666667,8.62299999999,27.0648333333,17.8618333333,5.82483333333,11.5296666667
590.09,15.7115,10.5175,7.332,15.8648333333,6.18166666667,8.61066666667,27.0806666666,17.8385,5.81433333333,11.5054166666
590.43,15.6856666667,10.45925,7.28758333334,15.84475,6.169,8.58416666667,27.0525,17.7985833333,5.79525,11.4756666666
590.77,15.7388333333,10.5065,7.31991666666,15.9303333333,6.17883333333,8.62133333332,27.09725,17.8475833333,5.84033333333,11.5125
591.11,15.7146666667,10.47975,7.30066666667,15.9656666667,6.15933333334,8.60099999999,27.0458333333,17.8324166667,5.80716666667,11.4738333333
591.44,15.6755,10.46,7.27008333334,15.9634166667,6.13458333333,8.59008333333,27.04775,17.8085,5.78758333333,11.4530833333
591.78,15.6995,10.4765833333,7.30716666667,16.0221666667,6.16083333333,8.61608333333,27.0751666666,17.818,5.8055,11.4875
592.12,15.6445833333,10.43575,7.25516666667,16.02275,6.10683333333,8.56275,27.0205833333,17.7559166667,5.75108333333,11.4449166667
592.46,15.6754166667,10.4925,7.28358333333,16.1055,6.14108333334,8.58958333333,27.0428333333,17.7973333333,5.75425,11.4744166667
592.79,15.6328333333,10.479,7.25616666666,16.1321666667,6.12483333333,8.60716666667,27.0279166667,17.7868333333,5.73533333333,11.5
593.13,15.6415,10.4841666667,7.25958333333,16.1855833333,6.13575,8.62575000001,27.0263333333,17.808,5.76608333333,11.531
593.47,15.6389166667,10.4831666667,7.24533333334,16.2198333333,6.13908333333,8.61391666666,27.0075833333,17.7995833333,5.78016666667,11.5600833334
593.80,15.6518333333,10.4735833333,7.24441666666,16.2708333333,6.13525,8.62116666666,27.0018333333,17.8073333334,5.79016666667,11.5625833334
594.14,15.6155833333,10.4486666667,7.22175,16.3011666667,6.09216666667,8.59024999999,26.9841666666,17.78575,5.76075,11.5533333333
594.48,15.6505833333,10.4488333333,7.21158333333,16.348,6.10858333333,8.62533333333,26.9865833333,17.77925,5.76125,11.5703333333
594.81,15.7003333333,10.4615833333,7.2105,16.3804166667,6.11375,8.62324999999,27.0275,17.7876666667,5.7635,11.5991666667
595.15,15.716,10.4540833333,7.20641666667,16.4044166667,6.09933333333,8.59683333333,27.0299166666,17.7780833333,5.74225,11.5775833333
595.49,15.6959166667,10.4151666667,7.16383333333,16.419,6.05166666666,8.5805,27.0124166667,17.7656666666,5.69658333333,11.555
