wavelength,Back_PhrCarf,Belly_PhrCarf,Breast_PhrCarf,Crissum_PhrCarf,Crown_PhrCarf,DorTail_PhrCarf,Rump_PhrCarf,Throat_PhrCarf,WingTip_PhrCarf
612.60,13.455,34.6156666667,26.8146666667,20.2866666667,14.539,10.2936666667,15.0546666667,24.4603333333,17.354
612.94,13.527,34.711,26.9586666667,20.3236666667,14.5906666667,10.3603333333,15.1156666667,24.4973333333,17.3996666667
613.27,13.6343333333,34.7373333333,26.9526666667,20.3486666667,14.6123333333,10.3523333333,15.2163333333,24.5356666667,17.4453333333
613.61,13.535,34.7086666667,26.9146666667,20.3526666667,14.5143333333,10.2633333333,15.1993333333,24.5753333333,17.326
613.94,13.645,34.7303333333,27.0616666667,20.4,14.6266666667,10.2636666667,15.2966666667,24.615,17.4443333333
614.28,13.7596666667,34.8333333333,27.2243333333,20.4686666667,14.8176666667,10.4486666667,15.4783333333,24.7476666667,17.5493333333
614.61,13.6946666667,34.7296666667,27.2223333333,20.5116666667,14.7673333333,10.451,15.4946666667,24.682,17.5093333333
614.94,13.655,34.6633333333,27.12,20.4836666667,14.9076666667,10.484,15.496,24.685,17.5326666667
615.28,13.662,34.708,27.1196666667,20.426,14.9183333333,10.4406666667,15.5086666667,24.6203333333,17.4926666667
615.61,13.7383333333,34.8466666667,27.214,20.4206666667,14.973,10.541,15.528,24.6986666667,17.472
615.95,13.8883333333,34.8346666667,27.3066666667,20.572,15.107,10.6143333333,15.7206666667,24.7766666667,17.6646666667
616.28,13.723,34.648,27.144,20.4553333333,14.97,10.441,15.5893333333,24.6503333333,17.5533333333
616.61,13.725,34.7036666667,27.1233333333,20.5356666667,14.9346666667,10.4676666667,15.601,24.641,17.5806666667
616.95,13.6593333333,34.7506666667,27.302,20.5636666667,14.9026666667,10.5416666667,15.5363333333,24.6523333333,17.514
617.28,13.688,34.9066666667,27.2936666667,20.5083333333,14.9423333333,10.6013333333,15.5356666667,24.626,17.5936666667
617.62,13.6253333333,35.027,27.3023333333,20.408,14.9156666667,10.6736666667,15.5283333333,24.6363333333,17.4996666667
617.95,13.5663333333,35.147,27.223,20.504,14.749,10.4966666667,15.443,24.5683333333,17.442
618.28,13.5193333333,35.2043333333,27.225,20.4483333333,14.6573333333,10.472,15.4123333333,24.5736666667,17.3736666667
618.62,13.6886666667,35.334,27.5466666667,20.6493333333,14.7343333333,10.5793333333,15.4733333333,24.6836666667,17.458
618.95,13.749,35.4303333333,27.6076666667,20.836,14.7756666667,10.658,15.544,24.7116666667,17.5066666667
619.28,13.752,35.3986666667,27.5313333333,20.9173333333,14.7543333333,10.6953333333,15.55,24.7723333333,17.5656666667
619.62,13.853,35.6166666667,27.5513333333,20.9216666667,14.8496666667,10.716,15.598,24.912,17.6163333333
619.95,13.9713333333,35.7503333333,27.5703333333,21.0326666667,14.9423333333,10.755,15.65,24.9423333333,17.745
620.28,14.071,35.8076666667,27.61,20.9953333333,15.1493333333,10.8863333333,15.824,25.15,17.883
620.62,14.1063333333,35.8756666667,27.5136666667,21.0003333333,15.2416666667,10.8483333333,15.8626666667,25.3013333333,18.0246666667
620.95,14.198,35.7526666667,27.5446666667,21.076,15.3436666667,10.927,15.9793333333,25.299,18.063
621.28,14.24,35.7996666667,27.576,21.1793333333,15.3376666667,10.881,16.005,25.3576666667,18.0633333333
621.62,14.222,35.8326666667,27.7133333333,21.0143333333,15.414,10.9036666667,16.1003333333,25.454,18.1196666667
621.95,14.1566666667,35.7073333333,27.6963333333,20.9846666667,15.481,10.818,16.0556666667,25.495,18.093
622.28,14.0336666667,35.7146666667,27.5356666667,20.8343333333,15.3836666667,10.7,16.0426666667,25.475,18.038
622.62,14.0726666667,35.6316666667,27.5966666667,20.7383333333,15.4306666667,10.666,16.0533333333,25.5713333333,18.0646666667
622.95,14.0876666667,35.562,27.645,20.6763333333,15.47,10.6163333333,16.0493333333,25.5386666667,18.0476666667
623.28,14.001,35.4406666667,27.57,20.626,15.4136666667,10.6276666667,15.9616666667,25.4513333333,18.035
623.62,14.025,35.402,27.7393333333,20.6703333333,15.3703333333,10.723,16.0093333333,25.5643333333,18.0216666667
623.95,14.0146666667,35.376,27.692,20.7326666667,15.327,10.7096666667,16.03,25.4943333333,18.1003333333
624.28,14.0346666667,35.3116666667,27.7013333333,20.7346666667,15.3233333333,10.784,16.0213333333,25.4016666667,18.1056666667
624.62,14.091,35.4433333333,27.8406666667,20.8556666667,15.3766666667,10.867,16.0183333333,25.5456666667,18.2193333333
624.95,14.058,35.282,27.7226666667,20.8263333333,15.3126666667,10.8726666667,15.9176666667,25.4936666667,18.1993333333
625.28,14.1603333333,35.2106666667,27.7006666667,20.8813333333,15.3593333333,10.9223333333,15.984,25.4593333333,18.295
625.61,14.1863333333,35.3036666667,27.7166666667,20.8836666667,15.3573333333,10.942,15.993,25.4223333333,18.3253333333
625.95,14.156,35.1893333333,27.6543333333,20.772,15.3023333333,10.9566666667,15.9433333333,25.4036666667,18.265
626.28,14.1193333333,35.2666666667,27.7383333333,20.7246666667,15.268,10.972,15.9673333333,25.3676666667,18.2526666667
626.61,14.129,35.312,27.7486666667,20.7163333333,15.2423333333,10.9726666667,15.995,25.3133333333,18.2476666667
626.94,14.0763333333,35.3953333333,27.7753333333,20.774,15.257,10.9296666667,16.036,25.3166666667,18.301
627.28,14.0186666667,35.43,27.7583333333,20.7083333333,15.2456666667,10.8523333333,16.051,25.2066666667,18.2143333333
627.61,14.0663333333,35.364,27.8006666667,20.6956666667,15.2676666667,10.8623333333,16.0706666667,25.158,18.23
627.94,14.0476666667,35.31,27.8783333333,20.6233333333,15.2096666667,10.8946666667,16.0603333333,25.1813333333,18.1163333333
628.27,14.054,35.3226666667,27.962,20.5816666667,15.2053333333,10.87,16.0873333333,25.154,18.113
628.61,14.0983333333,35.4493333333,28.119,20.6036666667,15.2773333333,10.8526666667,16.142,25.1476666667,18.1936666667
628.94,14.046,35.3506666667,28.0466666667,20.5523333333,15.2096666667,10.817,16.0173333333,25.0893333333,18.1106666667
629.27,14.056,35.3906666667,27.9793333333,20.48,15.2016666667,10.8036666667,16.0486666667,25.1506666667,18.1396666667
629.60,14.0816666667,35.4613333333,28.1366666667,20.5513333333,15.2456666667,10.7733333333,16.042,25.1616666667,18.1753333333
