wavelength,Back_TanCalf,Belly_TanCalf,Breast_TanCalf,Crissum_TanCalf,Crown_TanCalf,DorTail_TanCalf,Patch10_TanCalf,Rump_TanCalf,Throat_TanCalf,WingTip_TanCalf
605.57,5.15616666667,11.6271666666,9.79191666668,6.25033333333,66.20575,5.708,11.7126666666,101.914361111,11.1585,7.35747916667
605.90,5.13716666667,11.6208333333,9.80416666668,6.2715,66.2873333334,5.72091666667,11.7065833333,101.725111111,11.1716666666,7.39647916666
606.24,5.1605,11.6531666666,9.84916666667,6.29866666667,66.44275,5.77933333333,11.7410833333,101.624777778,11.19775,7.43225
606.58,5.181,11.6824166667,9.84216666668,6.32283333333,66.50575,5.82608333333,11.7428333333,101.469333333,11.1873333334,7.499875
606.91,5.1505,11.64225,9.79433333332,6.2825,66.5078333333,5.77333333333,11.6789166667,101.265888889,11.1265,7.47420833333
607.25,5.08258333334,11.5944166667,9.73116666667,6.2315,66.5966666667,5.72516666667,11.5926666667,101.170666667,11.0525833333,7.41735416667
607.58,5.07841666667,11.5900833333,9.72266666665,6.2085,66.5831666667,5.71066666667,11.5238333333,100.934805555,11.0228333333,7.37110416667
607.92,5.08658333333,11.5855,9.72708333332,6.22683333333,66.65675,5.73758333333,11.50525,100.828472222,11.0299166666,7.36139583334
608.25,5.05058333334,11.56,9.67508333334,6.18691666667,66.7135833334,5.6945,11.43775,100.736694444,10.9826666666,7.3466875
608.59,5.03466666667,11.58425,9.65391666668,6.1945,66.796,5.68558333333,11.3905,100.622972222,10.9728333333,7.30754166667
608.92,4.99958333333,11.5555833333,9.62666666667,6.19908333333,66.8191666667,5.671,11.3436666666,100.396611111,10.9286666666,7.2971875
609.26,4.9905,11.56425,9.64041666667,6.21583333333,66.9301666666,5.67916666667,11.3424166666,100.316583333,10.9308333333,7.30254166667
609.59,4.98075,11.54525,9.59858333332,6.19608333333,66.9513333333,5.65141666666,11.284,100.141222222,10.89325,7.2728125
609.93,4.91408333334,11.486,9.52091666667,6.15558333334,66.9308333333,5.577,11.1785833333,99.8965833332,10.8084166667,7.22397916667
610.26,4.90125,11.4894166667,9.52733333333,6.189,67.0509166667,5.56833333333,11.16225,99.8183611111,10.8295,7.22022916667
610.60,4.94733333333,11.5235,9.5465,6.24175,67.1235,5.61058333333,11.2293333334,99.634138889,10.86575,7.26547916667
610.93,4.9775,11.5253333333,9.55808333334,6.258,67.2225833333,5.62675,11.25075,99.4788333332,10.8930833333,7.29833333334
611.27,5.02541666667,11.52525,9.58441666668,6.30641666667,67.3500833333,5.67375,11.2821666667,99.3169722223,10.9305,7.3741875
611.60,4.99058333333,11.49075,9.56175,6.2955,67.3313333333,5.66083333333,11.2519166667,99.0491111112,10.9191666667,7.37902083333
611.93,5.03416666667,11.5314166667,9.62325000001,6.33516666667,67.3384166667,5.72041666666,11.272,98.8126666668,10.9655833334,7.41935416667
612.27,5.0725,11.501,9.64041666667,6.3585,67.3698333334,5.76316666666,11.29025,98.585527778,10.9773333333,7.46804166667
612.60,5.18608333333,11.5671666666,9.71166666667,6.43166666667,67.4390833333,5.87158333333,11.4023333333,98.4423888887,11.1035,7.57058333333
612.94,5.21858333333,11.5825833333,9.71475,6.47541666667,67.5493333334,5.93175,11.4086666667,98.4674444444,11.12525,7.62227083334
613.27,5.25916666667,11.6111666667,9.754,6.5295,67.5704166667,5.99666666666,11.443,98.2837777779,11.1405833333,7.69591666667
613.61,5.27133333333,11.6175833333,9.75975,6.54941666666,67.5781666667,6.01483333333,11.45675,98.0904722221,11.1489166667,7.73320833333
613.94,5.288,11.59975,9.75466666666,6.5145,67.5445,6.01125,11.45875,97.7988611112,11.1048333333,7.71104166667
614.28,5.28483333333,11.6021666666,9.75616666666,6.51358333333,67.6194166667,6.01533333333,11.43575,97.703861111,11.0933333333,7.7251875
614.61,5.28208333334,11.6219166666,9.77683333332,6.50733333334,67.5841666666,6.02025,11.4054166666,97.5278333334,11.09425,7.71152083333
614.94,5.16025,11.5290833334,9.67308333333,6.43491666667,67.4310833333,5.91416666667,11.297,97.2706388889,10.9655,7.59295833333
615.28,5.15108333333,11.5001666667,9.62725000001,6.41583333333,67.413,5.88391666666,11.2555833333,97.0310555556,10.932,7.5766875
615.61,5.18075,11.5204166667,9.5905,6.427,67.5099166666,5.90608333333,11.251,96.9839444445,10.9236666667,7.57291666666
615.95,5.13116666667,11.5045833333,9.53258333333,6.39308333334,67.6094166667,5.86308333333,11.20925,96.9708611112,10.8891666667,7.54072916667
616.28,5.04083333333,11.41525,9.43208333333,6.30133333333,67.6340833333,5.7645,11.1043333333,96.85575,10.7825833333,7.43083333333
616.61,5.02308333334,11.3588333333,9.37641666667,6.27291666667,67.527,5.69475,11.05975,96.4796944444,10.7453333333,7.35295833333
616.95,5.01408333333,11.3451666667,9.34575,6.24716666667,67.60425,5.65583333333,11.0535833333,96.4307222221,10.753,7.3238125
617.28,4.98958333333,11.3265,9.33825000001,6.22533333333,67.7574166667,5.63933333334,11.0346666667,96.4925000001,10.7103333333,7.304375
617.62,4.97875,11.3316666667,9.32691666666,6.21308333333,67.7633333333,5.61483333333,11.0116666667,96.372611111,10.7235833333,7.3325
617.95,4.948,11.3000833333,9.30941666668,6.20075,67.8518333334,5.60108333333,10.941,96.3005833333,10.7250833333,7.27925
618.28,4.96025,11.3009166667,9.32125000001,6.21833333333,67.9619166667,5.61266666667,10.957,96.1769166666,10.7445,7.3143125
618.62,4.98141666666,11.3091666667,9.31225000001,6.22058333333,68.07025,5.64275,10.9639166667,96.0920277776,10.7716666666,7.37372916667
618.95,4.97183333333,11.2843333333,9.29175000001,6.17808333333,68.0128333334,5.62866666667,10.92825,95.8311111112,10.7595833333,7.3373125
619.28,4.93116666667,11.25225,9.26741666667,6.17508333333,68.1010833333,5.581,10.9034166667,95.7603055556,10.729,7.33252083333
619.62,4.97458333333,11.2479166667,9.32016666666,6.20916666667,68.0031666667,5.61325,10.8765833333,95.4421388891,10.7366666667,7.37333333333
619.95,4.96,11.2844166667,9.36033333333,6.24666666666,68.0355833333,5.64708333333,10.88675,95.2186944444,10.7456666667,7.4165625
620.28,4.95416666667,11.29075,9.34783333333,6.24175,68.113,5.65641666667,10.8766666666,95.0956111112,10.7379166667,7.44475
620.62,4.98725,11.31625,9.39758333334,6.27883333333,68.17375,5.69125,10.8775,94.9555555554,10.7411666667,7.47852083333
620.95,5.02041666667,11.3091666667,9.43458333334,6.28575,68.1685833333,5.73108333334,10.84725,94.659611111,10.7711666667,7.48522916667
