wavelength,Back_ThrOrnm,Belly_ThrOrnm,Breast_ThrOrnm,Crissum_ThrOrnm,Crown_ThrOrnm,DorTail_ThrOrnm,Patch10_ThrOrnm,Patch11_ThrOrnm,Rump_ThrOrnm,Throat_ThrOrnm,WingTip_ThrOrnm
586.72,11.1571333333,26.135,17.9691333333,22.9014666667,16.9578666667,10.5515333333,15.573,29.8882,16.5634666667,20.2874666667,9.56899999999
587.06,11.1669333333,26.1568,17.9987333333,22.9359333333,16.971,10.5801333333,15.6321333333,29.9008,16.5546,20.2864,9.57886666667
587.39,11.1782666667,26.1589333333,17.9629333333,22.9445333333,16.9809333333,10.5846,15.6125333333,29.9066,16.5082666667,20.286,9.53653333334
587.73,11.211,26.2128666667,17.9921333334,23.0319333333,17.0315333333,10.5905333333,15.6482,29.9642,16.5333333333,20.3708,9.57626666667
588.07,11.2147333333,26.2218666667,18.0104666667,23.0398,17.0390666667,10.5627333333,15.6425333333,29.9673333333,16.5128666667,20.3631333333,9.55379999999
588.41,11.1960666667,26.1586666667,17.9730666667,22.9706,16.9820666667,10.5254,15.5842666667,29.8986666667,16.4398666667,20.2891333333,9.46246666667
588.74,11.1540666667,26.1228,17.9886,22.9550666667,16.9660666667,10.526,15.5628666667,29.8796,16.4285333333,20.2699333333,9.50653333333
589.08,11.2692666667,26.1758666667,18.0582666667,23.0184666667,17.0269333333,10.5824666667,15.6214,29.9350666667,16.5025333333,20.3006666667,9.61386666665
589.42,11.2676,26.1564,18.0473333333,23.0018666667,17.0313333333,10.5728,15.6220666667,29.937,16.4759333333,20.2965333333,9.61686666667
589.76,11.3006,26.1768,18.0293333333,23.0122666667,17.0376,10.6254,15.6466,29.9656666667,16.4570666667,20.3154,9.66413333332
590.09,11.3120666667,26.2338,18.0738,23.0520666667,17.0559333333,10.6744,15.6615333333,30.0108,16.5278,20.3424,9.68460000001
590.43,11.3640666667,26.3358666667,18.112,23.1288666667,17.1419333333,10.7738666667,15.731,30.1139333333,16.5593333333,20.4204,9.74913333333
590.77,11.4234,26.3756666667,18.1539333333,23.1474666667,17.1971333333,10.8581333333,15.7539333333,30.1462,16.6086666667,20.4831333333,9.83039999999
591.11,11.4397333333,26.3970666667,18.1808,23.1974,17.1991333333,10.8845333333,15.7704666667,30.1312666667,16.6650666667,20.4976,9.88220000001
591.44,11.383,26.3386666667,18.1323333333,23.1388,17.134,10.8750666667,15.7347333333,30.0094666667,16.6298,20.4309333333,9.843
591.78,11.3652,26.3312666667,18.0854666667,23.1147333333,17.1084,10.9197333333,15.7210666667,29.9555333334,16.6156,20.4064,9.83886666667
592.12,11.3453333333,26.3643333334,18.1066,23.1608666667,17.1339333333,10.9514,15.7364,30.0070666667,16.6411333333,20.4536,9.89506666667
592.46,11.3609333333,26.3595333333,18.0834,23.1502666667,17.0986666667,10.9449333334,15.7444,29.9290666667,16.6354666667,20.4778666667,9.84426666667
