wavelength,Back_PhrFrum,Belly_PhrFrum,Breast_PhrFrum,Crissum_PhrFrum,Crown_PhrFrum,DorTail_PhrFrum,Patch10_PhrFrum,Patch11_PhrFrum,Rump_PhrFrum,Throat_PhrFrum,WingTip_PhrFrum
732.94,11.999925,34.7020333333,7.60046666667,30.2841925926,8.16426666667,9.66193333334,8.59639999999,10.7648333333,13.6696333333,9.74426666667,13.7720666667
733.25,12.1340833333,34.7710666667,7.62326666667,30.3742925926,8.23176666667,9.77099999999,8.65913333333,10.7044,13.6564,9.90953333333,13.7525333333
733.57,12.369525,35.0490333333,7.93133333333,30.6046185185,8.5262,9.9954,8.91553333333,10.8985333333,13.889,10.1876666667,13.9516
733.89,12.3120166667,35.2248666667,8.00273333334,30.7318555556,8.58393333333,9.91993333335,8.99,10.9101333333,13.9099,10.1925333333,14.0766666667
734.21,12.3332833333,35.2212666667,7.95246666667,30.7952481481,8.60816666667,9.81033333333,8.99346666666,10.898,13.9578333333,10.0904666667,14.1484666667
734.52,12.2462666667,35.0455,7.9826,30.6522851852,8.59303333333,9.81373333335,8.98340000001,10.8027,13.8893,10.0316666667,14.0764
734.84,12.30665,35.1897333333,8.1336,30.7871037037,8.51803333333,9.95779999999,8.9892,10.8394333333,13.9972666667,10.1713333333,14.1808666667
735.16,12.5496333334,35.2908666667,8.38206666667,30.9229851852,8.81303333333,10.1426,9.13286666667,10.9603,14.2155333333,10.4668,14.4332
735.48,13.129175,35.8793666667,8.92673333333,31.4853518519,9.24526666666,10.6204666667,9.70239999999,11.3838,14.6719,11.0208,14.8952
735.79,13.6088166666,36.0724333333,9.18153333334,31.9380111111,9.62056666667,10.9948,10.0978,11.7538333333,15.0425666666,11.4455333333,15.2657333333
736.11,13.933725,36.3333333333,9.52166666666,32.2615333333,10.1902,11.5640666667,10.6200666667,11.9907666667,15.4304666667,11.8542,15.4960666667
736.43,13.734425,36.1469666667,9.27186666667,32.0975814815,10.0197,11.5144666667,10.5163333333,11.7480333333,15.4023,11.6584,15.4165333333
736.74,13.9234916667,36.1365666667,9.52773333334,32.2115259259,10.223,11.7836666667,10.8176,11.9005,15.6360666667,11.8754,15.6481333333
737.06,13.569775,35.7186666667,9.13586666667,31.892062963,9.79819999999,11.2851333333,10.3173333333,11.4022666667,15.2534333333,11.3712666667,15.3924666667
737.38,13.5704833333,35.5736,9.0972,31.8273148148,9.7569,11.4088,10.2673333333,11.4549666667,15.2084666667,11.2393333333,15.4843333333
737.69,13.626825,35.4186,9.26146666666,31.8023666667,9.88186666667,11.5391333333,10.2067333333,11.5699,15.2117,11.3073333333,15.6526
738.01,13.7724333333,35.7234,9.5294,31.9987481481,10.1093333333,11.6918,10.3436666667,11.8767,15.4574,11.5606,15.9006666667
738.33,13.7241416667,35.4068333333,9.38213333334,31.7199518519,10.1108666667,11.6079333333,10.3807333333,11.7743,15.3862,11.497,15.879
738.64,13.8771,35.5905,9.46093333334,31.8074222222,10.0961,11.7791333333,10.5698,11.9448333333,15.4018,11.6066,16.0728
738.96,13.6384916667,35.3165333333,9.21653333333,31.6448037037,9.95629999999,11.6639333333,10.4456666667,11.7610666667,15.3252666666,11.5505333333,15.9530666667
739.28,13.5196333333,35.3999666667,9.12313333333,31.5313962963,9.89596666665,11.6411333333,10.4192666667,11.7426666667,15.2762666667,11.5533333333,15.9693333333
739.59,13.5645666667,35.6526,9.1666,31.7031185185,9.95720000001,11.7636,10.5512,11.9940333333,15.5247,11.6511333333,16.1794
739.91,13.65465,35.6569666667,9.22353333333,31.7949444444,9.9466,11.7894,10.7076,12.1126666667,15.5658333333,11.6428,16.1857333333
740.23,13.4447583333,35.5142666667,9.07253333333,31.6587333333,9.70549999999,11.5142666667,10.4416666667,11.9844,15.5075666667,11.3546,16.0652666667
740.54,13.852525,35.7065333333,9.60246666667,32.1194666667,10.2071,12.0567333333,11.1246666667,12.6309,15.9619,11.9353333333,16.4471333333
