wavelength,Back_ParDomf,Belly_ParDomf,Breast_ParDomf,Crissum_ParDomf,Crown_ParDomf,DorTail_ParDomf,Rump_ParDomf,Throat_ParDomf,WingTip_ParDomf
215.57,833.333333335,717.1875,685.416666667,850.000000002,995.833333332,730.208333333,814.583333333,1068.75,520.138888889
215.95,-948.611083335,-804.166666667,-730.555583333,-1008.33333333,-1148.61108333,-768.055583334,-884.722249999,-1248.61116667,-546.296333333
216.32,-145.486333333,-116.3195,-78.1250000002,-156.59725,-188.541583333,-109.722166667,-121.527833333,-208.6805,-29.8610555556
216.70,-267.1875,-198.4375,-98.4375,-263.020833333,-311.979166667,-198.958333334,-196.875,-319.791666667,-78.125
217.08,-136.49425,-92.0977083334,-35.3448333335,-123.563083333,-169.252833334,-104.31025,-104.022833333,-158.333333333,-30.8431111111
217.46,-103.571333333,-65.3571666666,-10.4761666666,-93.09525,-137.142833333,-74.0475833334,-83.8094166666,-112.619166667,-13.1743888889
217.83,-54.5635833334,-20.83325,37.8968333333,-46.4286666667,-92.2617499998,-32.1428333333,-35.1191666667,-57.7381666667,11.9047222222
218.21,-51.2500000001,-11.2500000001,50.2083333334,-24.375,-81.6666666665,-23.9583333333,-21.0416666667,-51.0416666667,12.2222222222
218.59,-40.2776666667,2.08337499997,39.5060833334,-15.4320833333,-57.7160833333,-14.1975,-5.24683333335,-33.9506666667,4.52644444443
218.97,-74.1869166665,-29.6749166666,21.1381666666,-47.3577500001,-103.048833333,-46.54475,-41.6666666667,-67.8861666666,-22.7639444444
219.34,-78.6034166667,-20.0449583334,22.0721666667,-52.7027500002,-96.1712500001,-49.54975,-38.73875,-62.3874999999,-24.6246666667
219.72,-58.33325,0.189375,32.5758333334,-29.7348333333,-69.3180833333,-27.0831666667,-15.3409166667,-42.9924166667,-27.7781111111
220.10,-51.5432500001,0.154416666667,27.9320833333,-17.7471666667,-58.4875833333,-19.4445833333,-20.52475,-42.5925833333,-24.6915
220.47,-49.4045833333,5.729125,24.4047500001,-13.3926666667,-46.4286666667,-13.9880833333,-20.0893333333,-38.5416666667,-19.6430555556
220.85,-34.5238333333,11.3094583334,19.31225,-2.77791666668,-34.9206666667,-0.529083333325,-9.39141666666,-28.1745,-16.4018888889
221.23,-32.0989166667,15.0462916667,23.4569166667,1.33226762955e-15,-34.8765,1.54308333334,-8.79633333335,-31.9444166667,-10.4936666667
221.61,-59.34975,1.72758333333,8.33341666665,-16.26025,-57.3170833333,-9.75599999999,-33.9430833334,-59.5527499999,-30.2167222222
