wavelength,Back_SpoLucm,Belly_SpoLucm,Breast_SpoLucm,Crissum_SpoLucm,Crown_SpoLucm,DorTail_SpoLucm,Patch10_SpoLucm,Rump_SpoLucm,Throat_SpoLucm,WingTip_SpoLucm
352.55,5.25583333333,26.682,3.78722222222,33.1473333333,3.70544444444,7.02844444444,26.0164444445,4.82833333333,4.33677777778,7.86488888889
352.92,5.05803703703,26.6656666667,3.59777777778,33.1022222222,3.58088888889,6.84244444445,25.9865555556,4.70544444445,4.14311111111,7.70866666666
353.28,4.8675,26.6654444444,3.37433333333,33.0624444445,3.33422222222,6.56022222222,25.9398888889,4.56277777778,3.90788888889,7.53477777778
353.65,4.86731481481,26.5385555556,3.34666666667,33.1453333333,3.30855555555,6.58688888889,26.043,4.53588888889,3.81577777778,7.47177777778
354.01,5.1097037037,26.8224444444,3.55944444444,33.3495555555,3.52344444444,6.81477777778,26.2652222222,4.67388888889,3.99733333333,7.77566666667
354.38,5.20096296297,26.9988888889,3.70533333333,33.5122222222,3.61666666667,6.95322222222,26.398,4.78311111111,4.11777777778,7.81822222222
354.74,5.26638888889,27.095,3.81722222222,33.5548888889,3.67311111111,6.91755555556,26.5742222222,4.79355555556,4.16211111111,7.85577777778
355.11,5.31772222222,27.1395555555,3.90422222222,33.7427777778,3.69788888889,6.91822222222,26.7034444444,4.78866666667,4.199,7.87377777778
355.47,5.23292592592,27.2144444444,3.84377777778,33.8101111111,3.658,6.81788888889,26.8121111111,4.62511111111,4.15766666667,7.76077777778
355.83,5.1352962963,27.1894444445,3.76811111111,33.9434444444,3.614,6.75688888889,26.9038888889,4.55755555556,4.01911111111,7.61366666667
356.20,5.00711111111,27.1663333333,3.667,34.026,3.49077777778,6.65422222222,26.9301111111,4.46977777778,3.918,7.52466666667
356.56,5.0717962963,27.3196666667,3.71155555555,34.12,3.50111111111,6.74133333333,27.0487777778,4.48666666667,3.95044444444,7.53944444445
356.93,5.22794444444,27.4735555555,3.84911111111,34.313,3.61955555556,6.86766666667,27.1971111111,4.56811111111,4.10866666667,7.64311111111
357.29,5.35225925926,27.6736666667,3.99477777778,34.4891111111,3.78355555556,7.05322222222,27.4648888889,4.63277777778,4.22688888889,7.74611111111
357.66,5.29509259259,27.7632222222,3.94977777778,34.4851111111,3.718,6.958,27.4498888889,4.60866666667,4.23844444444,7.73288888889
358.02,5.24490740741,27.8121111111,3.86977777778,34.6272222222,3.65255555555,6.83044444445,27.5525555556,4.57833333333,4.17677777778,7.63044444445
358.38,5.14094444444,27.864,3.80166666667,34.6612222222,3.57255555556,6.708,27.6415555556,4.51611111111,4.07788888889,7.56277777778
358.75,5.00346296297,27.8785555555,3.65555555555,34.6412222222,3.38788888889,6.56655555556,27.6346666667,4.38833333333,3.91666666667,7.43577777778
359.11,4.83094444444,27.8961111111,3.47355555555,34.6521111111,3.18333333334,6.388,27.6307777778,4.18877777778,3.73355555555,7.24477777778
359.48,4.69992592592,27.9428888889,3.37566666667,34.6021111111,3.02011111111,6.25388888889,27.6251111111,4.11511111111,3.58233333333,7.149
359.84,4.79488888889,28.2158888889,3.49733333333,34.7844444444,3.15477777778,6.31933333333,27.7673333333,4.22966666667,3.73411111111,7.22044444445
360.20,4.8092962963,28.2643333333,3.49944444444,34.8321111111,3.08977777778,6.27811111111,27.8324444445,4.16622222222,3.68966666667,7.17111111111
360.57,4.858,28.4218888889,3.58277777778,34.9014444444,3.16322222222,6.29133333333,27.9858888889,4.23366666667,3.72233333334,7.227
360.93,4.82511111111,28.5292222222,3.55133333333,35.0044444445,3.07844444444,6.27622222222,28.1017777778,4.20966666667,3.638,7.25288888889
361.29,4.83890740741,28.5653333333,3.54077777778,35.0295555556,3.07811111111,6.26077777778,28.1607777778,4.21,3.62644444444,7.28477777778
361.66,4.9217037037,28.7256666667,3.64133333333,35.1376666667,3.14188888889,6.35055555556,28.315,4.25555555556,3.65455555556,7.35055555556
362.02,4.89042592592,28.7143333333,3.65044444444,35.1238888889,3.09355555556,6.362,28.3345555556,4.21377777778,3.61577777778,7.28877777778
362.39,5.0202037037,28.8596666667,3.74977777778,35.213,3.19344444445,6.45533333333,28.4555555556,4.28811111111,3.67266666666,7.33011111111
362.75,5.26551851852,29.0967777778,4.00344444444,35.4612222222,3.49555555556,6.72377777778,28.7162222222,4.56488888889,3.91344444444,7.56622222222
363.11,5.49090740741,29.3655555556,4.20566666667,35.6076666666,3.74277777778,6.91077777778,28.9293333333,4.82,4.08677777778,7.77033333333
363.48,5.57033333333,29.506,4.26066666667,35.7337777778,3.81544444445,6.98766666667,29.078,4.79088888889,4.15622222222,7.78977777778
363.84,5.57224074074,29.5273333333,4.26988888889,35.7687777778,3.73222222222,6.97711111111,29.1442222222,4.79244444444,4.12522222222,7.81088888889
364.20,5.67622222222,29.7143333333,4.37733333333,35.8746666667,3.86755555555,7.09733333333,29.3015555555,4.92611111111,4.24544444444,7.951
364.57,5.68687037037,29.7837777778,4.37522222222,35.9957777778,3.87755555556,7.11766666667,29.3296666667,4.95188888889,4.28822222222,7.95455555555
364.93,5.7637962963,29.8373333333,4.46066666667,36.0425555555,4.01777777778,7.16277777778,29.4058888889,5.03455555556,4.40855555556,7.96622222222
365.29,5.84214814814,29.9992222222,4.52744444445,36.164,4.08622222222,7.20233333333,29.5415555556,5.11777777778,4.52644444444,8.01988888889
365.66,5.88340740741,30.1284444444,4.56888888889,36.185,4.16166666667,7.2,29.6654444445,5.16288888889,4.608,8.03022222222
366.02,5.97796296297,30.4448888889,4.61166666666,36.4417777778,4.25955555556,7.27411111111,29.8568888889,5.252,4.70355555556,8.11422222222
366.38,5.93257407408,30.427,4.517,36.4413333333,4.15188888889,7.20366666667,29.7744444445,5.24477777778,4.68988888889,8.15
366.75,5.76840740741,30.4214444445,4.39744444444,36.3868888889,4.01622222222,7.04344444444,29.6923333333,5.07588888889,4.54011111111,8.03222222222
367.11,5.66161111111,30.3888888889,4.33466666667,36.4165555555,3.91755555555,6.95355555556,29.6642222222,5.01722222222,4.49266666667,7.97
