wavelength,Back_TacPhom,Belly_TacPhom,Breast_TacPhom,Crissum_TacPhom,Crown_TacPhom,DorTail_TacPhom,Patch10_TacPhom,Patch11_TacPhom,Rump_TacPhom,Throat_TacPhom,WingTip_TacPhom
201.57,28.7284666667,67.2509,68.5909666667,61.6494333333,45.6356666667,76.6323333333,65.086,60.4812666667,76.0826,84.2612666667,66.7354000001
201.95,23.7879333333,62.4621333333,68.1818333334,56.3634999999,45.0757333333,75.8332,65.8332666666,58.0302,71.8939333333,80.4545333333,64.9243333334
202.33,27.3016666667,61.5872333333,74.9206,57.1824999999,46.746,79.8411333333,65.0794,60.6349999999,69.4445333334,78.8094666667,66.9841999999
202.71,31.9696666667,59.6970333333,76.4395,61.7045,52.1212,76.1362666666,66.8182666667,66.8938666667,67.5000666666,76.5908666667,69.6969333333
203.09,38.0392000001,62.0784333333,83.5687,64.3136666666,57.1766,84.6276,70.2745999999,71.2941333335,70.0391999999,83.4509333334,73.2549333334
203.47,31.3889333333,62.4536333333,84.4907666666,68.0095000001,56.2038666667,91.9445333333,70.7408000001,74.7222666667,70.2777333333,82.9630000001,70.1852666667
203.85,35.4589333333,70.2898333333,92.8501666665,76.8600666666,64.1545333333,102.608666667,76.3283999999,90.0483333333,83.1884666665,94.6859333333,76.9081999999
204.22,46.7567333333,80.8558666665,104.594733333,86.3964333333,70.4506,112.0722,86.0360666667,102.3424,92.3423333335,100.090066667,84.3243333333
204.60,53.9638666666,82.1171666666,112.8829,91.8018333333,74.1440666667,115.4054,88.8288,109.369266667,99.3693333333,100.720666667,83.8739333333
204.98,44.9242666667,72.5,93.8257333334,78.8635666667,62.7271333334,97.8030000001,77.5758000001,93.5606,88.3333333334,81.894,73.1818
205.36,50.2778666665,81.1805666666,93.2292333334,84.8611333334,66.5971333333,99.7221333333,79.5833333333,97.7084,92.7084,86.3194666665,75.2082666667
205.74,58.8378666666,86.9113,99.9693666667,87.6145,71.8043333333,103.669733333,84.0978666667,102.996933333,96.5750666667,90.6422666667,81.6514666666
206.12,62.5683333335,85.0000333333,97.3225,87.2404999999,68.9071333333,98.0874666666,81.3660666667,97.8142666667,96.1748666667,89.4536000001,79.6722666666
206.50,72.5459333333,91.1286666668,102.467166667,95.2230666665,75.0131333333,104.776933333,89.9211333332,103.989533333,104.619333333,98.4250666668,86.8767333334
206.87,82.3621999999,97.9002333332,110.0262,101.811033334,80.5248666667,115.853,96.5879999999,109.8162,115.433,106.7192,94.8556666666
207.25,91.4034666665,111.228033333,122.5145,114.766133333,89.4151999999,130.701866667,107.543866667,122.573,130.1756,114.5616,105.087733333
207.63,116.5218,139.818933333,149.927533333,142.1014,113.260933333,159.3478,133.260866667,153.8406,162.826,142.173866667,132.608666667
208.01,130.970466667,159.198366667,165.3167,165.527433333,127.679333333,180.168733333,154.2614,171.5612,182.4472,161.8564,148.185733333
208.39,132.410333334,170.2563,168.2053,184.769233333,132.102666667,188.102466667,165.230733333,178.9744,198.7692,175.077,159.076933333
208.77,140.410133333,183.538466667,172.872,191.128233333,138.461466667,198.359,177.333266667,184.718,202.8718,182.4614,171.589733333
209.14,152.043066667,185.698933333,184.569866667,199.57,146.129,210.752866667,183.548333334,194.1936,208.924733333,194.838733333,180.8602
209.52,175.789466667,202.923966667,207.134533333,227.017533333,166.081933333,231.462,204.3274,213.9182,228.1872,218.713533334,203.859733333
209.90,208.992333333,248.372,253.721,283.876033333,198.914666666,277.5194,248.217066667,259.69,280.309933333,269.922533333,244.651133333
210.28,178.113133333,215.345833333,216.037766667,240.7547,173.710733333,236.855466667,214.842666667,229.056733333,241.006333333,232.0754,212.075533333
210.66,159.5404,200.9196,197.8736,219.770066667,162.068866667,215.747,197.471333333,209.1952,222.873666667,210.804733333,198.8506
211.03,133.790066667,171.963433333,159.1781,181.598133333,138.63,178.8128,165.9362,169.223666667,178.447466667,173.8812,162.1918
211.41,136.923133333,181.7949,160.051433333,194.359066667,144.102533333,185.9488,174.358866667,175.794733333,184.820466667,184.718,171.1794
211.79,117.5,151.75,136.541666667,162.291666667,122.916666667,155.916666667,145.666666667,146.75,157.166666667,155.75,143.25
212.17,111.4286,133.707433333,126.938833333,142.857166667,114.897933333,138.707533333,130.4762,128.911533333,140.612133333,134.761866667,131.8368
212.55,112.258133333,124.973166667,124.408733333,130.457033333,111.2904,131.666466667,122.311866667,124.247266667,131.612933333,127.204266667,124.6776
212.92,115.500066667,125.500033333,127.1667,132.3055,112.999866667,129.1112,122.722133333,127.333466667,134.888933333,131.611133333,125.444333334
213.30,127.1976,139.881966667,138.230066667,144.129733333,126.843533333,137.758133333,134.8082,139.292066667,147.964666667,143.716666667,134.572266667
213.68,131.804266667,143.2723,141.6819,142.477066667,129.7246,139.266,137.2478,143.853266667,153.394466667,145.382266666,139.204866667
214.06,140.576933333,148.173133333,148.685866667,146.1539,132.6924,146.5384,143.333466667,148.2052,157.6282,149.359,147.884533333
214.44,161.240333333,172.364533333,175.426266667,172.441866667,156.899333333,172.248,166.744133333,170.775266667,184.3412,172.325466667,173.1008
214.81,173.333333333,185.611766667,191.223733333,185.021033333,168.523266667,184.3882,176.961933333,182.447266667,200.675133333,184.641333333,186.329066667
215.19,206.560933333,220.264533333,240.370366667,225.873,208.4656,222.8572,213.4392,226.243466667,249.629733333,223.809533333,226.984133333
215.57,180.843866667,185.358633333,211.265766667,190.042233333,179.240533333,190.042266667,179.746866667,196.4556,213.164666667,192.574,194.008533333
215.95,184.9778,190.8,219.4666,199.333233333,183.8222,194.0444,184.000066667,203.288933334,216.266666667,198.311133333,200.0
216.32,227.419333333,236.182733333,263.064566667,245.1075,221.612866667,239.247266667,219.784933333,249.462333333,259.0322,244.408666667,241.935533333
216.70,236.836066667,245.197666667,267.9095,258.587466667,226.666666667,251.412466667,226.327733333,262.034,264.2938,251.9774,248.0226
217.08,278.933333333,281.0,312.733333333,299.333333333,262.8,299.466666667,263.866666667,304.133333333,309.2,284.133333333,292.266666667
217.46,315.1112,317.185133333,358.814666667,335.4814,295.111133333,342.814866667,299.851866667,343.2594,351.407333333,326.073933333,334.518466667
217.83,270.457533333,276.274433333,314.7058,300.130666667,257.2548,310.457466667,263.268,298.562133333,302.875733333,281.3072,287.581666667
218.21,220.9232,220.512866667,250.9231,242.974233333,210.1538,256.000066667,213.743466667,241.846133333,247.487133333,223.487133333,228.8206
218.59,203.148133333,198.055466667,224.768566667,215.7869,188.148133333,232.7778,194.629666667,215.648066667,221.851733333,198.425866667,203.703666667
218.97,198.205066667,188.4188,210.812,208.461466667,182.564066667,223.504333333,190.341866667,208.9744,209.829066667,188.461466667,195.812
219.34,195.391066667,184.197466667,198.271566667,201.193433333,171.358,215.6378,184.938333333,198.7654,201.070066667,179.2592,187.654333333
219.72,232.063466667,218.412733333,225.820033333,237.883666667,196.0846,252.91,219.1534,230.899533333,237.671933333,208.4658,219.682466667
220.10,244.086066667,228.7096,232.419366667,241.4515,200.6452,262.903066667,229.2474,236.559133333,243.225866667,215.914,230.752733333
220.47,219.495066667,201.767566667,208.9898,214.4444,177.3738,231.818066667,212.727133333,215.050466667,220.202,192.626266667,207.373733333
220.85,291.818133333,265.5303,270.984666667,281.666733333,240.757666666,308.636533333,294.242533333,286.818133333,294.393933333,249.999933333,282.727333333
221.23,241.2346,223.7655,218.765366667,238.765333333,206.296266667,260.123466667,244.814866667,237.036933333,242.8394,215.432266667,238.888933333
221.61,220.574733333,192.183866667,188.908133333,216.896433333,181.0344,228.850533333,218.5058,209.8852,214.827866667,191.3794,216.896533333
221.98,235.7894,197.894666667,198.1871,225.204766667,192.748533333,235.7896,232.982466667,220.4678,226.432666667,208.655,226.7836
222.36,328.618,271.626033333,274.715466667,315.0407,272.520466667,316.747933333,327.1544,305.203333333,316.422866667,295.934933333,305.691066667
222.74,513.3334,421.538366667,431.794833333,500.128166667,432.3076,487.179533333,514.8718,491.282066667,499.7436,478.974333333,478.9744
223.11,995.000066665,804.444433333,861.944466667,986.388933333,843.333333333,948.888800001,1007.7778,968.888933333,988.888933333,965.555466665,946.666533334
223.49,910.555533335,727.500133333,817.777799999,913.055499999,769.4444,859.444533334,931.666733332,917.777733334,894.444400001,923.888866667,902.777799999
223.87,1399.16666667,1142.08333333,1365.41666667,1415.83333333,1270.0,1294.16666667,1436.66666666,1495.0,1399.16666667,1445.83333333,1412.5
224.24,1501.90486667,1244.28566667,1521.4286,1598.5714,1451.4286,1418.09526667,1584.76186667,1670.4762,1559.04773333,1603.8096,1543.8096
224.62,10120.0,8543.33333333,10530.0,10863.3333333,9846.66666667,9886.66666667,10366.6666667,11100.0,10660.0,11000.0,10246.6666667
225.00,1377.5,1175.0,1450.0,1455.41666667,1328.33333333,1355.83333333,1359.16666667,1479.16666667,1436.66666667,1500.83333333,1353.33333333
225.38,5180.0,4373.33333333,5758.33333333,5560.0,5086.66666667,5160.0,5183.33333333,5853.33333333,5536.66666667,5580.0,5056.66666667
225.75,-881.212199999,-789.393899999,-1030.00003333,-980.909133333,-907.878800001,-938.181866666,-922.424200001,-1055.75746667,-959.394066667,-961.818266666,-874.5454
226.13,-337.6,-326.266666667,-413.6,-396.0,-358.4,-369.866666667,-364.266666667,-432.0,-388.266666667,-385.066666667,-344.266666667
226.51,-263.448333333,-266.896466667,-333.218466667,-315.862133333,-286.4368,-298.3906,-290.574733333,-358.620666667,-307.356266667,-311.724066667,-288.5056
226.88,-169.848533333,-180.151366667,-212.651466667,-207.878933333,-184.696933333,-192.5758,-183.181866667,-226.9698,-194.090933333,-197.424333333,-191.666866667
227.26,-128.777866667,-140.722233333,-156.111266667,-156.333333333,-140.777733333,-146.6666,-136.777733333,-168.111066667,-145.555466667,-148.0,-140.555533333
227.64,-95.4166666666,-104.0,-111.625,-114.833333333,-107.416666667,-108.833333333,-97.2499999999,-125.083333333,-108.583333333,-106.166666667,-101.166666667
228.01,-66.7974,-73.5293666667,-73.4640999999,-82.8756666666,-72.0915333333,-75.6863333333,-68.6273999999,-85.8824666667,-74.5751333333,-73.3332666667,-71.3070666667
228.39,-59.0478,-64.6498333333,-63.9495666667,-74.0337333334,-62.2969333333,-64.4258666667,-61.2884,-75.2381333333,-67.1710666667,-64.3698666667,-63.8094666667
228.76,-57.0864666667,-63.1852666667,-59.3828333333,-71.0617333333,-61.1852666667,-60.7900666666,-60.4938666667,-72.6913333333,-63.6543333333,-60.7901333333,-61.1853333333
229.14,-44.9057333333,-52.2431666667,-48.3649,-59.8532666667,-50.524,-49.9789333333,-49.2662666667,-60.7126,-52.7462666667,-47.9664666667,-49.7275333333
229.52,-45.1462,-51.0333333333,-46.2766666667,-56.4327333333,-49.5126666667,-48.9668666667,-47.9534,-58.2456666666,-50.4872,-47.1346,-49.1227333333
229.89,-49.6480666667,-54.9275333333,-49.1924666667,-59.0475333333,-53.1262666667,-50.0207333333,-51.8012666667,-62.1531333333,-53.8301333333,-50.4763333333,-53.3332
230.27,-52.4166666667,-55.0,-50.0833333333,-60.8125,-56.1666666667,-51.0416666667,-52.4166666667,-62.6666666667,-54.6666666667,-52.125,-57.0
230.65,-55.2263333333,-59.7735666667,-54.0123666667,-62.8602666667,-59.6708666667,-53.4156,-53.9094666667,-64.8148666666,-56.5019333333,-54.1152,-59.5061333333
231.02,-63.2670666667,-65.2317,-59.713,-67.1965333333,-64.9447333333,-59.9115333333,-60.0882666667,-73.2009333333,-62.5164,-60.2208,-66.9315333334
231.40,-69.3704666667,-71.3985,-64.4056333333,-74.1025666667,-69.4172666667,-64.6153333333,-66.2471333333,-81.2589333334,-67.3659333333,-66.8531333333,-75.6643333333
231.78,-68.8110666667,-70.0232,-65.4545999999,-72.028,-68.4846666667,-64.6152666667,-68.5316000001,-80.8391333333,-66.3868666666,-68.6246,-74.9183999999
232.15,-71.9899333333,-71.1941333333,-68.3580999999,-74.1292,-71.7910666667,-68.408,-71.3929333334,-83.9801333333,-69.0049333333,-71.7910666667,-75.6717333333
232.53,-75.238,-71.6289,-70.9774000001,-71.7544666667,-72.6316,-71.9799333333,-71.8796666667,-83.1578666666,-69.6241333333,-73.985,-76.5915333333
232.90,-55.7658666667,-50.8334666667,-54.3919333333,-53.9863666667,-55.6306,-55.09,-52.4775333333,-62.0271333333,-52.0720666667,-56.0360666667,-59.4144
233.28,-50.2598,-45.0432666667,-49.3506,-45.8658,-49.7836,-47.8789333333,-46.0172666666,-54.6320666667,-45.1516,-49.1775333333,-54.1127333333
233.66,-44.8888666667,-41.2928,-46.5656666667,-40.9092333333,-44.3232,-39.9191333333,-41.4141333333,-48.3233333333,-39.3534666667,-44.6464666667,-48.0403333333
234.03,-36.2961333334,-33.9331,-40.9172,-33.4745,-36.1199333333,-33.1921333333,-33.545,-38.4480666667,-32.4867333333,-38.1658666667,-40.0705333333
234.41,-35.6436666667,-32.7393333333,-41.6666666667,-33.6467666667,-34.5214,-32.2112,-31.3862,-37.0628666667,-31.4192666667,-35.4454666667,-36.5677333333
234.78,-32.9245333333,-27.2326666667,-37.9716333333,-32.0912333333,-30.1257333333,-28.4906666667,-28.3020666667,-33.3331333334,-28.4277333333,-32.893,-32.8616666667
235.16,-28.3929333334,-23.7650666667,-35.3124333333,-29.1815666667,-26.6072,-24.9702666667,-24.8512,-29.8214666667,-24.4642666667,-29.4046666667,-27.7380666667
235.54,-25.1406,-19.9864333333,-32.0081,-24.5783,-23.3466666667,-21.2049333333,-20.7496666666,-25.4886,-20.3212666667,-24.4176,-23.0522666667
235.91,-23.3084666667,-19.3455333333,-29.8270333333,-23.4322,-22.469,-19.3332666667,-17.3827333333,-23.5555333333,-19.3085333333,-20.8888666667,-21.4814666667
236.29,-26.3284666667,-23.7319333333,-34.7825333333,-26.9926666667,-26.6909333333,-23.9371333333,-20.797,-27.2946666667,-22.5362,-23.7680666667,-25.7244666667
236.66,-21.4105333333,-19.5790666667,-29.6815,-23.3331666667,-22.2527333333,-19.0215333333,-16.8372666667,-23.3448666667,-17.9977333333,-19.3856,-21.1831333333
237.04,-20.825,-19.9665666667,-28.7067666667,-22.0401,-20.9811333333,-17.9488,-16.767,-23.1437333333,-17.3022,-18.5954,-20.4905333333
237.41,-26.598,-24.8912333333,-33.3791,-27.2738,-25.8876666666,-22.5658666667,-20.8476666667,-28.064,-21.7181333333,-24.4673333333,-24.6506
237.79,-25.9603333334,-24.437,-31.9536333333,-27.4944,-25.3862666667,-22.4723333333,-20.4194,-27.4394,-22.4062,-24.6357333333,-24.3487333333
238.17,-26.1075333333,-24.5805,-30.7526333333,-28.2150666667,-26.6020666667,-22.5806666667,-20.2581333333,-28.4730666667,-23.5484,-23.6559333333,-23.742
238.54,-21.3374,-19.7770666667,-25.9170333333,-23.7791,-21.5805333333,-17.3251333333,-16.1905333333,-22.8166,-19.0274,-19.3515333333,-19.6555333333
238.92,-17.3371333333,-16.0716666667,-21.7657333333,-18.9990666667,-18.0358666667,-13.8432666667,-12.0679333333,-19.0369333333,-14.7686,-16.0528,-15.4108
239.29,-14.4238666667,-13.3157,-18.9798,-15.5407333333,-15.7782,-10.0790666667,-8.77746666667,-15.6026,-12.7703333333,-13.8435333333,-12.1372
239.67,-15.3857333333,-13.9356333333,-19.4148333333,-16.4800666667,-16.6412,-10.6531333333,-8.95666666668,-16.5903333333,-13.8082,-14.4698666667,-12.0440666667
240.04,-14.2200666667,-12.6069333333,-17.1637,-14.9083333333,-14.6636666667,-9.31186666665,-8.13453333334,-14.9694666667,-11.682,-13.7308666667,-10.3515333333
240.42,-11.9973333333,-10.187,-13.4469,-12.0373666667,-12.1443333333,-5.94513333333,-5.81153333333,-12.7855333333,-9.75279999999,-11.7702,-7.60173333333
240.79,-10.4464,-8.33033333333,-11.7392,-9.93633333331,-11.1999333333,-4.3014,-4.22019999999,-11.8144,-7.97679999999,-9.97093333333,-6.12179999999
241.17,-9.4636,-7.24823333333,-10.8171,-9.01263333333,-10.3057333333,-3.15793333333,-3.20793333334,-10.7669333333,-6.71693333333,-9.0126,-5.01246666667
241.54,-6.76233333334,-4.83916666667,-8.54233333333,-6.2707,-7.7458,-1.3402,-1.2358,-8.30306666667,-4.78666666667,-6.75373333333,-3.00253333333
241.92,-6.15379999999,-4.6943,-7.94086666667,-5.7751,-7.19526666667,-1.3256,-0.512933333332,-7.84233333334,-4.50493333333,-6.09079999999,-2.5168
242.29,-4.5702,-3.61273333333,-6.6702,-4.6245,-6.1516,-0.0652666666666,0.819666666667,-6.6956,-3.17013333333,-5.50593333333,-1.88613333333
242.67,-4.02346666666,-3.39213333333,-5.31406666667,-3.71973333333,-5.6454,0.476266666666,1.49066666667,-6.95653333334,-2.85033333333,-4.9136,-1.35953333333
243.05,-3.6316,-3.08806666667,-4.84093333333,-3.70086666667,-5.54013333333,0.9012,1.78260000001,-6.65353333333,-2.85613333333,-4.36713333333,-1.54413333333
243.42,-3.17013333333,-2.36626666667,-4.1211,-3.76553333333,-5.06553333333,0.935133333333,2.21573333333,-6.10306666667,-2.19653333333,-3.67586666667,-1.46666666667
243.80,-1.73673333333,-1.0583,-2.48366666667,-2.5925,-3.91533333333,2.07266666666,3.39859999999,-4.5628,-1.0644,-2.51473333333,-0.429466666668
244.17,-0.773199999999,-0.0548666666668,-1.36083333333,-1.76553333333,-3.14766666667,2.8858,4.37140000001,-3.586,-0.194799999999,-1.47946666667,0.5236
244.55,-0.643400000001,-0.074466666666,-1.35826666667,-1.75753333333,-3.26486666667,2.6392,4.65893333333,-3.62233333333,-0.005866666666,-1.42973333333,0.267999999998
244.92,0.0114666666674,0.288433333333,-0.711200000001,-1.38536666667,-2.6222,3.23913333334,5.50133333333,-2.72493333333,0.668333333333,-1.091,0.914066666665
245.30,0.069733333334,0.348500000001,-0.397033333333,-1.32203333333,-2.49913333333,3.43793333333,6.42533333333,-2.6496,0.842199999999,-1.0726,0.970733333335
245.67,0.826599999997,1.04056666667,0.440366666665,-0.984066666667,-1.7958,4.26066666667,7.52766666666,-2.15486666667,1.89906666667,-0.152333333335,1.6236
246.05,1.82733333333,2.20886666667,1.3816,0.0067,-1.0024,5.29606666667,8.76020000001,-1.08233333333,3.08273333333,0.864866666667,2.63906666667
246.42,2.0404,2.60416666667,1.69906666667,0.430299999999,-0.585866666665,5.52326666666,9.34546666667,-0.804000000001,3.5718,1.3576,3.18386666667
