wavelength,Back_DigSitm,Belly_DigSitm,Breast_DigSitm,Crissum_DigSitm,Crown_DigSitm,DorTail_DigSitm,Rump_DigSitm,Throat_DigSitm,WingTip_DigSitm
563.30,11.8490833334,28.0926666667,25.8784166667,23.5530833333,12.4765,10.9346666667,13.5853333333,27.2571666667,11.6575
563.64,11.8175833333,28.15,25.9235833333,23.6062416666,12.4708333334,10.9275416667,13.55725,27.233625,11.648
563.99,11.875875,28.2548333333,26.0471666667,23.7176166667,12.54,11.0215,13.6205833333,27.3909166667,11.7436666667
564.33,11.9010416667,28.3599166667,26.0615833333,23.7763583333,12.57425,11.0497916667,13.6178333333,27.4247916667,11.7735
564.67,11.885375,28.3689166667,26.09625,23.783875,12.577,11.0405416667,13.61025,27.4184166667,11.7956666666
565.01,11.9363333333,28.4416666667,26.1964166667,23.8543416667,12.6524166666,11.109625,13.6583333333,27.49875,11.8548333334
565.35,11.9775,28.5393333333,26.2641666667,23.96525,12.6989166667,11.1455833333,13.67775,27.5316666667,11.9071666667
565.69,11.9842083333,28.58875,26.29325,23.9692833333,12.7041666667,11.1499166667,13.6773333333,27.5111666666,11.9301666667
566.03,11.9842916667,28.6099166667,26.3554166667,23.9934416667,12.6866666666,11.1495833333,13.662,27.5449166666,11.9275833334
566.37,11.9569166667,28.6039166667,26.337,23.997175,12.6515,11.1344166667,13.62125,27.5596666667,11.8671666667
566.71,11.9482916667,28.6510833334,26.3800833333,24.056475,12.6750833333,11.169125,13.64075,27.6149166667,11.8804166667
567.05,12.0084583333,28.7415,26.4519166667,24.1433083333,12.7055,11.2205833333,13.6964166667,27.6707916667,11.8984166667
567.39,12.01175,28.7431666667,26.4841666667,24.1918166667,12.6830833333,11.2567083333,13.7208333334,27.71125,11.8895833334
567.73,12.0485416667,28.7910833333,26.5221666667,24.2641583334,12.7155833333,11.2722083333,13.7403333333,27.757625,11.9003333333
568.07,12.0605416667,28.8131666666,26.5925833333,24.357675,12.7266666667,11.2809583334,13.7801666667,27.7952916667,11.9291666667
568.41,12.0824583334,28.8701666667,26.664,24.4177166667,12.7345833333,11.2990833333,13.7711666667,27.8100833334,11.9274166667
568.75,12.0034166667,28.89275,26.6255833334,24.4329666666,12.66425,11.2060416667,13.7164166666,27.8140416667,11.8554166667
569.09,11.983125,28.8793333334,26.6245833333,24.413825,12.6243333333,11.1615833334,13.69375,27.8467916666,11.8335
569.43,11.983375,28.9473333333,26.7115833333,24.5050833333,12.626,11.1934583333,13.719,27.90275,11.8644166666
569.77,11.99925,28.9990833333,26.71625,24.5196083333,12.6339166667,11.2123333333,13.7026666666,27.9270833333,11.8558333333
570.11,12.0168333333,29.0745833333,26.7845833333,24.59615,12.67525,11.2508333333,13.7530833333,27.9420416667,11.9033333333
570.45,12.0432916666,29.13675,26.8531666667,24.6399083334,12.7008333333,11.2989583334,13.7869166667,27.9725833333,11.9618333333
570.79,12.0127916666,29.1468333333,26.9303333333,24.6611833333,12.7100833333,11.2909166667,13.7729166667,28.002375,11.99875
571.13,11.9500833334,29.1366666667,26.8738333333,24.6566166667,12.638,11.2151666666,13.681,27.96075,11.9393333333
571.47,11.833875,29.0696666667,26.85325,24.5625916667,12.5356666667,11.1009166667,13.5856666667,27.8603333333,11.8728333333
571.81,11.8047916667,29.0750833333,26.8935833333,24.5469083333,12.5154166667,11.0711666667,13.5641666667,27.8825833333,11.8306666667
572.15,11.735125,29.0509166667,26.8465,24.5371833333,12.4585833333,11.01925,13.5236666667,27.8547916667,11.7928333333
572.49,11.7224583333,29.0325,26.89125,24.5584416667,12.4508333333,11.0164583333,13.532,27.8243333333,11.8173333333
572.83,11.722875,29.0734166667,26.9105,24.581925,12.4455,11.021375,13.532,27.8356666667,11.8510833333
573.17,11.755,29.1079166667,26.91375,24.6240666667,12.4570833333,11.0350833333,13.55475,27.89025,11.8515833333
573.51,11.7890416667,29.192,26.98825,24.7165083333,12.5066666667,11.069625,13.6181666667,27.9497916667,11.9173333333
