wavelength,Back_ButMonf,Belly_ButMonf,Breast_ButMonf,Crissum_ButMonf,Crown_ButMonf,DorTail_ButMonf,Patch10_ButMonf,Patch11_ButMonf,Patch12_ButMonf,Patch13_ButMonf,Rump_ButMonf,Throat_ButMonf,WingTip_ButMonf
183.73,94.2857333334,87.1429333335,98.0951999999,30.0000666666,13.8094666667,45.7142666666,21.9048,-5.2379333334,52.8572,35.7142,42.3808666666,17.1429333333,-34.2857333333
184.11,98.9473999999,89.4736666667,89.4736666666,47.7193333334,31.5787999999,54.7368,39.6492,20.7017333333,61.7543333334,49.8247333333,57.1929999999,32.6316666667,3.15793333332
184.49,98.7179333333,94.1026,91.282,61.5384666668,44.1025333333,67.4358,54.359,41.5386000001,68.2051333333,60.2565333333,70.5127999999,46.4102666667,28.718
184.87,101.515066667,102.121266666,101.515066667,60.9090666667,42.1212666667,78.1817999999,56.6667333333,39.697,65.7574666668,67.2728000001,73.0302666667,51.2120666667,26.0605333334
185.25,113.333266667,115.641,124.359066667,77.6922666667,71.282,104.359,82.8204666666,65.1279999999,93.5896666666,90.5128,104.6154,78.4616666667,56.1539333333
185.63,136.969733333,138.181933333,148.787933333,88.1818666668,87.2726666666,124.848466667,101.515266667,80.6061333333,113.636266667,100.303133333,126.666533333,89.697,62.7272666667
186.01,165.925733333,159.629466667,176.666733333,95.9259333332,109.2592,147.036933333,120.370333334,93.7036666667,135.5556,119.2592,149.629666667,104.814866667,73.3333333333
186.39,175.438666667,160.351,177.894733333,98.2456,123.859666666,152.2806,123.8596,112.280733333,144.210466667,127.368466667,162.105333333,120.701733333,91.2281333333
186.77,194.814733333,175.925933333,191.111133333,110.370466667,138.148266667,161.851866666,131.111066667,124.814933333,157.4074,151.851733333,168.518533333,132.2222,108.888866667
187.15,216.666666667,182.083333333,200.416666667,106.666666667,148.75,168.333333333,136.666666667,131.25,159.583333333,163.75,177.916666667,143.333333333,112.916666667
187.53,150.303,125.757466667,136.060533333,71.5151333333,111.818133333,131.2122,103.333333333,96.6666666667,119.090866667,115.151466667,129.090933333,112.121133333,84.5454000001
187.91,136.111,112.2222,116.389,62.2221333333,100.277733333,116.111066667,96.1109999999,88.6109999999,98.6110666668,99.9999333333,115.5556,103.333266667,78.0556
188.29,140.5554,110.833333334,112.222133333,61.6667333333,97.7778666668,121.111133333,93.3331999999,87.2222666667,96.1110666666,97.7777333335,113.6112,100.277733333,73.6111333334
188.67,182.6666,131.555533333,131.5556,50.2222,119.555533333,162.6666,100.444466667,97.3334000002,120.444333333,116.888933333,144.444333333,119.5556,70.6666000001
189.05,195.111066667,141.333266667,134.222333333,69.3332,130.6668,158.666666667,108.000066667,120.444333333,135.1112,118.666533333,157.7778,124.444466667,74.6666666667
189.43,184.8148,143.333133333,121.8518,80.0000000001,125.185266667,156.2962,102.962933333,118.888933333,125.9258,115.555666667,133.703733333,115.9258,79.6296666667
189.81,158.412666667,122.539666667,106.666533334,69.2063333333,112.698466667,134.6032,89.2064666667,104.761933333,111.4286,97.143,116.825533333,101.904666667,74.9205333333
190.19,146.133333334,118.933333333,104.533333333,67.7333333334,104.0,132.533333333,94.1333333333,106.133333333,102.933333333,95.2,109.866666667,97.6,80.2666666667
190.57,116.7678,94.7474666667,87.4746666667,57.5758,84.4443999999,108.686933333,80.6060666667,85.2526,86.6667333333,80.0,87.6768666667,78.7878666667,70.1011333333
190.95,111.929866667,93.1578666667,85.2632000001,60.7017333333,85.7894666667,108.421066667,81.0525999999,84.7368666667,89.2982,77.8947999999,85.6139333334,83.6842,71.7543333333
191.33,122.941133333,103.7256,92.5489333333,71.3726000001,88.4314666666,121.764666667,92.1568,96.6667999999,100.784333333,82.7452,93.3334000001,91.3724666665,78.8236
191.71,172.727333333,149.090933333,124.8484,98.7878000001,117.272733333,167.5758,123.0304,130.0,138.787933333,112.424266667,126.060666667,120.000066667,106.363733333
192.09,179.697133333,152.727266667,140.6062,104.5454,131.2122,173.9394,130.302866667,135.4546,142.7272,118.4848,127.878733333,119.3938,113.636266667
192.47,185.454533333,165.7576,158.484866667,115.151533333,146.363733333,183.6364,146.0606,146.666666667,157.5758,135.151533333,133.6364,137.878933333,126.666666667
192.85,161.379266667,151.264266667,141.609133333,107.356266667,138.390866667,157.931,133.7932,126.436733333,137.701066667,121.379333333,120.6898,125.747066667,117.931066667
193.23,170.123666667,161.4814,151.851933333,110.6174,153.0864,173.3334,144.1976,128.148266667,145.1852,135.0618,131.851733333,138.024733333,130.864266667
193.61,191.818133333,184.242466667,174.8484,123.030266667,176.969666667,200.606066667,158.1818,143.030333333,164.848533333,155.1516,152.121133333,153.6364,141.515333333
193.99,200.0,188.4848,175.4546,133.939533333,175.454533333,206.666666667,155.7576,141.515133333,163.6364,158.787733333,153.333266667,150.303066667,141.515133333
194.37,231.764733333,202.352933333,188.627466667,143.921733333,190.9804,229.019733333,157.255066667,145.882266667,182.352866667,172.941266667,156.078466667,158.431333333,144.705933333
194.75,395.333333334,353.333333333,319.333333333,259.333333333,340.666666667,388.0,283.333333333,269.333333333,313.333333333,304.666666667,262.0,278.0,262.0
195.13,352.7272,308.484733333,278.787933333,221.212066667,290.9092,332.727333333,233.3334,225.454466667,261.818133334,269.090866667,234.545333333,229.697,226.6666
195.51,230.526333333,212.982466667,182.105333333,148.420933333,201.7544,215.087666667,156.1404,151.929733333,162.806933333,184.561333333,161.754466667,155.789333333,151.9298
195.89,215.438533334,194.035066667,163.859666667,130.8772,183.158,195.4386,141.052733333,128.421066666,141.7544,163.157933334,141.052666666,144.5614,134.3858
196.27,228.518666667,216.6668,166.296333333,143.3332,200.000133333,210.000066667,148.148133333,133.3334,156.2962,173.3334,150.000066667,168.518666667,154.074133333
196.65,305.000133333,293.333333333,206.111066667,177.222133333,257.222333333,278.888933333,172.777933333,155.5556,179.4444,212.777733333,188.333266667,217.2222,196.111133333
197.03,483.809666667,459.047666667,313.3334,283.809466667,391.428733333,450.476133334,256.190533333,251.4286,288.571466667,345.714333333,288.571333333,343.809466667,320.9524
197.40,258.974333333,253.846333333,166.153866667,157.948733333,204.102466667,241.5384,140.0,147.1796,155.8974,178.974333333,156.410333333,185.1282,175.384733333
197.78,269.999933334,262.222266666,172.7778,160.000133333,211.666533333,246.6666,144.444533333,149.444333333,155.555533333,180.0,156.666666667,205.5556,192.222333333
198.16,597.333333333,612.0,369.333333333,324.0,484.0,532.0,317.333333333,349.333333333,321.333333333,393.333333333,312.0,493.333333333,457.333333334
198.54,1403.33333333,1506.66666667,779.999999999,696.666666667,1146.66666667,1240.0,780.0,750.0,776.666666668,886.666666667,709.999999999,1173.33333333,1066.66666667
198.92,520.0,576.0,285.333333333,240.0,430.666666667,448.0,278.666666667,234.666666667,262.666666666,316.0,286.666666667,409.333333333,360.0
199.30,-2066.66666667,-2420.0,-879.999999999,-800.0,-1700.0,-1740.0,-953.333333333,-720.000000001,-813.333333333,-1160.0,-1026.66666667,-1633.33333333,-1380.0
199.68,-706.666733333,-815.5556,-364.4444,-331.111066667,-648.888933333,-633.333333333,-335.5556,-284.444533333,-382.222266667,-459.999933333,-439.999933333,-600.000066666,-582.222199999
200.06,-277.5,-315.833333334,-147.5,-144.166666667,-255.0,-247.5,-139.166666667,-129.166666667,-166.666666667,-204.166666667,-180.833333333,-235.833333333,-244.166666667
200.44,-337.142866667,-370.4762,-208.571466667,-218.095266667,-288.5714,-322.857133333,-191.4286,-192.380933333,-226.666666667,-265.714333333,-252.380933333,-297.142933333,-303.8096
200.82,-252.0,-273.333333333,-161.333333333,-184.666666666,-240.0,-244.0,-166.0,-169.333333333,-186.666666667,-206.666666667,-208.666666667,-230.0,-225.333333333
201.19,-314.814933333,-339.259266667,-217.7778,-243.703666667,-313.333266666,-303.703666667,-234.074066666,-222.222266667,-234.074,-251.851933333,-266.666533333,-279.999933333,-289.6296
201.57,-232.307666667,-249.230733333,-174.359,-187.692266667,-240.512866667,-232.307733333,-186.153933333,-166.153866667,-182.564066667,-194.359133333,-196.410066667,-208.718,-213.3334
201.95,-374.074133333,-394.814933333,-294.814733333,-328.1482,-403.703666667,-380.740733334,-338.518533333,-291.851866666,-312.592666667,-347.4074,-340.000066667,-340.7408,-368.888933333
202.33,-945.000000001,-1020.0,-815.0,-911.666666667,-1040.0,-991.666666667,-938.333333334,-801.666666667,-863.333333333,-924.999999999,-936.666666669,-886.666666667,-953.333333333
202.71,1553.33326667,1726.66666667,1453.33333333,1635.55546667,1735.55553333,1700.0,1637.77773333,1468.889,1417.7778,1604.44446667,1671.11113333,1573.33346667,1642.2222
203.09,1693.33333333,1826.6668,1519.99986667,1793.33326667,1864.44433334,1840.0,1784.44453333,1560.00013333,1559.99986667,1706.66666666,1762.2222,1704.44446667,1773.33333333
203.47,914.444466668,988.888866666,862.2222,992.222200001,1043.33326667,1018.88906667,1015.55553333,885.555600001,883.333400001,946.666733334,976.666733333,925.555466667,980.000000001
203.85,431.7948,464.6154,409.743533333,473.333466667,481.538466666,476.923066666,492.307666667,418.9744,428.717933333,452.820533333,463.076866667,436.410333333,464.102666667
204.22,282.539733333,304.126933333,276.508,303.174733333,320.952333333,306.666666667,317.142866667,275.873133333,274.920666667,293.650866667,304.761933333,280.000066667,303.809666667
204.60,244.7222,263.055533333,242.5,266.111,288.3334,263.888733333,273.611066667,246.111066667,243.055533333,261.111266667,266.9444,242.777733334,270.5556
204.98,201.9048,216.9046,204.523933333,223.809533333,239.762,221.666733333,230.000066667,207.619,204.285666667,222.618933333,224.523733333,201.666666667,231.4286
205.36,200.740666667,207.901133333,203.209933334,222.469133333,238.518533333,223.21,229.876533333,208.8888,204.197533333,230.8644,227.9012,204.6914,235.0618
205.74,222.4,224.0,223.466666667,239.2,256.533333333,239.733333333,241.6,224.266666667,226.133333333,255.733333333,250.133333333,230.933333333,258.133333333
206.12,236.9698,238.181933333,235.757533333,248.1818,268.1818,251.818266667,249.090933333,231.818133333,241.5152,268.181866667,264.545466667,242.121266667,267.2728
206.50,241.333333334,243.666666667,241.0,257.666666666,283.333333333,260.0,250.0,234.0,243.666666667,281.666666667,274.666666667,249.666666667,280.0
206.87,267.083333333,262.083333333,275.0,280.833333333,317.5,281.666666667,264.583333333,252.916666667,282.916666667,317.083333333,297.5,272.083333333,321.666666667
207.25,295.897466667,297.948666667,321.538333334,313.846133333,354.871733333,319.4872,294.359066667,291.282066667,319.487133333,372.307733333,341.5384,308.205066667,377.948733333
207.63,328.333333333,314.999933333,351.666466667,342.222266667,376.111066667,342.777733333,317.7778,333.888933333,342.222333333,393.8888,365.555466666,327.222333333,415.0
208.01,431.111133333,408.148266667,473.333266667,459.259266667,525.925866667,437.7778,425.185266667,455.5556,437.037066666,518.518533333,491.111133333,444.444466667,558.518666667
208.39,320.5556,311.111066667,366.111133333,366.666666667,400.5556,346.666666667,330.5556,353.888866667,333.889,405.0,378.888866667,344.4444,437.2222
208.77,560.000066666,532.380933333,613.333333333,591.428466666,675.238133333,584.762,580.0,580.0,548.5714,675.238066667,633.3334,587.619066667,745.714333333
209.14,1880.0,1776.66666667,2056.66666667,1950.0,2263.33333333,1913.33333333,1883.33333333,1940.0,1756.66666667,2233.33333333,2090.0,1980.0,2580.0
209.52,451.851666667,452.592733333,507.407533333,484.4444,547.407333333,462.2222,450.3704,483.7038,425.185066667,521.4816,498.518466667,479.999933333,623.703866667
209.90,252.0,259.111133333,287.1112,282.222133333,316.4444,257.333533333,270.666733333,288.4444,233.777866667,290.2222,275.111133333,271.111133333,361.7778
210.28,227.407333333,229.2592,250.7406,260.0,281.4814,228.888866667,248.888866667,261.4816,210.740866667,263.703533333,246.666733333,248.888933333,322.222266667
210.66,219.259333333,220.370266666,241.851866667,244.4444,272.222266667,219.259266667,243.703666667,255.555533333,206.296266667,252.5926,234.074066667,235.1852,312.963
211.03,189.444533333,186.944333333,200.5556,209.444466667,231.3888,183.3334,214.166733333,213.333333333,173.0556,214.1666,206.388866667,199.166733333,256.9444
211.41,193.333333333,193.6112,210.833266667,218.333333333,241.666666667,188.611066667,225.277733334,222.5,175.277666667,221.666533333,212.777733333,208.611133333,265.833333334
211.79,187.777866667,196.388866667,208.055533333,216.6668,239.7222,190.2778,223.333333333,210.000066667,171.388866667,222.222266667,208.333466667,213.888933334,264.444466667
212.17,202.7272,215.7576,211.8182,223.636266667,252.424266667,209.393933333,237.878866667,220.303133333,186.3636,236.060666667,215.454533333,224.242466667,281.5152
212.55,225.079266667,239.999933333,226.0318,242.222266666,277.460266667,225.0794,268.888933333,246.666666667,213.968133333,250.7936,238.412666667,248.254,304.761866667
212.92,202.7778,215.0,203.888933333,230.833333333,250.000133333,202.777733333,242.500133333,223.611133333,192.777866667,228.888866667,219.444466667,225.2778,275.555466667
213.30,152.156933333,165.686266667,155.490266667,180.196066666,188.235266667,155.686266667,185.490266667,168.8234,156.274466667,173.529466667,166.274466667,170.1962,207.058866667
213.68,151.666666667,169.791666666,157.708333333,182.083333333,192.5,157.083333333,195.0,168.958333333,160.416666667,179.583333333,169.583333333,175.625,209.583333333
214.06,182.564066667,208.9744,193.846066667,228.9744,235.1282,196.153733333,241.281933333,207.179533333,200.769133333,225.641066667,216.666666667,212.051266667,263.589733333
214.44,194.202933333,235.652066667,217.971,252.463666667,262.028933333,214.492733333,265.7972,231.884066667,224.637666667,240.8696,236.231866667,225.217466667,294.492666667
214.81,173.333333334,209.047466667,196.1904,225.0,226.9048,189.285666667,233.8096,208.809533333,198.809466667,215.238,214.047666667,205.476066667,260.9524
215.19,171.466666667,220.533333334,199.733333333,232.8,235.466666667,197.333333333,236.266666667,216.0,206.666666667,224.266666667,218.4,213.066666667,271.466666667
215.57,170.2778,215.555666667,189.4444,231.388866667,237.777733333,198.888866667,224.999933333,215.5556,210.555666667,222.222266667,221.666666667,213.611066667,271.666666667
215.95,158.133333333,205.066666667,177.066666667,224.533333333,220.266666667,183.733333333,211.733333333,205.333333333,203.466666667,211.733333333,210.666666667,196.8,252.266666667
216.32,168.333333333,233.333333333,208.333333333,261.333333333,246.333333333,194.333333333,237.666666667,233.666666667,227.333333333,239.666666667,243.666666667,218.0,292.666666667
216.70,163.333266667,227.037066667,219.629666667,262.5928,240.370266667,188.5186,232.963,231.851866667,224.8148,245.1854,245.185266667,222.963,294.444466667
217.08,136.140466667,194.386133333,191.579066667,220.000066667,212.2806,160.7018,200.3508,209.8246,207.368466667,218.596333333,213.333266667,195.087733334,255.4386
217.46,129.122733333,169.473666667,175.4386,196.491133333,197.544,137.5438,185.263266667,197.894666667,186.315733333,206.666866667,195.7894,181.754333333,237.894733333
217.83,116.388866667,134.444466667,144.1668,165.833266667,165.833466667,114.999933333,153.889,167.2222,153.3332,172.499933333,159.166733334,143.0556,201.666733333
218.21,100.208333333,109.791666667,120.833333333,128.958333333,135.0,90.4166666667,120.208333333,130.208333333,124.166666667,133.125,128.541666667,113.958333333,157.708333333
218.59,88.5965333334,88.7719333333,101.578866667,106.666666667,109.649066667,77.7192666667,102.456133333,110.0,104.5614,114.912266667,106.3158,99.4737333332,129.824466667
218.97,96.8626666667,90.1960666667,110.980466667,113.725466667,117.843133333,85.8823333334,106.4706,116.8628,111.764733333,123.9216,113.529533334,108.431466667,139.0196
219.34,97.8431333332,85.0980666665,110.7844,111.176466667,115.4902,85.2940000001,102.549,114.901933333,110.588333333,120.588266667,111.372533333,103.333266667,136.274333333
219.72,88.8287333333,76.7567333334,101.6216,100.5404,100.000066667,72.6125333333,96.0360000001,106.3062,98.1981999999,107.9278,93.6936666667,91.3514000001,121.982
220.10,96.8627333333,76.2746,109.215533333,102.156866667,110.784333333,78.0392000001,102.549133333,115.4902,106.2746,114.5098,97.8431333334,99.6079333332,135.490133333
220.47,84.3902666667,61.4633333333,93.8211333333,88.4551999999,93.6586666665,72.1949999999,90.4065333332,97.2357999999,95.7724666665,99.1868666667,80.9755333333,85.5284666666,113.983733333
220.85,84.0,60.6666666667,89.0,90.6666666667,95.8333333332,74.8333333334,91.8333333333,96.0000000001,98.6666666666,101.333333333,81.1666666667,84.3333333333,116.0
221.23,85.0450666666,63.9638666667,92.0719333335,97.2973333333,100.180133333,79.6395333333,99.4594666667,96.2162,100.720733333,104.324333333,84.6846666668,85.2252000001,121.801933333
221.61,93.3333333335,77.1170666667,101.081133333,111.351466667,107.387333333,91.3513999999,110.810866667,104.144066667,113.333266667,112.071933333,94.5946,92.6125999999,130.2704
221.98,91.8517999998,78.7037333333,99.4445333333,112.777733333,102.963066667,88.3333333333,108.518533333,102.5926,117.2222,112.037066667,94.8147333333,94.4445333331,127.4074
222.36,100.625,86.6666666667,107.708333333,126.041666667,110.625,101.25,122.916666667,118.541666667,130.833333334,135.0,107.916666667,108.541666667,140.625
222.74,111.358066667,102.963,124.938133333,145.925866667,131.111066667,113.086466667,142.469066667,137.7778,152.098866667,159.753266667,135.0618,128.888933333,161.728466667
223.11,82.0833333333,81.2500000001,97.0833333334,117.291666667,97.7083333335,84.1666666667,112.083333333,107.916666667,123.541666667,126.666666667,104.375,96.8750000001,126.458333333
223.49,77.3683999999,81.0526,94.2106000002,112.280733333,92.8070666666,84.0350666665,110.877266667,104.561533333,116.842066667,118.947333333,102.105266667,96.3157333334,121.228
223.87,75.0000666666,84.8148666667,98.3332666665,115.1852,93.8890000001,85.7408,114.814933333,100.1854,122.037066667,123.888933333,106.481533333,100.555666667,122.777666667
224.24,62.1666666667,74.5,85.3333333334,98.5000000001,80.3333333333,73.8333333333,100.333333333,83.1666666666,105.5,108.5,93.8333333334,85.6666666665,104.0
224.62,58.6364,72.8788666667,77.5757999999,92.4241999999,74.9999333334,71.0605333333,91.9696666667,79.2423333333,94.0909333333,99.0909333334,92.4242666666,83.1817999999,97.7272666667
225.00,60.9090666667,72.7274,76.0605333333,89.6970666667,70.1514666667,70.4544666666,89.0909333334,81.3635333332,90.9091333334,94.8485333332,88.7878666666,80.1514666666,96.0605333334
225.38,61.9259333333,70.2222666666,72.4444666667,83.1110000001,62.5184666667,64.8888666667,83.1110000001,79.2592666666,87.8518666667,89.0370666667,87.7036666667,79.2593333335,91.8517999999
225.75,49.3652666667,54.9206666667,61.2699333333,65.8730666667,50.6349333333,51.1111333333,70.3174666667,67.9364666667,76.0317333333,77.4602666667,77.4603333334,69.2064666667,77.7778666667
226.13,36.0000666667,47.8095333333,54.0952666667,56.3811333333,43.4286666667,45.3334666667,64.7618666666,61.9048,69.7141333333,73.3332666667,75.0476666666,61.5237333333,70.8570666667
226.51,25.0450666667,32.072,38.5585333333,42.1622,31.8918666667,33.1531333333,50.0900666667,45.9459333333,52.2523333333,55.4954666667,55.1351333334,48.6485333333,58.7388
226.88,14.7286666667,20.1550666667,24.1860666667,31.0078,22.1707333333,24.0309333333,31.628,28.062,38.9147333333,38.2946,36.124,31.1629333333,46.6667333333
227.26,18.8652666667,17.4468666667,19.2907333333,29.3615333333,24.539,24.8226666667,31.0638,23.4042666667,35.7446666667,35.1773333333,37.3048666667,30.3544666667,41.1347333333
227.64,9.79566666667,3.40133333333,3.5376,14.5578,9.93199999999,9.65993333334,16.5984,8.02720000001,19.7279333333,20.6804,22.3128666667,17.6870666667,25.442
228.01,10.6410666667,0.384533333328,0.3846,11.0254666667,6.41026666666,6.66673333333,11.5384,6.79486666667,18.3334666667,17.9488,19.487,12.5641333333,23.5897333333
228.39,11.0714,0.357200000001,-2.02366666666,8.9286,2.85726666668,1.19053333333,10.119,5.83326666665,14.0476666667,12.2618666667,16.0714666667,11.3095333333,18.9285333333
228.76,12.0634666667,0.740733333334,1.05826666667,8.67726666666,2.43373333333,2.01046666667,12.2752666667,2.96293333335,15.3441333333,10.7936,12.4867333333,11.4285333333,17.3546
229.14,11.5316,2.5224,3.87386666667,9.99993333335,4.144,3.69366666667,12.1620666667,1.80186666667,13.4234,11.4415333334,13.9639333333,12.7927333333,15.946
229.52,6.83333333333,-2.74999999999,-0.416666666672,5.58333333334,1.00000000001,0.749999999994,7.16666666667,-2.91666666666,7.91666666666,7.91666666667,9.33333333334,8.66666666665,10.8333333333
229.89,8.27306666666,-0.883599999994,1.28526666667,5.86346666666,1.767,2.8916,8.03213333334,-3.77513333333,9.63846666667,9.23686666667,10.6828,10.7630666667,12.8515333333
230.27,8.65073333335,-4.28573333335,0.63486666666,4.04766666667,-1.66673333333,0.635,5.07946666668,-6.66666666666,7.14280000001,5.87279999999,7.69846666665,10.873,11.9046666667
230.65,11.6129333333,1.0036,4.73120000001,6.88166666667,0.358533333335,4.01440000001,7.52686666665,-3.51253333333,10.6093333333,7.24026666666,10.3942,13.3333333333,12.6881333333
231.02,9.13053333333,-2.39133333333,3.40580000001,4.78260000001,-3.47826666667,2.17393333335,6.5942,-6.08706666667,8.11599999999,3.84066666667,9.71033333332,12.2465333333,9.27539999999
231.40,7.88526666666,-2.29386666666,2.65240000001,4.65960000001,-5.0896,2.22213333335,7.24019999999,-6.38,7.95693333334,3.29753333332,9.31913333333,12.9749333333,10.7525333333
231.78,7.76546666667,-0.65953333334,3.80953333333,6.44686666667,-4.39546666667,3.44326666665,9.45060000002,-5.12813333334,9.23073333333,4.61546666667,9.59706666667,14.2857333333,11.9414
232.15,11.1111333333,3.9582,6.80559999999,9.51393333335,0.555533333332,7.1528,13.0554666667,-0.555466666666,9.79173333333,6.59726666667,12.5695333333,18.0556,13.611
232.53,10.099,4.95040000001,6.27053333333,9.109,-0.066133333334,9.24100000001,12.3431333333,6.6666666e-05,10.033,7.26066666667,13.7954666667,17.9538,14.8514666667
232.90,5.78746666667,1.24540000001,1.24533333334,7.03300000001,-4.90840000001,6.66666666667,8.27846666666,-2.63740000001,6.8132,4.61546666667,12.2345333333,16.1905333333,11.6484
233.28,4.01519999999,-2.27266666666,-2.6516,4.77266666666,-8.93946666667,3.485,5.83326666667,-4.09093333333,5.37879999999,2.80300000001,8.71219999999,14.7727333333,9.16666666667
233.66,6.66666666667,-0.374600000006,-0.749133333334,6.14233333335,-7.49066666667,4.794,7.34080000001,-2.09739999999,8.0898,4.56939999999,9.58793333333,16.1048666667,10.1873333333
234.03,4.71006666667,-0.289866666666,-2.82620000001,6.59413333333,-7.89846666666,3.47826666665,6.81153333334,-0.869533333342,6.59413333333,2.89859999999,9.5652,14.8550666667,9.855
234.41,6.94453333333,4.02786666667,1.38886666667,10.0694,-3.26379999999,6.875,10.6248666667,2.63886666667,9.86106666667,4.44453333333,15.4166666667,16.5278666667,12.6388666667
234.78,3.67806666667,0.230000000006,-3.2184,6.82000000001,-5.59393333333,3.52486666667,8.5058,-0.613066666658,7.2796,1.22613333334,14.023,13.5632666667,10.2681333333
235.16,4.46966666667,0.303,-4.9242,5.45433333333,-6.89393333334,1.89386666667,7.34846666667,-1.4394,5.98479999999,1.6666,11.8181333333,11.3636,10.9849333333
235.54,0.757533333326,-3.78779999998,-7.65140000002,0.68173333332,-10.7576,-3.25753333334,1.89386666666,-4.92426666667,1.66666666667,-3.33339999999,7.42426666667,5.53033333332,5.98486666667
235.91,0.599333333354,-5.16859999999,-7.11620000001,-1.87260000001,-12.8090666667,-4.79393333333,-0.824066666659,-7.19106666668,0.898733333327,-5.54299999999,7.11599999999,2.32206666666,4.64413333333
236.29,-2.93046666667,-8.57146666667,-9.45046666665,-4.24920000001,-16.8498666667,-8.4982,-3.663,-10.1099333333,-1.17206666667,-7.25253333333,4.10253333333,-0.732599999994,2.49086666667
236.66,-4.76186666667,-10.0366,-9.89013333334,-5.86079999999,-17.6556666667,-11.2086666667,-5.34799999999,-12.9670666667,-2.56419999999,-9.30406666667,0.219733333332,-2.9304,-0.439533333326
237.04,-4.71006666667,-9.63766666668,-9.78266666667,-8.55066666668,-18.1158,-12.3188,-6.59433333333,-13.116,-3.33333333335,-11.2319333333,-1.08686666667,-4.85506666666,-2.1016
237.41,-7.67033333335,-11.0394666667,-11.4695333333,-12.4014,-20.3584666667,-13.5483333333,-9.17573333333,-16.5590666667,-5.01786666666,-14.6236666667,-2.29386666667,-8.53053333334,-5.16119999999
237.79,-11.6295333333,-13.2592666667,-12.074,-15.1112,-23.1851333333,-16.9629333333,-11.1850666667,-18.2963333333,-7.40739999999,-18.5926666667,-3.11106666667,-11.8519333333,-7.25926666667
238.17,-7.30493333333,-10.9929333333,-8.86526666665,-13.2623333333,-20.1418666667,-14.1844,-7.94326666667,-15.1772,-4.32613333333,-14.8936666667,-0.071,-10.9220666667,-5.67373333333
238.54,-10.4762,-16.8706,-15.7142666667,-18.2994,-24.4218,-19.4558666667,-11.9048666667,-18.5716,-9.31973333333,-17.0748666667,-6.93879999999,-14.4897333333,-10.136
238.92,-11.6025333333,-17.8847333333,-16.2820666667,-19.6154,-25.8974,-20.9616666667,-14.1666666667,-19.4230666667,-11.6026,-17.3076,-9.35899999999,-16.2820666667,-11.5383333333
239.29,-10.2702666667,-16.4566,-15.3755333333,-20.1802,-23.7838666667,-19.6397333333,-14.054,-17.2972666667,-10.5104,-15.3752666667,-6.967,-14.2943333333,-10.5706666667
