wavelength,Back_TanPerm,Belly_TanPerm,Breast_TanPerm,Crissum_TanPerm,Crown_TanPerm,DorTail_TanPerm,Patch10_TanPerm,Patch11_TanPerm,Rump_TanPerm,Throat_TanPerm,WingTip_TanPerm
776.92,15.576,53.004,16.8926666667,51.214,41.5843333333,13.426,13.58,48.7653333333,55.1443333333,19.65,21.111
777.23,15.8436666667,52.86,17.181,51.358,42.037,13.889,14.2796666667,49.3206666667,55.35,20.247,21.1933333333
777.54,15.833,52.4193333333,17.398,51.7603333333,42.413,14.299,14.4533333333,49.64,55.487,20.342,21.186
777.85,15.456,51.4796666667,17.3183333333,51.7896666667,42.6653333333,14.463,13.987,50.0723333333,55.5143333333,19.677,20.4843333333
778.16,15.4583333333,51.812,17.6246666667,51.896,42.9793333333,14.594,13.667,50.2083333333,55.583,20.063,19.9376666667
778.47,15.415,51.773,17.7723333333,51.5226666667,43.0123333333,14.049,13.3706666667,49.8123333333,54.8186666667,20.234,19.024
778.78,15.0673333333,51.41,17.6976666667,51.6203333333,42.845,14.0465,12.8366666667,49.516,54.9663333333,20.4756666667,18.4973333333
779.09,15.4676666667,51.6233333333,17.8653333333,51.5806666667,42.9663333333,13.781,12.6673333333,49.4376666667,55.591,21.048,18.714
779.40,14.5133333333,50.7963333333,17.485,51.1413333333,42.7646666667,13.4045,11.7356666667,48.4926666667,55.211,19.918,17.3343333333
779.71,14.2796666667,51.2203333333,17.8006666667,51.3286666667,43.2923333333,14.1285,12.0543333333,47.9153333333,55.584,19.745,17.196
780.02,14.7706666667,51.8736666667,18.9346666667,51.5886666667,43.7433333333,14.2015,12.8643333333,47.7973333333,56.279,20.184,18.1896666667
780.33,14.5586666667,51.7566666667,18.9503333333,51.7566666667,43.3903333333,13.3725,12.0333333333,47.2333333333,55.951,20.0043333333,17.9623333333
780.64,14.387,52.0806666667,19.1233333333,51.9696666667,43.2493333333,12.782,11.7973333333,46.8793333333,56.2416666667,20.186,17.9283333333
780.95,15.05,52.687,19.2866666667,52.1293333333,43.5676666667,13.211,12.2853333333,46.9116666667,56.7446666667,20.7133333333,17.837
781.26,15.983,53.531,19.704,52.253,43.219,13.3155,12.867,46.6486666667,56.983,21.475,18.516
781.57,16.2616666667,52.9916666667,19.973,52.1593333333,42.6673333333,13.833,13.1356666667,46.154,56.9726666667,21.3003333333,19.2086666667
781.88,16.678,53.347,20.5996666667,52.9863333333,43.2273333333,15.01,14.2213333333,46.8786666667,57.674,21.997,19.8556666667
782.19,17.1283333333,53.0946666667,20.7743333333,52.217,43.214,15.125,14.9673333333,47.0626666667,57.146,21.9893333333,20.437
782.50,17.1873333333,53.261,20.8786666667,52.287,43.32,15.9645,15.3306666667,47.124,56.9293333333,21.4446666667,20.5393333333
782.81,17.7396666667,53.539,21.21,52.5573333333,43.2193333333,15.719,15.228,47.4883333333,56.7353333333,21.986,21.4156666667
783.12,17.9736666667,53.4616666667,21.481,52.2236666667,43.3056666667,15.0275,15.039,47.547,56.3273333333,21.687,22.581
783.43,17.308,52.9973333333,20.5506666667,51.808,43.317,13.926,14.1126666667,47.539,55.96,21.2736666667,21.9963333333
783.74,17.4033333333,53.4236666667,21.0893333333,51.9496666667,43.676,14.372,14.3843333333,47.8126666667,56.5143333333,21.2793333333,22.563
784.05,17.7413333333,53.7726666667,21.275,52.6266666667,43.9113333333,15.0075,14.7803333333,47.9943333333,56.59,21.633,23.209
784.36,16.3043333333,53.3333333333,20.3863333333,51.9563333333,43.3093333333,13.9495,13.7923333333,47.512,55.773,20.652,22.7776666667
784.67,15.8386666667,52.4116666667,20.014,51.092,42.9806666667,13.391,13.583,46.7003333333,54.836,20.47,22.606
784.98,15.8446666667,52.8233333333,19.943,51.8466666667,43.4356666667,13.6165,14.177,47.0333333333,54.4676666667,21.2056666667,22.8973333333
785.29,15.5283333333,52.384,19.4823333333,51.7853333333,42.871,12.8325,13.6353333333,46.6093333333,54.2536666667,21.016,22.8133333333
785.60,14.637,51.6953333333,19.0066666667,51.7906666667,42.2636666667,11.784,13.0613333333,45.8216666667,53.6773333333,20.2246666667,22.039
785.91,14.3466666667,51.042,18.7263333333,51.61,41.9033333333,11.257,13.1393333333,45.7623333333,53.4563333333,19.9336666667,21.8753333333
786.22,13.624,50.468,18.0476666667,51.2873333333,41.573,10.92,12.851,45.0373333333,53.1836666667,18.82,21.7226666667
786.53,12.4493333333,50.701,17.1536666667,51.58,41.2213333333,10.0855,11.4756666667,44.9986666667,52.9106666667,18.508,20.337
786.84,12.2206666667,50.8846666667,17.9936666667,52.1183333333,40.712,10.6495,11.755,44.8556666667,52.7936666667,18.599,20.4843333333
787.14,11.8783333333,50.7366666667,17.104,52.187,39.779,10.186,11.6713333333,44.452,52.371,18.186,19.751
787.45,11.347,50.8676666667,16.7806666667,52.169,39.863,10.2395,11.9863333333,44.7946666667,53.2193333333,17.854,18.9043333333
787.76,12.0283333333,51.228,17.781,53.0013333333,40.6093333333,10.3685,12.4146666667,45.8163333333,53.729,18.1903333333,18.9856666667
788.07,11.647,51.6886666667,17.85,53.871,41.2356666667,10.0965,12.1066666667,46.313,54.399,17.4823333333,18.608
788.38,10.3123333333,51.069,16.6313333333,53.4886666667,40.592,8.527,11.1583333333,45.7366666667,54.522,15.9503333333,17.1246666667
788.69,9.97133333333,51.2106666667,16.524,53.561,41.2393333333,8.4755,10.945,45.869,55.3656666667,15.907,17.5923333333
789.00,10.6983333333,51.8466666667,17.4173333333,53.872,41.9586666667,9.65,11.9133333333,47.1526666667,55.9686666667,16.988,18.8706666667
789.31,10.8963333333,51.812,17.4296666667,53.6003333333,42.2746666667,9.1915,12.0646666667,47.1386666667,56.0563333333,17.7156666667,19.1943333333
789.62,11.3616666667,52.4706666667,17.7323333333,54.118,43.096,9.702,12.379,48.4736666667,57.001,18.6286666667,19.4526666667
789.92,12.248,52.113,18.204,53.386,43.1556666667,9.87,13.8566666667,48.5353333333,57.3006666667,19.1163333333,20.7493333333
790.23,12.9303333333,52.6056666667,17.7483333333,53.3923333333,43.6576666667,10.251,13.9133333333,49.1886666667,57.5956666667,19.2966666667,21.288
790.54,13.8576666667,53.3036666667,18.5596666667,53.1553333333,44.5186666667,11.5445,14.2536666667,49.963,58.0796666667,20.094,22.148
790.85,13.9223333333,53.2223333333,18.731,52.115,43.857,11.1025,13.4943333333,49.7733333333,56.9486666667,20.3423333333,22.6333333333
791.16,14.0106666667,53.2716666667,18.784,51.6806666667,43.495,11.0855,13.3693333333,49.346,56.9926666667,20.7083333333,23.3513333333
791.47,13.8976666667,53.3436666667,18.9916666667,51.5673333333,43.1296666667,10.815,13.1663333333,49.3993333333,56.7396666667,21.1596666667,23.746
791.78,14.4723333333,53.448,20.4283333333,51.2276666667,43.1036666667,11.403,13.8453333333,49.817,56.609,21.7606666667,24.582
792.08,13.6256666667,53.6783333333,19.761,50.7566666667,41.9656666667,10.0395,12.8816666667,49.429,55.113,20.9826666667,23.6386666667
792.39,13.3436666667,53.0306666667,18.6866666667,50.2393333333,41.361,9.3305,12.3073333333,48.618,54.439,20.069,22.807
792.70,13.1866666667,53.48,18.896,50.3536666667,41.218,10.2365,12.126,48.6136666667,54.894,19.8206666667,22.8926666667
793.01,13.208,52.8866666667,18.927,50.463,40.632,10.458,12.1733333333,48.2296666667,54.412,20.0436666667,23.0666666667
793.32,13.7333333333,53.3716666667,18.9146666667,51.4256666667,40.68,11.184,11.815,48.5473333333,54.1393333333,20.285,22.8616666667
793.62,13.0816666667,53.0106666667,18.528,51.0123333333,39.9013333333,10.427,11.6036666667,47.5643333333,54.1323333333,19.7593333333,21.2373333333
793.93,10.9363333333,52.085,17.3713333333,50.1796666667,38.8843333333,8.4505,10.356,46.313,53.2726666667,18.89,19.9393333333
794.24,11.221,52.6403333333,17.5743333333,50.1923333333,39.4116666667,8.457,10.9186666667,46.0946666667,53.988,18.6743333333,19.6646666667
794.55,10.735,52.2983333333,16.873,50.179,38.673,8.34,11.4233333333,45.83,53.5646666667,18.1666666667,18.855
794.86,10.4436666667,51.7583333333,15.99,48.8633333333,38.014,7.7115,11.1473333333,45.2653333333,52.949,17.911,17.9653333333
795.16,10.4693333333,52.2376666667,15.731,49.688,38.7036666667,8.137,10.9033333333,45.7823333333,53.0513333333,18.6603333333,18.362
795.47,11.8466666667,51.957,16.7323333333,50.4333333333,39.4796666667,9.614,12.2406666667,46.2573333333,53.4016666667,19.4903333333,18.6233333333
795.78,12.4866666667,53.307,17.8306666667,51.799,39.5766666667,10.119,12.8573333333,47.09,54.524,20.5556666667,18.5713333333
796.09,12.9966666667,53.486,18.39,52.618,40.1736666667,10.3395,13.3646666667,47.619,54.8276666667,20.7576666667,18.7056666667
796.40,13.365,54.5743333333,19.0663333333,53.4076666667,41.448,10.3025,14.214,48.4223333333,55.052,20.764,19.2256666667
796.70,12.627,54.3336666667,18.459,53.5846666667,41.145,10.1525,14.3926666667,48.154,55.0563333333,20.3046666667,18.4593333333
797.01,12.6336666667,53.8726666667,18.1626666667,53.9796666667,41.4796666667,9.5355,13.969,48.3173333333,53.7926666667,20.0316666667,18.9366666667
797.32,13.3766666667,53.967,18.467,55.1043333333,41.9983333333,10.114,13.9723333333,49.418,54.3193333333,20.2816666667,19.334
797.63,12.6513333333,54.263,17.8216666667,56.0506666667,42.189,9.9835,13.8613333333,50.11,54.263,20.4343333333,18.812
