wavelength,Back_GeoConf,Belly_GeoConf,Breast_GeoConf,Crissum_GeoConf,Crown_GeoConf,DorTail_GeoConf,Patch10_GeoConf,Rump_GeoConf,Throat_GeoConf,WingTip_GeoConf
781.88,16.9214,20.3072333333,15.6368666667,21.2238666667,12.6688666666,19.2471333333,33.7762666666,19.1252222222,16.2624666667,24.5543666667
782.19,16.2773333333,20.0966666667,15.4986,20.6130666667,12.3337333333,18.923,33.0848666667,18.2987777778,15.4598,23.9878
782.50,16.4234666667,20.1603333333,16.3348666667,21.0338,13.0126,19.0822666667,33.0844666666,18.7488666667,15.7932,24.4223333333
782.81,17.0487333333,20.7281666667,17.1483333333,21.3952666667,13.6989333333,19.8836666666,33.4606,19.5422222222,16.5726,25.0582
783.12,17.8807333333,22.086,18.1401333333,22.3123333333,14.5144,20.4193333333,34.4812666667,20.4397555555,17.6104,26.1588
783.43,17.9685333333,22.3231333333,18.2547333333,22.2168,14.6408666667,20.5386666667,34.8541333333,20.5537333333,17.6036666667,26.1364
783.74,19.2934666667,23.8155666667,19.4842,23.28,15.9966,21.6427333333,36.5124,21.6839777778,18.7666,27.3814666667
784.05,20.2422,24.5299,20.3435333333,23.8061333333,16.9427333333,22.196,37.4381333333,22.3422444444,19.6509333333,28.1165333333
784.36,20.4932666667,25.0284,20.6745333333,24.076,17.3072,22.7835333333,37.9308666667,22.8213111111,20.3740666667,28.8689333333
784.67,21.4994,25.8417,21.6220666667,24.9776,18.1270666667,23.5785333333,38.4392666667,23.6213555556,21.1259333333,29.1193666667
784.98,22.5111333333,26.825,22.75,26.0055333333,19.1000666667,24.6223333333,39.1388666667,24.4555555556,22.239,30.0944666667
785.29,22.7694666667,27.1670333333,23.0736,26.3296,19.4304,24.2951333333,39.1542666667,24.9327111111,22.5649333333,30.6967
785.60,22.826,27.2937666667,22.9655333333,26.4938666667,19.3812,24.0858666667,39.0358,25.0723777778,22.8372,31.0033333333
785.91,23.5156666667,28.2204,23.1291333333,26.7319333333,19.7443333333,24.555,39.238,25.4548444445,23.6298,31.4448666667
786.22,23.2924666667,28.1742666667,22.9283333333,26.7644666667,19.4239333333,24.1781333333,39.185,25.2248444445,23.2869333333,31.2412333333
786.53,21.6842,26.7399,21.3963333333,25.3298666667,18.0329333333,22.6948,37.7232666667,23.9571111111,21.6516,29.8558
786.84,21.954,26.5502666667,21.488,25.221,18.5279333333,22.8911333333,38.0089333333,24.2784222222,21.8692666667,30.1932
787.14,21.6846,26.0742,21.458,25.2703333333,18.5008,22.6172666667,37.5786666667,24.3791777778,22.2050666667,30.0567333333
787.45,20.4934,25.0317,20.5746,23.9766,17.3608,21.5306666667,36.3488666667,23.1782222222,21.2152666667,29.0161333333
787.76,20.4503333333,24.7873666667,20.8258,24.3343333333,17.4874,21.1011333333,36.0562666667,22.9611333333,21.036,28.7561666667
788.07,19.5555333333,24.0884,19.9950666667,23.6769333333,16.7575333333,20.5151333333,35.6718666667,21.8231777778,20.4192666667,28.3763333333
788.38,19.7278666667,24.1203333333,19.8712666667,23.5585333333,16.8522666667,20.4998666667,36.001,21.9879111111,20.4998666667,28.6216333333
788.69,19.6980666667,24.2341666667,19.4805333333,23.4448,16.7581333333,20.6234666667,36.1742666667,21.7932666667,20.5196666667,28.6068
789.00,19.9065333333,24.3599,19.3204666667,23.3333333334,16.9818666667,20.7484,36.322,21.9580666667,20.8271333333,28.9805666667
789.31,19.4634666667,24.2002,18.8376,22.9408666667,16.7015333333,20.6606,36.1154,21.5218444444,20.5762,29.0437
789.62,19.5212666667,24.1934333333,18.7882,22.7722666667,16.7440666667,20.4936,35.5522666667,21.3246666667,20.7279333333,29.1473333333
789.92,20.5159333333,24.5429666667,19.5140666667,23.1054,17.706,21.2872666667,36.1032,21.4859777778,21.6277333333,29.8196333333
790.23,20.2282666667,24.6041666667,19.5230666667,23.0645333333,17.3871333333,21.0908666667,35.5809333333,21.2902666667,21.6641333333,29.731
790.54,20.0414,24.4704,19.4338666667,22.8192666667,17.056,20.9188666667,35.2959333333,20.7996,21.1215333333,29.6859333333
790.85,20.3484,25.0485666667,19.4616,23.4098,17.5666666667,21.0134,35.6665333333,20.9746666666,21.647,29.9736666667
791.16,19.6866,24.5895333333,18.5791333333,22.4149333333,16.8397333334,20.5348666666,35.0406,19.9368444445,20.8859333333,29.3164666667
791.47,20.7630666667,25.5790333333,19.5312,23.0852666667,17.7214,21.5426666667,35.7372666667,20.8049777778,21.7551333333,30.2344666667
791.78,20.1301333333,25.0113666667,18.9304666666,22.5355333333,17.0910666667,20.8830666667,35.0198666667,19.9528666667,21.0357333333,29.6066666667
792.08,19.9368666666,24.5162666667,18.9778666666,22.0386,16.8475333333,20.7234,34.4416,19.5023777778,20.5799333334,29.3683
792.39,20.5335333333,24.7287333333,19.5838,22.4156666667,17.0802,21.1668666667,35.0103333333,19.7518222222,21.0495333333,29.3461333333
792.70,20.1068,23.9298,19.4004666667,21.8284666667,16.7942666667,20.6826,34.5265333333,19.2340888889,20.38,28.4445333333
793.01,19.9700666667,23.9259333333,19.2358,22.0756666667,16.7208666666,20.6979333333,35.0180666666,19.2218222222,20.3189333333,28.5318
793.32,19.1636,23.6941333333,18.4667333333,22.0303333333,15.9334,20.2848,34.8303333333,19.1474888889,19.7939333333,28.206
793.62,19.1938666667,23.4929,18.3574,22.1660666667,16.0590666667,20.5175333333,34.4524666667,18.9049111111,19.5428666667,28.0324666667
793.93,19.1628666667,23.5114333333,18.1716666667,21.6324666667,16.165,20.2612,34.3246,18.7176666667,19.6913333333,27.8302
794.24,19.2644666667,22.9831666667,17.9935333333,21.4121333333,15.5750666667,19.9235333333,33.9394,18.5269333333,19.2528,27.5639
794.55,19.5221333333,23.2097333333,18.2440666667,21.3874,15.7224666667,20.2475333333,34.0588666667,18.9809555555,19.5163333333,27.7375333333
794.86,19.456,22.9039333333,17.8406,21.2658,15.5784,19.8394666667,33.7972666667,18.9652666667,19.3586,27.6660666667
795.16,20.2481333333,23.5897333333,18.8420666667,22.3380666667,16.7960666667,20.976,34.5244,19.9558888889,20.0992666666,28.5085333333
795.47,20.3091333333,23.7086666667,18.8962,22.6436,16.7328666667,21.0374,34.8730666667,20.1527333333,20.2538666667,28.6728
795.78,20.4118,23.6856,19.0406666667,22.8779333333,17.0189333333,21.5825333333,34.7370666667,20.3198222222,20.3036,28.8971
796.09,20.7285333333,23.4473333333,18.7655333333,23.1594,16.7862,21.1309333333,34.8778,20.4605333334,20.386,29.0347666667
