wavelength,Back_SicLuam,Belly_SicLuam,Breast_SicLuam,Crissum_SicLuam,Crown_SicLuam,DorTail_SicLuam,Patch10_SicLuam,Rump_SicLuam,Throat_SicLuam,WingTip_SicLuam
206.87,-19.8222,0.26673333334,17.3778,-40.2060939394,-10.5778,-17.0666666667,3.0222,-20.4888666667,-3.33326666666,-30.3108666666
207.25,-31.3130666667,-9.4948666666,13.5857,-46.4003787879,-16.5656666667,-30.9092,-13.8889,-32.3736666667,-13.7879000001,-43.1312666667
207.63,-19.4445333333,-1.66673333332,25.0925333333,-35.3956333333,-8.79626666667,-21.5742,-11.1574,-26.2498,-4.58323333334,-34.3518666667
208.01,-25.3920666667,-11.8628666667,16.4215333333,-46.1363909091,-16.0783333333,-31.4706666667,-18.8235333333,-37.6961,-15.0489666667,-41.4704666667
208.39,-18.4314,-11.3724666666,23.2843666667,-40.4367575758,-8.52946666665,-28.7256,-9.21546666668,-33.8234,-7.1568666666,-33.2354000001
208.77,-36.1333333333,-28.6666666667,24.6666666667,-66.6787878788,-25.0666666667,-52.5333333334,-30.7333333333,-54.4,-24.7333333334,-63.3333333333
209.14,-55.6028666667,-48.3687333334,2.83706666666,-86.2219060606,-45.5321333333,-70.3546000001,-60.1419666666,-76.7376333335,-43.8296333332,-81.2765999999
209.52,-35.0574666667,-24.9426666667,9.77016666666,-54.5716181818,-29.77,-48.6207333333,-40.4597666667,-48.3332,-22.9309666667,-58.0458666667
209.90,-19.8906,-10.2732666666,15.5737333333,-37.0194272727,-17.9234666667,-31.3659333333,-25.5191333333,-37.9781666667,-7.26776666674,-44.1529333333
210.28,-27.1606,-13.8271333333,-1.9754,-39.0572484848,-20.9875333333,-36.1728666666,-28.0863666667,-46.1728333333,-12.4072666667,-52.222
210.66,-43.1666666667,-29.1666666667,-12.5,-60.9469696969,-35.3333333333,-54.5000000001,-43.5,-72.0000000001,-32.9166666667,-71.1666666667
211.03,-29.1025333333,-23.3332666667,-15.9613333333,-45.0348666667,-23.2052666666,-38.0769333333,-27.8846666666,-45.4488,-22.8845333333,-48.9741999999
211.41,-6.0,-6.66667265991e-05,4.38093333333,-15.9350484849,-1.99986666665,-5.2382,1.19063333334,-16.9046333333,2.09533333332,-16.2857333333
211.79,-6.8354,0.337666666666,0.9282,-9.25957575757,0.506399999994,-1.26579999997,5.0634,-11.4346333333,4.8525,-13.5022666667
212.17,1.87500000002,13.5416666667,12.0485666667,3.3522878788,12.9166666667,11.3888666667,16.2498666667,2.08323333334,11.7014333333,-3.74979999999
212.55,-11.2211333333,2.83826666665,0.395899999994,-5.27154242424,1.98026666667,1.32013333333,4.19146666666,-11.6832333333,0.36296666666,-14.4554
212.92,-10.3267333333,2.94126666667,-1.92803333333,-5.16339696969,3.39866666667,5.88233333334,6.79733333332,-14.6732333333,1.56866666666,-13.8560666667
213.30,-12.2222,6.52779999999,-3.29850000001,-5.3439878788,4.44439999999,10.0692666667,9.5486,-14.7224,2.6041,-19.1665333333
213.68,-16.5958,-2.05673333332,-15.1773,-15.2514393939,-2.34046666668,5.31913333334,1.63133333333,-22.8015,-7.02123333332,-29.1488666667
214.06,-18.6110666666,-7.84726666667,-21.0416,-20.523830303,-7.49993333334,2.49993333334,0.798666666666,-23.7847666666,-15.2082666667,-34.9305333333
214.44,-18.0756,-11.0654,-21.3746666667,-25.5358909091,-12.9896,0.9622,-3.02409999999,-24.2268,-16.9759666667,-37.3882666667
214.81,-12.5074,-8.20053333335,-15.0444,-16.9134090909,-8.20053333334,1.239,0.088500000014,-17.9056,-9.4101,-28.3777333333
215.19,-12.7976666667,-7.20226666668,-10.0894,-14.9350787879,-9.16666666668,4.82153333335,-0.02983333332,-19.5834,-6.93456666665,-25.5951333333
215.57,-20.7326666667,-17.2894666667,-20.8425,-31.2188,-22.4175333333,-3.58966666667,-11.0623333333,-32.7106666667,-14.7987,-42.0512666667
215.95,-33.9814666667,-35.2777333333,-32.3148,-57.3356939394,-39.3518666667,-17.6851333333,-24.1203666667,-51.2037666667,-33.4722,-62.4998666666
216.32,-22.3743333333,-31.3242,-26.8494333333,-46.8617969697,-34.2465333333,-9.86299999998,-16.5295333333,-40.6849333334,-20.9589,-53.0595333334
216.70,-12.0689333333,-23.5631333333,-18.5055333333,-49.6185818182,-29.6552,-3.10340000002,-5.74726666666,-32.1264333333,-9.08056666666,-55.2875333333
217.08,-11.6128,-18.9246,-16.3976666667,-45.0781787879,-23.6559333333,-3.01066666666,-11.1829,-27.6882333333,-8.7636,-51.1826666666
217.46,-4.38093333333,-16.6666666667,-6.66686666665,-35.2554575758,-14.3810666667,-2.762,-5.76183333334,-19.6666,-0.14286666666,-37.5238666667
217.83,-5.44593333333,-16.4319333333,-3.14539999999,-37.2471545455,-19.7182666666,-8.82619999999,-4.41303333334,-24.8357,-1.59633333334,-36.6194666667
218.21,-1.14026666668,-5.70166666667,7.32446666667,-32.9185484848,-7.01753333334,-2.63153333333,-2.28066666668,-18.5088666667,9.38596666668,-22.8071333333
218.59,7.22899999999,4.33720000003,19.4378,-21.6392969697,6.9878,5.0602,7.3897,-9.35746666667,16.5863333333,-8.19280000001
218.97,14.1176666667,15.0588,27.6076,-16.1462515151,9.17653333334,12.7844,15.7255333333,-0.862666666673,21.3725666667,-0.7842
219.34,19.9234666667,23.8314,34.4060666667,-7.69755757578,14.4828666667,15.4024,23.7547333333,6.81993333333,29.2335666667,2.75873333332
219.72,20.7059333333,24.7058666666,32.7451666667,-4.64893636362,19.0588,14.6666,28.4312333333,9.5685,29.4510333333,3.13746666666
220.10,21.3636666667,24.7728,31.2878666667,-2.33129999999,19.9999333333,15.1516,25.3408333333,8.0303,29.4318,4.01506666666
220.47,20.6977333333,21.8605333333,26.1627,-7.12825454545,17.8295333333,13.4883333333,26.1239666667,4.68986666665,27.0541666667,-1.31773333332
220.85,15.6209333333,11.8954,17.8759333333,-3.63040606061,12.7451333334,11.3072,19.7384666667,0.392199999992,16.5686,-2.15693333334
221.23,24.2264,18.9285333333,25.7144,7.35671212121,18.3333333333,17.5,28.8395333333,10.8927666667,24.1368333333,9.40473333334
221.61,18.1120666667,17.8760666667,23.1857666667,4.83515151513,13.2154,17.1090666667,23.9823333333,8.28903333333,18.9676666667,8.8494
221.98,23.7532,25.6296666666,27.605,16.785630303,23.2592,24.8889333333,30.6173333333,17.3333666666,28.7160666667,17.9754
222.36,18.869,14.1665333333,21.8452,10.5329272727,13.6904,19.7022666667,24.3154,9.13693333334,21.0713333333,10.1786666667
222.74,6.54759999999,2.44040000001,10.2083,0.37891818182,-0.29766666666,9.82146666668,9.76206666667,-2.91666666667,10.9226333333,-0.89286666668
223.11,4.77873333332,2.65486666667,9.11499999999,1.13980909091,0.649,12.3894,7.72843333334,-3.59886666668,11.062,-1.35686666668
223.49,-2.01273333333,-6.91813333334,2.64143333333,-5.44886363635,-6.9182,9.3082,1.88686666666,-9.43399999999,3.20753333332,-5.47173333333
223.87,0.727133333333,-7.63646666665,3.12136666667,-3.00008484849,-5.21199999999,13.6362,3.30299999999,-7.96976666669,1.87886666667,-2.90906666668
224.24,-7.46666666667,-13.8,-5.86666666666,-8.13333333335,-14.9333333333,9.59999999999,-0.96666666666,-15.0666666667,-5.69999999999,-8.2
224.62,-14.6666,-16.8627333333,-5.6862,-9.57928787879,-19.1372666667,8.0,-4.43116666667,-20.9803,-9.92166666667,-11.4510666667
225.00,-17.0563333334,-15.0648666667,-1.03899999999,-11.1962545454,-23.9826,8.4848,-5.1948,-19.3506333333,-13.1168666667,-15.4978666667
225.38,-22.9109333333,-23.5680666667,-12.4883,-21.1437454546,-34.554,4.03753333333,-10.3287333333,-27.6995333333,-22.5821333333,-27.1361333333
225.75,-8.41666666666,-11.5,-1.04166666666,-11.4962121212,-20.3333333333,12.9166666667,1.45833333332,-14.5,-10.4583333333,-16.3333333333
226.13,-29.0475333333,-34.5238,-15.0,-41.2392848485,-45.4762666667,7.73813333335,-15.2380666667,-37.6785333333,-35.8929333333,-38.0952000001
226.51,-52.5396666667,-42.5397333333,-28.4919666667,-59.6680757576,-66.0317333333,-0.158800000013,-26.508,-65.4763333334,-62.5396666667,-58.7302
226.88,-27.0086,-24.1026,-8.7179,-42.9603787879,-49.4017333334,20.6836,0.6837,-50.4273000001,-51.5384666666,-50.0854666667
227.26,-10.1448,-20.4347333333,4.6377,-38.5308606061,-31.4494,20.5796666667,6.3768,-36.0145333333,-37.5362333333,-32.6086
227.64,7.18960000001,-5.4904,16.6015,-26.0367818182,-13.3333333333,25.0979333333,21.3071333333,-19.6078,-22.7451666667,-16.3398
228.01,3.64586666668,1.04166666667,20.4166666667,-18.9630515152,-6.66706666665,22.2917333334,16.9272333333,-11.823,-8.17716666664,-10.4164666667
228.39,20.4274,19.1452,34.9999,3.15065151516,13.8461333333,36.1538,32.7350333333,5.72649999999,13.9316333333,10.8547333333
228.76,20.5488666667,19.2157333333,31.6863333333,1.41881818183,10.5097333333,29.1764666667,26.1958666667,3.80386666666,8.19603333334,12.7845333333
229.14,15.0000666667,14.0151333333,21.9697333333,-7.3450878788,5.15153333332,20.6818,17.3106333333,-4.12883333333,4.2044,7.87866666667
229.52,17.1528,18.6804,28.5069666667,-0.691227272726,8.4028,25.625,18.368,-1.18053333333,9.65276666667,14.5832
229.89,12.6005333333,14.2857333333,24.3957,-3.35994545455,5.64106666666,19.1208666667,14.0294333333,-4.90836666667,2.34433333333,10.2566
230.27,10.4574666667,15.1635333333,20.2612333333,-1.29520303031,4.706,14.8366666667,7.58166666668,-2.51623333333,2.32043333331,8.49673333334
