wavelength,Back_TanVelm,Belly_TanVelm,Breast_TanVelm,Crissum_TanVelm,Crown_TanVelm,DorTail_TanVelm,Patch10_TanVelm,Patch11_TanVelm,Patch12_TanVelm,Rump_TanVelm,Throat_TanVelm,WingTip_TanVelm
229.52,10.2667666667,8.61113333333,19.7752,8.16829333333,3.3492,7.48648695652,24.7179333333,3.32013333334,28.6023333333,33.6551333333,14.2990666667,13.5800666667
229.89,11.5222666667,7.36533333333,21.4384666667,11.05763,6.0984,9.27154492753,26.5864666667,5.85373333334,30.1932,33.5419333334,17.158,15.3051333333
230.27,11.4675666667,7.15853333333,22.5732,11.88269,6.63990666667,10.5968463768,28.8011333333,8.30893333333,31.3401333333,33.7258666667,18.4911333333,15.2628
230.65,9.33913333334,3.20526666667,21.1546666667,10.01288,5.75925333334,8.90497681159,26.2436,5.90760000001,29.5711333333,31.9586666667,19.213,13.3253333333
231.02,9.02683333335,0.9134,21.5847333333,11.17361,5.60373333333,9.83795072465,25.1511333333,4.44813333333,27.9506,31.7229333333,19.4005333333,13.9300666667
231.40,4.38366666667,-5.85439999999,17.8949333333,7.13633333332,0.619426666658,5.29939999999,21.2736,0.756466666661,22.3539666667,28.1014,15.1628,9.06360000001
231.78,4.00483333333,-7.42300000001,16.0478,6.70936999999,-0.870160000008,4.92222028986,21.4127333334,1.51319999999,21.9196666667,27.4395333333,14.2718,8.25786666667
232.15,4.91953333333,-5.05046666668,17.4122,7.79764666666,0.547053333334,6.66444347826,22.5768,4.08340000001,23.4024333334,29.6218666667,14.3218,10.5053333333
232.53,5.1095,-3.4342,18.6692,7.78870333332,1.44372,10.2654463768,23.9476666667,7.64440000001,21.5596333333,28.7664666667,14.529,11.6778666667
232.90,3.0777,-6.81793333334,17.9401333333,7.59073666667,-0.843839999998,8.2004347826,25.1252,8.8668,20.8922666667,28.0984,15.5046,11.0375333334
233.28,-2.68426666666,-12.0024666667,19.0801333333,3.89539999999,-5.79904000001,5.17532463768,23.5205333333,5.33159999999,21.4326,24.2450666666,15.3194666667,9.71106666666
233.66,3.19813333333,-6.44873333333,24.1417333333,8.96587333335,-1.04508,9.76505507247,27.4502666667,9.44473333336,23.0652666667,28.0246,18.378,11.5278666667
234.03,5.91153333333,-0.485066666669,27.4684666667,12.5921366667,0.617920000001,12.3285536232,29.055,13.5974666667,24.8584333333,30.2354,19.5532,13.3380666667
234.41,8.43839999999,0.748066666666,29.2154,13.4719233333,1.94818666666,12.1922,28.3232,12.4544666667,24.5372333333,29.8120666667,18.1106,16.6074
234.78,15.1908333333,8.1896,34.2982666667,19.6468933333,8.00626666666,18.1911913044,35.3193333333,17.8476666667,31.0074,35.3701333333,22.4032,21.8568666667
235.16,11.5960333333,9.21186666667,30.5053333333,14.8063433334,6.25253333333,15.6189623188,35.1566,16.7998,30.3518666667,30.608,19.9415333333,18.6866
235.54,7.42510000001,8.86606666666,27.5438666667,11.9524666667,3.43809333333,12.922826087,32.7944666667,13.2964,29.335,27.4160666667,17.9826666667,15.9028666667
235.91,8.30459999999,10.1791333333,28.3039333333,11.7114933333,6.52260000001,13.809457971,32.0774666667,13.1635333333,29.6917666667,25.4526666667,18.8374,16.1120666667
236.29,4.51786666667,7.65426666667,25.0728,9.12371666667,3.99501333333,11.552257971,28.3418666667,8.84813333333,26.5839666667,21.4554666667,16.6926,13.158
236.66,4.27150000001,5.47166666667,23.5022,7.73236333333,3.85554666667,9.8539304348,26.632,6.57906666666,24.5324333333,20.3035333333,16.7904666667,11.7825333333
237.04,5.4705,8.20313333334,24.4144,6.84205333333,6.00467999999,11.8284086957,27.5,7.94039999999,24.5654666667,20.4078,18.179,12.2250666667
237.41,8.69389999999,12.3813333333,25.8904,9.03476000001,8.39610666667,13.9246144928,29.6994,10.6448666667,26.4545333333,22.9748666667,20.7788,13.6664666667
237.79,5.15496666667,10.7706666667,23.4768666667,5.91128666665,5.59824000001,12.3358,27.2579333333,6.62966666666,25.2032333333,19.3716666667,18.2117333333,12.0017333334
238.17,3.43536666667,8.95653333333,20.5738,3.69324666666,4.70338666666,10.7165449275,25.5796666667,3.99193333334,23.0295666667,17.1058,16.0965333333,10.5066666667
238.54,-0.117333333341,6.47033333333,17.3316666666,0.4332,1.93296000001,8.31886666666,24.0486666666,1.30166666667,20.5179333333,14.7754,12.9608666667,6.09886666667
238.92,-2.19313333334,4.55186666667,16.0325333333,-0.924980000002,0.803693333339,7.43078260871,21.5444666667,0.133933333335,19.1096333333,11.4622666666,10.8431333334,4.1026
239.29,-0.237233333332,3.82806666667,16.7996666667,1.04187333333,1.90754666667,8.22757391305,21.4796,0.684000000001,20.0658,13.578,10.1778,4.79339999999
239.67,3.062,5.84793333333,18.8774,4.23342333334,4.50636,9.73513333335,22.6243333333,3.588,21.6352,15.5768,11.6801333333,7.3192
240.04,4.85506666667,6.15093333333,19.9877333333,5.77136666666,6.01296,10.680515942,23.6672,5.36313333334,22.7290333333,17.2954,13.3101333333,8.92153333335
240.42,7.11423333333,7.27326666668,21.9809333333,7.96356,7.79226666667,12.0574086957,25.2954,7.38373333333,23.5264,18.6416,15.0537333333,10.7978666667
