wavelength,Back_TanSchf,Belly_TanSchf,Breast_TanSchf,Crissum_TanSchf,Crown_TanSchf,DorTail_TanSchf,Patch10_TanSchf,Patch11_TanSchf,Patch12_TanSchf,Patch13_TanSchf,Patch14_TanSchf,Patch15_TanSchf,Rump_TanSchf,Throat_TanSchf,WingTip_TanSchf
206.12,28.254,2.89696666667,-2.46019999999,-16.6668,-16.8254666667,-33.3334666667,-0.55560000002,-10.5556,-15.8729333333,-1.58740000001,-3.33333333335,-21.5079333333,24.0476,19.0476666667,-26.4506518519
206.50,20.0852666667,-9.27346666667,-12.8205333333,-31.5384,-27.9486666667,-49.1452666667,-12.3076666667,-21.0256666667,-33.5044,-15.1282,-15.3846,-35.8119333333,13.3334,6.83759999998,-42.5831703703
206.87,12.4376666667,-17.3133666667,-23.0844666667,-47.4128333333,-40.796,-81.8905999999,-25.9700666667,-40.2985333333,-49.2536666667,-25.4726666667,-27.3631333333,-54.0298666666,4.0796,-2.48773333334,-56.5007703704
207.25,-2.06886666665,-27.7586,-41.1495333333,-67.3563,-54.023,-112.068866667,-39.6552,-57.8161333333,-69.0805333333,-37.8161333333,-39.6552,-65.0574000001,-2.18380000001,-14.9424,-70.4023222221
207.63,16.1260666667,-6.44149999999,-11.5316,-34.2794666667,-26.8468,-68.1081333333,-17.3874,-25.4054,-35.6756,-10.1801333333,-14.0540666667,-30.09,23.7837333333,4.23433333333,-37.3724148148
208.01,18.4128,0.27783333332,-2.85706666666,-22.9762,-17.3015333333,-55.5554666667,-11.5873333333,-13.0158666667,-23.9684,-4.28586666665,-2.06353333334,-21.1904,30.1586666667,10.7140666667,-26.0492703703
208.39,21.4118,6.35306666666,6.98033333334,-15.9998666667,-10.1177333333,-45.2549333333,-2.58813333336,-4.23526666665,-13.9608666667,7.52946666667,9.88233333334,-5.64699999998,41.0194666667,16.1569333333,-17.555437037
208.77,26.8468666667,7.61273333334,11.5315333333,-12.4776666667,-11.9820666667,-45.2252666667,-1.08106666666,-4.05406666665,-12.973,10.8108,12.5224,-0.5406,49.9097999999,18.8288,-16.4866851853
209.14,40.9194666667,21.4559333334,31.4942666667,8.50566666668,12.1072,-16.1686666667,19.9999333333,20.7663333333,9.11866666665,27.2798666667,28.5058,15.9386666666,62.4521333333,37.5479333333,4.95097777778
209.52,35.2940666667,15.3332666667,24.9412666667,3.33326666667,5.72546666665,-22.9804666667,10.6667333333,18.0392,4.39206666666,19.9216,23.6863333333,7.92160000001,55.7647333333,30.8234666667,4.33128148148
209.90,33.8194,18.5763666667,27.7777333333,8.61116666666,11.5278666667,-16.4584,13.0555333333,22.5694666667,6.04173333333,24.5832666667,27.8472666667,13.8194,54.0972666667,29.0971333333,9.07012592594
210.28,39.9354,26.3431,34.6279333333,18.0582333333,16.44,-6.60200000001,18.3171333333,27.3786666667,15.2104,28.8673333333,34.6276666667,22.6537333333,58.3172,37.3463333333,15.5194037037
210.66,42.4928,33.1014666667,37.7972666667,26.3479333333,22.0289333334,2.203,23.6522,34.1448666666,24.6376,33.8551333333,39.0724666667,29.913,60.2898666667,41.0434666667,24.412237037
211.03,35.5367333333,23.079,30.339,17.3730333333,13.7287333333,-1.12993333334,17.1750666667,27.9096666667,16.5537333333,26.1581333333,33.0508,24.8586666667,51.3559333333,31.6949333333,15.1069
211.41,29.4016666667,14.7864,24.1026,7.80616666666,6.15380000001,-5.01420000001,7.57826666667,19.8860666667,10.7122,17.2079333333,24.6154666667,13.9601333333,41.5954,23.9316,7.54353703704
211.79,22.1782,7.82183333334,17.1615333333,-3.59733333332,-3.23433333334,-15.9737333333,-1.98026666666,10.363,-3.36613333333,6.27066666665,18.5478,5.08239999999,32.4753333333,17.8878,-4.75614074074
