wavelength,Back_TanCalm,Belly_TanCalm,Breast_TanCalm,Crissum_TanCalm,Crown_TanCalm,DorTail_TanCalm,Patch10_TanCalm,Rump_TanCalm,Throat_TanCalm,WingTip_TanCalm
192.47,62.8772666667,60.7018,58.6665333333,59.0176,58.2457,59.614,62.3859333333,68.9825333333,60.2808,67.8069666667
192.85,67.6896,66.9136,64.5856666667,63.104,63.3333,64.0210666667,67.5132,74.8146,68.5713333333,70.3701666667
193.23,73.0434,71.9928,69.2028666667,68.9855333333,69.1665666667,71.5580666667,74.8550000001,80.0725333333,75.7609333333,75.6704333333
193.61,73.9394666667,71.7290666666,69.376,69.4117333333,70.1781666667,74.2958666667,76.8983999999,80.3564,76.8626,76.8983
193.99,76.8288,75.1712,73.1891333333,74.0900666667,74.1982,79.7837333333,78.9548666667,82.4505333333,81.4414666667,78.7567333333
194.37,77.9298666667,76.6314666667,74.1753333333,77.7894666666,74.5087666667,81.4034666666,80.3507999999,83.1579333333,81.8948666666,78.9999
194.75,77.5666666667,77.7666666667,75.5333333333,79.1666666667,76.3833333333,80.6333333333,80.9666666667,83.8666666667,81.7999999999,80.3333333333
195.13,83.1015333333,83.6363333333,82.1745999999,84.7414,82.335,86.5598,86.5955333333,87.8788000001,89.3404666667,86.5597666667
195.51,81.326,82.0624666667,80.4053333334,84.3462666667,81.9336999999,83.1675999999,85.3407333333,87.2559333333,87.9558666667,85.7273333333
195.89,86.2249333334,84.0160666666,83.6144666667,87.7107333333,87.9519000001,84.5782666667,90.0400666667,90.4016000001,92.8112666667,88.3332666667
196.27,88.8236666667,85.8823333333,86.9018666667,89.2549333334,93.5883999999,87.5294666667,92.6667333333,93.2156666667,97.3331333333,89.8039666667
196.65,79.4927333333,76.6303333333,78.0074,80.0723333334,86.3405000001,77.7898,83.3332666666,82.3552,87.5,79.6378666667
197.03,76.1048,72.2470666666,74.6440666667,76.7416,83.5954666667,75.2061333333,81.9849999999,78.839,82.8838666667,76.7978
197.40,71.8294,69.0651333333,73.8213333333,73.5774,81.5649333333,72.7236,79.1056666667,77.3576666667,79.5528,72.4391
197.78,68.26,68.0921333333,73.0397333333,71.8238000001,80.8174666667,69.7276,77.3166666667,77.3165333333,80.5449333333,71.0272333333
198.16,64.8792666667,64.686,71.0628,66.0386666667,80.4105666667,64.2029333333,76.2802000001,76.8600666667,78.599,67.2946333333
198.54,51.9487333333,52.6667333333,60.2052,50.7179999999,69.6923,53.5898,67.3848666667,67.2820666666,71.2820666667,54.7691666667
198.92,47.5268,49.7848666667,59.2473333333,46.8816000001,66.5053333333,51.9893333333,62.6881333333,63.8708666667,70.3225333333,50.9409333333
199.30,40.8928,44.5239333333,52.5000666667,39.5238,61.3987666667,43.8690666667,54.1666666667,58.75,63.2737333333,42.2322666667
199.68,39.8076,45.1282,53.1410666667,36.0256,62.1153666667,44.8717333333,54.7435333333,57.4358666667,65.3205333333,36.3141333333
200.06,34.0277333333,39.9306,49.2360666667,28.1945333333,57.8819,44.3054666667,50.0,56.6666000001,61.1110666667,26.7015
200.44,17.0833333333,27.1666666667,34.75,10.75,40.2083333333,27.75,35.7500000001,48.0000000001,49.5833333333,6.74999999999
200.82,14.3028666666,29.3332666667,45.4546,1.69719999994,44.8484999999,25.2121333333,41.3332000001,64.8484666667,66.1818666667,-6.72723333334
201.19,7.33333333335,28.9333333333,49.3333333334,-5.73333333338,39.9333333333,17.6,34.6666666667,70.4000000001,76.8000000001,-9.00000000008
201.57,5.13893333333,25.8334666667,46.8055333333,-11.9445333333,42.0834,7.36120000001,31.2499333333,70.4168000001,82.5,-12.9166333333
201.95,4.44453333331,15.0000666667,44.3055333333,-21.2500000001,35.4861666666,-1.94446666667,22.3610666667,58.1944666667,75.9721333332,-18.4721666667
202.33,20.6780666667,29.7174666667,51.0734000001,-3.05073333334,44.4632333334,10.9604666667,26.6666,63.0507333333,81.356,-1.29949999998
202.71,14.697,28.1817999999,54.0908666667,-13.1819333333,50.8333000001,-3.78786666667,18.6364000001,66.9696666666,97.1212666666,-17.2726666667
203.09,3.93153333334,10.0855333333,38.6324666667,-35.3846000001,37.2649666667,-23.7606666667,3.07693333334,58.8034,92.9914000002,-32.9058666667
203.47,11.7948666667,19.1453333333,43.077,-38.4615333334,45.8118666666,-21.1966,14.8718666667,58.1195333333,102.735,-31.1965
203.85,-6.99186666666,3.7398,22.1138,-50.0814,26.1788,-32.6829333333,-6.66666666654,37.3984000001,73.0081333333,-39.2681333333
204.22,-31.2194666667,-9.59353333326,2.11379999998,-64.7155999999,20.0814,-59.5121333333,-22.4389333333,15.9348,55.2845333333,-52.2765
204.60,-31.3178666667,-13.7984,-3.56593333334,-69.6123999999,23.7208666667,-58.9147333334,-21.0852666666,6.82173333335,49.7675333333,-53.5659666667
204.98,-41.1594,-26.6666666667,-20.0001333333,-81.3043999999,16.2319,-58.6957333333,-29.2753333334,-3.1884,32.6086666667,-53.1158999999
205.36,-38.4398,-33.1914666666,-24.1134666667,-83.1205333332,17.7304666667,-69.3616666666,-31.3475333334,-9.21986666668,25.6737333334,-60.8510666666
205.74,-45.9419333333,-31.0145333334,-29.7102666667,-84.7826000001,14.5652,-79.2753333333,-39.1302666667,-17.6812666667,17.5360666667,-65.2898333333
206.12,-97.1929999998,-61.7542666668,-72.2806666667,-140.877133333,-13.5086333333,-132.2806,-77.0175333331,-52.1052666666,-23.8595999999,-110.965033333
206.50,-153.103466667,-101.149266667,-116.551733333,-204.5978,-39.9999666666,-192.873466667,-120.689533333,-84.5976666667,-61.8391333334,-163.6782
206.87,-126.8572,-87.8096000001,-89.5237999999,-163.6192,-28.1904333333,-155.047666667,-102.476266667,-64.7618666666,-54.2856666667,-131.999966667
207.25,-180.238133333,-130.238133333,-138.333266667,-232.857066667,-47.9761666667,-221.1906,-151.9048,-94.9999333334,-90.7142666668,-192.976366667
207.63,-282.333333333,-231.333333333,-221.0,-342.0,-94.1666666667,-342.333333333,-251.666666667,-138.0,-156.0,-290.5
208.01,-625.926066667,-528.8888,-453.333466667,-787.407333333,-211.851766667,-781.481600001,-572.5926,-287.407466667,-322.963066667,-637.0372
208.39,705.833333333,607.499999999,503.333333333,904.166666667,277.916666667,881.666666667,671.666666667,335.833333333,377.5,742.5
208.77,281.159466667,243.478266667,202.318866667,339.1306,129.565133333,339.420266667,274.782733333,144.9276,170.144866667,279.275233333
209.14,253.0864,209.629666667,174.567933333,280.740733333,124.938366667,294.814866667,248.148266667,125.4322,149.876533333,246.9135
209.52,250.208333333,208.958333333,177.708333333,271.041666667,132.708333334,265.833333333,248.75,137.916666667,165.208333333,232.8125
209.90,231.228066667,200.5264,167.719266667,257.719266667,130.789533333,233.8596,232.1054,133.157933333,160.5264,218.333366667
210.28,221.666666667,197.037066667,152.4074,251.851733333,119.0741,213.5184,234.629666667,124.629533333,144.259333333,219.722133333
210.66,287.3564,257.241466667,199.540266667,316.7816,157.816133334,261.839133333,295.632133333,173.333266667,182.758666666,280.8044
211.03,249.629533333,212.7778,182.592533333,268.518466667,141.2039,224.4446,248.889,156.6666,162.222133333,238.4258
211.41,297.083333333,254.791666667,209.166666667,310.625,169.479166667,255.833333333,280.208333333,194.166666667,194.375,283.229166667
211.79,321.7778,271.333466667,227.3334,337.111066667,188.444366667,268.4444,286.0,217.110933333,214.0,301.111166667
212.17,581.3334,491.999933333,388.888866667,572.444466667,298.444333333,474.222266667,480.888933334,368.888933333,343.999933333,511.7777
212.55,-1911.66666667,-1673.33333333,-1188.33333333,-1876.66666667,-880.833333334,-1508.33333333,-1551.66666667,-1146.66666667,-993.333333335,-1620.83333333
212.92,-374.074133333,-339.629533333,-229.259266667,-367.407333333,-163.148166667,-290.0,-304.444466667,-227.037066667,-175.925933333,-321.6666
213.30,-198.384,-183.8384,-116.363666667,-201.414133333,-77.1717333334,-157.171733333,-156.969666667,-132.323133333,-97.7777333331,-178.484866667
213.68,-158.039133333,-148.823533333,-78.0392666667,-166.8628,-39.7057333333,-123.5294,-106.862666667,-100.7844,-59.8037999999,-154.313666667
214.06,-93.4883333333,-90.0774,-33.4883333334,-101.395266667,-0.697633333406,-76.8991999999,-51.0078,-59.0697333333,-17.8295333333,-96.8216999999
214.44,-86.8333333334,-85.5000000001,-26.8333333333,-95.8333333333,16.1666666667,-79.3333333333,-34.5,-48.0,-2.83333333333,-97.2499999999
214.81,-30.8333333333,-31.1905333333,10.9523333333,-43.2143333333,38.3333333333,-31.9047333334,7.38086666666,-5.47613333332,22.1428666667,-37.6787333333
215.19,-5.84466666667,-11.5981333333,23.1963333333,-19.3607333333,39.1780333333,-10.1369333333,19.5435333333,9.31506666667,29.1324,-13.1506666667
215.57,8.42906666667,6.3602,31.9538,-1.91579999999,46.8198,7.81600000002,28.8122,21.9155333333,38.3908,3.60149999999
215.95,21.0036666667,16.6306,42.5089333333,8.38706666666,57.0250666667,18.6380666667,32.4730666667,29.8924,44.0142666667,12.3296333333
216.32,11.6456,7.08866666667,33.8396666666,-11.9830666667,51.4346333333,5.23213333335,19.7468666667,17.0465333333,32.2364666667,-8.01706666666
216.70,3.09186666667,-0.966133333326,25.2174,-22.9951333333,51.1593666667,-5.70046666666,13.2368,8.88900000001,24.0580666667,-24.4443333333
217.08,6.66666666665,3.13126666668,31.7171333333,-20.1009333333,64.2929666667,1.61633333333,19.6970666667,18.2828,29.1919333333,-24.0404666667
217.46,16.3809333333,15.7143333333,41.6189333333,-4.57146666667,73.0001,16.0,34.1904666667,32.6667333333,40.8573333333,-8.14300000001
217.83,19.177,22.1398666667,43.2098666667,4.44440000002,67.0370333333,18.4362,32.7572666667,35.9670666667,39.0947333334,0.74076666666
218.21,8.41266666667,13.492,33.5714,-2.61913333334,52.4602666667,10.4764,21.5078666667,27.0635333333,31.1111333333,-7.61896666668
218.59,7.11613333333,11.3857333333,29.8128,-3.59546666668,44.5693,12.0600666667,16.7041333333,24.0449333333,24.7940666667,-4.79416666668
218.97,-8.27953333333,-2.58059999998,24.7311333333,-22.9032666667,45.5913666667,0.967666666666,1.18286666666,18.6022,15.3764,-29.4623333333
219.34,-19.1514,-0.96966666668,26.4242,-27.5151333334,54.6668,-3.5152,-5.69693333334,20.9696666667,14.7878666667,-39.2727333333
219.72,-32.1738666667,-16.2318666667,24.3479333334,-51.1594666667,51.0145333333,-23.0434666667,-23.3334,13.0436,1.30426666667,-60.5071
220.10,-35.2564666667,-18.0769333333,18.4616,-44.6153999999,40.3845666667,-18.5897333333,-18.7179333334,13.0768666667,10.1281333333,-57.1795
220.47,-29.8182,-12.8484,25.3332666666,-28.7274666667,44.9091333333,-9.45460000001,-6.06053333334,25.6969333333,20.3636666667,-41.3333666667
220.85,-36.0255333333,-13.3333333333,25.8974,-31.5383999999,38.2051666667,-12.9487333333,-14.7436,31.0256666667,18.2051333333,-36.9231
221.23,-27.7778666667,4.19753333334,38.1482,-20.8642666667,40.3702666667,-8.39506666667,-3.82706666666,42.7162,25.5555333333,-23.6419
221.61,-51.9606666667,-1.17646666668,40.7843333333,-50.5882,44.1177000001,-32.9412666667,-29.4118666667,62.9411333334,24.3137333333,-42.1568333333
221.98,-41.111,14.8887333333,51.5556666667,-46.4445333334,60.7775999999,-25.5555333333,-17.7777333333,84.8890000001,42.0000666667,-35.5556666667
222.36,-69.9998666665,45.2381333333,117.1428,-90.9523333332,146.904833333,-31.9048000001,-0.95239999986,220.0,98.0951999999,-49.2856333333
222.74,-172.592666667,-5.926,123.703666667,-154.814733333,179.2592,-171.111066667,-31.1111333331,307.407466667,127.4074,-135.185066667
223.11,-113.3334,-28.6276,43.5293333334,-85.0980666667,83.1373666667,-103.5294,-38.4314666665,141.5686,56.4704666667,-102.1568
223.49,-140.606066667,-32.1212666665,80.6059999999,-140.000133333,134.848466667,-141.212133333,-40.6061333333,227.272666666,99.9998666666,-130.303066667
223.87,-187.619,19.0476000001,137.143,-124.761933333,235.714366667,-172.380866667,5.71440000007,400.9524,182.857,-197.142833333
224.24,780.000000001,-3.33333333326,-383.333333333,563.333333334,-645.0,786.666666667,133.333333332,-1333.33333333,-503.333333334,804.999999999
224.62,-25.7142,84.7619333333,99.9999333334,-4.2857333334,154.999933333,-15.2380666666,40.4761999999,261.428533333,143.333333333,-41.9047333333
225.00,6.20686666667,58.8505333333,62.9886,13.5631333333,98.9655666666,10.8045333334,46.6668,139.080466667,79.3104000001,-8.85056666667
225.38,-10.2564666667,41.0256666666,47.4358666667,-7.17946666667,88.2052,-0.5128,31.7949999999,129.230733333,69.4872,-22.5641666667
225.75,17.9798,58.3838000001,68.4849333333,24.2424,90.5050333333,31.1110666667,49.6968666666,117.979866667,92.7272666666,7.57563333334
226.13,11.2698,47.9364666666,53.0159333333,16.1906666667,67.8570999999,30.9524,40.4762666666,87.9364000001,75.5554666667,1.1905
226.51,19.4203333333,42.2222666666,43.6714,25.0242,52.2223,27.9226666667,34.0096666667,65.4105333333,56.5216666667,11.7874333333
226.88,29.9618,51.6474666667,51.2643333333,29.9616666667,55.4407,37.2414666667,38.8506666666,66.9732,56.0918666667,22.3370333333
227.26,32.0489333333,51.7432,51.0092666666,32.9052666667,53.6390666667,34.6178666667,41.9572666667,65.1375333333,54.9236,29.9388333333
227.64,30.7162,46.9134666667,47.0618,31.1604,46.9628666667,29.8271333334,40.3458,58.2222666667,49.5802666667,26.7654666667
228.01,26.0256666667,39.9999333333,40.4702,26.1539333333,39.6580333333,24.6579333334,35.2137333333,50.1709333333,45.1281333333,22.1796
228.39,21.8496666667,35.6068666667,35.4142666667,22.9286666667,34.4122333333,20.5781333333,32.0615333333,44.8554666667,38.4200666667,21.3102
228.76,20.6772,34.2958,35.9714666667,21.8182,33.5295,18.2888,31.337,43.8503333333,36.7914,20.713
229.14,19.6388,33.5631333333,35.4681333334,20.1641333333,32.2824333333,17.9965333333,32.0196,42.4628666667,36.8145333333,20.5909
229.52,15.4268,30.3059333333,32.0452,15.8452666667,29.1787666667,13.9452,29.4686,37.7776666667,34.2994666667,15.7004666667
229.89,9.92526666667,23.139,24.0359333333,9.77586666668,22.3319666666,8.28093333334,24.0656,30.7622666667,25.4708,9.07323333333
230.27,4.5142,18.7742,18.5349333334,5.82966666667,16.8907333333,3.2288,18.565,25.7399333333,20.0298,4.8281
230.65,2.5572,17.7168666667,17.0776,4.10953333334,14.8249333333,2.00913333333,17.4124,23.6224,19.5128,4.55103333333
231.02,0.754733333333,15.4088666667,14.5283333333,1.22633333333,12.3271,-0.283066666674,16.2263333333,20.5030666666,17.0755333333,4.04090000001
231.40,1.445,18.6207333333,15.3694666667,0.426999999999,12.1675,0.131333333328,16.7488,20.4599333333,17.1427333333,5.30373333334
231.78,0.277866666665,19.1318666667,15.4166666667,-1.73626666667,11.9271,1.63186666667,16.1456666667,20.5208666667,17.3612,5.81606666667
232.15,-0.5992,21.648,17.4531333333,-3.03366666667,13.708,1.79786666668,16.6292666667,22.2846666667,16.929,9.663
232.53,0.078466666666,24.9412666667,18.3921333333,-2.66666666667,14.3528666667,3.01959999999,18.4705333333,23.8432,19.1372666667,10.1177
232.90,-0.545866666666,25.731,16.2572666667,-3.11886666667,12.2805666667,2.84606666667,17.5828666667,21.3255333333,18.5574666667,9.06433333334
233.28,4.98153333333,30.9158,19.7436,3.26006666666,13.773,7.47233333335,19.4139333333,24.8352,23.4799333333,13.5898666667
233.66,8.99466666666,34.3209333333,20.3527333333,8.254,16.3844,10.1236,23.1745333333,28.9241333333,26.1023333333,17.8660666667
234.03,8.68126666667,37.4724,21.4652,8.57153333334,17.4543,10.5128,24.3224,29.7069333333,27.9487333333,19.8901666667
234.41,9.42026666667,37.9348666667,22.8987333333,8.9494,19.1484333334,10.2897333333,25.5435333333,29.4204,27.7174666667,21.7028666667
234.78,11.3903333333,38.1574,24.0536666667,10.2178,21.0218333333,12.4288666667,27.2362666667,30.7538666667,27.2696,21.8591666667
235.16,8.7654,36.4197333334,21.9753333333,10.0308,18.5186,12.2531333333,24.784,30.4012,26.358,18.6111
235.54,6.58039999999,32.2700666667,17.7010666667,8.85059999999,16.0632333333,11.3218666667,23.4195333333,27.8448666667,24.3104,15.0286666667
235.91,8.24,31.6266666667,16.8533333333,11.36,16.8,11.7066666667,24.32,27.6266666667,24.0266666667,16.0933333333
236.29,12.7736666667,32.4331333333,18.6375333333,14.8176666667,18.8321,14.8418666667,26.8856,28.7834,26.9828666667,17.8103
236.66,15.1247333333,32.9025333333,21.1112666667,16.6212,20.9522666667,16.2358,27.8458,29.8866666667,28.7074,19.2742666667
237.04,14.9830666667,31.7288,20.8587333333,16.6102,20.791,16.1356,27.9548666667,29.8530666667,28.7456666667,18.2147
237.41,11.6150666667,27.4456,17.6403333333,12.6688666667,17.9381,13.4706,25.4066,26.2770666667,25.2920666667,14.032
237.79,13.1104,27.8262,20.9586666666,13.3332666667,19.5763666667,15.4962,25.864,27.6700666667,26.7336666667,15.0167333333
238.17,15.8040666667,30.0105333333,24.1108666667,15.7614,21.459,17.3801333333,28.0938,29.4355333333,29.0309333333,16.2831333333
238.54,18.9545333333,32.7022,27.7712666667,19.4675333333,24.1913333333,21.1241333334,31.5780666666,33.2742666667,32.3667333333,18.7868666667
238.92,16.9287333333,32.3032,27.0037333333,18.3707333333,23.2771666667,18.9888,30.0187333333,30.7303333333,30.6554666667,16.5917
239.29,17.8067333333,31.8885333333,27.4672,18.5378,23.2724666667,19.2166,30.3742,29.0339333333,30.3743333333,17.3193666667
239.67,17.0370666667,30.3544,27.5040666667,16.8759333333,20.9984333333,17.649,29.3236666667,27.1497333333,28.3575333333,16.2318333333
240.04,16.0088,29.4445333333,27.2806666667,15.0585333333,18.9544666667,16.3305333333,28.9619333333,25.541,27.4414666666,15.3654666667
240.42,14.1322666667,28.2122666667,26.3915333333,13.1892,16.0575333333,14.1977333333,27.5443333333,23.6018666667,25.3832,14.1453666667
240.79,12.1338,26.2860666667,24.3828666667,10.8881333333,13.2929666667,12.2261333333,26.0668,21.4648,22.5836,12.5779666667
241.17,10.1765333333,25.6073333333,23.1983333333,8.31779999999,10.6385333333,10.405,24.891,19.1278,20.1661333333,11.4642666667
241.54,10.1879333333,26.1624,23.2370666667,8.31733333334,10.5686333333,10.3530666667,25.1534666667,18.441,20.3117333333,11.4627
241.92,9.40406666667,25.5322666667,22.3429333333,7.49686666666,9.15346666666,9.48613333333,24.2089333333,17.1312,19.3423333333,10.9125333333
242.29,8.47666666666,24.6002,21.4328666667,6.45553333334,7.77903333333,8.51453333332,23.5294666667,16.1463333333,18.5142666667,10.2790333333
242.67,7.71813333333,24.02,20.7724,5.1358,6.7131,7.4462,22.7038,15.3147333333,17.8324666667,9.56363333333
243.05,7.82753333333,23.8234,20.6882666667,4.71326666667,5.98533333333,7.2228,22.8432,15.1825333333,17.9006,9.14506666668
243.42,7.38706666668,23.9484,20.6592,4.22706666667,5.8954,7.17646666667,22.8881333334,14.937,17.6079333333,8.63750000002
243.80,7.57186666666,24.5875333333,21.1938,4.67466666667,6.45543333333,7.80006666667,23.5076666667,15.4460666667,18.1891333333,8.97376666666
244.17,7.11333333333,24.6133333333,21.3133333333,4.40666666667,5.92333333333,7.41333333333,23.44,14.9666666667,17.94,8.39666666667
244.55,6.77073333334,24.6113333333,21.0732666667,4.17566666667,5.60646666667,6.99846666667,23.6356666667,14.7186,17.5674666667,7.82093333333
244.92,6.80726666667,24.4546666667,20.8922,4.14313333333,5.23376666667,6.8806,23.5136,14.1766666667,17.9348,7.516
245.30,7.21766666667,24.8735333333,21.7258666667,4.62053333333,5.73656666667,7.14466666667,24.1203333333,14.5700666667,19.1344666667,7.8527
245.67,6.84886666667,25.0936666667,22.1092666667,4.43753333333,5.1536,6.7188,24.7500666667,14.3594666667,19.4790666667,7.53373333333
246.05,6.69986666667,25.4627333333,22.2794,4.35866666667,4.86796666667,6.79046666667,25.3294,14.0232666667,20.1666,7.17583333333
246.42,6.82706666667,25.9118,22.7195333333,4.55433333333,5.12043333333,7.19153333333,25.8338,13.9883333333,20.6202666667,7.07213333333
246.79,6.97853333333,26.015,22.9936,4.69986666667,5.25676666667,7.32240000001,26.1650666667,13.8546666667,20.9122666667,6.91753333333
247.17,7.29586666667,26.4411333333,23.3497333333,5.10646666667,5.5555,7.57606666667,26.5649333333,13.9517333333,21.4366666667,7.2903
247.54,7.53193333334,26.6804,23.5642,5.29126666667,5.58423333333,7.59746666666,27.0045333333,14.1227333333,22.0302,7.56296666667
247.92,7.80280000001,27.1445333333,23.9499333333,5.41366666667,5.94660000001,7.80620000001,27.4988,14.1855333333,22.4930666667,7.74106666667
248.29,7.90333333334,27.3062666667,24.2258,5.53433333333,6.16406666666,7.99160000001,27.7435333333,14.2078,22.738,7.93429999999
248.67,7.90719999999,27.7558,24.6760666667,5.6728,6.30643333334,8.04206666667,28.1144666667,14.1592,23.4222,7.84966666666
249.04,7.94653333333,28.3436666667,25.1917333333,5.6194,6.48859999999,8.00813333334,28.6686666667,14.2197333333,23.8366,7.73613333333
249.42,8.0496,28.4878666667,25.334,5.6358,6.6308,8.11066666667,28.9762666667,14.1020666667,23.9835333333,7.5287
249.79,8.71293333335,29.0167333333,25.9606,6.17313333333,7.45636666667,8.79646666668,29.4190666667,14.6202666667,24.5635333333,8.07906666666
250.17,8.78986666665,29.2007333333,26.2274,6.3372,7.84616666667,8.73306666666,29.9003333333,14.7936,24.7588666667,8.24073333333
250.54,9.03093333333,29.2786666667,26.5928,6.38846666667,8.14426666667,8.57866666667,30.3912,14.7718,25.1979333333,8.37029999999
250.92,8.9732,29.7964,26.8913333333,6.22226666667,7.98593333334,8.34626666667,30.8724666667,14.5123333333,25.5672666667,8.31116666667
251.29,8.24559999999,29.6390666667,26.9573333333,5.20306666667,7.30083333333,7.81446666667,30.9424,14.0201333333,25.5588666667,7.6966
251.66,7.15853333335,29.1312666667,26.5568666667,4.2124,6.32403333333,6.80279999999,30.3035333333,12.9984,24.7462666667,6.60123333333
252.04,6.17713333334,28.4651333333,25.9272,3.4,5.18766666667,5.65559999999,29.6514666667,12.1681333333,24.0329333333,5.54143333333
252.41,5.35393333334,28.0824666667,25.0338,2.69606666666,4.25820000001,4.75726666666,28.9233333333,11.4619333333,23.5094666667,4.53233333333
252.79,4.57433333333,26.9532,23.9360666667,1.79506666667,3.58476666667,4.14153333333,27.5264666667,10.6190666667,22.3466,3.8768
253.16,4.70599999999,27.2495333333,24.2156,2.1404,3.88886666666,4.63513333333,27.9847333333,10.9314,22.5436,4.1041
253.54,5.45900000001,27.6994666667,24.6994666667,3.0108,4.38526666667,5.21306666666,28.6885333333,11.4481333333,23.399,4.6503
253.91,5.74926666667,27.7566,24.9375333333,2.91906666667,4.34246666667,5.30433333333,28.9296,11.4096,23.6141333333,4.5622
