wavelength,Back_SpoBoom,Belly_SpoBoom,Breast_SpoBoom,Crissum_SpoBoom,Crown_SpoBoom,DorTail_SpoBoom,Patch10_SpoBoom,Patch11_SpoBoom,Rump_SpoBoom,Throat_SpoBoom,WingTip_SpoBoom
194.37,27.4673333333,46.9291111111,27.7432222222,51.8978888889,38.5092222222,54.9344444444,15.2518888889,37.9573333333,28.9164444445,50.5174444444,52.657
194.75,28.7157777778,46.3925555556,30.2307777778,53.5353333333,39.9711111111,56.9264444444,15.5844444444,35.6422222222,28.6435555556,50.1442222222,54.7618888889
195.13,29.7886666667,45.3304444445,29.4478888889,51.9426666667,40.4226666666,55.9645555556,17.7915555556,35.7188888889,28.1186111111,47.6483333333,52.7608888889
195.51,28.1573333333,44.1684444444,24.7066666667,48.8612222222,39.3375555556,53.3472222222,16.7703333333,32.022,25.2242222222,45.0654444444,49.4824444444
195.89,23.2322222222,40.0432222222,18.0374444444,42.5683333333,35.0648888889,46.8253333333,10.3895555555,20.0576666667,17.6767222222,42.2798888889,40.7648888889
196.27,16.7043333333,36.3566666667,11.1108888889,34.3914444445,28.5713333333,41.3452222222,2.26777777777,10.2794444444,10.5443888889,38.0951111111,35.9033333334
196.65,9.48922222223,33.6575555555,3.89311111112,27.4941111111,24.3307777778,39.4161111111,-9.48899999999,-1.29755555554,0.364888888877,35.6852222222,30.0892222222
197.03,8.76233333333,35.3206666666,5.60066666667,27.7326666666,24.2996666667,40.1985555556,-15.7182222222,-7.13622222222,-1.9423888889,35.5013333333,32.1588888889
197.40,1.93244444444,34.6617777778,-8.5747777778,19.5653333333,24.3962222222,38.8888888889,-30.7972222221,-25.3624444444,-19.9276111111,26.4491111111,34.0577777778
197.78,4.67833333333,33.6842222222,-8.07011111113,17.8947777778,24.0935555556,38.5963333333,-27.8361111112,-25.2632222222,-15.6726666667,24.4445555556,29.9416666667
198.16,-16.1341111111,25.5707777778,-28.767,7.91466666666,15.3731111111,32.4201111111,-50.8372222221,-52.2071111111,-42.6940555556,8.21922222223,16.8947777778
198.54,-18.2337777778,15.3846666667,-32.6211111111,1.5668888889,7.83477777777,26.4956666667,-50.997111111,-52.8491111111,-44.7292222222,0.142666666667,8.83188888887
198.92,-13.492,17.5926666667,-26.455,-9.99970476793e-12,10.8464444444,27.1164444445,-42.0636666666,-44.9735555555,-41.0053333333,-1.58722222223,6.2168888889
199.30,-35.0692222222,11.1114444444,-49.8263333333,-15.1038888889,9.54855555557,26.3892222221,-67.1873333334,-70.4860000001,-59.6354444443,-14.2358888889,-6.77055555557
199.68,-54.6841111111,-4.57511111113,-74.5096666669,-30.7188888889,0.000111111089999,24.4008888888,-89.5424444446,-105.664444445,-79.0848333333,-31.5903333333,-18.7363333333
200.06,-72.7512222221,-14.2856666667,-98.6771111112,-39.4181111111,-3.968,34.9205555557,-106.878444444,-130.952444444,-98.6772777777,-61.1108888888,-19.8412222221
200.44,-49.3057777778,-6.7128888889,-74.7683333332,-25.6944444444,11.8054444444,40.509111111,-79.3981111111,-99.0742222221,-79.0508888888,-55.324,-10.4167777779
200.82,-30.4964444444,7.0921111111,-57.9195555557,-10.4018888889,34.279,51.5366666667,-54.8463333334,-82.9787777777,-57.8014999999,-49.409111111,9.92922222233
201.19,-33.3333333333,1.70922222223,-55.5555555556,-12.3932222222,31.4101111111,45.2991111112,-51.4957777778,-72.6495555554,-55.1282222223,-50.4274444443,1.06833333333
201.57,-4.22533333333,27.3865555556,-20.0314444444,15.4928888889,41.471,51.4867777778,-19.4052222222,-33.8027777778,-15.5711111111,-14.241,15.1798888889
201.95,-3.758,30.3921111111,-16.5033333333,20.915,40.3595555556,49.9998888888,-20.4248888889,-38.7254444445,-13.072,-11.2744444444,20.7514444444
202.33,23.6842222222,43.8596666667,4.38588888888,33.0411111111,50.5847777778,56.578888889,0.292555555543,-14.035,10.9649444445,10.8187777778,35.3803333333
202.71,23.2026666666,39.2156666667,-2.77777777777,28.7581111111,54.0848888888,56.8626666666,-3.43144444443,-22.8758888889,9.3136111111,4.73855555557,32.0263333333
203.09,14.2858888889,34.7223333333,-20.4365555556,21.0318888889,55.3572222222,57.9364444443,-19.4443333333,-33.7298888889,1.09127777779,-0.39688888891,33.3333333334
203.47,11.9497777778,31.0272222222,-25.367,17.6101111111,42.347888889,51.153111111,-21.174,-42.7673333333,-9.64366666667,-6.07977777779,29.559888889
203.85,-10.1586666667,20.3174444444,-65.3966666667,3.4921111111,26.9842222221,37.1428888888,-63.492,-93.3331111112,-49.3650555557,-37.4602222222,6.0317777779
204.22,-7.98611111113,20.4861111111,-69.0972222221,5.55555555553,22.5694444446,30.5555555554,-78.1250000002,-96.5277777778,-62.3263888888,-41.3194444444,2.43055555567
204.60,-54.3860000001,6.43277777777,-153.801222222,-12.8655555556,-15.7894444444,4.67844444433,-155.555555555,-196.491222222,-136.257222222,-100.584777778,-33.3332222223
204.98,-115.872888889,-49.2063333332,-277.777666667,-39.6826666667,-105.555444445,-46.0316666667,-243.650666667,-307.936555556,-234.523611111,-186.507888889,-108.730222222
205.36,-111.111222222,-73.8095555553,-304.761888889,-80.9522222221,-160.317333333,-69.8413333333,-243.651,-331.746,-240.872944445,-196.031777778,-120.634888889
205.74,-344.444555556,-350.793777778,-782.539666666,-414.285666667,-536.50788889,-309.523777778,-660.317555554,-826.984111111,-700.000055555,-547.619111111,-396.825555556
206.12,788.88888889,782.222222222,1386.66666666,917.777777779,997.777777776,699.999999998,1222.22222222,1526.66666667,1273.33333334,1037.77777778,815.555555556
206.50,-2494.44444445,-2133.33333333,-3755.55555556,-2688.88888889,-2700.0,-1961.11111111,-3422.22222222,-4183.33333334,-3561.11111111,-3011.11111111,-2177.77777778
206.87,-457.407444444,-383.333222222,-644.444333333,-453.703666667,-457.407222222,-373.148111111,-587.037,-716.666666667,-605.555444445,-540.740666667,-388.888888889
207.25,-963.492111109,-757.142777778,-1276.19044445,-911.11111111,-958.730111112,-868.253999999,-1153.96833333,-1387.30166666,-1138.88888889,-1098.41244444,-877.77788889
207.63,-7533.33333334,-5922.22222221,-9422.22222223,-7100.0,-6600.0,-6977.77777778,-8644.44444446,-10711.1111111,-8405.55555557,-8466.66666667,-7066.66666666
208.01,-727.160666667,-525.926,-932.098888888,-698.765444445,-565.432,-637.036888889,-840.740888888,-1081.48177778,-811.728333334,-861.728444445,-661.728555555
208.39,-2459.25922222,-1755.55544444,-2955.55566667,-2470.37022222,-1822.22211111,-2025.92588889,-2725.926,-3414.81488889,-2503.70366667,-2807.40744444,-2088.88877778
208.77,1963.88888889,1527.77777778,2291.66666667,2077.77777778,1427.77777778,1583.33333333,2208.33333333,2713.88888889,1901.38888889,2136.11111111,1694.44444444
209.14,-7666.66666667,-5755.55555556,-8611.11111111,-8700.0,-5066.66666667,-6055.55555556,-8800.0,-10377.7777778,-7338.88888889,-8044.44444444,-6211.11111112
209.52,-1175.92588889,-846.296333333,-1357.40733333,-1357.40755555,-683.333444443,-922.222333333,-1457.40744444,-1635.18511111,-1143.51844445,-1266.66666667,-999.999888888
209.90,-941.666666667,-690.277777779,-1095.83333333,-1056.94444444,-520.833333334,-740.277777778,-1130.55555556,-1272.22222222,-891.666666667,-1016.66666667,-834.722222223
210.28,-264.0,-186.222222222,-320.444444445,-300.444444445,-133.777777778,-200.888888889,-307.111111111,-340.444444444,-236.888888889,-296.888888889,-238.666666667
210.66,-195.486111111,-142.708333334,-254.513888889,-215.277777778,-102.083333333,-151.736111111,-236.458333333,-263.541666667,-159.548611111,-214.236111111,-184.722222222
211.03,-227.983444445,-152.674777778,-302.469111111,-260.493777778,-121.810666667,-176.131888889,-280.658444444,-300.000111111,-189.300388889,-232.921777778,-212.345777778
211.41,-154.208666667,-111.784555555,-227.609333334,-190.572222222,-79.1246666668,-112.121222222,-193.265888889,-221.212111111,-139.057166667,-175.084,-139.394
211.79,-81.6424444444,-54.8309999999,-132.608666667,-105.314,-42.512111111,-53.1401111111,-107.487888889,-119.323666667,-76.0869444444,-102.173777778,-59.9033333332
212.17,-97.5609999999,-65.3116666665,-149.322555556,-118.157111111,-57.1815555555,-68.2925555556,-124.390111111,-128.726444445,-81.3006666667,-118.157111111,-68.8347777779
212.55,-102.402333333,-70.5705555555,-172.072,-124.324333333,-75.3752222222,-75.6757777778,-125.525444444,-148.648666667,-87.9881111112,-135.735666667,-68.7688888888
212.92,-71.2122222222,-41.4141111112,-136.868777778,-85.1011111111,-60.6061111111,-54.0405555556,-88.8888888889,-109.596,-64.7726666667,-109.343666667,-43.4342222223
213.30,-144.444555555,-105.555444445,-256.349111111,-155.952333333,-149.603333333,-111.111111111,-168.650777778,-212.698444444,-137.896833333,-215.872888889,-105.158555556
213.68,-228.571444445,-179.894222222,-361.904777778,-225.925777778,-249.206111111,-177.248666667,-217.460555556,-315.872888889,-203.439111111,-312.698666667,-158.201
214.06,-132.950222222,-86.9731111112,-209.195555556,-121.456,-144.444555556,-80.4598888888,-111.877555556,-188.505777778,-100.957888889,-173.563222222,-57.8544444443
214.44,-104.659333333,-70.2508888889,-185.304777778,-107.526888889,-132.616444444,-61.6487777777,-81.361777778,-166.308111111,-87.2759444445,-158.064666667,-32.9747777779
214.81,-148.0,-102.222222222,-236.444444445,-168.0,-193.777777778,-94.6666666666,-115.555555555,-228.888888889,-141.333333333,-213.777777778,-65.7777777777
215.19,-566.666666667,-376.388888889,-834.722222223,-570.833333333,-733.333333333,-406.944444445,-440.277777778,-823.611111111,-548.611111111,-756.944444445,-370.833333333
215.57,-543.209888889,-346.913444444,-743.209888889,-514.814666666,-716.049444445,-395.061777778,-403.703666667,-769.135777778,-508.024722222,-629.629555555,-377.777888889
215.95,-5133.33333333,-3633.33333333,-7633.33333333,-5433.33333333,-7411.11111111,-3855.55555555,-4822.22222222,-8177.77777778,-5244.44444445,-6311.11111111,-4400.0
216.32,-203.381555555,-154.106333333,-329.951555556,-230.434666667,-338.164333333,-162.801777778,-205.313888889,-347.826111111,-242.029166667,-256.038555555,-187.922777778
216.70,-181.624,-148.717777778,-276.923,-204.700777778,-291.880444444,-159.401777778,-201.281888889,-296.581222222,-228.846166666,-215.384777778,-183.333333333
217.08,-109.444444445,-89.4444444444,-158.055555556,-114.444444444,-168.611111111,-90.0000000001,-116.944444444,-179.722222222,-127.777777778,-116.666666667,-108.611111111
217.46,-70.975,-54.6485555557,-108.163333334,-76.8706666666,-113.605444444,-65.3061111111,-78.4579999999,-121.768444445,-90.703111111,-82.3127777777,-76.6438888889
217.83,-99.2248888889,-73.6432222221,-145.219555556,-111.369555555,-141.860444444,-97.932888889,-119.379777778,-155.297333333,-128.940611111,-119.896777778,-106.976666667
218.21,-117.117222222,-88.5886666667,-168.468444444,-135.135111111,-167.867888889,-122.522333333,-146.246222222,-182.582555555,-153.753722222,-141.141111111,-141.141111111
218.59,-134.006666667,-102.356888889,-193.602666666,-146.464666667,-176.767777778,-147.138111111,-179.797777778,-206.060555556,-173.905888889,-143.771,-165.656444444
218.97,-173.333333333,-123.555555556,-256.888888889,-189.333333333,-208.444444444,-193.777777778,-226.666666667,-276.444444444,-218.222222222,-191.555555555,-206.222222222
219.34,-108.148333333,-81.8520000001,-187.037111111,-152.592666666,-141.481444444,-131.851777778,-170.740777778,-219.259333333,-152.592611111,-148.889,-127.037111111
219.72,-57.0986666666,-51.2344444444,-130.555444444,-123.456666667,-84.5679999999,-91.358111111,-129.321,-161.419555555,-107.561722222,-108.950555555,-84.2594444443
220.10,-17.436,-10.9403333333,-52.9914444444,-54.0172222222,-23.4188888889,-36.752,-53.1624444444,-58.1196666667,-38.2051111111,-34.188,-23.4187777778
220.47,-12.5926666667,-0.926,-46.4813333333,-46.1112222222,-2.96300000001,-22.4073333334,-45.3703333333,-57.7776666666,-25.5556111111,-22.7778888889,-13.7037777778
220.85,-12.7695555556,8.78944444447,-37.1476666667,-37.1476666667,2.65355555554,-15.5887777778,-34.9916666667,-51.7413333333,-16.5838333333,-22.5537777778,-11.7745555556
221.23,-15.8975555556,11.453,-48.0342222222,-47.1796666667,1.36755555553,-23.2476666666,-39.4872222222,-56.0682222222,-25.6410555556,-37.7778888889,-14.5298888889
221.61,-19.0477777778,6.66666666666,-46.8253333333,-47.9365555556,2.22211111113,-25.7143333333,-38.7302222222,-56.8253333333,-24.3651666667,-36.6665555555,-17.4603333333
221.98,-2.00811111111,18.2062222222,-21.0172222222,-26.6397777778,16.8673333333,-4.41766666665,-13.3868888889,-27.9785555555,-2.61033333337,-10.7094444445,2.40955555556
222.36,4.41766666668,24.7656666667,-10.3078888889,-15.7964444444,26.2384444444,5.75622222221,0.9368888889,-18.2058888889,5.9572222222,-4.81911111112,15.261
222.74,-0.144444444457,25.5412222222,-3.46333333334,-21.9336666667,22.5107777778,10.1011111111,3.60733333333,-22.9438888889,4.18450000003,-5.62766666667,9.09066666669
223.11,-1.33333344365e-11,20.9737777778,3.74522222223,-16.8538888889,18.3522222222,9.11366666667,3.3707777778,-9.61311111112,5.68038888888,-2.74655555553,8.7391111111
223.49,-5.94844444443,17.7327777778,5.16277777777,-13.4681111111,14.1413333333,6.1728888889,3.14244444446,-5.1628888889,1.40283333333,-2.35677777778,7.2951111111
223.87,-9.13088888888,20.1321111111,8.69077777778,-4.95055555557,11.111,7.70088888889,5.28044444445,-2.31022222222,1.37511111113,-1.10033333332,7.70066666666
224.24,-14.3704444444,23.8518888889,9.037,-2.81488888888,7.40733333331,6.37044444446,5.18522222222,-8.29644444443,-5.70383333332,-8.00011111112,0.88899999999
224.62,-28.8531111111,14.337,-0.179333333333,-16.3082222222,-8.96055555555,-9.498,-7.34777777776,-15.2328888889,-20.4301111111,-29.9282222222,-14.8747777778
225.00,-13.1011111111,16.252,13.4327777778,-7.13122222223,0.165777777767,-3.81433333334,3.31666666669,-5.307,-5.7213888889,-11.9402222222,-0.829222222223
225.38,-18.8888888889,-2.59277777777,4.8148888889,-22.037,-17.5926666667,-15.0,-11.2962222222,-12.2223333333,-15.0001111111,-19.6296666667,-12.4074444445
225.75,-36.0545555556,-18.1405555556,-15.1927777778,-36.7345555556,-39.9091111111,-28.3447777778,-31.0657777778,-20.1815555555,-25.8502777778,-32.4262222222,-26.7574444445
226.13,-37.9456666667,-7.75677777777,-11.9497777778,-18.6584444444,-33.543,-26.8343333333,-35.22,-17.8198888889,-24.0042777778,-32.0754444444,-24.9476666667
226.51,-60.6281111111,-32.6085555555,-44.4444444444,-42.9953333333,-61.1109999999,-56.0388888889,-70.0483333333,-42.7537777778,-60.628,-60.1448888889,-52.1741111111
226.88,-41.8943333333,-29.5082222222,-42.0765555556,-28.7795555555,-45.3552222222,-45.3551111111,-59.5627777778,-21.1293333333,-50.2732222222,-46.6302222222,-31.1474444445
227.26,-30.5916666666,-19.1918888889,-26.1185555556,-15.4401111111,-30.0143333333,-27.1286666667,-42.7128888889,-15.0072222222,-37.0852777778,-32.3234444444,-17.0274444444
227.64,-16.7902222222,-11.9753333333,-11.358,-3.58022222221,-17.037,-18.642,-29.5061111111,-5.67911111112,-20.8022777778,-22.469,-10.9875555555
228.01,-20.7407777778,-14.6913333333,-15.5556666667,-7.65433333331,-18.8888888889,-21.8517777778,-33.8272222222,-7.53088888888,-19.7530555556,-26.1731111111,-12.716
228.39,-23.2323333334,-13.1313333333,-14.3431111111,-11.0101111111,-18.9898888889,-21.7172222222,-33.2323333333,-11.111,-13.0303333334,-21.7173333333,-12.9294444444
228.76,-24.682,-12.4682222222,-13.4012222222,-15.1824444444,-18.4054444445,-19.3385555556,-30.3647777778,-13.2316666667,-12.8075,-20.3562222222,-13.6557777778
229.14,-24.6186666667,-10.6027777778,-15.1777777778,-13.9433333334,-17.8648888889,-13.1444444445,-25.1995555556,-10.6026666667,-11.9099444444,-19.0268888889,-11.9825555555
229.52,-15.8471111111,0.607222222223,-5.76811111111,-3.94666666667,-8.50044444443,-2.79288888889,-14.2077777778,-2.42877777778,-3.46088888889,-7.65033333333,-1.09288888889
229.89,-5.52977777778,8.83722222221,3.77266666667,5.11611111111,-1.55044444445,5.01288888889,-3.77255555556,4.28944444445,3.90177777778,0.723444444446,7.39011111111
230.27,-3.98588888889,7.32433333335,3.88633333334,2.98955555555,-1.64433333333,4.88288888888,-0.946777777777,1.64433333333,4.11077777778,-0.896777777777,7.62355555554
230.65,2.70044444445,13.5457777778,9.82733333333,7.9681111111,5.09077777778,11.8194444444,6.37444444445,9.96022222221,14.3205555556,5.13488888888,12.8374444445
231.02,5.216,18.5752222222,12.5105555556,10.3478888889,9.03311111112,13.7403333333,10.5597777778,10.3901111111,18.1934444445,5.00444444444,13.9948888889
231.40,1.45133333333,15.1926666666,8.02733333333,4.80722222222,5.30611111111,9.38799999999,6.75733333332,6.21299999999,16.4397222222,-0.362777777777,9.02488888888
231.78,-0.280111111112,13.0718888889,5.74233333334,1.86744444444,3.92155555555,9.89722222221,6.48911111112,5.64911111111,15.7795,-1.35388888889,8.17000000001
232.15,-0.232555555556,11.3436666667,6.462,0.325333333333,3.57977777778,9.99533333334,6.27622222221,3.85866666667,14.4351666667,-3.06833333333,6.64811111111
232.53,-1.876,8.32122222222,4.28088888889,-1.34688888889,2.45311111111,9.47577777777,5.96444444443,1.53911111111,12.5298888889,-6.34944444445,5.48333333333
232.90,0.288777777777,9.90855555554,5.291,1.34666666667,2.886,10.0048888889,6.54166666666,2.16444444445,13.5402222222,-3.75177777777,6.01266666667
233.28,2.61166666667,10.7785555556,7.12233333332,3.32400000001,5.08066666667,9.73411111109,6.22044444444,2.32666666667,13.4377777778,-2.56411111111,4.70088888889
233.66,2.69055555556,9.01844444445,8.37055555555,2.64077777777,4.93277777778,8.71944444444,5.92922222222,0.946888888887,13.5276666667,-3.33844444444,2.98944444445
234.03,7.0531111111,13.1401111111,13.5266666667,7.00477777777,9.855,14.0097777778,10.3382222222,5.41055555557,17.8744444445,1.88411111111,7.77800000001
234.41,10.1388888889,15.1387777778,17.2222222222,10.2775555555,11.4813333333,16.4353333333,10.8795555556,10.1851111111,19.9769444444,4.02777777779,10.9258888889
234.78,9.25944444443,13.0104444444,15.527,9.30677777778,7.83477777778,12.868,8.16711111111,5.55566666667,16.9038888889,2.42166666667,7.83455555557
235.16,7.34377777777,7.67755555557,13.543,7.10533333334,2.52755555556,10.9204444444,4.48266666668,4.91177777778,14.02,2.05066666668,5.9611111111
235.54,9.69955555557,9.2441111111,15.6647777778,10.519,2.68666666667,12.9782222222,6.6941111111,8.2878888889,12.7050555555,5.0091111111,7.19500000001
235.91,13.3583333333,12.1097777778,16.9787777778,13.8161111111,3.454,15.106,7.94833333333,10.8198888889,12.5468333333,7.28255555553,10.1956666667
236.29,15.2174444444,12.1982222222,17.3913333333,14.8551111111,4.14655555556,15.3783333333,8.73588888889,13.3253333333,12.5201666667,9.09833333332,11.232
236.66,19.2843333333,16.4217777778,22.3352222222,18.0037777778,8.02266666668,18.2675555555,11.8643333333,17.2504444444,13.7288333333,13.8982222222,14.5762222222
237.04,20.4338888889,17.2374444445,23.4018888889,19.0258888889,8.0288888889,19.0638888889,11.6058888889,17.694,12.7852777778,14.1172222222,14.0411111111
237.41,20.1806666666,16.8825555556,23.0467777778,18.0604444444,6.55677777778,18.0997777778,11.3467777778,17.7855555555,11.9356111111,14.3696666667,13.8594444444
237.79,20.7432222222,17.482,22.0324444444,19.1886666667,6.56055555556,19.7952222222,11.7937777778,17.9372222222,12.4383888889,14.3726666667,14.145
238.17,15.5951111111,12.5793333333,16.4682222222,13.8491111111,-0.0794444444433,15.2381111111,6.19044444444,12.4998888889,7.30161111112,9.24599999999,8.13500000001
238.54,13.2706666666,9.97255555555,12.6815555556,10.797,-2.31633333333,12.8385555556,4.39722222222,8.00955555555,4.22061111111,8.4021111111,3.21944444444
238.92,9.5028888889,6.323,9.53944444446,7.20033333334,-3.91077777778,11.0015555556,1.97366666667,5.51888888889,0.3655,5.22666666667,1.864
239.29,9.49922222223,6.893,8.77911111111,6.24133333332,-2.74344444444,10.8367777778,1.88622222222,4.66411111111,-0.0170555555567,6.13866666667,3.12066666667
239.67,9.58722222223,8.1271111111,8.31744444444,6.06355555557,-0.603222222222,10.6666666667,2.44455555555,4.19044444445,1.82533333334,7.26977777778,3.492
240.04,10.0622222222,9.58044444445,8.75844444444,6.4908888889,1.61577777778,11.3945555555,2.77755555556,3.65644444444,3.58555555555,8.90033333333,4.39344444445
240.42,10.1031111111,11.0151111111,8.61522222222,8.08744444444,3.64777777778,12.935,4.34366666667,4.65566666667,5.8435,9.35922222221,6.16766666667
240.79,7.67633333333,8.19366666667,5.97977777778,6.22777777779,2.44133333333,11.8145555555,2.64844444444,2.669,5.31761111111,6.80722222222,5.42122222222
241.17,5.99244444444,6.74155555556,4.83311111111,5.01144444445,2.12255555555,10.6295555556,2.69311111111,2.08677777778,4.63694444444,5.86755555556,5.65366666667
241.54,6.48422222222,6.81455555555,5.14655555555,4.78433333333,2.81722222222,10.8277777778,2.86433333333,2.88033333333,5.03622222222,5.55544444444,6.60988888889
