wavelength,Back_ParHumf,Belly_ParHumf,Breast_ParHumf,Crissum_ParHumf,Crown_ParHumf,DorTail_ParHumf,Patch10_ParHumf,Patch11_ParHumf,Patch12_ParHumf,Patch13_ParHumf,Rump_ParHumf,Throat_ParHumf,WingTip_ParHumf
713.16,15.6783333333,53.9536666667,29.9253333333,41.9906666667,6.101,15.2693333333,12.372,12.0653333333,41.9906666667,2.556,13.4286666667,37.1506666667,9.475
713.48,15.7626666667,54.111,29.853,42.6473333333,6.27766666667,15.5576666667,12.7603333333,11.9413333333,41.9653333333,2.76366666667,13.5793333333,37.1886666667,9.17766666667
713.80,15.3346666667,54.44,30.1226666667,42.623,5.70366666667,15.5053333333,12.2606666667,11.8506666667,41.94,2.73233333333,13.2513333333,37.6026666667,8.777
714.12,15.9243333333,54.4196666667,30.3306666667,42.5103333333,6.00533333333,15.756,12.7866666667,11.8083333333,42.341,3.07,13.529,37.483,9.008
714.44,16.0593333333,54.3856666667,30.263,42.4763333333,5.769,15.722,13.158,12.247,42.881,3.374,13.4953333333,37.7193333333,9.17666666667
714.76,16.7006666667,55.2273333333,30.7876666667,42.77,6.31333333333,16.3273333333,13.3403333333,12.899,43.754,4.243,13.8833333333,38.493,9.74166666667
715.08,16.6326666667,55.465,30.3803333333,42.3626666667,6.076,15.886,13.5436666667,12.831,43.143,4.03933333333,13.7813333333,38.3573333333,9.40266666667
715.40,16.321,55.187,31.0856666667,42.6693333333,5.53233333333,15.4216666667,13.0703333333,12.2063333333,43.0496666667,3.56133333333,13.2436666667,38.6926666667,9.336
715.72,15.5106666667,55.5316666667,31.1276666667,43.1876666667,4.625,14.5146666667,12.6643333333,11.633,42.8316666667,2.95266666667,12.309,38.0293333333,8.50233333333
716.04,15.029,55.968,31.1136666667,43.1586666667,4.367,14.119,12.4816666667,11.3536666667,43.1946666667,2.438,11.936,37.8823333333,8.36966666667
716.36,15.6516666667,56.589,31.5616666667,43.6323333333,4.762,14.212,13.0676666667,11.9603333333,43.9276666667,3.13766666667,12.071,37.9843333333,8.933
716.68,15.3143333333,56.7236666667,31.2763333333,43.8856666667,4.45733333333,13.8286666667,12.1523333333,11.2763333333,43.9616666667,2.51433333333,11.6953333333,38.3236666667,8.8
717.00,15.553,57.288,31.106,43.8843333333,4.338,14.068,11.997,11.02,44.4703333333,2.97,11.841,38.9216666667,8.988
717.32,16.3266666667,56.8626666667,30.7723333333,43.5773333333,4.762,14.0056666667,12.525,11.0443333333,44.618,3.24133333333,11.925,39.2956666667,9.12366666667
717.64,15.857,56.8703333333,30.8013333333,43.7943333333,4.44166666667,13.657,12.4946666667,10.9586666667,44.4166666667,2.57333333333,11.748,39.726,8.966
717.96,15.5953333333,56.8123333333,30.163,43.873,4.413,13.0676666667,11.911,10.1543333333,43.573,2.39933333333,11.654,40.0173333333,8.14066666667
718.28,15.4903333333,57.0796666667,30.9363333333,44.119,3.63966666667,12.9603333333,12.0283333333,9.942,43.009,2.17466666667,11.6733333333,40.2576666667,8.167
718.60,14.749,56.347,30.274,44.5663333333,2.968,12.9223333333,11.1873333333,9.68033333333,42.7853333333,1.87233333333,11.0503333333,40.046,7.991
718.92,15.4693333333,56.4456666667,30.571,44.6593333333,4.18933333333,13.8583333333,11.8783333333,10.4513333333,42.4493333333,2.76233333333,12.1086666667,40.101,8.56366666667
719.24,15.7276666667,56.3376666667,30.6103333333,44.2253333333,4.13133333333,14.272,11.5493333333,10.5163333333,42.5353333333,2.629,12.4883333333,40.9393333333,8.82633333333
719.56,15.6386666667,56.528,30.5593333333,44.6676666667,4.352,14.2513333333,12.3863333333,10.9993333333,42.0853333333,2.72566666667,12.5776666667,41.5113333333,8.27366666667
719.88,15.5556666667,56.0386666667,30.5313333333,43.6713333333,3.96133333333,14.251,11.9803333333,10.821,41.1593333333,2.27033333333,12.0773333333,41.1113333333,7.68133333333
720.20,16.4003333333,55.9746666667,31.108,43.735,4.49933333333,14.3203333333,12.4336666667,12.0463333333,40.8803333333,3.532,12.7236666667,41.219,8.22433333333
720.52,16.3503333333,55.231,31.241,43.7956666667,4.86633333333,14.2093333333,12.5546666667,12.555,40.243,2.96833333333,12.7493333333,40.9246666667,8.224
720.84,15.9593333333,55.344,31.186,43.875,5.32,14.202,12.738,12.4446666667,40.117,3.31866666667,13.0796666667,41.0443333333,8.63866666667
721.16,16.5696666667,54.9076666667,31.195,43.683,5.73366666667,14.723,12.8276666667,12.8763333333,39.9413333333,4.08166666667,13.8966666667,40.8163333333,9.038
721.48,16.788,55.1673333333,32.266,43.6196666667,5.871,15.381,13.1973333333,13.4403333333,40.3686666667,4.65766666667,14.362,41.3393333333,10.141
721.79,16.3533333333,54.607,32.1273333333,42.9813333333,6.271,14.568,12.9763333333,13.0243333333,39.9903333333,4.486,13.4586666667,40.9066666667,10.1303333333
722.11,16.4013333333,54.8483333333,32.947,42.2093333333,6.271,14.279,13.507,13.073,39.7493333333,5.065,13.6033333333,41.0033333333,10.661
722.43,15.9336666667,54.4966666667,32.5513333333,41.9353333333,5.03433333333,12.7566666667,13.1476666667,12.4146666667,39.834,4.15433333333,13.05,40.958,10.0683333333
722.75,16.546,53.6526666667,32.8983333333,41.6546666667,5.709,13.6916666667,14.1266666667,13.3526666667,39.719,4.69266666667,12.9173333333,40.687,10.6436666667
723.07,16.8116666667,53.43,32.8503333333,41.691,5.36233333333,13.8166666667,13.0916666667,12.5123333333,39.6136666667,4.396,12.6566666667,39.9516666667,10.4833333333
723.39,16.6666666667,53.343,33.091,42.7806666667,5.47466666667,13.9536666667,12.9363333333,12.5483333333,40.4556666667,4.651,12.4513333333,40.746,10.5136666667
723.71,16.2506666667,53.7933333333,33.7246666667,43.074,5.97166666667,13.95,13.2156666667,12.139,40.5286666667,4.01366666667,12.3836666667,41.3606666667,10.4746666667
724.03,15.9356666667,53.5086666667,33.3333333333,42.69,6.04266666667,13.4016666667,12.963,11.5983333333,40.7896666667,3.89833333333,11.8906666667,41.1793333333,9.69766666667
724.35,16.223,54.3886666667,34.024,43.5406666667,5.76933333333,13.708,12.9193333333,11.292,40.6313333333,3.45166666667,11.5876666667,40.9266666667,9.76333333333
724.67,15.572,54.627,34.1293333333,43.8803333333,5.572,13.5823333333,12.6863333333,10.3483333333,40.796,3.383,10.995,41.2936666667,9.85066666667
724.98,15.847,54.2473333333,34.0783333333,43.815,5.61333333333,13.711,12.8666666667,10.0346666667,40.0893333333,3.12966666667,11.078,40.9343333333,9.538
725.30,16.4936666667,54.7653333333,33.6793333333,43.9503333333,6.02466666667,14.1233333333,13.185,10.42,40.8393333333,3.16066666667,12.247,41.235,9.72833333333
725.62,16.9893333333,55.1416666667,34.1776666667,45.107,6.70633333333,14.605,13.0653333333,10.5316666667,41.232,2.83166666667,12.2703333333,41.53,9.538
725.94,17.5206666667,55.149,34.0163333333,45.437,7.272,15.2266666667,12.7866666667,10.5906666667,41.093,2.87933333333,11.8593333333,40.752,9.80966666667
726.26,17.353,56.961,35.0003333333,47.206,7.79433333333,15.196,13.186,10.7846666667,42.1076666667,3.43133333333,12.598,41.814,10.294
726.58,17.0816666667,57.3936666667,35.139,46.5103333333,7.516,14.446,13.6653333333,10.7856666667,42.5573333333,4.34366666667,12.3473333333,42.2646666667,10.444
726.90,17.2983333333,57.6773333333,35.277,46.1613333333,7.726,14.2856666667,13.6053333333,10.69,42.323,5.05333333333,13.1196666667,42.2256666667,10.787
727.21,17.8756666667,57.0413333333,34.7083333333,45.9933333333,8.10833333333,15.0303333333,13.703,11.0953333333,42.8166666667,5.64266666667,13.324,41.631,11.285
727.53,18.5393333333,58.0056666667,35.2526666667,45.318,8.23966666667,15.6366666667,14.279,11.2826666667,43.0243333333,6.27333333333,13.4833333333,42.135,12.5
727.85,18.9556666667,56.9136666667,34.9816666667,44.643,8.562,15.2013333333,14.1943333333,12.0423333333,43.2236666667,6.36466666667,13.828,42.3533333333,12.9123333333
728.17,19.3033333333,56.5236666667,34.8526666667,44.325,9.11566666667,15.5496666667,14.5666666667,12.7793333333,42.717,6.92566666667,14.2986666667,42.1806666667,13.0916666667
728.49,18.8056666667,56.9516666667,35.0266666667,44.2513333333,9.314,15.1963333333,14.572,13.1016666667,42.959,7.17466666667,14.1713333333,41.9786666667,13.28
728.80,18.6313333333,56.8653333333,34.9666666667,44.0616666667,9.22733333333,15.1876666667,14.746,13.201,42.1193333333,7.19633333333,13.5983333333,41.236,13.2006666667
729.12,18.1663333333,57.019,35.0283333333,43.2853333333,9.30033333333,15.124,15.211,13.6463333333,41.982,7.60533333333,14.1243333333,41.2863333333,12.864
