wavelength,Back_TanVirm,Belly_TanVirm,Breast_TanVirm,Crissum_TanVirm,Crown_TanVirm,DorTail_TanVirm,Patch10_TanVirm,Patch11_TanVirm,Patch12_TanVirm,Rump_TanVirm,Throat_TanVirm,WingTip_TanVirm
186.77,-76.5918333333,-71.8164999999,-103.838916667,-79.4006666667,-52.7153333334,-80.2434166666,-102.434583334,-78.7453333334,-102.153666667,-65.8240000001,-55.5244999999,-72.5655
187.15,-97.88875,-95.3333333333,-128.444416667,-103.44425,-63.3334999999,-107.5555,-124.444333333,-107.666583333,-130.22225,-88.5556574074,-73.1111666668,-98.8888333332
187.53,-133.184583333,-131.6965,-169.34525,-135.267833333,-80.3570000001,-143.006041667,-162.053583334,-150.892833333,-164.732,-119.841212963,-98.95825,-135.41675
187.91,-202.235833333,-193.495833333,-247.357666666,-206.30075,-131.9105,-214.32925,-235.36575,-230.894416667,-234.552916666,-186.043388889,-162.398333333,-204.471666666
188.29,-216.666666667,-210.52625,-265.570166667,-216.886083333,-142.105333333,-223.026375,-251.0965,-258.114083333,-245.175416667,-211.890972222,-180.043833333,-226.535
188.67,-377.651666667,-375.757583333,-465.90925,-379.924083333,-251.136416667,-394.886541666,-424.2425,-453.787833334,-431.439416667,-384.848472222,-323.863583333,-416.287833333
189.05,-478.70375,-474.074,-565.277833333,-466.666666667,-329.16675,-503.472333333,-499.999916667,-575.925833333,-560.185166667,-464.45462963,-400.0,-537.963083334
189.43,-3247.22216666,-3105.55558333,-3588.88891667,-3027.77791667,-2322.22225,-3326.388875,-3250.0,-3808.33341666,-3708.33325,-3172.53092592,-2591.66666667,-3530.55558333
189.81,1737.50008333,1586.111,1852.77783333,1598.611,1313.88883333,1684.027875,1658.33325,1998.61108333,1886.111,1724.5370463,1366.66658333,1795.83333333
190.19,362.5,329.656916667,377.205916667,323.28425,288.725416666,357.720583333,344.117583333,414.951,381.862833333,347.440037037,297.304166667,380.146916667
190.57,380.91375,338.978583333,396.77425,330.107416667,297.849583333,374.596875,352.150583333,434.6775,403.763583333,355.316601852,317.204166666,397.31175
190.95,780.356916666,702.380916666,831.547499999,637.500083334,596.428666668,755.357041666,691.071333333,920.833250001,810.714166667,730.423277778,625.0,816.071416667
191.33,-805.555499999,-713.889000001,-874.305583334,-591.666666666,-610.416666666,-747.569458333,-697.916666666,-967.361166668,-824.305416666,-748.148064815,-573.610999999,-834.722333333
191.71,-267.96875,-234.895833333,-309.375,-192.447916667,-220.052083333,-252.34375,-236.458333333,-325.520833333,-283.333333333,-260.908564815,-176.041666667,-290.625
192.09,-189.1025,-165.384666667,-222.22225,-118.376166667,-147.649583333,-177.991416667,-165.812083333,-233.760666667,-206.410333333,-182.834722222,-106.624166667,-204.701
192.47,-133.15225,-122.101583333,-168.840583333,-71.3769166666,-99.4564166669,-133.242833333,-115.57975,-164.49275,-152.354916667,-128.66337963,-60.5073333334,-147.463833333
192.85,-86.3889999998,-79.0278333334,-113.888916667,-37.7776666667,-65.0000833334,-89.7917083334,-72.22225,-116.527833333,-99.8610833334,-88.1019074074,-33.75,-99.8610833333
193.23,-79.0362499999,-61.8488333333,-102.08325,-25.13,-52.3436666667,-79.1012916668,-64.1925833334,-107.031083333,-81.2496666668,-79.0796111112,-23.6979166666,-86.7184999999
193.61,-62.8905000001,-43.3593333332,-90.7551666667,-8.59350000002,-36.7188333333,-63.0205416667,-50.7810833333,-95.5727499999,-62.6302499999,-60.3876111112,-12.5000833334,-73.4374999999
193.99,-38.1128333333,-19.853,-67.0340833333,11.5195833333,-18.5049166667,-48.3455833333,-28.6765,-77.2059166667,-45.3430833333,-33.0200740741,6.74016666665,-55.8823333333
194.37,-1.37466666667,9.44991666668,-24.5705833333,23.6253333333,7.38833333333,-11.29725,5.15450000001,-26.3746666667,-13.7456666667,-2.07145370372,29.7250833333,-14.3470833333
194.75,3.0465,13.62,-23.3871666667,27.2401666667,10.84225,-8.06445833333,5.55558333334,-22.1325833333,-13.1720833333,-1.7522962963,35.9319166667,-14.7850833333
195.13,15.3198333333,23.3164166667,-8.92266666665,35.5218333333,17.5925833333,3.787875,13.55225,-10.1853333334,-2.27274999997,7.61312037036,44.7810833333,-3.87216666667
195.51,17.1940833334,22.9958333333,-15.4008333334,34.8100833333,17.1940833333,0.632875,10.7593333333,-15.7172500001,-7.06741666675,5.5555462963,45.6751666667,-14.5569166667
195.89,23.9726666667,33.2191666667,-0.114166666675,41.78075,27.5113333333,6.50683333335,17.2375833333,-12.8995833334,-3.7669999999,15.2460277778,53.8813333333,-10.7306666667
196.27,22.26025,25.7991666667,-1.8265,36.7579999999,23.9725,1.08458333333,13.6986666667,-21.2330000001,-6.96341666667,13.4575185185,51.8265833332,-17.1235000001
196.65,31.2500833333,39.8809166667,13.8888333333,40.2776666666,31.64675,8.08533333332,23.2143333333,-13.09525,6.44858333335,28.9131388889,59.7221666666,-2.48008333334
197.03,36.9565833333,47.3730833333,23.098,46.0144166667,36.6846666667,14.4023333333,26.7209166667,-3.80441666667,15.4889166667,41.3947962963,66.84775,4.98183333333
197.40,47.0527499999,51.8291666667,31.6056666667,49.6950833333,39.63425,18.24175,31.1990833333,2.64216666667,19.61375,44.5121296296,74.3903333334,7.82524999999
197.78,44.8040000001,46.6667500001,28.5295,46.17625,36.5685833333,18.676375,27.7450833333,1.76466666668,19.6079166666,41.5795555556,71.7645833332,7.35300000001
198.16,46.4961666668,47.4431666667,32.7650833333,48.2955,39.1099166667,27.0359166667,29.16675,8.80691666668,28.2196666666,43.1819444445,75.0946666667,13.82575
198.54,48.75,51.3541666667,37.1875,55.5208333333,43.75,34.5833333333,30.2083333333,7.60416666665,38.4375,47.5694444444,81.25,13.5416666667
198.92,54.2193333333,60.6540000002,46.6245,57.4893333334,49.4725000001,41.8777916667,37.5526666667,16.9831666667,51.3713333333,57.2669074075,91.8774999999,23.10125
199.30,49.9999166666,60.6965833333,41.6665,50.4974166667,48.0098333334,34.26625,31.0945,7.83583333335,46.3930833333,55.1271203705,96.0198333334,14.8008333333
199.68,47.5846666667,58.3333333333,40.7004166666,47.8262500001,51.3285833333,30.374375,30.9178333333,7.24649999997,43.9614166667,48.3494722222,92.7535833335,16.7874166667
200.06,43.0768333334,49.6153333332,29.4873333333,43.5899166666,44.3589999999,22.3719583333,24.74375,-4.74349999999,36.282,40.1140277778,91.923,12.436
200.44,56.2499999999,68.4895833332,42.7083333333,56.5103333333,54.6875833333,39.5833333333,36.5886666667,9.24508333333,40.1040833333,49.2333055556,108.203166667,24.73975
200.82,45.1257499998,59.1194999998,29.5598333333,47.0125833332,41.5094166667,34.7484166667,19.81125,3.30183333335,27.044,32.1277962963,112.42125,9.11941666668
201.19,39.3939166667,49.8484166667,24.0909166666,40.4546666665,41.2120833335,33.257625,13.3334166667,8.18175000008,22.1213333333,15.9259814815,104.242416667,11.3636666667
201.57,36.849,50.5210000001,24.7395,41.4063333333,41.1459166667,28.9715,14.5834166667,9.89608333333,23.0470833333,21.0068333333,93.88025,16.5365833333
201.95,42.7419166665,65.05375,33.8708333333,48.6560833332,48.1182500002,30.4435416666,32.2581666667,19.8925,32.1236666666,27.9420555556,101.344,25.5375833333
202.33,30.6818333333,52.3989999999,27.0201666666,36.4898333333,38.3839166667,14.3307916667,26.0101666667,8.20708333333,19.4445,17.5505555555,81.818,12.62625
202.71,25.6313333333,46.4645833333,26.6413333333,30.0504166666,27.2725833333,9.21729166665,24.2425,-0.505250000075,10.2271666667,10.5779537037,72.7271666667,7.32333333334
203.09,29.7618333333,40.5755000001,29.0674166667,30.3573333334,22.5199166667,17.3612083333,29.7618333333,2.48025,9.72216666668,12.0261203704,58.6309166667,9.32541666668
203.47,33.2396666667,44.1010833333,34.8314166667,34.4568333334,23.4081666667,23.8295,38.0149166667,8.23974999997,11.236,15.5221574074,56.2734166667,12.9214166667
203.85,35.5263333333,50.1754166666,38.3334166667,41.2281666667,22.9825833334,30.3509583333,41.1403333334,12.807,13.4210833333,22.8752962963,58.7719166667,19.7366666667
204.22,40.3781666667,56.9588333333,44.33,48.4535000001,26.71825,36.7266666667,47.5085833333,18.9864166667,22.5085833333,28.4459259259,62.5428333334,24.0550833333
204.60,31.0231666667,45.9570833332,33.8284166666,40.3464999999,18.9769166667,29.9094166666,39.439,8.99341666665,21.6998333333,22.4972592593,51.3200833333,17.98675
204.98,29.6825,43.8889166667,33.254,39.8411666666,20.7143333333,28.571375,39.3650833334,2.0635,21.3491666667,21.7460833333,45.1586666667,16.90475
205.36,21.0319166666,39.8809166666,23.2143333333,29.5635,9.72225000003,15.873125,32.2421666667,-15.774,12.0038333333,14.5171666667,39.78175,5.15866666669
205.74,5.85608333335,30.0675000001,6.08108333333,11.0360833334,-2.25216666667,3.15316666667,17.90525,-30.18025,-2.81541666675,3.6912037037,28.8289166667,-9.57216666667
206.12,5.12825000002,22.7564166667,4.59408333334,5.44875,-2.77783333335,2.83108333334,6.19658333332,-30.44875,-9.82908333343,1.3887314815,27.0299166667,-17.4145833334
206.50,0.70416666665,19.9530833334,-1.64316666667,1.76058333335,-4.69483333325,2.46483333334,0.35216666665,-36.8545,-16.5493333334,-4.36872222221,26.1738333334,-26.1737499999
206.87,5.04700000002,25.5870833333,-1.52583333334,9.27249999999,7.04225000008,3.52120833333,1.99524999998,-28.1690833333,-11.2676666667,1.47362962965,34.5070833333,-19.83575
207.25,5.75983333335,25.4900833334,1.34791666666,15.4411666666,15.8087499999,0.183750000008,-0.122583333325,-29.7795,-7.47558333332,1.15742592593,37.6224166667,-13.6029166667
207.63,10.2458333334,28.4155,-0.956333333333,30.7377500001,25.5464166666,6.96720833332,0.683083333325,-28.1419999999,3.1421666666,3.84024074073,46.7213333333,-7.377
208.01,12.5000833333,24.40475,-4.91083333342,31.3986666667,27.5299166666,8.77979166665,-3.12516666665,-30.2081666667,10.4166666667,4.10053703705,53.869,-18.6011666667
208.39,14.1534166667,18.783,-6.48150000008,27.3809999999,28.1743333334,9.78845833332,0.926000000018,-20.5026666666,9.127,3.42435185185,51.3229166667,-19.7090833333
208.77,12.427,18.7135833334,-12.2808333333,25.8771666667,29.5323333333,2.41212499998,-2.92408333332,-19.5908333333,5.26324999998,-0.90964814815,50.8771666666,-24.7075833333
209.14,8.17616666665,17.1382499999,-22.4844166667,13.2074166667,26.1005833333,-4.55983333332,-10.22025,-22.7986666666,2.35841666668,-7.37246296305,53.4590833334,-25.1574166667
209.52,35.9951666667,36.6899166667,11.34275,42.7083333334,43.5186666666,31.076375,21.75925,10.301,26.0415833334,19.6244351852,65.6250000001,6.13416666665
209.90,52.7108333333,48.0923333333,28.9155,62.3494166666,52.5100833333,49.34725,41.6666666667,24.1969166667,43.273,32.4744722222,76.6065,23.293
210.28,54.1140833333,48.9451666667,28.059,66.4557500001,51.4767500001,45.0422916667,41.5610833333,21.6244999999,45.2531666666,30.4969074074,76.5822500002,28.1645833333
210.66,56.2499166667,54.5634166667,30.0595,68.2540833333,49.5039166668,42.212375,41.3690833334,26.9841666667,44.8411666667,35.6370555555,76.4880833333,32.5395
211.03,54.3171666667,54.1164166666,28.213,66.6665,47.5902500001,39.7087916667,35.84325,23.09225,41.8674166667,32.9093981481,71.4858333334,28.1124166666
211.41,46.9484166666,53.40375,12.4414166667,61.7370833333,39.5539999999,30.692625,24.1784166666,17.95775,28.8733333333,24.0219537037,68.6619166668,11.2675833334
211.79,40.6565833332,52.7778333333,9.59591666665,53.1565833333,34.8485000001,15.593375,14.7726666667,11.9950833333,21.4646666667,21.0298425926,67.1717500001,3.78783333333
212.17,36.828,57.7956666667,11.42475,52.8225833333,36.6936666666,6.048375,10.887,9.94633333325,22.7151666667,20.4300648148,64.3816666666,4.70433333333
212.55,17.21025,59.0578333334,-7.06533333323,35.8695,28.6231666667,-18.297,-12.5,-11.2319166666,9.05791666675,9.03788888888,57.971,-14.4926666667
212.92,21.6310833333,60.461,-3.90074999991,27.1275833333,33.6879166667,-14.5390416666,-3.54608333335,-7.26949999992,12.0568333333,10.5791574074,62.2341666666,-14.3616666668
213.30,34.3333333334,71.8333333333,8.33333333342,46.6666666667,45.1666666666,0.58333333325,18.6666666666,13.6666666667,27.9999999998,21.2222222223,66.9999999998,-13.0
213.68,19.7278333333,65.8163333332,-5.10208333333,28.74175,33.8434166665,-17.6872500001,7.65299999998,-2.38108333325,16.1564166668,8.90023148148,52.04075,-25.5101666668
214.06,5.30308333333,54.5454166667,-21.9695833334,6.43950000001,20.6440000002,-43.655375,-11.9318333333,-27.6515833333,-8.14383333323,-14.1624444444,31.0605833334,-56.4394166667
214.44,11.7019166667,55.4964166668,-17.37575,5.14183333333,19.8580833333,-29.52125,-3.54616666666,-19.5035833333,-4.43258333342,-12.5099722223,23.0496666669,-47.5175833334
214.81,20.9935000001,62.1794166668,1.92308333333,18.91025,30.9295000001,-7.45208333335,15.8653333333,-3.68583333325,10.8975833333,3.00924074073,34.61525,-25.6409166667
215.19,15.4410000001,80.8823333334,-21.8136666667,2.45091666667,23.0394166667,-32.3527500001,12.7450000001,-23.0392499998,-1.96083333327,-12.4727592592,32.1078333333,-46.3235833333
215.57,28.5714166667,92.85725,-20.8332499999,9.22616666659,27.0833333335,-39.5832916667,27.9761666668,-34.2263333332,6.54766666675,-4.828037037,36.0117500002,-51.1904166667
215.95,-7.03124999983,46.8750000002,-55.7291666665,-25.2604166665,-5.4687499999,-55.5989583333,4.42708333324,-51.3020833334,-23.9583333334,-33.5937499999,2.34374999993,-78.6458333333
216.32,-12.6345,39.2473333336,-66.9354166668,-41.1290833333,-23.6558333332,-49.05925,15.3225,-59.6774999999,-40.8601666668,-48.8351574073,-1.07525000007,-77.6881666665
216.70,9.72224999992,47.6851666665,-33.5648333334,-8.79625000018,-9.02775,-20.254625,33.3333333333,-27.5464166667,-16.8982499999,-22.1451111112,22.9167500002,-29.3980833334
217.08,-22.5309166666,24.6913333332,-70.3704166668,-21.2962500002,-46.9135833335,-62.3456249999,9.25916666665,-81.1726666667,-59.8765833332,-56.6186574074,-13.2716666666,-55.5556666667
217.46,-157.638916666,-72.9165833333,-240.972166667,-146.527916667,-201.389,-265.625166667,-106.944416667,-304.166666667,-274.305583333,-193.132666667,-125.694333333,-189.58325
217.83,1425.0,929.166666666,1791.66666667,1262.5,1520.83333333,1987.5,1033.33333333,2212.5,2104.16666667,1485.64814815,1220.83333333,1612.5
218.21,186.842,135.087666667,228.50875,161.4035,181.140333333,234.868416666,152.63175,243.421083334,246.052583333,176.413157407,145.175416667,181.14025
218.59,99.5614999999,66.4474166667,116.008833333,70.6140000001,81.1403333332,121.381625,79.60525,122.368333333,118.859666667,87.2806018518,62.2806666666,90.5701666667
218.97,67.3175,55.3385000001,86.0678333334,56.5103333333,59.3749166667,90.8854166667,61.32825,87.5000000001,82.0311666668,65.1909722222,51.9530833333,70.3125833332
219.34,68.8889166667,58.6111666666,84.1667499999,57.361,59.9999999999,96.9444999999,56.9445,90.1389166666,85.5555,61.3116759259,48.3333333334,71.8055833332
219.72,70.3430833334,56.7400833333,79.5343333334,58.0882500001,55.7597500001,89.1545,54.7795,85.6619166665,80.6372500001,60.7707777779,44.9755000001,68.6274166667
220.10,49.9008333332,42.5595,59.5239166667,38.9881666667,37.7976666667,66.2698749999,41.8651666666,68.5515833334,63.0951666667,46.5278055556,33.2340833334,53.47225
220.47,48.38425,43.1973333333,57.6531666667,39.6259166666,37.3298333334,65.6037916666,41.75175,64.71075,61.4796666667,44.31225,34.60875,52.89125
220.85,45.07575,42.9544166667,55.9848333332,39.2424166668,33.86375,62.8030000001,42.12125,62.8030833333,60.9848333333,44.1246666667,35.9849166667,53.9393333333
221.23,34.4298333333,31.2135,43.4211666667,28.2164166667,22.9531666667,47.8800833333,32.16375,47.4414166667,51.4620833333,35.0469259259,22.076,44.8830833333
221.61,28.29125,23.8094166667,36.8348333333,22.2690833333,17.437,37.1847083333,25.5600833333,40.5463333333,42.08675,30.5866851852,16.8766666667,38.30525
221.98,24.1524166667,18.291,34.5339166667,19.4914166667,14.97175,32.0620416667,21.3275833333,37.0763333333,38.5591666667,27.0714537037,12.00575,32.7684166667
222.36,19.5621666667,10.452,28.1779166667,16.8079166666,12.8530833333,27.6835,16.1723333333,33.1213333333,34.3926666667,22.7479259259,9.25141666667,27.2598333333
222.74,23.7788333333,17.9596666667,32.4713333333,23.56325,18.6781666667,32.7944583333,23.2040833333,40.2298333333,38.3619166666,27.8016018518,19.3246666667,35.4166666667
223.11,25.3205833333,18.5898333333,33.25325,25.4005833333,17.3876666667,33.373375,28.1250833333,43.4295,43.0288333334,33.1285462963,20.19225,38.4615833333
223.49,24.5238333333,20.7144166667,33.7301666666,25.3176666667,17.5396666667,31.0317083333,31.9841666667,45.5555833333,43.96825,39.127,22.6191666667,43.3333333333
223.87,14.8514166667,10.3959166667,23.1848333333,16.3365,11.0560833333,17.0790833333,23.1023333333,37.54125,33.0031666667,29.1712222222,13.2839166667,33.5809166667
224.24,14.2591666667,5.00008333333,21.0185,16.0185,14.5371666667,17.3147083333,24.16675,40.3704166667,30.64825,29.8354166667,9.07408333335,30.0
224.62,9.61549999999,1.70933333335,12.92725,12.1795,9.18808333332,12.3932083333,26.282,36.5385,24.7864166667,31.0065092593,4.59391666668,30.1281666667
225.00,5.16441666666,-2.58225,12.5585833334,13.1455833333,11.7371666667,10.7392916667,19.8358333333,38.1455833332,24.6478333333,29.4209259259,2.23008333335,31.8074999999
225.38,18.4425,11.0655833333,28.6885,34.97275,31.1474999999,32.8551666667,32.5135,63.2515,42.4861666666,44.2317685185,17.623,50.6831666668
225.75,3.64575000003,-7.29175000008,22.0486666666,28.8195000001,21.8750833333,23.0034166668,25.3471666667,63.5415833333,41.8402500001,42.5540555556,0.520833333425,49.3056666667
226.13,-27.9570000002,-37.9034166665,-2.1505833334,0.000166666675,-8.0645833335,9.40854166674,9.67750000025,55.3763333332,29.5700000001,34.3190648148,-33.6020833332,49.4624166668
226.51,-9.8765,-30.2470000002,3.70358333341,5.55541666677,-12.6542499998,23.9199166667,16.04925,78.0864999998,51.2346666668,45.4389722221,-25.6173333332,64.8148333333
226.88,-3.81941666675,-39.5833333333,7.50022266516e-11,21.5279166667,-11.4583333332,24.8264166666,7.29175,80.5555833333,65.97225,45.8335000002,-53.4720833332,63.5415833332
227.26,29.9603333333,4.1668333335,25.3967500001,33.1350833333,10.3175000001,32.9364583334,18.4525000001,66.4683333335,56.3490833334,42.5265648148,-7.53983333325,52.1825833333
227.64,35.6208333333,5.06541666675,24.183,25.6536666666,11.7647500001,27.7778333333,11.6012500001,59.6405833334,44.9346666668,32.3348333333,-1.79741666667,38.5621666666
228.01,45.2545833333,22.1065,37.1527500001,30.7871666667,22.2224166667,44.502375,29.62975,60.5324166666,50.34725,40.3676944444,18.75,45.7176666667
228.39,43.49825,23.7180833333,36.26375,30.1281666667,19.5055,38.095375,25.5494166667,52.8385833332,47.9854166667,37.7187592592,21.8864166667,42.4909166667
228.76,43.6273333333,23.5293333333,38.3051666667,30.1821666667,21.4985,37.1147916666,27.8010833334,49.2998333334,47.9693333333,36.0800185185,26.9608333333,40.1260833333
229.14,42.6714166667,19.7991666667,34.5154166667,27.4823333333,20.0945,35.5790833333,30.0236666666,43.1441666667,43.7353333333,34.7254814815,28.30975,35.9338333333
229.52,36.2918333333,16.1733333333,27.3669166667,21.5975833333,15.5325833333,28.4764583333,24.4081666667,32.5936666667,35.5028333333,28.0242222222,23.5206666667,29.93075
229.89,37.3518333333,18.7396666667,26.2265833333,21.7005,17.3434166667,28.722625,25.0421666667,31.3875,33.54475,28.4686203703,27.1150833334,31.0066666666
230.27,37.425,20.4955833333,26.5766666666,23.9864166667,19.8199166667,27.8152916667,25.338,32.1695833333,32.5826666667,29.4919166667,29.5420833333,30.6683333333
230.65,35.25075,19.80075,26.2905833333,21.3126666667,18.6578333333,25.4057083333,23.9675,29.7199166667,29.4249166667,28.6341574074,28.0235,28.3185833333
231.02,33.4693333333,19.0815833333,24.898,17.551,16.5646666667,23.0782916667,22.3809166667,28.4013333333,27.4830833333,27.4376203704,26.6665833334,25.61225
231.40,31.9210833333,16.9844166667,23.0578333333,14.58325,16.9490833333,20.7979583333,21.5395833333,26.3065833333,26.9773333333,27.2677222222,25.1765833333,24.4349166667
231.78,33.26425,17.3235833333,24.7925833333,16.2518333333,19.15625,21.4905833333,23.16725,25.7263333333,29.7028333333,28.9994814815,25.7605833333,26.17575
232.15,29.5976666667,13.5416666667,20.90525,12.7155,15.2298333333,17.4209583333,17.0258333333,20.22275,26.7241666666,25.8939722222,21.5516666667,21.8749166667
232.53,26.9381666666,7.59675,15.1163333333,5.93016666668,9.72875,12.5582083333,11.97675,13.6821666667,22.1705833333,21.3954907407,17.9845833333,16.1240833334
232.90,22.1235,1.692,6.599,-1.90366666667,3.59566666669,7.80449999999,4.27241666666,8.714,15.5245,14.1426018519,11.2520833333,9.26383333333
233.28,22.80925,5.41241666667,5.92783333334,-4.3385,2.87791666667,7.73183333333,3.00699999999,10.0516666667,13.8746666667,12.8962685185,8.24749999999,10.30925
233.66,25.7784166667,5.49458333334,7.28016666667,-5.12808333334,1.96875000002,8.21883333335,4.71608333334,10.85175,14.0109166667,13.7210092593,8.05858333334,11.12625
234.03,25.9409166667,8.78133333334,9.31900000001,-2.55375,5.06266666667,9.63279166666,5.95866666666,11.55925,17.8314166667,16.0593611111,8.64691666667,12.09675
234.41,27.4100833333,10.8660833333,12.9900833333,0.571916666685,7.108,12.2140833333,10.9476666667,14.093,20.75175,17.1251574074,9.47716666668,12.82675
234.78,28.6575833333,12.85825,13.4615833333,2.37541666668,8.40875000001,14.31,11.6138333333,15.7239166666,22.58675,18.1456018519,10.5203333333,16.252
235.16,27.9454166667,11.674,12.5000833333,2.98141666666,8.51291666667,13.4339583333,11.4585,14.7269166666,22.5575833333,17.2016203704,11.9611666667,16.59475
235.54,25.0000833333,8.22916666668,8.92366666667,0.486083333333,5.52083333333,10.9722916667,7.70841666666,11.3195,19.51375,13.1364722222,9.27083333332,13.5763333333
235.91,18.49525,4.60624999999,2.56683333333,-6.01266666667,-0.105333333333,5.87187499999,2.42625000001,6.15333333332,12.799,7.37994444446,3.76225,8.01683333332
236.29,21.502,7.85324999999,5.55541666667,-1.57741666667,3.22350000001,8.55629166666,6.61858333334,9.80808333332,15.0205833333,9.77003703705,7.51041666666,11.93425
236.66,28.6401666667,18.0505,15.7941666667,10.2284166667,12.75575,18.2159583333,16.5764166667,20.0661666667,23.49575,19.5514166666,15.7641666667,21.3295
237.04,29.3230833333,18.2025,18.1456666667,11.6893333333,13.7373333333,18.5153333333,17.63375,19.8806666667,25.2844166666,20.7968981481,15.7566666667,21.6723333333
237.41,26.85175,15.07525,16.7245,10.1561666667,11.3135,15.8420833333,15.3936666667,17.3900833333,24.3056666667,19.2739259259,15.0753333333,19.3576666667
237.79,24.3055833334,14.5278333333,15.5555833333,9.52783333334,10.2778333333,14.597125,14.27775,16.8610833333,23.02775,18.1697777778,15.0555833333,18.41675
238.17,23.4665,12.12375,14.2071666667,7.32058333333,8.42008333333,13.0351666667,12.5869166667,15.654,20.42825,15.8532777778,13.9468333333,16.956
238.54,21.6383333333,10.2541666667,11.0734166667,6.10150000001,8.64416666667,11.963125,9.096,13.6158333333,18.6441666667,14.6579259259,13.2205,15.9604166667
238.92,20.728,8.70266666667,11.5505833333,7.674,9.44091666667,11.4319583333,9.62558333333,12.55275,17.6424166666,14.8499537037,13.001,15.2953333333
239.29,18.0466666667,5.12208333334,8.99675000001,5.01600000001,7.32483333334,8.65175000001,5.44066666667,9.26224999999,15.7643333333,12.5354259259,9.20933333333,13.08375
239.67,19.553,7.49525,12.1043333333,7.3325,9.75316666666,10.5331666667,7.68158333334,11.8015,17.3416666667,14.7733425926,11.5224166667,15.29325
