wavelength,Back_SpoSimf,Belly_SpoSimf,Breast_SpoSimf,Crissum_SpoSimf,Crown_SpoSimf,DorTail_SpoSimf,Patch10_SpoSimf,Patch11_SpoSimf,Rump_SpoSimf,Throat_SpoSimf,WingTip_SpoSimf
187.53,70.9374479167,71.2499583334,86.1903333333,85.4763333333,101.904833333,106.785666667,72.7379999999,81.9046666667,87.3808888889,103.452333333,70.1190833334
187.91,64.9971145834,65.0114166667,77.3972499999,79.7945,94.9771666668,96.8036666667,66.5525,79.3380000001,80.6696944444,99.0868333332,68.1505833333
188.29,59.1398125,51.2991666667,71.2365833332,69.3548333333,81.2725,85.932,59.5879166667,69.4444166667,72.8195972223,83.8710833334,61.5591666668
188.67,61.0491041666,54.3154166667,80.4564166667,77.9760833333,84.3254166668,94.6427499998,63.1944166667,76.1905,79.3153333332,87.8966666666,63.3927499999
189.05,60.4288645833,52.402,75.8825833334,79.1177499999,84.3136666667,94.3136666666,57.25475,74.60775,74.6078055557,86.9607500001,64.5097499999
189.43,59.2295,50.89625,74.10375,77.0609166667,80.4659166666,86.7383333333,54.8389166667,70.6092500001,71.9235833333,82.4374166666,66.6665833333
189.81,55.87634375,48.369625,73.8224166666,74.6375833333,74.4566666666,85.0544166668,56.0689166667,65.6704166666,70.9842222222,76.8116666667,63.5868333333
190.19,54.6284375,46.9695833333,74.9999999999,76.1364166667,75.6629999999,85.3220833333,57.85975,66.5720833333,75.5523611111,77.4622500001,61.4581666667
190.57,50.3473229167,41.24575,69.6969166667,66.33,72.0538333332,79.6297500001,54.798,59.0908333334,70.7772083333,72.0538333333,61.7845
190.95,45.4738645833,41.8878333333,65.7818333334,61.50425,65.9291666667,72.8613333334,54.646,56.6373333333,65.413,68.5104166667,58.9235
191.33,42.7174479167,39.094125,58.1159166666,58.768,63.9131666666,70.7245833333,50.36225,51.3043333333,64.6739166667,65.7245833333,56.232
191.71,37.4770833334,36.0804166667,56.5935,61.72175,64.7435833334,72.9854166666,49.817,47.8021666667,65.2930000001,68.1318333333,56.6851666667
192.09,18.6029479167,27.4509166666,48.4313333334,55.098,52.9413333333,59.50975,36.86275,35.3921666667,54.6894444444,56.3726666667,42.5490833333
192.47,13.7648958333,29.5635,50.9920833334,49.6031666667,46.5278333333,56.0515833333,31.0515,31.4483333333,50.3636527778,56.746,35.8135833333
192.85,11.9329270833,31.2500833333,50.648,45.9258333333,43.6110833333,52.1296666666,29.1666666667,28.1481666667,44.5988194445,58.70375,35.0925833333
193.23,11.3782291667,33.608125,51.9231666667,47.34425,41.3919166667,50.7325,32.50925,28.2965833333,46.3980416667,60.2565833333,31.868
193.61,12.3379270833,37.175875,52.4999166667,44.722,37.8703333333,52.4075833333,31.0184166667,30.83325,46.6203333333,62.6851666667,28.9815833334
193.99,16.6769166667,44.117625,59.88575,50.6535,40.768,55.1470833333,36.35625,40.0328333333,52.0969305556,66.5034166666,34.8040833333
