wavelength,Back_SalOref,Belly_SalOref,Breast_SalOref,Crissum_SalOref,Crown_SalOref,DorTail_SalOref,Patch10_SalOref,Patch11_SalOref,Rump_SalOref,Throat_SalOref,WingTip_SalOref
365.29,8.87053333333,12.8824,18.0828666667,6.01366666667,8.11496666667,7.03886666667,20.7373333333,4.76073333333,9.44138666667,28.7992666667,9.10566666666
365.66,8.8366,12.8917666667,18.0914333333,5.98506666667,8.01423333333,7.03453333333,20.8281333333,4.77546666667,9.42173333334,28.8172,9.07183333334
366.02,8.91333333334,12.9720666667,18.1224,6.0336,8.0059,7.10066666667,20.9134,4.8118,9.43212,28.9308,9.17870000001
366.38,8.87299999999,12.9952333333,18.0939333333,5.97193333334,7.856,7.0368,20.9254666667,4.81073333333,9.34473333334,28.8812,9.12636666667
366.75,8.88913333333,13.0523333333,18.1612333333,5.9968,7.87553333333,6.96673333333,20.8974666667,4.76693333333,9.34316,28.9682666667,9.1224
367.11,8.89679999999,13.0899,18.2383333333,5.96113333333,7.8506,6.90113333333,20.8619333334,4.7398,9.30566666667,28.9511333333,9.1547
367.47,8.88973333334,13.0860666667,18.3034333333,5.92813333333,7.8903,6.92226666667,20.9312666667,4.71106666667,9.24762666667,29.0362666667,9.12016666667
367.84,8.92740000001,13.1149333334,18.3057666667,5.95566666667,7.87676666667,6.86726666667,20.8956,4.67473333333,9.25878666667,29.1436666667,9.07699999999
368.20,9.02673333333,13.2371,18.3964666667,6.0248,7.97496666667,6.9076,21.0343333333,4.7284,9.35464,29.2772666667,9.15023333333
368.56,9.062,13.2874666667,18.4206,5.969,7.99046666667,6.938,21.1632666667,4.7368,9.33258666667,29.3788,9.10579999999
368.93,9.01200000001,13.2908,18.5188,5.99553333333,7.986,6.89393333333,21.138,4.69906666667,9.26454666666,29.3778666667,9.11343333333
369.29,8.99440000001,13.2636,18.6551666667,6.04053333333,8.03413333333,6.87226666667,21.2796666667,4.6598,9.23956000001,29.5391333333,9.18233333333
369.65,8.86839999999,13.1775666667,18.6262666667,5.9344,8.04666666666,6.75733333333,21.1496666667,4.51913333333,9.16232,29.4902,9.07973333333
370.01,8.79399999999,13.1959,18.5632666667,5.8916,8.00323333333,6.67613333333,21.0651333333,4.46826666667,9.14057333334,29.4100666667,8.95690000001
370.38,8.89359999999,13.3645333333,18.7575333333,5.99573333333,8.1569,6.79313333333,21.2338666667,4.5458,9.32189333333,29.6339333333,9.0186
370.74,8.98133333332,13.4197666667,18.9094666667,6.0802,8.2345,6.92413333333,21.3298666667,4.6496,9.38625333333,29.7853333333,9.15289999999
371.10,8.96593333333,13.5144,18.9015666667,6.0924,8.22633333333,6.94953333333,21.3604666667,4.62033333333,9.38501333333,29.9034666667,9.0798
371.46,9.05346666667,13.6524,18.9959,6.1676,8.2284,7.04633333333,21.4558,4.67233333333,9.43520000001,29.9759333333,9.16713333334
371.83,9.01280000001,13.6593666667,19.0498666667,6.10406666667,8.20336666667,7.0158,21.5196666667,4.61873333333,9.42069333333,30.0217333333,9.09166666667
372.19,9.03886666665,13.7379,19.1599666667,6.1024,8.2149,7.0064,21.6001333333,4.6372,9.45167999999,30.1644,9.06683333334
372.55,9.14753333335,13.8465333333,19.3096666667,6.2282,8.2904,7.1216,21.7525333333,4.759,9.60885333333,30.262,9.20930000001
372.92,9.09353333332,13.9084666667,19.2979333333,6.19106666667,8.22643333333,7.14146666667,21.7261333333,4.7464,9.60565333334,30.3188666667,9.15280000001
373.28,8.99340000001,13.9341666667,19.2113666667,6.03066666667,8.13843333333,6.99473333333,21.6215333333,4.68526666667,9.54365333334,30.2348,9.02333333333
373.64,8.99926666666,14.0037,19.2530666667,6.01466666667,8.08526666667,6.98053333333,21.7412666667,4.69026666667,9.55957333334,30.3902,9.03986666666
374.00,9.06819999999,14.0749,19.4342,6.0432,8.13296666667,7.04713333333,21.8732,4.75513333333,9.62950666666,30.5908,9.11866666667
374.37,9.19273333333,14.1572,19.5479333333,6.1996,8.20726666667,7.1574,22.0200666667,4.83713333333,9.69673333333,30.722,9.22263333333
374.73,9.06573333332,14.0308666666,19.4177333334,5.97586666667,8.0147,6.97606666667,21.88,4.66606666667,9.52303999999,30.5726,8.99256666667
375.09,8.92333333335,13.8220333333,19.3239,5.8422,7.84096666667,6.80073333333,21.8082666667,4.53773333333,9.36568000001,30.531,8.80756666666
375.45,8.78353333333,13.7343666667,19.3333666667,5.75393333333,7.75003333333,6.62153333333,21.843,4.4336,9.26914666666,30.5988,8.7015
375.81,8.87266666666,13.8367,19.4609,5.90106666667,7.8237,6.7106,21.8623333333,4.5308,9.36190666667,30.6638666667,8.82553333333
376.18,8.71893333334,13.6908,19.3343666667,5.78186666667,7.67533333333,6.58306666667,21.7908666667,4.3846,9.20606666667,30.6303333334,8.72866666667
376.54,8.50406666667,13.5316333333,19.1899,5.5436,7.41616666667,6.33413333333,21.6522,4.12513333333,8.94029333333,30.5434,8.48720000001
376.90,8.50793333333,13.4811,19.2338,5.507,7.36223333333,6.282,21.7004,4.1098,8.93453333334,30.5540666667,8.47866666666
377.26,8.58993333334,13.4911333333,19.3381333333,5.644,7.3937,6.36273333333,21.8394666667,4.16893333333,8.95870666667,30.6914,8.50826666667
377.63,8.59993333333,13.4928666667,19.4055666667,5.6488,7.39023333333,6.3326,21.8805333333,4.1314,8.90678666666,30.7367333333,8.47273333334
377.99,8.72006666666,13.5834,19.5508333333,5.72606666667,7.50866666667,6.39626666667,22.0524,4.1826,8.95493333333,30.8059333333,8.59216666666
378.35,8.70226666667,13.6101333333,19.5899,5.62293333333,7.51693333333,6.353,22.0914666667,4.139,8.91884000001,30.8956,8.56769999999
378.71,8.82180000001,13.7962333333,19.8165666667,5.78973333333,7.68563333333,6.48333333333,22.3523333333,4.26293333333,9.13278666666,31.0823333333,8.73896666667
379.07,8.86213333333,13.9382666667,19.9972333333,5.81673333333,7.70856666667,6.51813333333,22.5104666667,4.24306666667,9.15488,31.2068666667,8.81266666667
379.44,8.99799999999,14.0373666667,20.1236333333,5.89053333333,7.79566666667,6.63146666667,22.5752666667,4.33353333333,9.25911999999,31.2790666667,8.89913333334
379.80,8.9428,14.0531666667,20.1809,5.82473333333,7.76306666667,6.5458,22.685,4.2954,9.17924000001,31.4176,8.76519999999
380.16,9.12673333333,14.286,20.4175333333,6.02386666667,7.9944,6.73166666667,22.9226,4.49266666667,9.36541333333,31.6570666667,8.89119999999
380.52,9.249,14.3940333333,20.6102333333,6.15033333333,8.10406666667,6.84826666667,23.0580666667,4.645,9.51538666666,31.8170666667,9.03366666667
380.88,9.32346666667,14.5339666666,20.7434,6.19613333333,8.1823,6.9114,23.1597333333,4.66733333333,9.54525333333,31.9728,9.03403333334
381.24,9.31033333335,14.5873666667,20.7814333333,6.20073333334,8.2085,6.90546666667,23.1622666667,4.652,9.59637333333,32.1179333333,9.08013333333
381.61,9.41866666665,14.8005666667,20.9255666667,6.34,8.32476666667,7.00033333333,23.3028,4.75193333333,9.74869333333,32.2655333333,9.24509999999
381.97,9.2734,14.7086,20.8967333333,6.18653333333,8.18606666667,6.8312,23.1873333334,4.5988,9.65198666667,32.2981333333,9.08520000001
382.33,9.28879999999,14.7250333333,20.9492333333,6.2062,8.15423333333,6.79306666667,23.2582666667,4.601,9.67981333333,32.4048666667,9.0593
382.69,9.20053333332,14.7318333333,20.9233666667,6.1326,8.07066666667,6.69513333333,23.2526666667,4.4888,9.56233333333,32.4643333333,8.95270000001
383.05,9.39466666667,14.8464333333,21.0970666667,6.33086666667,8.28683333333,6.8714,23.4172666667,4.69873333333,9.77417333334,32.6388666667,9.10263333334
383.41,9.45620000001,14.9582,21.2239,6.39706666667,8.3706,6.9296,23.5849333333,4.78353333333,9.85850666667,32.7652,9.12143333333
