wavelength,Back_IncPulm,Belly_IncPulm,Breast_IncPulm,Crissum_IncPulm,Crown_IncPulm,DorTail_IncPulm,Patch10_IncPulm,Patch11_IncPulm,Rump_IncPulm,Throat_IncPulm,WingTip_IncPulm
185.25,-859.999999999,-944.444399999,-640.740666667,-631.111066667,-463.703733333,-593.333266667,-710.370466667,-682.963,-974.074,-844.444333333,-696.296333333
185.63,-7893.33333333,-8713.33333333,-5946.66666667,-5733.33333333,-4326.66666667,-5139.99999999,-6506.66666667,-6526.66666668,-8933.33333333,-7866.66666667,-6499.99999999
186.01,1525.33333333,1716.0,1134.66666667,1057.33333333,758.666666666,911.999999999,1174.66666667,1192.0,1708.0,1505.33333333,1194.66666667
186.39,517.142866667,614.761866667,364.761933333,345.714266667,221.4286,296.6666,364.2858,400.952466667,589.047599999,520.000133333,389.047533333
186.77,294.4,348.8,207.733333333,201.066666667,130.133333333,169.866666667,194.666666667,233.866666667,327.733333333,278.933333333,211.466666667
187.15,197.2358,231.056933333,138.5366,143.252066667,94.3089333334,114.9594,125.528533333,149.431,208.292666667,167.804933333,140.4878
187.53,153.441,174.516066666,113.763533333,122.473133333,79.7848666667,96.8817333333,104.086,115.591466667,156.666733333,122.3656,103.870866667
187.91,123.409066667,136.363666667,97.0454000001,102.575866667,67.9547333333,81.9696,88.1059333334,94.4697333332,124.091,93.5606666666,85.9847333334
188.29,113.5238,122.4762,91.8094666667,96.9524,63.5556000001,75.5554666666,81.7142666666,86.4761999999,113.460266667,81.1428666667,81.4604000001
188.67,109.559733333,118.3018,86.6665333333,92.5157333334,57.2955333334,71.1321333333,74.1509333333,81.7609999999,110.566133333,73.5220666667,74.9056666666
189.05,102.8888,112.5556,85.3888666667,88.6667333333,57.3889333332,68.8888666667,66.1110666667,77.2223333333,103.0,70.6665999999,70.7222666667
189.43,98.3481333334,110.7964,84.0118666667,83.7757333334,53.0974666667,63.1267333334,60.4719333333,72.9204000001,100.944,64.7197333334,65.8996666667
189.81,100.606066667,114.8486,88.9697333335,86.3636666665,55.8787333333,67.8788000001,59.3940000001,70.2424666666,105.2726,65.1515333333,63.8182000001
190.19,116.597333333,133.75,106.388866667,103.125133333,72.6388666667,83.4722666667,69.0973333333,83.8193333333,124.861133333,76.1805999999,73.5417333334
190.57,140.6222,158.666733333,130.044466667,128.8888,87.2889333333,101.1556,79.9999999999,100.8888,150.4,85.9556000001,85.9555999999
190.95,164.555533333,187.0,159.000066667,152.444266667,99.5555333334,112.222333333,84.0001333333,115.777866667,172.6668,101.111066667,98.1112666668
191.33,176.666666667,206.794933333,174.3588,167.692333333,104.487133333,117.564066667,86.7948666667,131.5386,192.051333333,113.076866667,99.1026
191.71,218.198266667,268.108066667,220.540666667,208.468466667,123.063133333,144.3244,92.2522666667,165.765733333,243.963933333,139.819666667,126.126066667
192.09,373.3334,487.0174,387.368333333,375.087733333,210.5264,245.965,141.052733333,290.526133333,426.666733333,245.965,211.578866667
192.47,843.809533333,1191.42846667,871.428533333,885.714266666,467.619066665,530.476133333,234.285733333,642.857133334,963.809666667,557.142866668,406.666666667
192.85,490.555600001,693.888933333,517.777799999,533.333266667,288.3334,318.333266667,138.888933333,384.444466667,550.000000001,332.7778,245.555533333
193.23,435.151533334,639.393933333,460.606066667,507.878866666,220.606133333,270.909066667,61.2122,329.090866667,483.636333333,238.181933333,164.242533333
193.61,210.617333333,276.049333333,190.8642,228.1482,103.703666667,127.407466667,26.1728666666,142.716066667,200.4938,103.209933333,77.2840666668
193.99,178.924733333,227.0966,147.956866667,193.7636,83.6558666669,103.440933333,11.3978666668,118.494666667,158.279533333,74.6237999999,58.7097333333
194.37,115.555666667,140.888933333,92.1482000001,125.1852,37.7778666667,60.1481333333,1.48153333328,77.3333333335,91.9999333333,42.0741999999,30.3703999999
194.75,93.1184,119.2474,81.2903333333,102.6882,40.6451333333,54.7311333334,10.2151333333,73.0106000001,79.4624666667,45.8064666666,36.3440666667
195.13,79.9166666667,104.333333333,69.6666666666,92.1666666667,38.2500000001,53.1666666666,18.0833333334,68.5833333333,72.0833333333,44.8333333333,39.0
195.51,78.9055333334,103.781066667,71.6417999998,91.8409999999,26.8657333333,47.0646000001,4.4776,63.2836000001,62.8857333334,35.5224666666,28.4577333334
195.89,69.9542666666,91.9634,65.1142666668,85.0229999999,24.1096,38.6301333333,1.73506666666,61.4612000001,57.8995333332,31.1415333333,24.3835333334
196.27,59.3573333332,75.1004000001,55.6624666667,73.1727333333,19.0362,32.1284666667,-4.17673333334,53.0924666667,50.9237333335,27.3895333333,18.8755333333
196.65,54.7566000001,71.2360666668,54.3819333334,69.7379333333,14.9064000001,30.337,-6.44206666668,51.4605999999,49.9626,26.7416000001,18.5017333333
197.03,56.0783999999,77.3334666666,59.6078,77.7254666667,14.9804,32.4707999999,-6.43140000008,58.5882666667,55.6076666667,29.4117333333,24.0000666667
197.40,53.8164000001,83.1884666667,56.9082666667,85.0242666665,6.2800666666,20.8696000001,-22.6087333333,63.3816666666,55.3623333333,23.1883333333,16.5218000001
197.78,56.4366666667,94.7125333333,63.3333333333,97.4711333332,-0.34493333326,18.7355999999,-32.2987999999,72.2988000001,60.8045333333,23.4482000001,20.5747333333
198.16,49.5959999999,84.1414666667,58.9899333333,87.9797333335,3.63633333334,13.6364666665,-26.4646,68.7878666665,54.9494666667,25.3534666666,22.8283333332
198.54,52.9002666667,83.2900666666,63.7228000001,90.2164666667,14.7185999999,21.2986666665,-12.6407333333,68.1386000001,57.8354666667,32.2078,30.9090666667
198.92,52.1024666667,81.3332000001,58.6668,91.6923333333,2.66673333334,11.5897333333,-26.2563333333,66.8717333332,49.0254666665,19.1794666666,22.0513333333
199.30,36.3887999999,70.1389999999,41.8055999999,88.8890666667,-30.8333999999,-18.6109999999,-69.0277333333,52.9167333331,27.4999999999,-7.3610666666,-6.52786666674
199.68,47.9013999999,77.037,47.2840000001,93.9506,-13.3332666667,-1.23460000006,-48.8888666669,64.8146666665,39.0124,7.90113333326,11.9753999999
200.06,52.4822000001,79.2907999999,45.5319333333,92.9078666665,-26.3830666667,-3.2625333334,-65.6737333333,64.5389999999,31.3474666667,2.12759999988,-3.12053333326
200.44,53.6937333335,94.0542,43.7838666666,107.387466667,-47.2073333334,-18.3784666669,-90.0901333332,65.9460000001,17.2972666665,-12.9730666666,-31.711733333
200.82,91.3580666666,135.3086,75.3086,149.1358,-43.2097999998,-4.44433333346,-101.234466667,97.0370666668,38.2715333334,-8.6421333336,-29.3826666664
201.19,118.888733333,161.4816,76.2963333334,181.8518,-95.9258666668,-23.7036,-189.2592,85.1852666666,29.2594666666,-47.4074,-75.1851333334
201.57,85.0980666666,98.8236000002,61.3724666667,102.9412,-36.4705999997,8.43139999986,-76.6666666668,56.2746,35.0979333334,-8.43133333314,-19.4118666668
201.95,88.8889333332,100.888933333,66.889,112.444466667,-34.8889333333,15.1112,-99.7778000002,64.4444000002,30.0001333334,-16.2222666668,-34.6667333332
202.33,81.2122,116.363533334,23.6362666666,172.121066667,-250.909066667,-108.484866667,-407.272800001,30.3029333334,-103.030333333,-205.454533333,-228.484866667
202.71,213.333400001,-35.5555333326,448.888933334,-17.7776666666,1313.33333333,895.555600001,1922.2222,308.888866668,853.333266668,1266.6668,1351.1112
203.09,-48.5714666674,76.1906000014,-123.809533334,43.809466668,-488.571466667,-304.761866666,-791.428466666,-125.714133334,-304.761866667,-518.095266667,-568.571533335
203.47,33.0554666666,79.7222666668,18.8889333332,51.3888,-90.5555333333,-34.7220666666,-179.444466667,3.8889333334,-29.4444,-109.722266667,-120.000066667
203.85,-5.7778,88.4445333332,-11.9999999998,20.4442,-176.444466667,-112.0,-311.111133333,-56.0000000002,-84.0000666666,-216.444533333,-245.3334
204.22,9.6296666666,68.6420666667,12.5926000002,23.7037333333,-83.4568,-52.8394666666,-148.1482,-19.5061999998,-31.3581333332,-109.876466667,-105.1852
204.60,-15.1514666667,63.3333999999,-4.5454666668,-2.42413333326,-123.636466667,-93.0303333334,-212.4242,-41.2122000002,-57.5759333332,-161.8182,-120.909066667
204.98,-37.5999999999,37.0666666668,-32.0000000002,-14.1333333334,-134.933333333,-104.533333334,-210.133333333,-43.4666666666,-77.8666666664,-156.0,-126.4
205.36,-32.5396666666,19.6825999998,-27.143,-12.2223333333,-82.5398,-63.3333333335,-123.9682,-24.1270000001,-54.7619333335,-95.0794000001,-81.4285333332
205.74,-30.3401333334,22.0408000001,-21.4965333335,-4.76186666673,-64.4898666667,-48.9796666667,-107.619066667,-15.9184666667,-47.8912666665,-77.4148666667,-60.5442000002
206.12,-72.6315333335,-5.43859999994,-62.4561999999,-43.6842666667,-122.105333333,-108.245666667,-169.1228,-62.1052666668,-92.4561333333,-126.315733333,-112.6318
206.50,-71.0000000001,-4.5,-61.6666666667,-41.6666666667,-122.5,-107.666666667,-169.5,-68.5000000002,-82.6666666669,-121.333333333,-115.166666666
206.87,-199.0,-78.3333333334,-194.0,-135.333333333,-307.333333333,-268.0,-415.333333333,-206.666666667,-227.333333333,-302.0,-286.0
207.25,-334.2222,-171.5556,-311.555599999,-235.555666667,-473.333266666,-421.777733333,-607.555533333,-342.222133333,-371.999933333,-451.555533333,-416.888866667
207.63,-366.666666667,-194.2858,-323.333266667,-263.333333333,-503.8096,-467.619066667,-660.952399999,-363.809533333,-406.190466667,-476.666666667,-440.476133334
208.01,-210.7246,-116.232,-184.637733333,-136.5218,-290.724666667,-260.869666667,-388.116133333,-205.5072,-237.970933333,-275.3624,-240.289933333
208.39,-394.285799999,-251.428533333,-345.714333333,-253.809533333,-499.999999999,-451.428666666,-678.571333333,-369.047666667,-435.238200001,-493.3334,-433.809533334
208.77,-446.111133334,-282.222266667,-398.888933334,-257.2222,-560.555466667,-480.555600001,-740.555600001,-401.666533333,-486.6668,-548.888866666,-493.333466666
209.14,-243.333333333,-149.0,-219.333333333,-141.0,-318.0,-269.0,-418.333333333,-229.0,-257.333333333,-319.0,-275.666666667
209.52,-688.333333333,-450.000000001,-605.833333333,-406.666666666,-866.666666666,-760.833333332,-1112.5,-665.833333335,-678.333333334,-889.166666668,-743.333333332
209.90,1062.2222,772.222200001,967.777733335,710.000000001,1329.99993333,1180.0,1621.11106667,1081.11113333,1017.77773333,1337.77786667,1213.33326667
210.28,-622.222200001,-428.148133334,-559.999933333,-371.8518,-796.296333334,-661.481399999,-965.185133335,-586.6666,-572.592533334,-809.629533333,-714.814800001
210.66,-572.592666667,-366.666533333,-511.851866667,-339.259333334,-714.074066667,-554.073866667,-894.074266665,-488.148133335,-508.148066667,-745.185066667,-652.592600001
211.03,-159.4872,-79.2306666667,-136.1538,-78.9743333333,-211.025666667,-149.230733334,-262.8204,-137.435866667,-133.333266667,-221.0256,-176.1538
211.41,-102.8282,-33.7374666669,-87.8786666666,-39.5961333335,-146.262466667,-90.3030000001,-184.646466667,-83.2323333332,-75.9595999999,-148.2828,-119.798066667
211.79,-189.8412,-74.2857999999,-168.571533333,-73.3333333333,-253.333266667,-162.8572,-315.555666667,-149.841133333,-147.9366,-261.269933333,-211.746
212.17,-498.518533333,-191.851866667,-461.481466667,-223.703733334,-614.814800001,-412.592533332,-805.185066665,-358.518533333,-371.1112,-670.3704,-571.851866666
212.55,-717.142999999,-327.618933332,-686.666799999,-340.952333333,-826.666666666,-628.571400001,-1145.71426667,-547.619066669,-529.5238,-928.571466665,-841.904733332
212.92,-254.386,-128.420933333,-237.894733333,-137.5438,-290.175466667,-248.421133333,-440.3508,-195.087733333,-190.8772,-348.0702,-318.245533333
213.30,-684.166666667,-401.666666666,-603.333333333,-398.333333333,-689.999999999,-653.333333334,-1103.33333333,-512.500000001,-495.0,-879.166666667,-826.666666667
213.68,-1504.44433333,-751.111066665,-1319.99993333,-831.111200001,-1471.11113333,-1462.2224,-2691.11106667,-1062.22213333,-1142.2222,-1995.55553333,-1968.8888
214.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214.44,-403.333333333,-110.833333333,-342.500000001,-129.166666667,-396.666666666,-386.666666667,-866.666666667,-277.500000001,-345.833333334,-627.5,-605.833333333
214.81,-108.333333333,1.3888666664,-71.9443999999,-1.3888666666,-93.0554666667,-98.8889333333,-256.944466667,-69.9999333333,-80.8334000001,-185.555533333,-172.222266667
215.19,-69.6970000001,4.64640000006,-44.8483999999,20.8081333333,-47.6766666667,-58.9898666668,-172.727266667,-34.7473999999,-46.0606000001,-125.6566,-120.0
215.57,-105.3846,-20.0001333334,-79.2307333333,14.3588666667,-62.8205333332,-102.820466667,-233.846266667,-59.2308000001,-83.0769333333,-175.128133333,-174.6154
215.95,-223.333333333,-92.0833333334,-190.416666667,-52.9166666665,-142.5,-225.0,-434.166666667,-161.25,-185.416666667,-340.0,-345.833333333
216.32,-115.333333333,-46.4444666665,-99.3333333333,-32.6667333334,-87.3332666667,-129.555533333,-237.777733333,-91.3333333332,-103.333266667,-181.7776,-184.888866667
216.70,-229.019733333,-89.4116666665,-201.176533333,-80.3922666666,-195.6862,-263.529466667,-452.549,-181.9608,-200.7844,-338.8236,-347.451
217.08,-1555.55553333,-660.0,-1353.33333333,-573.333333331,-1386.6666,-1633.33333333,-2762.22226667,-1260.0,-1348.88893333,-2133.33346667,-2097.77773333
217.46,-577.499999999,-240.833333333,-486.666666666,-197.499999999,-549.166666667,-609.166666667,-1016.66666667,-474.999999999,-549.166666667,-816.666666668,-717.500000001
217.83,-122.941066667,-45.4901333333,-89.6079333334,-37.2548,-114.706,-125.294066667,-218.627533333,-102.1568,-115.098066667,-179.6078,-149.4118
218.21,-93.0303333333,-27.2727333332,-58.4848666667,-20.6061999999,-74.5454666665,-83.9392666666,-160.303133333,-66.9697333332,-73.7878000001,-126.818133333,-100.303066667
218.59,-93.0158,-30.1587333333,-62.8571333333,-23.1747333334,-76.1905333335,-83.6506666667,-159.841266667,-66.6666666665,-73.9682666667,-129.6826,-103.968266667
218.97,-214.545266667,-115.757533333,-172.4242,-105.151666667,-202.4242,-222.121266667,-337.8788,-178.484933333,-199.697,-286.0606,-259.394
219.34,2946.66666667,1926.66666667,2346.66666667,1926.66666667,2936.66666667,3083.33333333,4210.0,2666.66666667,2826.66666667,3683.33333333,3663.33333333
219.72,1396.66666667,900.000000001,1085.0,975.0,1440.0,1503.33333333,2043.33333333,1278.33333333,1290.0,1770.0,1796.66666667
220.10,5066.66666666,3313.33333333,3733.33333333,3153.33333333,5273.33333333,5606.66666667,7446.66666667,4566.66666667,4633.33333333,6826.66666667,6680.0
220.47,4913.33333333,3473.33333333,3353.33333333,2920.0,4873.33333334,5300.0,6993.33333333,4626.66666667,4413.33333333,6853.33333334,6860.0
220.85,-177.666666667,-103.666666667,-93.6666666667,-79.3333333333,-170.333333333,-175.0,-265.666666667,-167.333333333,-152.333333333,-282.333333333,-271.333333333
221.23,-77.4999999999,-36.2499999997,-37.5,-34.375,-80.4166666666,-81.6666666666,-136.041666667,-83.3333333333,-61.8750000001,-150.0,-147.5
221.61,-60.3703999998,-26.1112000001,-39.6296000001,-39.0741999999,-68.7038000001,-70.1849999999,-117.777733333,-74.8148666666,-49.0740666668,-128.333333333,-137.777733333
221.98,-106.133333333,-59.1999999999,-89.6,-74.4000000001,-124.533333333,-119.466666667,-189.066666667,-131.2,-89.8666666667,-215.2,-228.8
222.36,-52.9031999998,-21.5054666665,-51.8278666666,-41.7204666666,-69.8924666668,-70.1075333333,-123.440933333,-80.6452000001,-51.3978666667,-147.526733333,-163.2258
222.74,-51.1110666666,-16.7522666667,-42.3930666665,-35.7265333334,-56.0684666666,-53.6751333334,-103.5898,-64.9571999999,-34.0171333332,-124.102666666,-134.5298
223.11,-43.8096666666,-13.0158666667,-32.0635999999,-27.3016666667,-46.8253999999,-37.7776666667,-95.7143333334,-55.3968,-18.2539333332,-115.238133333,-115.555533333
223.49,-17.5163333335,9.80386666666,-13.3333999999,-6.01313333334,-22.8757333333,-16.732,-68.4965333335,-27.1895333333,1.6993333332,-78.1699333334,-69.0195999999
223.87,-21.3580666667,6.41973333326,-13.3332666667,-6.79006666666,-26.5433333334,-9.87666666674,-67.5308666667,-28.6419333334,-4.44440000012,-78.6419333334,-69.0122666665
224.24,-2.3744666666,20.7305999999,3.19633333338,9.95426666674,-9.40633333312,6.8492,-41.3698,-10.5024,8.67566666666,-42.0091333335,-37.0775333335
224.62,8.44446666668,28.7998666667,11.5555333334,16.4445333334,-0.88886666666,15.4666666667,-33.4222,-0.35553333332,13.8668000001,-31.1110666667,-22.4000666668
225.00,12.6748,24.1975333333,13.9917333333,15.5554666666,0.74073333328,13.3333333333,-29.8764000001,2.79833333334,11.1111333333,-26.0082666667,-18.4362000001
225.38,8.0658,16.4609333334,9.30033333332,11.111,-1.06986666668,7.90133333336,-31.7695333333,-1.2346,3.9506,-28.642,-24.5266
225.75,9.86386666668,19.3878,11.8367333334,18.2312666667,5.10206666666,12.2448,-20.1360666667,7.95906666666,8.29926666664,-17.8231333333,-15.9184666667
226.13,15.7008,27.1650666667,17.5701333333,24.9843333333,13.894,17.0716,-10.9657333333,19.5015333333,16.5730666666,-6.47973333332,-6.16813333332
226.51,7.2628,18.7534666667,9.86453333334,16.9648,3.7398,9.26826666668,-15.3388,11.5448666667,8.99740000002,-9.53926666666,-9.97279999998
226.88,11.1904666666,22.1428666667,12.9524666667,21.0475333333,10.1903333334,13.0476666667,-9.9048,16.9523333333,11.1428666666,-3.19046666666,-1.28566666666
227.26,10.8656,18.7108666667,10.7918666667,19.9632666667,9.024,12.6704,-5.00933333334,16.9061333333,9.02386666666,-0.99446666666,3.53593333332
227.64,8.58406666668,15.1917333333,8.76113333332,16.2242,8.0236,12.3304666667,-3.98233333332,14.8377333334,8.08253333334,-0.35400000002,3.39226666666
228.01,8.63626666666,14.394,7.70206666666,14.2424,7.29786666668,10.7323333333,-2.22220000002,15.5808666667,8.13140000002,0.95960000002,5.37879999997
228.39,7.209,12.5424,5.8982,10.9604666667,6.12426666668,10.0339333333,-1.64966666666,15.4576666667,6.44086666666,0.1808,4.13553333333
228.76,7.45946666668,12.3984,6.0162,10.9146,6.82920000002,10.2847333333,-0.12193333334,15.874,7.31699999998,1.68693333333,5.56906666667
229.14,7.6432,12.5258666667,6.14086666668,10.5353333333,7.71833333336,10.1595333333,0.99526666666,16.169,7.75586666666,2.25360000001,5.9154
229.52,10.4478666667,15.0580666667,9.70153333333,12.9684666667,9.55226666667,12.9187333333,4.12953333335,19.0548666667,9.91700000001,5.19059999999,9.15426666668
229.89,11.2857333333,15.9048666667,10.8412,12.4604,10.0952,13.9047333333,4.66666666665,19.4285333333,10.4285333333,6.07933333333,10.0953333333
230.27,11.1361333333,14.6426,10.6696666667,11.8134,9.1348,14.2062,5.23700000001,18.6305333333,10.158,6.18513333334,10.3988
230.65,10.7408,13.7481333333,10.7702,11.7185333333,9.14079999999,14.2074,5.52586666667,18.9480666667,10.3406666667,5.91113333333,10.0592666667
231.02,8.17153333333,10.79,7.94573333335,8.2016,5.94420000002,11.5426,3.53666666667,15.9969333333,7.82546666668,3.98786666666,6.93753333335
231.40,9.65993333333,12.6682666667,9.87153333333,8.72266666668,7.80053333332,13.1216666667,4.91306666666,17.4603333333,9.53893333334,6.37933333333,7.51326666667
231.78,11.9172,14.0971333333,12.0287333333,9.67366666666,9.14859999999,14.2084666667,6.68253333333,18.9498666667,10.4852,7.81226666667,8.00313333333
232.15,12.6306666667,14.7384666667,13.2188666667,10.4248,9.18300000001,15.1962,7.7778,18.5457333333,11.4377333334,8.36606666667,8.52953333333
232.53,14.6665333333,16.1012,15.46,12.3038,10.8524666667,16.979,9.62026666667,19.7298666667,13.9578,9.90720000001,10.4135333333
232.90,13.556,15.7326,14.3273333333,11.3796666667,10.0257333333,16.4695333333,9.25446666665,18.8003333333,13.5047333333,8.70613333333,8.36326666667
233.28,13.0032666667,15.8252666667,13.8118666667,11.2211333333,9.76899999999,16.2211333333,9.4884,18.0527333333,13.5975333333,8.41586666667,8.58079999999
233.66,11.6964,15.0042666667,12.0715333333,10.2813333333,8.90013333333,14.8507333333,8.06479999999,16.4876666667,13.1968666667,7.46806666666,7.07586666667
234.03,12.7966666667,15.7235333333,12.8942666667,12.5528,10.2764,15.0568666667,9.98373333333,16.4715333333,13.7236,9.31706666667,8.40653333332
234.41,10.9950666667,14.461,11.4427333333,11.3102,9.1376,12.7528666667,8.17566666667,15.3399333333,11.5424,7.47926666667,6.31833333333
234.78,10.749,14.6995333333,11.0616666667,10.2057333333,8.42786666667,12.1483333333,7.42386666667,14.4033333333,10.4526666667,6.99593333333,5.92593333334
235.16,10.7425333333,14.3443333334,11.1532,10.3950666667,8.08846666666,12.3854666667,7.88306666667,14.1864,10.4106666666,5.84513333333,6.5402
235.54,9.36426666667,13.3024,9.5348,9.16286666668,7.44193333333,11.5192666667,7.10073333333,13.3954,9.41086666666,3.93800000001,6.23253333333
235.91,6.38893333332,11.0648666667,7.02166666669,7.608,5.75626666666,10.0617333333,5.81786666667,12.2684666667,7.96293333331,1.99073333334,5.16973333332
236.29,6.37100000001,10.5248666667,6.97706666667,7.8196,6.88833333333,10.1108,5.67620000001,13.5107333333,7.87879999999,2.439,5.07026666667
236.66,5.40226666667,9.51146666667,5.57480000001,6.92533333336,5.90513333333,9.19553333334,4.89940000001,12.7730666667,6.30753333333,1.93960000001,4.3104
237.04,2.8032,7.34933333335,3.47113333335,4.99626666667,3.07906666667,6.68113333334,2.35293333333,10.7478666667,3.5584,-0.4066,2.78873333333
237.41,0.411200000014,4.96333333335,1.36566666668,3.33326666667,0.234866666674,4.46393333333,-0.058733333334,8.85453333333,1.13066666667,-2.79006666666,0.425666666672
237.79,-1.21866666668,3.55553333335,0.55913333334,2.2366,-1.1756,3.35479999999,-1.491,7.1398,-0.042933333326,-4.37266666667,-0.559066666674
238.17,-3.01500000001,1.88253333333,-0.1982,1.01900000001,-2.97246666666,2.67513333332,-3.62346666666,6.0014,-0.70780000002,-6.19946666665,-1.57113333332
238.54,-1.89153333334,2.61906666668,0.59520000002,1.67993333332,-2.03700000001,3.84913333334,-2.51326666666,5.99206666668,0.449666666666,-4.93393333333,-0.71433333332
238.92,-0.982466666674,3.25873333333,1.00760000001,2.69893333333,-1.19406666667,4.55226666666,-1.81586666666,6.97766666668,1.43040000001,-4.01740000001,0.311133333314
239.29,0.449,4.35233333333,2.57913333334,3.75366666667,0.402866666688,5.54973333335,-0.287933333334,8.94639999999,2.84373333333,-1.9804,1.8422
239.67,1.22639999999,4.80093333333,3.37519999999,4.23480000001,0.765333333342,5.63946666667,0.335400000006,9.66453333335,3.58486666666,-1.02733333333,2.84066666667
240.04,2.33820000001,5.933,4.6676,5.39213333333,1.90746666667,6.47419999999,1.38473333333,11.0132666667,4.86013333335,0.586800000006,4.74106666667
240.42,2.25226666668,5.84779999999,4.43899999999,4.93040000001,2.00653333333,6.0524,1.53966666667,10.7536666667,4.84033333333,1.00739999999,5.774
240.79,1.5056,4.69779999999,3.69893333333,3.87993333334,1.48386666667,4.90046666667,1.04233333333,10.0253333333,4.23473333333,0.376399999992,5.12486666665
241.17,2.31546666667,5.24813333333,4.09666666667,4.20486666667,2.66533333333,5.47066666665,2.11193333333,11.0242666667,5.10806666667,1.49486666667,6.06866666665
241.54,2.17073333333,5.0116,4.00360000001,3.7916,2.94966666667,5.53853333334,2.30240000001,11.3573333333,5.14306666667,1.83273333333,6.27146666667
241.92,2.31913333334,5.05833333333,4.0052,3.71986666667,3.25806666667,5.59793333333,2.786,11.8444,5.13093333334,2.18926666667,6.69253333333
242.29,2.31693333333,4.81213333332,3.57893333333,3.3092,3.2756,5.27466666667,2.93826666667,11.999,4.89886666667,2.2302,6.50766666666
242.67,2.66386666667,4.74600000001,3.54573333333,3.25013333333,3.53633333333,5.36013333333,2.90393333333,12.4747333333,5.09233333333,2.37766666667,6.66206666667
243.05,2.5862,4.3758,3.51673333333,3.01573333333,3.60173333333,5.36460000001,2.9218,12.5996,4.95300000001,2.3266,6.70253333333
243.42,2.3898,4.149,3.23193333333,2.7294,3.41713333333,5.00886666667,2.42053333333,12.1736666667,4.73539999999,2.0062,6.48133333334
243.80,2.15366666667,3.89693333334,3.03626666667,2.64733333333,3.42513333333,4.90166666667,2.3766,12.097,4.43439999999,2.09266666667,6.34773333332
244.17,2.32893333333,3.9624,3.07953333333,2.44833333333,3.54453333333,5.0502,2.3972,11.9684666667,4.44013333333,2.07286666667,6.23586666667
244.55,1.75533333333,3.3438,2.3848,1.69266666667,3.02266666667,4.4236,1.80513333333,11.3110666667,3.88986666667,1.23826666667,5.31580000001
244.92,1.23206666667,2.88146666667,1.83186666666,1.17933333333,2.7112,3.927,1.38606666667,11.0962666667,3.38813333333,0.871333333332,5.05773333332
245.30,1.2774,2.53213333333,1.712,0.994,2.3734,3.65826666667,1.25473333333,10.9298,3.27679999999,0.7974,4.98106666667
