wavelength,Back_IncPerf,Belly_IncPerf,Breast_IncPerf,Crissum_IncPerf,Crown_IncPerf,DorTail_IncPerf,Patch10_IncPerf,Patch11_IncPerf,Rump_IncPerf,Throat_IncPerf,WingTip_IncPerf
773.81,22.4366666667,36.665,28.4403333333,26.7503333333,19.3466666667,18.059,6.00366666667,31.289,16.1756666667,22.147,14.9846666667
774.12,22.319,36.2726666667,28.6016666667,26.5663333333,19.3796666667,18.12,5.99133333333,30.9595,16.053,21.7376666667,14.8576666667
774.43,23.0303333333,36.458,28.7596666667,27.295,20.1983333333,18.7823333333,6.315,31.4695,16.4223333333,21.647,15.2016666667
774.74,23.7033333333,36.428,29.086,27.292,20.4936666667,19.358,6.27166666667,31.7285,16.5433333333,21.2346666667,15.7533333333
775.05,23.4776666667,36.4026666667,29.003,27.3103333333,20.574,19.2136666667,6.07266666667,31.6075,16.3596666667,21.0223333333,16.177
775.36,23.479,36.6733333333,28.9846666667,27.381,20.6516666667,19.2953333333,6.167,31.374,16.3853333333,20.9823333333,16.5506666667
775.67,23.1113333333,36.3153333333,28.2306666667,27.2033333333,20.0796666667,19.0686666667,5.997,31.436,16.0373333333,20.56,16.418
775.98,22.8176666667,36.1936666667,28.2076666667,27.083,19.8083333333,19.0476666667,5.82,31.0515,15.8066666667,20.5193333333,16.3523333333
776.30,22.497,36.4796666667,28.5883333333,27.2926666667,19.855,18.9633333333,5.48533333333,30.969,15.598,20.4946666667,16.3556666667
776.61,22.454,36.9823333333,28.615,27.7153333333,20.0783333333,19.484,5.73666666667,31.212,15.7503333333,20.621,16.1913333333
776.92,22.6263333333,38.0293333333,29.0986666667,28.3813333333,20.526,20.1333333333,6.404,31.6085,16.1203333333,20.9356666667,16.684
777.23,22.4966666667,38.34,29.0466666667,28.3263333333,20.336,20.1133333333,6.46433333333,31.8155,16.461,20.662,16.478
777.54,22.102,38.245,28.851,28.5246666667,20.213,19.8866666667,6.56033333333,31.4785,16.6066666667,20.505,16.4003333333
777.85,22.205,38.3963333333,29.307,28.5983333333,20.2696666667,20.0966666667,6.58366666667,31.7265,16.7963333333,21.22,16.364
778.16,22.02,38.799,29.2903333333,29.03,20.3886666667,20.2323333333,6.88833333333,31.494,17.2306666667,21.6553333333,16.2066666667
778.47,22.094,38.577,29.3656666667,28.7886666667,19.979,20.276,6.90433333333,31.2795,17.2696666667,21.7093333333,15.8536666667
778.78,21.8906666667,38.2196666667,29.6553333333,28.8736666667,20.096,19.918,6.78733333333,30.704,17.1463333333,21.784,15.4763333333
779.09,22.086,38.2276666667,30.1656666667,29.0443333333,20.395,20.2526666667,6.94066666667,30.646,17.5123333333,21.7653333333,15.572
779.40,22.384,38.5746666667,30.1743333333,29.097,20.6246666667,20.212,7.288,30.641,17.8783333333,21.8453333333,15.5446666667
779.71,22.0303333333,38.2746666667,29.7933333333,28.6613333333,20.5926666667,19.874,7.43933333333,30.458,18.239,21.8866666667,15.0943333333
780.02,22.5086666667,38.1463333333,30.3096666667,28.6096666667,20.7016666667,19.9676666667,7.78333333333,31.1595,18.912,21.9716666667,15.2083333333
780.33,22.7396666667,38.134,30.608,28.5146666667,20.9166666667,20.0866666667,7.90466666667,31.5375,19.3103333333,22.162,15.3403333333
780.64,22.5793333333,37.82,30.318,28.3923333333,20.6723333333,20.1813333333,7.61133333333,31.5805,18.892,22.5433333333,15.5493333333
780.95,22.9363333333,38.0423333333,30.434,28.0886666667,20.6463333333,19.9446666667,7.516,31.6345,18.5966666667,22.5486666667,15.494
781.26,22.913,38.3003333333,30.252,28.1423333333,20.411,19.7943333333,7.507,31.5405,18.6366666667,22.2966666667,15.649
781.57,22.6936666667,37.71,30.032,27.9006666667,19.9773333333,19.7323333333,7.244,31.6355,18.091,22.0523333333,15.4496666667
781.88,22.3233333333,37.7446666667,29.7963333333,27.819,20.042,19.6616666667,6.52233333333,31.375,17.7596666667,21.449,15.345
782.19,21.9583333333,38.142,29.297,27.4046666667,19.3703333333,19.583,6.354,31.402,17.2846666667,21.1276666667,15.083
782.50,21.6146666667,38.5656666667,28.8846666667,27.2586666667,19.4983333333,19.4003333333,6.32966666667,31.305,16.7943333333,21.4383333333,14.9126666667
782.81,21.3776666667,38.3213333333,28.464,27.3953333333,19.3393333333,19.4576666667,6.11633333333,31.5915,16.4093333333,21.338,15.4196666667
783.12,22.1426666667,38.5806666667,28.523,27.748,19.5986666667,20.0956666667,6.24133333333,32.0215,16.3386666667,21.5663333333,15.2853333333
783.43,21.783,38.1356666667,27.9836666667,27.8623333333,19.5543333333,19.696,5.63333333333,31.307,15.4203333333,21.297,15.0963333333
783.74,22.2426666667,37.4946666667,27.2726666667,27.6566666667,19.798,19.4746666667,5.61633333333,31.061,14.5856666667,21.1516666667,15.01
784.05,22.051,37.752,27.4353333333,27.7023333333,19.7903333333,19.626,5.61033333333,31.381,14.591,20.715,14.7553333333
784.36,21.19,37.3813333333,27.1583333333,27.5506666667,19.1863333333,19.8883333333,5.43133333333,31.5675,14.6223333333,20.26,14.4363333333
784.67,20.7866666667,36.912,26.904,27.2576666667,19.1426666667,19.621,5.32666666667,31.336,14.503,19.871,14.149
784.98,20.854,37.272,26.8036666667,27.2596666667,19.5896666667,19.486,5.597,30.97,14.6973333333,19.6516666667,14.4693333333
