wavelength,Back_TanRuum,Belly_TanRuum,Breast_TanRuum,Crissum_TanRuum,Crown_TanRuum,DorTail_TanRuum,Patch10_TanRuum,Patch11_TanRuum,Rump_TanRuum,Throat_TanRuum,WingTip_TanRuum
765.07,17.7301666666,55.3139166667,38.7438333333,40.0416666667,12.8848333333,21.5083333334,12.0928333333,36.0554166667,26.6918333333,41.748375,20.1285357143
765.39,17.966,55.8403333334,39.23225,40.4921666667,13.0969166667,21.6174166667,12.3791666667,36.3023333333,27.02875,41.963125,20.6644880952
765.70,18.2760833333,55.8269166667,39.2138333333,40.4913333333,13.313,21.6995,12.5306666666,36.3718333333,27.0639166667,42.1335,20.8262678572
766.01,18.06275,55.602,38.8265833333,40.2184166667,12.9131666667,21.2985833333,12.20425,35.99075,26.8963333333,41.703625,20.6880357143
766.32,17.91075,55.97025,39.3035833333,40.1765,12.8086666667,21.3231666667,12.2331666667,36.1513333333,26.7503333333,42.1447083333,20.7712142857
766.64,18.4348333333,56.5020833334,39.80125,40.7606666666,13.20375,21.6441666667,12.7314166667,36.7328333333,27.16725,42.4630416667,21.328
766.95,18.7298333334,56.482,39.62375,40.7285833333,13.6146666667,21.6405,12.6715,37.1369166667,27.2195,42.2315,21.6949166667
767.26,19.408,56.697,39.8790833333,41.0413333334,14.10775,21.8678333333,12.9353333333,37.46625,27.48075,42.46925,21.9465714286
767.57,19.0176666667,56.0095,39.1860833333,40.27775,13.1864166667,21.1035,12.3215833333,36.86775,27.1995833333,41.97475,21.4399821429
767.88,19.4093333333,56.45475,39.60975,40.4235,13.6064166667,21.29875,12.6420833333,37.3690833333,27.6311666667,42.1685,21.6152261905
768.20,18.995,56.0339166667,39.1770833333,39.77075,13.17425,20.5278333334,11.9524166667,36.7854166667,27.0515833333,41.7877916667,21.2004107143
768.51,19.41275,56.5066666667,38.8788333334,39.7983333333,13.1731666667,20.9785833333,12.1885833333,37.0225833333,27.153,41.8622916667,21.6958035714
