wavelength,Back_SpoFrof,Belly_SpoFrof,Breast_SpoFrof,Crissum_SpoFrof,Crown_SpoFrof,DorTail_SpoFrof,Rump_SpoFrof,Throat_SpoFrof,WingTip_SpoFrof
377.99,5.46283333334,9.9265,9.075,8.814,4.4375,7.8665,5.3925,8.82766666665,6.751
378.35,5.448,9.91633333332,9.09,8.87633333334,4.46383333333,7.8435,5.37516666666,8.87933333331,6.73966666667
378.71,5.46366666667,9.95083333331,9.0705,8.93833333334,4.466,7.87866666666,5.41583333333,8.89916666665,6.76066666667
379.07,5.49783333333,9.9965,9.14566666667,8.97183333335,4.51366666667,7.883,5.43483333333,8.98566666668,6.78716666667
379.44,5.59833333333,10.1251666667,9.30116666666,9.08666666668,4.64166666667,7.96583333333,5.543,9.08666666665,6.84833333333
379.80,5.685,10.2348333333,9.42866666667,9.17966666665,4.73816666667,8.07566666667,5.63466666666,9.18833333332,6.94183333333
380.16,5.6695,10.3306666667,9.43516666667,9.14866666667,4.61516666667,8.10766666667,5.64416666667,9.20349999999,6.94333333333
380.52,5.66383333333,10.3311666666,9.46633333334,9.13116666666,4.58416666667,8.00983333333,5.60166666667,9.1535,6.92283333333
380.88,5.806,10.4706666667,9.63866666666,9.25933333332,4.69116666667,8.10583333333,5.70433333333,9.33033333332,6.99216666666
381.24,5.82533333333,10.4313333334,9.64216666667,9.28050000001,4.69216666666,8.10183333333,5.68733333333,9.33333333332,6.98766666666
381.61,5.847,10.4305,9.5965,9.30166666665,4.67566666667,8.11183333333,5.711,9.32783333334,7.00033333333
381.97,5.8565,10.3655,9.4965,9.24666666666,4.617,7.98866666667,5.63716666667,9.26716666667,6.9995
382.33,5.84666666667,10.4153333333,9.52783333333,9.28483333335,4.66966666666,8.0165,5.67483333334,9.28349999999,7.01266666666
382.69,5.85966666666,10.3875,9.5525,9.29466666665,4.636,8.02466666667,5.71933333333,9.36600000001,7.02
383.05,5.95583333333,10.5075,9.6,9.43133333331,4.74933333333,8.15433333333,5.81616666666,9.45883333335,7.09583333333
383.41,5.97183333334,10.5448333333,9.64333333334,9.49649999998,4.7695,8.2065,5.8355,9.52083333335,7.143
383.77,5.875,10.4438333333,9.52333333333,9.43983333332,4.65783333333,8.11366666667,5.72133333334,9.40083333331,7.0785
384.14,5.93833333333,10.4638333333,9.6625,9.56850000001,4.72683333333,8.18133333334,5.75266666667,9.47466666665,7.1575
384.50,5.9315,10.4866666667,9.64683333333,9.591,4.776,8.20916666667,5.7575,9.44549999998,7.1185
384.86,5.8195,10.3701666667,9.53133333334,9.51616666665,4.66733333333,8.1095,5.6125,9.29733333334,7.01766666666
385.22,5.73766666666,10.334,9.48583333334,9.43299999999,4.6125,8.06166666667,5.54516666667,9.28283333333,6.911
385.58,5.70483333333,10.2876666667,9.52166666667,9.35099999998,4.55683333333,7.9865,5.45866666667,9.27383333332,6.88783333334
385.94,5.6825,10.3083333333,9.663,9.353,4.5915,8.061,5.47183333333,9.28016666665,6.86433333333
386.30,5.7555,10.3815,9.76183333333,9.36949999999,4.59033333333,8.10083333334,5.49383333333,9.26483333335,6.95983333334
386.66,5.73816666667,10.4041666666,9.79633333333,9.3325,4.56683333333,8.08266666667,5.42916666667,9.19099999998,6.97666666667
387.03,5.67133333334,10.4263333333,9.80416666667,9.2735,4.50333333334,7.98033333333,5.40083333334,9.12083333331,6.92983333333
387.39,5.682,10.4155,9.85866666667,9.28566666665,4.5115,7.974,5.43333333333,9.11,6.898
387.75,5.72766666667,10.4518333333,9.87083333333,9.31350000001,4.55233333333,8.00333333334,5.42433333333,9.20383333335,6.934
388.11,5.68383333334,10.45,9.8115,9.25366666665,4.53833333334,7.98033333334,5.39516666667,9.18366666668,6.90016666667
388.47,5.67816666666,10.4375,9.86416666666,9.21366666665,4.4935,7.96116666667,5.36816666666,9.26116666665,6.9225
388.83,5.6705,10.5388333334,9.90716666666,9.24816666668,4.50816666666,7.9695,5.4015,9.29316666666,6.93733333334
389.19,5.734,10.6441666667,9.96183333334,9.3205,4.54683333333,8.02283333333,5.44333333333,9.31483333335,6.98233333333
389.55,5.698,10.6916666667,9.9015,9.35333333335,4.53416666666,8.0055,5.46533333333,9.31016666666,6.90933333333
389.91,5.73483333333,10.7231666667,9.872,9.40366666668,4.5255,8.019,5.499,9.37033333335,6.94916666667
390.27,5.701,10.7253333334,9.73883333334,9.38049999999,4.48333333334,7.96866666666,5.42666666666,9.3305,6.87233333333
390.63,5.6785,10.7738333333,9.71,9.41116666665,4.48616666667,7.9675,5.435,9.36766666666,6.84133333334
391.00,5.65433333333,10.6935,9.66766666666,9.41116666669,4.4445,7.96833333333,5.3925,9.39349999998,6.83733333334
391.36,5.583,10.6603333333,9.53016666667,9.33166666667,4.39216666667,7.906,5.24433333333,9.32616666665,6.7685
391.72,5.54883333334,10.7155,9.53633333333,9.31199999998,4.368,7.88916666666,5.22966666667,9.29066666667,6.71316666666
392.08,5.54216666667,10.7323333333,9.56316666666,9.34966666665,4.3665,7.86983333333,5.1975,9.28616666669,6.65316666667
392.44,5.53066666667,10.7031666667,9.51466666667,9.35366666666,4.34983333333,7.86316666667,5.21933333334,9.25200000002,6.639
392.80,5.58316666666,10.7078333333,9.51983333334,9.43266666665,4.40483333333,7.90333333334,5.28033333334,9.3095,6.6765
393.16,5.63366666667,10.7355,9.55266666667,9.50366666668,4.45783333333,7.95,5.3305,9.38683333331,6.75716666667
393.52,5.7895,10.866,9.6625,9.61216666667,4.59116666666,8.07883333333,5.45483333333,9.49283333331,6.8445
393.88,5.817,10.9053333334,9.68766666667,9.63866666666,4.6095,8.0935,5.45916666667,9.47166666668,6.886
394.24,5.79933333333,10.901,9.724,9.65516666665,4.58083333334,8.07766666666,5.475,9.53200000001,6.87833333334
394.60,5.87083333333,10.9441666667,9.77583333333,9.68966666667,4.62533333333,8.11083333334,5.51566666667,9.57416666665,6.88166666666
394.96,5.92683333334,11.0273333333,9.8015,9.72116666669,4.69016666667,8.197,5.54766666667,9.61666666668,6.90116666667
395.32,5.95583333333,11.1428333334,9.85366666666,9.75866666665,4.6965,8.227,5.6185,9.63866666668,6.94983333334
395.68,5.97583333334,11.1498333333,9.86216666667,9.81766666665,4.7255,8.229,5.68666666667,9.67016666667,7.01333333333
396.04,6.03016666667,11.1898333333,9.87733333334,9.85266666666,4.74716666667,8.27633333333,5.72983333333,9.70516666668,7.0985
396.40,6.09416666667,11.319,9.93833333334,9.93416666665,4.811,8.36183333333,5.7765,9.77916666665,7.1585
396.76,6.1475,11.4106666667,10.0193333333,9.99466666665,4.82033333334,8.44233333334,5.8335,9.8305,7.177
397.12,6.152,11.4961666667,10.0701666667,10.0146666666,4.81716666666,8.4855,5.84883333333,9.84133333331,7.16233333333
397.48,6.05283333333,11.5165,10.0968333333,10.0115,4.75116666667,8.49466666667,5.78733333333,9.85933333331,7.17666666666
397.84,5.97833333333,11.5086666667,10.0548333333,9.99116666667,4.69066666667,8.44983333333,5.72883333333,9.83383333331,7.0985
398.20,6.00133333333,11.5851666667,10.0595,10.0133333333,4.76366666667,8.503,5.757,9.83133333333,7.11
398.56,6.00833333333,11.5993333333,10.0705,10.0395,4.7825,8.49283333333,5.762,9.81166666667,7.1805
398.92,6.01283333333,11.6703333334,10.0983333333,10.0865,4.77983333334,8.46466666667,5.77583333333,9.82516666668,7.1965
399.28,6.02983333334,11.6338333334,10.0923333333,10.1123333333,4.79716666667,8.44866666666,5.76766666666,9.82999999999,7.17766666666
399.64,5.98566666667,11.6168333333,10.0605,10.0756666667,4.72983333333,8.41316666666,5.70766666667,9.79783333331,7.14183333333
400.00,5.91566666667,11.5966666666,9.98916666666,10.0113333333,4.64266666667,8.334,5.6765,9.75300000001,7.04783333333
400.36,5.843,11.5483333333,9.94783333333,9.969,4.5475,8.2365,5.646,9.67549999998,6.98816666667
400.72,5.75933333333,11.496,9.85866666667,9.89,4.48183333334,8.1245,5.5425,9.61799999998,6.93566666666
401.08,5.66566666667,11.4233333333,9.74733333333,9.77233333332,4.40266666667,7.97633333333,5.47516666667,9.53283333332,6.859
401.44,5.68516666666,11.3991666667,9.75333333334,9.81600000002,4.4075,7.96483333333,5.49466666667,9.5265,6.87016666667
401.80,5.75166666666,11.4848333334,9.81583333334,9.85883333335,4.4445,8.00833333333,5.55966666667,9.616,6.94516666667
402.16,5.81566666666,11.5478333333,9.837,9.94383333332,4.4435,8.05083333333,5.6045,9.68216666668,6.98866666667
402.52,5.81916666666,11.5926666667,9.80983333333,9.99100000001,4.42833333333,8.1035,5.60666666667,9.70533333334,6.95733333333
402.88,5.809,11.5471666666,9.80016666666,9.99549999999,4.38,8.08966666666,5.57416666667,9.66916666666,6.93333333333
403.24,5.85433333333,11.616,9.90633333334,10.027,4.38583333334,8.13766666667,5.606,9.69516666665,6.9835
403.60,5.92366666666,11.6971666667,9.965,10.0656666667,4.47533333333,8.21333333333,5.66916666667,9.73299999998,7.025
403.95,6.02716666666,11.8446666666,10.1313333333,10.208,4.64233333333,8.37466666667,5.76966666666,9.84533333335,7.1565
404.31,6.0345,11.9031666666,10.1651666667,10.2385,4.691,8.403,5.76316666667,9.85916666665,7.176
404.67,6.0535,11.9496666667,10.2023333333,10.2468333333,4.72216666667,8.4495,5.8005,9.86849999998,7.22766666667
405.03,6.08916666667,12.0016666667,10.2188333333,10.2641666667,4.72433333334,8.48433333333,5.79383333333,9.86816666665,7.214
405.39,6.096,12.0038333333,10.2156666667,10.23,4.77066666666,8.5,5.78733333333,9.87099999998,7.18633333333
405.75,6.06983333333,11.9846666666,10.234,10.2125,4.78366666666,8.47816666667,5.78366666666,9.86016666667,7.13983333333
406.11,6.07466666666,11.9486666667,10.2443333333,10.1735,4.80466666667,8.46566666667,5.7875,9.85016666665,7.162
406.47,6.09233333333,12.025,10.3261666667,10.1953333333,4.86933333333,8.503,5.83816666667,9.91649999998,7.2105
406.83,6.15233333334,12.0928333333,10.3905,10.2498333334,4.91633333333,8.559,5.89733333334,9.98550000001,7.264
407.19,6.137,12.101,10.4041666667,10.2918333334,4.93266666666,8.543,5.913,10.0118333333,7.27233333334
407.55,6.19933333333,12.1546666666,10.4901666667,10.3543333333,4.97,8.5985,5.96066666667,10.0618333333,7.34083333334
407.90,6.18583333334,12.1283333333,10.4158333333,10.3123333333,4.90516666667,8.527,5.95116666666,10.0403333333,7.31583333334
408.26,6.1935,12.1173333333,10.4345,10.3191666667,4.88766666666,8.52283333334,5.94733333334,10.0485,7.31316666666
408.62,6.2515,12.1673333334,10.4623333333,10.3941666667,4.92166666666,8.52483333333,5.99183333334,10.0476666667,7.3205
408.98,6.2595,12.1891666667,10.482,10.426,4.93233333334,8.5485,6.00133333333,10.0463333333,7.37833333334
409.34,6.25033333333,12.218,10.4881666667,10.463,4.90066666666,8.521,6.02366666667,10.0308333333,7.4135
409.70,6.25566666667,12.255,10.4828333333,10.4888333333,4.89733333334,8.52166666667,6.03066666666,10.0245,7.4105
410.06,6.213,12.258,10.5245,10.5065,4.86766666667,8.48016666666,6.00366666666,10.0236666667,7.368
410.42,6.21083333333,12.2591666666,10.5005,10.5391666667,4.85533333333,8.45083333333,6.0015,9.98350000001,7.36666666667
410.77,6.14666666667,12.2306666667,10.4666666667,10.5143333333,4.85116666666,8.3955,5.97083333333,9.93766666665,7.30683333333
411.13,6.13766666667,12.239,10.441,10.5005,4.855,8.398,5.96966666667,9.91933333335,7.28966666666
411.49,6.097,12.263,10.461,10.52,4.84083333334,8.3665,5.94833333334,9.94166666667,7.25733333333
411.85,6.05416666667,12.26,10.4831666667,10.5211666667,4.83016666667,8.35883333333,5.93433333333,9.91283333333,7.239
412.21,6.10116666666,12.321,10.4828333333,10.5493333333,4.89733333334,8.38266666667,5.9935,9.95499999998,7.26583333333
412.57,6.04583333334,12.33,10.4423333333,10.5343333333,4.86633333333,8.38616666667,5.92533333333,9.97716666666,7.209
412.92,6.09933333333,12.3763333334,10.5208333333,10.6198333333,4.95333333333,8.41816666667,6.0065,10.0836666667,7.24916666666
413.28,6.12,12.3828333333,10.4661666667,10.6381666667,4.93683333334,8.408,5.97716666667,10.0678333333,7.234
413.64,6.1825,12.431,10.483,10.6996666667,4.99466666667,8.4575,6.02516666667,10.1265,7.29933333333
414.00,6.18566666667,12.5143333333,10.4531666667,10.7033333333,4.98416666667,8.5155,6.05733333333,10.128,7.3095
414.36,6.1825,12.4883333333,10.4446666667,10.647,4.95383333333,8.48033333334,6.05233333333,10.161,7.326
414.72,6.22533333333,12.5998333333,10.4965,10.7191666667,5.023,8.58266666667,6.10033333333,10.2485,7.41033333334
415.07,6.27283333333,12.6555,10.5151666667,10.7598333333,5.02633333333,8.62983333334,6.12216666667,10.2958333334,7.451
