wavelength,Back_SpoLucf,Belly_SpoLucf,Breast_SpoLucf,Crissum_SpoLucf,Crown_SpoLucf,DorTail_SpoLucf,Patch10_SpoLucf,Rump_SpoLucf,Throat_SpoLucf,WingTip_SpoLucf
791.16,17.2966666667,60.8526666667,33.88025,41.96425,15.33775,22.5083333333,20.3558333333,19.0545,32.6410833333,16.909
791.47,16.9510833333,60.1775,33.2155,41.1120833333,15.3009166667,22.0744166667,20.21625,18.7534166667,32.25175,16.9855833334
791.78,17.4579166667,60.9033333333,33.7325833333,41.3445,16.15525,22.654,20.63725,19.3698333333,33.00425,17.6889166667
792.08,18.0369166667,61.5724166666,34.1623333333,41.9268333334,16.8845833333,22.93425,21.3673333333,20.4959166667,33.214,18.36
792.39,18.3575833333,61.7008333333,34.0506666667,42.1284166666,16.9509166667,22.3785,21.3909166666,20.6095833333,33.3050833333,18.7483333334
792.70,17.8989166667,60.9544166667,33.3546666667,41.688,16.403,21.8804166666,21.0541666667,20.0926666667,33.0341666667,18.48275
793.01,18.8825,62.1985833334,33.9653333333,42.9309166667,17.0590833333,22.5516666667,21.8396666667,21.0840833333,34.54675,19.2458333333
793.32,19.7708333333,62.7066666667,35.0014166667,43.8063333333,18.0808333333,23.5421666667,22.9185,22.2076666667,35.879,20.09725
793.62,20.4224166667,63.3001666667,35.8709166667,44.4205,18.9736666667,24.3513333333,23.5871666667,22.9094166667,36.2673333333,20.73225
793.93,20.3848333334,64.3919166667,36.4464166667,44.7506666667,18.8976666667,24.1469166667,23.4105,23.11175,36.55575,20.9754166667
794.24,20.3649166667,63.9634166666,36.6134166667,44.58625,18.822,24.0774166666,22.7365,22.8805,36.3178333333,20.7468333333
794.55,20.1473333333,64.1895833333,36.6695833333,44.57675,18.4214166666,23.9746666667,22.3425833333,22.516,35.998,20.2268333333
794.86,20.11575,63.6174166667,36.4325,44.2801666667,18.2090833333,23.7860833333,21.7935833333,22.30075,35.5611666667,19.6445
795.16,20.1406666667,62.7144166666,36.2659166666,44.1418333333,18.0169166667,23.6918333334,21.7159166667,22.14475,35.07725,19.36
795.47,20.4064166666,62.9833333334,36.7203333333,44.3409166667,18.11325,23.77225,21.9871666666,21.9024166666,35.6055,19.51025
795.78,20.36725,63.1271666666,36.9569166667,44.7085,18.4399166666,23.9136666667,22.0704166667,22.0353333333,35.9054166666,19.4000833333
796.09,20.2574166667,63.8676666667,37.4541666667,44.8968333333,18.33475,23.89725,21.8193333333,22.3210833333,36.1749166667,19.0273333333
796.40,18.646,62.5388333333,36.0100833334,43.5263333333,16.8921666667,22.5204166667,20.231,20.9706666667,34.58725,17.5331666667
796.70,18.13975,61.7215,35.3535,42.747,16.22475,22.0538333333,19.31125,20.4335,34.0418333333,17.1085833333
797.01,17.0115833333,60.8109166667,34.3679166667,42.0960833333,15.30825,21.29075,18.4261666667,19.6580833333,33.0939166667,16.04725
797.32,17.0905,60.9038333334,34.428,42.12575,15.4731666667,21.483,18.9195,19.7740833333,33.1709166667,16.1016666667
797.63,17.074,61.3065,34.2553333333,42.4885833334,15.3944166667,21.5265,19.54675,20.2329166666,33.4405833333,16.5308333333
797.93,17.2471666666,61.228,34.5085,42.6195833333,15.6635833333,21.489,19.8911666667,20.58625,33.6128333333,16.5663333333
798.24,16.9491666667,62.22125,34.4854166667,43.3838333333,15.1648333333,21.20125,19.6625,20.1903333333,33.8388333333,16.0420833333
798.55,16.7125833334,63.2366666667,34.7836666667,43.8229166667,15.1013333333,21.1171666667,19.4675833333,19.9049166667,34.21575,16.0529166667
798.85,16.744,63.5465,34.5998333333,44.1998333333,15.1295833334,21.347,19.6015,19.9105,34.2755833333,15.96375
799.16,16.5810833333,62.9750833333,34.2445833333,43.5591666667,14.7896666667,21.5653333334,19.6106666667,19.5481666666,34.2055833333,16.1135833333
799.47,16.859,62.1114166667,33.7181666666,43.3058333333,14.92775,21.7836666667,19.9216666667,19.3368333333,33.9259166666,16.71275
799.78,17.4759166667,62.6050833333,34.36825,43.6275,15.6629166667,22.02,20.7515833333,19.6233333333,34.477,17.1725
800.08,17.6030833333,62.7085833333,34.5845833333,43.7363333334,15.6043333334,22.175,21.3015,19.8535833333,34.3483333333,17.43
