wavelength,Back_ConFerm,Belly_ConFerm,Breast_ConFerm,Crissum_ConFerm,Crown_ConFerm,DorTail_ConFerm,Patch10_ConFerm,Rump_ConFerm,Throat_ConFerm,WingTip_ConFerm
403.95,10.3257,5.51833333333,6.14976,4.34606666667,8.16140000001,7.55126666667,20.4398,13.0818666667,7.27786666667,7.94873333333
404.31,10.2390666667,5.45013333333,6.05228666667,4.27213333333,8.07386666667,7.45373333334,20.3721333333,12.9782,7.18533333333,7.89673333333
404.67,10.1788,5.39893333333,6.00394,4.25053333333,8.03839999999,7.40606666666,20.3704,12.9321333333,7.1601,7.82886666667
405.03,10.1839666667,5.40973333333,6.01085333333,4.25613333333,8.04526666667,7.40293333333,20.4152666667,12.9332666667,7.16016666667,7.82493333333
405.39,10.1803333333,5.44726666667,6.02522666667,4.2558,8.06066666668,7.40553333333,20.4123333333,12.9028666667,7.1953,7.824
405.75,10.1685666667,5.41186666667,6.00084,4.2376,8.06160000001,7.38033333333,20.4154666667,12.8722666667,7.18586666667,7.79493333333
406.11,10.1909666667,5.4226,6.02169333333,4.28393333334,8.10213333332,7.38806666666,20.4846666667,12.8898666667,7.2001,7.82233333333
406.47,10.1503666667,5.3522,5.97506666666,4.2682,8.05173333334,7.32893333333,20.5236666667,12.8514,7.129,7.77053333333
406.83,10.146,5.341,5.96749333333,4.26713333333,8.04886666667,7.31806666667,20.5712,12.8322666667,7.11186666667,7.7174
407.19,10.2202333333,5.4076,6.0653,4.3576,8.1438,7.41966666667,20.7002666667,12.9274,7.2079,7.8236
407.55,10.2827666667,5.45526666667,6.08279333333,4.38966666667,8.17446666667,7.43626666667,20.7591333333,12.9519333333,7.26016666667,7.85713333333
407.90,10.2862666667,5.46426666667,6.06003333333,4.38466666667,8.192,7.468,20.8239333333,12.9935333333,7.24876666667,7.86566666667
408.26,10.3435,5.51113333333,6.11316666667,4.4218,8.26993333333,7.52913333334,20.9856,13.0685333333,7.30956666667,7.8912
408.62,10.3208,5.5024,6.06684666667,4.38973333333,8.25633333333,7.49806666667,20.9986,13.0422666667,7.272,7.87713333333
408.98,10.3304333333,5.51446666667,6.0683,4.4222,8.29073333334,7.50613333333,21.0722,13.0317333333,7.2858,7.87126666667
409.34,10.3942333333,5.54273333333,6.11655333333,4.47866666667,8.33486666666,7.53673333333,21.1882666667,13.0884,7.31896666667,7.90986666666
409.70,10.3895666667,5.53373333333,6.11606,4.47493333334,8.33713333334,7.52266666667,21.2419333333,13.0546666667,7.32096666667,7.9068
410.06,10.3597666667,5.54706666667,6.11202,4.44873333333,8.34166666666,7.53479999999,21.3030666667,13.0528666667,7.30963333333,7.88213333333
410.42,10.3724333333,5.58033333333,6.12708666667,4.46166666667,8.37346666667,7.55779999999,21.3714,13.0717333333,7.33873333333,7.90586666667
410.77,10.3759666667,5.56313333333,6.10504,4.45206666667,8.37973333333,7.56079999999,21.4201333333,13.0749333333,7.33096666667,7.92253333333
411.13,10.3548333333,5.54113333333,6.07409333333,4.4112,8.3534,7.52453333333,21.4361333333,13.0428,7.29446666667,7.8746
411.49,10.3543333333,5.584,6.13280666667,4.41793333333,8.39706666667,7.55646666666,21.5124666667,13.0615333333,7.32646666667,7.91646666667
411.85,10.3226333333,5.5622,6.14013333333,4.402,8.42453333333,7.53440000001,21.5568666667,13.0470666667,7.33743333333,7.8946
412.21,10.3352666667,5.57993333333,6.13592666667,4.41826666667,8.43453333332,7.5382,21.5945333333,13.0513333333,7.33273333333,7.87493333333
412.57,10.4180333333,5.66266666667,6.25087333333,4.49613333333,8.53426666667,7.62853333334,21.7722666667,13.1602666667,7.44833333333,7.92826666667
412.92,10.4017,5.64033333333,6.24095333333,4.45153333333,8.51973333333,7.60826666667,21.8060666667,13.1712,7.4217,7.90646666667
413.28,10.3835333333,5.60593333333,6.22553333333,4.43733333333,8.54266666666,7.61146666667,21.8714,13.181,7.4265,7.8772
413.64,10.3258333333,5.59726666667,6.20694666667,4.4252,8.53266666667,7.59313333333,21.8865333333,13.1775333333,7.4029,7.84706666667
414.00,10.3753666667,5.63373333333,6.2427,4.4654,8.56646666666,7.59999999999,21.9672666667,13.2232,7.45346666667,7.865
414.36,10.3641333333,5.62526666667,6.19804666667,4.41873333333,8.55486666667,7.5596,21.9954666667,13.164,7.4525,7.82246666667
414.72,10.4067666667,5.6872,6.24695333333,4.44666666667,8.6022,7.58973333334,22.1151333333,13.2105333334,7.50983333333,7.86533333333
415.07,10.4129333333,5.70306666667,6.23035333333,4.4386,8.63306666667,7.60253333334,22.1918666667,13.2377333333,7.54483333333,7.87553333333
415.43,10.4039333333,5.6788,6.20600666667,4.45146666667,8.62660000001,7.59626666667,22.2597333333,13.2363333333,7.52236666667,7.84506666667
415.79,10.4383,5.70353333333,6.23322666667,4.4904,8.6464,7.59873333333,22.3390666667,13.2608,7.56076666667,7.8828
416.15,10.4245333333,5.68413333333,6.24063333333,4.46953333333,8.64720000001,7.568,22.3670666667,13.2446666667,7.56813333333,7.89213333333
416.51,10.3949666667,5.67126666667,6.22261333333,4.44946666666,8.62160000001,7.54693333334,22.3798,13.2280666667,7.56346666667,7.89386666667
416.86,10.4113666667,5.66593333333,6.21108,4.454,8.62873333333,7.54819999999,22.4423333334,13.2418,7.57376666667,7.9128
