wavelength,Back_ConMarm,Belly_ConMarm,Breast_ConMarm,Crissum_ConMarm,Crown_ConMarm,DorTail_ConMarm,Rump_ConMarm,Throat_ConMarm,WingTip_ConMarm
568.75,18.9194666667,45.7287333333,36.4486666667,48.2120666667,16.566,13.5377333333,22.6356133333,35.1466,11.9415333333
569.09,18.9337333333,45.7373333333,36.4317333333,48.2237333333,16.5650666667,13.5575333333,22.6529533333,35.1267333334,11.956
569.43,18.8511333333,45.6796,36.3468,48.132,16.472,13.5112666667,22.5758466667,35.0282,11.8850666667
569.77,18.8326666667,45.6862666667,36.3303333333,48.1368,16.4393333333,13.4928,22.55648,35.0121333333,11.8999333333
570.11,18.8321333333,45.7078666667,36.3412,48.1782,16.4361333333,13.4875333333,22.5694333333,35.0453333333,11.9234
570.45,18.8280666667,45.7549333333,36.4224,48.2322,16.4483333333,13.5190666667,22.5923133333,35.0797333333,11.9396
570.79,18.8377333333,45.7979333333,36.4726,48.2717333333,16.451,13.529,22.6204133333,35.0673333334,11.9388
571.13,18.8445333333,45.7968666667,36.4702666667,48.2612,16.4862666666,13.5448,22.64464,35.0672666667,11.966
571.47,18.8376666667,45.8006,36.4795333333,48.2768,16.4767333333,13.5344,22.659,35.0565333334,11.9700666666
571.81,18.8181333333,45.7556666667,36.4723333333,48.2565333333,16.4791333333,13.5354666667,22.6615933333,35.0415333333,11.9804
572.15,18.8293333334,45.7808,36.4876666666,48.3012,16.4648666667,13.5274,22.67672,35.034,11.9734
572.49,18.8186,45.7697333333,36.4756,48.2859333333,16.4536,13.538,22.67192,35.0368666667,11.9762
572.83,18.8262666667,45.7834666667,36.4885333333,48.2959333333,16.4432,13.5442666667,22.6759666667,35.048,11.9902
573.17,18.8596,45.8304,36.526,48.3911333333,16.4870666667,13.5745333333,22.7119133333,35.1089333333,12.0458666667
573.51,18.8942,45.8844,36.6002,48.4890666667,16.5208666667,13.6311333333,22.76778,35.1705333333,12.0724666667
573.85,18.9068,45.9138,36.6252666667,48.5144,16.5414666667,13.6798,22.7857466667,35.1722666666,12.0936
574.19,18.8492,45.8185333333,36.5253333333,48.4638666667,16.4882666667,13.6465333333,22.7159866667,35.0843333333,12.0588666667
574.53,18.854,45.8092,36.5359333333,48.4694,16.4697333333,13.6303333333,22.68662,35.0829333333,12.0534
574.87,18.8171333333,45.8246666667,36.5521333333,48.5059333334,16.4302666667,13.6114,22.65656,35.0792666666,12.0138
575.21,18.7922,45.7714666667,36.5176666667,48.4464666667,16.3690666667,13.5602666667,22.6005666667,35.0016,11.9836
575.55,18.7530666667,45.8020666667,36.509,48.4877333333,16.3364,13.5360666667,22.58734,35.0046666667,11.9560666667
575.89,18.7551333333,45.7948666667,36.5424,48.501,16.3394,13.5566666667,22.5906733334,35.0298666667,11.9878666667
576.22,18.7576,45.7598,36.5284,48.4426,16.3221333333,13.5548666666,22.5711533333,35.0042666667,11.9869333333
576.56,18.73,45.7165333333,36.5105333333,48.4326666667,16.3018,13.5502,22.55862,34.9493333334,11.9786
576.90,18.7154,45.6408,36.4783333333,48.3680666667,16.307,13.5906,22.5460133333,34.9100666667,11.9944
577.24,18.694,45.6107333333,36.429,48.3367333333,16.2896,13.5928,22.51116,34.8722666666,12.0001333333
577.58,18.6785333333,45.5732666667,36.4325333333,48.2863333333,16.2725333333,13.5744666667,22.49542,34.8492666667,11.9978666667
577.92,18.7282666667,45.6752666666,36.5007333333,48.3603333333,16.3134666667,13.6132,22.5552266667,34.9276,12.0629333333
578.26,18.6870666667,45.6393333333,36.4438,48.3246,16.2951333333,13.5944,22.5384866666,34.8969333333,12.0556666667
578.60,18.6779333333,45.6038,36.4144,48.3086,16.2715333333,13.5646,22.52104,34.8578,12.0500666667
578.94,18.7198666667,45.7122,36.5050666667,48.4496666667,16.3366,13.6403333333,22.5952,34.9699333333,12.1064666667
579.28,18.7016,45.6377333333,36.4475333333,48.3486666667,16.3116,13.6415333333,22.5639466667,34.9314,12.115
579.61,18.6231333333,45.5734666667,36.3361333333,48.2374666667,16.2436666667,13.587,22.45496,34.8364,12.0602666667
579.95,18.5552666667,45.5216666667,36.2998,48.2068,16.2317333333,13.5828,22.42296,34.7798,12.0608
580.29,18.5174,45.5465333333,36.2866,48.2215333333,16.2046666667,13.5634,22.3976266667,34.775,12.0488666667
580.63,18.5194,45.6188666667,36.3016,48.2474,16.1810666667,13.5396,22.40108,34.8036666667,12.0441333333
580.97,18.4832666667,45.5466666667,36.2642,48.1599333333,16.1415333333,13.5206666667,22.3418533333,34.7335333333,12.0136666667
581.31,18.407,45.4552666667,36.1428666667,48.1058,16.0383333333,13.4321333333,22.2578066667,34.6138,11.9412
581.65,18.4575333333,45.4212,36.1552666667,48.1036,16.0861333333,13.4910666667,22.2947666667,34.6144,11.9724
581.98,18.5354,45.4487333333,36.1836666667,48.1426666667,16.1317333333,13.5710666667,22.3228066667,34.6484,12.041
582.32,18.5510666667,45.4022666667,36.2061333333,48.1162666667,16.1481333333,13.6234,22.3332933333,34.6858666667,12.0996666667
582.66,18.4542,45.2764666667,36.0884,47.9507333333,16.0923333333,13.6009333333,22.2553733333,34.5769333333,12.0728
583.00,18.4880666667,45.299,36.1503333333,48.0128666667,16.084,13.6171333333,22.29292,34.5958666667,12.1089333333
583.34,18.4737333333,45.2876666667,36.1842,48.046,16.0974666667,13.6327333334,22.32894,34.6118666667,12.1329333333
583.68,18.4991333333,45.3010666667,36.1643333333,48.0706,16.112,13.6227333333,22.33234,34.6098666667,12.1609333333
584.01,18.5124,45.2667333333,36.1485333333,48.012,16.1260666667,13.6630666667,22.3380066667,34.618,12.1992666667
584.35,18.518,45.2878,36.1966,48.0432,16.1382666667,13.6953333333,22.3564733334,34.6206666667,12.2586666667
584.69,18.4750666667,45.2646666667,36.1648,48.0251333333,16.0965333333,13.6424,22.3253466667,34.5958,12.2341333333
585.03,18.5604,45.369,36.313,48.1354,16.2092,13.7924,22.4746,34.7578,12.3836
585.37,18.5089333333,45.3575333333,36.2808666667,48.1253333333,16.1542,13.7533333333,22.4457466667,34.7383333333,12.377
585.70,18.3037333333,45.2454666667,36.1451333333,47.9802,15.9701333333,13.5979333333,22.3145866667,34.5642,12.2194666667
586.04,18.2585333333,45.2361333333,36.063,47.9236666667,15.9355333333,13.5801333333,22.2734133333,34.4827333333,12.1683333333
586.38,18.2767333333,45.2229333333,36.0606666667,47.9381333333,15.9174,13.5325333333,22.2522133333,34.4661333333,12.174
586.72,18.3612,45.2686666667,36.1049333333,47.9762,16.0222,13.6264,22.3253666667,34.5195333333,12.2644666667
587.06,18.3238666667,45.2948666667,36.0828666667,47.9964666667,15.9486666666,13.5688666667,22.2723133333,34.4752666667,12.1976666667
587.39,18.3151333333,45.3851333333,36.1708,48.0864666667,15.9381333333,13.5948666667,22.2846133333,34.5078666667,12.1764666667
587.73,18.2961333333,45.4388666667,36.1705333333,48.1534,15.9088,13.5582,22.2778,34.5176666667,12.1644
