wavelength,Back_TiaOlif,Belly_TiaOlif,Breast_TiaOlif,Crissum_TiaOlif,Crown_TiaOlif,DorTail_TiaOlif,Patch10_TiaOlif,Rump_TiaOlif,Throat_TiaOlif,WingTip_TiaOlif
219.72,-78.4723333333,-85.4165833333,-30.5555833333,-206.9445,-335.416583333,-151.388916667,-204.166666667,-58.3333333333,-184.72225,-90.2777499998
220.10,-227.777916666,-184.72225,-115.27775,-504.166666667,-715.277833333,-366.666666667,-431.9445,-273.611083333,-463.88875,-251.388916667
220.47,-131.944583333,-166.666583334,-159.722333333,-487.500083334,-691.66675,-265.277833333,-386.111,-256.9445,-377.777833333,-230.5555
220.85,783.333333334,933.333333334,854.166666666,1833.33333333,2441.66666666,1041.66666667,1466.66666667,1220.83333333,1304.16666667,924.999999998
221.23,-326.388916667,-324.999916667,-295.833416667,-572.22225,-791.666583333,-351.388833333,-481.944416667,-418.055416667,-373.611083334,-258.333333334
221.61,-117.12975,-95.8334999999,-89.8148333334,-178.240666667,-250.926083333,-103.24075,-154.629666667,-122.22225,-118.0555,-67.12975
221.98,-149.122833334,-132.456333333,-122.368333333,-217.10525,-257.89475,-124.122916667,-170.614166667,-142.105166667,-177.192916667,-96.9297499998
222.36,-293.939416667,-251.515166667,-242.424166667,-390.151583333,-430.303,-222.727083333,-315.90925,-283.333416667,-350.757583334,-214.394
222.74,-392.592583333,-296.29625,-353.70375,-494.444416667,-496.296166667,-251.851833333,-431.481666667,-372.22225,-396.2965,-300.925916667
223.11,-328.333333333,-253.333333333,-389.166666667,-454.166666667,-465.833333333,-228.333333333,-387.5,-333.333333333,-352.5,-289.166666667
223.49,-155.392083333,-114.215583334,-187.745083333,-226.470666666,-230.392166667,-93.1372499999,-202.94125,-146.078416667,-174.0195,-120.098
223.87,-128.985333333,-80.4349166666,-115.217416667,-173.913083333,-164.130333333,-83.6958333332,-151.811583333,-119.203,-119.203,-80.7970833333
224.24,-123.456833333,-64.5062499999,-109.259166667,-162.963083333,-145.370333333,-85.1853333333,-142.284,-113.888833333,-123.148333333,-77.7779166668
224.62,-70.2380833333,-23.5713333333,-71.4286666667,-100.476166667,-83.5714166667,-36.66675,-84.2856666668,-73.8095833333,-66.9048333334,-43.5713333333
225.00,-61.6665833334,-13.6111666667,-75.5555833332,-108.888916667,-90.2775833332,-31.9444166666,-90.8334166666,-81.1110833334,-59.9999166667,-47.22225
225.38,-31.9820833333,6.30633333333,-45.27025,-68.69375,-59.0091666666,-17.56775,-52.9278333333,-59.6846666668,-14.6395833333,-28.3784166667
225.75,-14.8148333333,10.6480833333,-20.9876666667,-35.0308333334,-37.6543333333,-4.78399999999,-27.9321666667,-31.63575,2.16041666666,-10.0309166667
226.13,4.016,13.2528333333,0.301166666658,-9.23716666667,-10.9438333333,5.42149999999,-6.32516666666,-10.3413333334,8.73499999999,4.71900000001
226.51,8.33324999999,18.116,7.15550000001,1.17758333334,-4.43841666667,4.71008333333,-2.44583333334,-6.884,11.4129166667,8.51449999999
226.88,4.45075,13.82575,1.79925,-4.92416666667,-12.2158333333,-1.4205,-6.53416666667,-14.2045833334,4.35608333333,2.27266666666
227.26,0.173666666642,9.54866666668,-2.43041666665,-3.47225,-11.8055833333,-1.30191666667,-10.1561666667,-14.5833333333,-2.16999999999,-1.82291666666
227.64,1.63691666667,8.77975,0.297666666675,1.48816666666,-7.73808333333,-0.07433333334,-6.62191666668,-9.89583333333,0.0744999999992,-3.49700000001
228.01,3.87133333333,11.8766666667,5.44625000001,4.26508333333,-2.49341666666,2.29658333334,-4.85558333333,-5.18366666668,2.29641666667,0.918499999993
228.39,4.77016666668,14.48275,5.97691666665,5.57475,-0.344749999999,3.85058333334,-1.32191666667,-1.20691666667,3.16083333334,3.96566666667
228.76,7.97758333333,17.8861666667,6.6565,9.65450000001,3.15050000001,8.53675000001,0.863666666665,2.69316666667,5.69100000001,7.26625
229.14,7.90225000001,17.3850833333,6.22608333333,8.38125,3.01724999999,8.14175,-0.0959166666508,2.15508333333,5.89075000001,7.23183333334
229.52,8.24375,17.0699166667,7.21341666667,9.45341666668,2.19516666667,8.91575000001,0.313583333333,3.45000000001,5.91400000001,9.81183333333
229.89,8.95525,16.9568333333,7.83583333333,9.03808333334,4.0215,11.2769166667,1.86566666667,5.18241666667,5.59691666667,10.5720833333
230.27,8.74816666667,16.893,8.55950000001,9.01200000001,4.44941666667,10.4826666667,1.88541666667,6.29700000001,6.52341666666,10.181
230.65,10.0075833333,19.178,9.47500000002,8.33316666667,5.06075,10.46425,2.207,7.49616666667,7.45799999999,11.3013333333
231.02,14.4075,22.8888333333,13.7035833333,12.1481666667,9.40724999999,15.6665833333,6.48158333334,11.3704166666,12.9998333333,16.81475
231.40,15.1041666666,21.9866666667,12.5745,11.1235,8.22175,14.95525,7.25458333333,11.0861666667,11.7186666667,15.7736666667
231.78,11.9150833333,17.03225,10.1973333333,8.84516666666,5.66525000001,11.4035833333,4.23991666666,8.47941666667,9.83208333335,13.6696666667
232.15,11.20825,14.8835833333,12.1178333333,9.89808333333,6.44100000001,11.754,5.13116666666,9.20691666667,8.58791666667,14.3376666667
232.53,10.0836666667,13.8126666667,10.3880833333,9.17041666666,6.35458333333,9.85533333333,6.20233333333,9.13233333334,8.71383333333,14.041
232.90,5.88716666667,13.0596666667,6.79941666668,6.09449999999,4.72633333333,6.59183333333,5.63858333333,6.30183333334,5.18258333333,12.355
233.28,2.57741666666,9.49308333333,5.54125,3.13575000002,3.22166666666,5.92791666666,3.26475,1.67516666667,2.10466666667,11.3831666667
233.66,4.03366666666,9.79616666667,7.44666666666,4.65424999999,5.18625,8.77649999999,5.62941666666,3.14716666666,3.36875000001,13.07625
234.03,1.90216666666,6.02358333333,3.66849999999,3.71366666667,3.84958333334,7.24641666667,3.03424999999,0.407583333343,0.2265,11.0506666667
234.41,-7.94583333333,-2.80991666666,-5.23249999999,-6.20158333334,-4.89325000001,-4.26341666666,-6.05624999999,-10.9981666667,-11.8701666667,3.29441666667
234.78,-16.0865,-10.0210833333,-11.1286666667,-12.8691666667,-10.0739166666,-12.0781666667,-15.1371666666,-18.882,-17.77425,-3.3755
235.16,-15.9954166667,-9.61966666667,-10.4588333333,-12.2483333333,-7.94183333332,-10.0671666666,-14.65325,-19.46325,-15.2125833333,-2.23708333334
235.54,-24.31075,-15.2881666667,-18.29575,-21.9298333334,-14.6618333333,-19.9875,-21.8670833333,-29.6363333333,-21.5539166667,-9.64908333333
235.91,-27.9898333333,-16.8575,-19.3385833334,-23.9821666667,-22.2009166667,-24.8091666667,-28.3079166667,-36.2595,-27.7989166667,-15.5853333333
236.29,-23.72675,-16.2035,-16.14575,-20.544,-23.6690833333,-22.0485,-27.778,-33.15975,-23.2639166667,-15.5670833333
236.66,-15.3100833333,-9.78691666665,-9.64133333335,-11.3371666667,-15.94,-14.9708333333,-17.15125,-20.7364166667,-11.967,-9.93216666668
237.04,-11.9171666667,-7.59933333334,-8.93783333333,-7.34033333334,-12.4351666666,-11.35575,-12.52175,-16.3211666667,-9.41266666667,-6.86533333332
237.41,-8.41424999999,-5.29924999999,-7.36241666667,-3.924,-10.3154166667,-8.81874999998,-8.25241666666,-11.2054166667,-6.55341666667,-5.01624999999
237.79,-4.03824999999,-1.57858333334,-5.76349999999,0.0734166666668,-8.03966666666,-3.67100000001,-4.36858333333,-4.5155,-1.13808333334,-3.78116666667
238.17,-4.23733333333,-0.600249999991,-6.35583333333,1.12991666667,-9.14550000001,-2.54225,-2.54241666667,-2.57766666667,-0.812083333335,-2.6835
238.54,-1.97199999999,3.53049999999,-3.308,4.23025,-5.566,0.318083333334,0.890666666667,0.254500000002,0.35,-0.286249999999
238.92,0.261333333333,5.77808333333,-1.39391666667,6.96875,-2.99075,3.07766666667,2.96166666667,4.21016666667,2.90375,2.11941666666
239.29,2.25358333334,7.023,0.0523333333325,7.54716666667,1.1795,6.65608333334,5.37216666667,6.34166666666,3.8785,5.66025
239.67,3.07658333332,8.1395,1.52608333334,7.34016666667,3.73066666667,8.33341666667,6.39541666668,7.24316666668,4.11825,7.26741666666
240.04,1.7975,7.37633333333,0.14,4.71508333333,1.65733333333,7.30625,4.01491666667,5.43891666667,1.89075,6.74591666668
240.42,1.34875000001,8.07216666666,-0.0217499999993,4.7215,0.522166666666,7.202,3.3725,4.98283333333,2.263,7.35425000001
240.79,0.33033333333,7.22616666667,0.0389166666658,3.76841666666,-0.19425,5.96366666667,2.739,3.12733333334,1.10725,7.14841666666
241.17,1.31141666667,7.78533333333,1.77625,4.6645,1.72641666667,6.557,4.067,3.83475,1.12883333334,8.86466666667
241.54,2.71191666667,8.03666666667,3.07908333333,5.24008333333,2.93791666667,7.13275000001,4.09616666667,3.91241666667,1.86425,9.11025
241.92,1.61791666667,6.16333333334,1.926,3.5695,1.10441666667,5.25166666666,1.97733333334,2.45258333334,0.372083333334,7.28033333333
242.29,0.926000000003,5.48441666667,1.61433333334,2.37416666667,0.463,4.68883333333,0.854750000001,1.51933333333,-0.700416666668,6.814
242.67,1.00575,5.41566666667,1.5805,2.12208333333,0.674166666668,4.31033333333,0.28725,1.69091666667,-0.696416666668,6.38816666667
243.05,2.04358333333,6.39558333333,2.44591666667,3.293,1.4505,5.019,0.836583333332,2.88016666667,0.2755,7.15800000001
243.42,2.29825,6.34575,2.99166666667,4.03725,2.01858333334,4.95858333333,1.29416666667,3.27116666667,8.33333324999e-05,7.24633333333
243.80,1.54558333333,5.14825,2.76733333334,3.03883333333,1.78583333333,3.87425,0.4075,2.34958333333,-1.32633333334,6.26558333332
244.17,2.44183333333,5.92283333334,4.26008333334,3.35625,2.81583333333,4.92525,1.01833333333,3.19,-0.1765,6.75391666666
244.55,1.70333333333,5.36866666666,3.98883333334,2.17766666667,1.86491666667,4.50616666666,-0.0646666666675,2.12375,-1.01341666667,5.85375000001
244.92,1.17625,5.354,3.94683333333,1.66,1.82508333334,3.441,0.142916666667,2.22066666666,-1.61625,5.79366666667
