wavelength,Back_TanCucf,Belly_TanCucf,Breast_TanCucf,Crissum_TanCucf,Crown_TanCucf,DorTail_TanCucf,Patch10_TanCucf,Patch11_TanCucf,Rump_TanCucf,Throat_TanCucf,WingTip_TanCucf
188.67,-203.5554,-158.222066666,-50.6667333332,-301.7778,-314.6666,-7.55559999994,-238.222266667,-415.777633333,-243.733173333,-39.1111333335,-101.777733333
189.05,-96.9445333333,-81.3889333333,-26.6665999999,-164.166666667,-181.388866667,18.6111666667,-120.277733333,-224.583366667,-132.055626667,-7.77766666666,-50.2776666665
189.43,-54.6296666667,-48.5186000001,-19.2591999999,-92.963,-120.000066667,13.8889333333,-81.1110666666,-136.018566667,-78.5926533333,-7.22226666666,-30.8332666667
189.81,-17.7272666667,-4.39380000002,7.57579999998,-47.7273999999,-66.9698,40.0000666667,-43.0303333333,-79.0152666667,-32.27276,16.0604666667,1.36366666668
190.19,4.5832,21.5278,33.4722666667,-21.9444,-32.6390000001,52.4306,-15.6945333333,-38.8890666667,-7.66671999998,39.5832,25.0695666667
190.57,12.3189333333,21.4493333333,35.3622666666,-28.1159333333,-20.7246,46.8116666667,-19.7101333333,-28.6956666667,-1.68102666666,43.9130666666,25.7248
190.95,16.6666,13.6508666667,34.9206,-24.4444666667,-23.3334,42.1428666667,-24.9206,-38.1748666667,-0.95234666668,56.3490666667,28.3334333334
191.33,27.4830666667,11.2926,41.2244666667,-10.4762,-8.97953333332,41.7007,-7.48286666665,-22.0408333333,5.49661333332,53.1971333333,37.0747
191.71,36.2318666667,22.0289333333,58.8404666667,3.91313333334,1.73933333341,51.6666333334,6.37666666667,-14.2753333333,18.9854800001,69.7102,42.1738333333
192.09,42.1666666667,32.0,63.8333333333,17.8333333333,1.99999999994,62.6666666666,8.66666666668,-18.0,22.4666666667,102.0,46.4166666667
192.47,25.0,29.6666666667,46.5000000001,16.1666666667,-17.6666666667,51.25,10.0,-24.25,15.0666666666,90.6666666667,32.75
192.85,44.1667333333,49.1666,50.2083333333,44.6875333333,16.2501999999,63.9583,32.3959333333,19.5833666667,37.1459333333,83.1250666667,48.1772
193.23,46.8627333333,60.7843333333,62.8430666667,51.5688,25.9803333333,69.2647000001,32.0588666667,27.8431,44.2157599999,84.4117333332,56.2254
193.61,51.5982,68.4018666667,65.1142,56.6210000001,39.0868,67.3974,40.6392666667,39.5891333333,50.6483599999,89.8629333333,63.1964000001
193.99,36.9444666666,49.1666666667,48.8888,43.4722,27.9862,47.2221666667,31.3192666667,26.7709333333,38.0418,70.4861333333,49.4445
194.37,35.2630666667,44.8537333333,40.0,40.8772,27.4268666667,41.7835333333,30.2339333333,23.5671333333,33.4270533333,60.2926,40.9649666667
194.75,34.0000666667,44.4243333334,35.6364,44.2424,22.7273333333,44.0911,31.3938666667,21.6061,32.29092,60.606,40.0605333333
195.13,35.3391333333,46.9616,33.5694,42.7729333333,25.0738,42.7432666667,33.0973333333,25.1916666667,33.8288933333,58.5840666667,40.1768666667
195.51,37.0098666667,46.7157333333,32.598,43.9706,28.3823333333,42.1814666667,32.2058666667,29.0686,34.2156666667,53.9216666667,38.0635333333
195.89,46.4,54.2666,40.2221333333,50.3112,38.4001333333,50.3556333333,39.4222,40.6666,41.2622266667,58.5332666667,45.9555666667
196.27,54.1667333334,62.2368666667,45.3509333333,56.6664666667,44.1666666667,54.7587,45.7894,48.1359666667,48.3859866667,62.3246,52.9166666667
196.65,60.5096666667,67.0913333333,51.2103333333,61.0614666667,50.4882,58.2378333333,48.5352,51.8472333333,52.41616,63.9915333333,57.3461
197.03,62.2986666667,66.6667333333,51.8160666667,61.0116,51.2643333333,56.8276999999,50.4828,50.3218,50.7860133333,63.1264666667,57.3332666667
197.40,67.2340666666,69.8818,53.5223333333,65.2953333333,54.5627333333,58.7706999999,58.1088,54.5625666667,54.7896666667,67.754,61.6075333333
197.78,65.9574,69.3144666666,54.1844,63.7824,52.8605333333,59.7162333334,57.7306,52.0332,52.6525466667,64.7280666667,59.2199
198.16,76.063,80.9448,61.1549333333,74.2782,63.622,72.9131666666,63.4647333333,63.5170666667,59.4015333333,73.6482666667,66.2204666667
198.54,76.9188666667,79.9440666667,59.1035333333,75.2939999999,63.0814,72.6049333333,60.7844666667,64.4539,59.6303333333,73.6694,66.2466333333
198.92,74.7008666666,77.4359333333,59.3732,74.1879333333,63.134,68.1196,61.3676,64.2735666667,58.18812,73.2764,65.5840666667
199.30,71.1451333333,70.9924,59.5928,70.8397333333,59.8472,64.1475,56.2850666667,60.4579333333,53.1602,69.4147333333,62.7991333333
199.68,76.9890666667,77.0969333333,66.5590666667,73.6021333334,64.2472,66.3710333333,59.7312,66.2096333333,54.5483466667,74.5162,70.1345
200.06,72.2866,70.3581333333,61.3774666667,68.9807333333,59.1184,60.0276333333,55.5923333334,61.2397666667,49.76312,71.0744,67.6033333333
200.44,65.7553333333,61.4388666667,56.7866,60.8153333333,55.108,52.2542,50.9352666667,57.3141,44.9304933333,63.9328666667,60.1678
200.82,62.9114,58.6076,55.8648666667,58.017,54.0928666667,50.9704666667,49.4515333333,56.7722333333,44.8102533333,60.3374,57.7847666667
201.19,64.0901333333,60.6952666667,57.4642,59.7137333333,56.1963333333,54.0492333333,51.6566,61.3088,50.3476133333,62.3312666667,58.7729333333
201.57,61.1508666667,56.6269333333,55.119,56.4286,53.3729333333,48.988,47.3412,57.4206333333,46.2142266667,57.1032666667,53.1548666667
201.95,60.2914,54.5354,54.4262666667,57.2313333333,52.2404666667,47.0491333334,47.0308666667,57.6684666667,46.84144,56.1383333333,51.3479666667
202.33,59.588,53.3333333333,55.3184,57.6404666667,52.6592,44.0824333333,47.3409333333,57.0225333333,47.1010666667,56.4418666666,52.1536
202.71,61.5778666667,56.5286,58.8166,60.3550666667,55.5818666667,44.8522333333,49.3492,60.0394666667,50.2169333333,60.0788666667,55.2857666667
203.09,62.716,60.1764,60.1058,62.1869333333,57.4956666667,48.2010666667,49.1358,62.8572333333,52.1058533334,60.2822,57.2487333333
203.47,65.4414666667,65.5856,63.1710666667,65.2612,59.0629333333,53.1711333333,52.6847333333,67.5133333333,57.7801733333,66.0540666667,60.3783666667
203.85,66.0074,67.7656,63.7362666667,69.5236666667,61.8682,55.1465666667,55.7874666667,70.9523333333,62.4834533333,70.4396,60.7143
204.22,64.4898666666,67.1428666667,61.8028,67.4489333333,61.0544666667,53.5374,54.9659333333,69.0305666667,59.8910133333,68.5033333333,60.2210333333
204.60,64.8188666667,68.8407333333,62.826,68.7318,61.3044666667,55.3262333333,54.6737333333,71.0870666667,61.2536933333,70.4348666667,61.5760666667
204.98,65.6805333333,70.7692,63.2346,69.6646666667,60.7100666667,54.8521,54.1617333333,72.6232333333,62.5089066667,71.8343333333,62.4457333334
205.36,65.1626,70.0407333333,60.9348666667,69.8372666667,59.2276,51.2600666667,51.7886,72.1748666667,60.9105866667,70.6098,59.6544
205.74,67.992,73.1727333333,62.6105333333,72.8514666666,61.4459333333,55.2810666667,54.2570666667,74.5583333333,63.8393866667,73.6546666667,63.8152666667
206.12,73.4285333333,82.6190666667,67.6190666667,78.9524000001,69.4760666667,58.6666666667,58.1427333333,81.9761,68.0571333333,81.5715333333,72.5952666667
206.50,69.7746666667,79.5496000001,64.8198,74.4144,65.5404,58.1533,57.2072666667,79.3916666667,65.1172,76.1712,69.5493333333
206.87,67.9701333333,79.7493999999,62.2554,71.7795333333,63.6591333333,54.8120999999,54.8371333333,80.5263666667,63.6692133333,73.4336,67.1928
207.25,66.5129333333,77.0255999999,61.1796,71.3845333333,62.1538666667,53.5642333334,56.5128666667,77.7436333333,61.35372,72.2564,65.8975333333
207.63,65.7742,74.8031333333,59.0026666667,71.3384666667,62.4672666667,51.7582999999,57.0603333333,77.6641666667,58.7507066667,67.7690666667,63.7270666667
208.01,64.2133333333,72.3733333334,58.9333333333,68.8533333333,61.0666666667,50.1066666666,53.8666666667,76.0533333333,57.3333333333,66.0266666666,64.0533333333
208.39,63.6111333333,71.1667333333,59.5555333333,67.0,60.7778,50.9999666666,53.3888666667,76.8333333333,59.9777333333,65.4445333333,63.9445333333
208.77,59.2214,67.2993333333,54.1604666667,62.4816666667,58.4428,46.4233666667,50.7056666667,71.9708666667,56.1071066667,58.4428,58.6374666667
209.14,52.8058666667,60.6234666666,47.482,57.6018,54.7244,37.4819,45.1319333333,65.2278,48.5371466667,54.6762666667,53.6690333333
209.52,53.8646666667,61.6906666667,49.4204,58.8889333333,55.9420666667,39.9033,47.8261333333,65.7730666667,49.20768,57.7778666667,58.2368333333
209.90,53.7467333334,64.5478,47.8035333333,58.6562,56.3308,38.1136666667,47.4935333333,68.0877666667,48.79584,57.5710666667,58.9147333333
210.28,55.3884,61.3032666667,47.3184,58.4460666667,56.5413333333,41.3033,49.0728,68.9722333333,49.2531466667,56.3909333333,57.3183666667
210.66,57.0254666667,59.795,46.3590666667,57.6924,56.6668,38.4871666667,48.0001333333,69.1282333333,48.15384,53.5897333333,56.7435333333
211.03,59.0044666667,59.3506666667,48.6148,59.1341333333,57.9654,44.7836333333,50.8226,66.8397333333,49.41112,55.4978666667,59.1124333333
211.41,58.1014666667,53.5542,44.9006,54.2162,52.9802,41.1037,46.181,64.2163666667,47.28476,51.7880666667,57.2628
211.79,59.9122666667,53.6842,47.1491333334,53.9474,53.4648666667,44.0569333333,46.6228,64.6052,48.8946266667,51.7543333334,59.8246
212.17,57.3612666667,50.1388,41.2960666667,49.9072,50.3703333333,41.2036666667,44.3518666667,60.8333,44.94436,47.3149333333,58.125
212.55,56.1066666667,48.4266666667,37.7066666667,51.04,49.6,38.16,43.2,61.6266666667,40.3413333333,45.3866666667,56.8533333333
212.92,60.2279333333,46.7806666667,42.1084,54.8148666667,52.3078666667,37.6638666667,46.0399333333,65.5840666667,43.4644266667,45.9259333333,61.3675333334
213.30,73.3333333333,54.7798,52.3270666667,67.4214,63.9624,48.5220666667,57.2326666666,79.1510333333,56.1634933333,57.3584666667,70.3459
213.68,71.1551333333,52.2772,47.9867333334,62.5084666667,62.8383333333,44.5546666667,53.2674666667,74.4886333333,52.1452933333,53.2011333333,67.6568
214.06,65.2806,44.2904,44.0263333333,54.8514666667,59.6039333333,39.3397666667,47.9208666667,67.9539666667,47.3532133333,47.7227333333,62.7392666667
214.44,64.2592666667,48.8270666667,43.9506666667,52.1604666667,58.5803333333,36.0494333333,46.7901333333,69.8149666667,49.7653866667,47.4073333333,62.5617333333
214.81,63.3656666667,50.4208,44.7896666667,50.8090666667,57.8640666667,34.2717666667,45.3075333333,74.4011333333,51.8317466667,50.4208666667,63.0743666667
215.19,59.1269333333,45.1588666666,39.4444,43.9682666667,53.9683333333,23.7698,37.8571333333,76.1507333333,48.2699066667,43.4127333333,60.9524666667
215.57,59.009,54.5045333333,39.8198,50.2702666667,62.5226000001,22.7927333333,41.7117333333,85.4504666667,57.6577066666,49.0091333333,65.1352000001
215.95,46.7836666667,50.2922666667,21.0527333333,41.7544,57.6607333334,-2.33923333334,24.5613333333,87.193,48.7719733333,35.7894,53.0408666666
216.32,55.5952666667,58.3333333334,33.4525333333,49.4048,66.0714,-0.41676666666,25.8334,98.5713333333,57.2856800001,38.3334,51.7858333333
216.70,56.4706666667,56.7647333334,37.3529333333,48.7255333333,60.7843333333,5.14696666666,28.4314,88.5783666667,57.4509066667,39.5097333333,46.2254666666
217.08,61.5092666667,64.9057999999,35.346,49.937,67.4213333333,2.70433333334,23.8994,101.446566667,63.5470933333,45.6602666667,48.3018666667
217.46,46.4788,53.615,28.8263333333,39.9061333333,50.2349333333,6.85443333332,19.5305333333,76.1034666667,50.0469999999,32.9577333333,42.5822
217.83,42.1367333333,49.4872666667,32.3076666667,39.7437333333,46.8376,8.54686666666,17.3505333333,70.1282333333,49.70948,30.8544666667,38.8461666667
218.21,41.9512666667,51.1381333333,37.2357333333,44.4716666667,44.0651333333,12.0324666667,20.4878666667,67.1138333333,50.6342,34.6341333333,38.9835666667
218.59,33.2394,46.291,35.7744666667,46.7604666667,40.9389333333,15.3520666667,15.2113333333,57.3708666667,45.55868,30.9859333333,34.5071
218.97,37.6889333333,49.6889333334,37.3334666667,51.4665333333,44.7111333333,24.6667,26.1332666667,59.1999666667,46.36436,36.1778666667,35.7334
219.34,46.5862666667,58.1526,44.2570666667,63.0521333333,52.048,39.3171333333,36.5461333333,67.0681666667,53.012,43.454,39.0762666667
219.72,40.1448666667,53.9132,39.7102,55.942,47.9710666667,37.6086333333,34.3478666667,59.6013666667,40.8987333333,39.2754,34.1304666666
220.10,39.5378666667,50.2310666666,40.5940666667,51.6170666667,46.9966,38.4157666667,38.0197333333,58.4487666667,40.26416,44.4882666667,34.0925333333
220.47,36.9502666666,50.2128,38.5105333333,48.7943333333,45.4610666667,39.3617666667,37.5176,55.4965333333,36.6240533333,44.7516666667,34.5035666667
220.85,36.8116,48.4058,40.5072,46.4494,45.0724666667,41.6665666667,38.2608,55.1811333333,37.8405866667,43.4058666667,36.9927333333
221.23,33.1353333334,46.8648,43.4325333333,42.8382666667,43.5643333333,38.4159,38.9438666667,50.6929,37.2407866667,40.7920666667,35.5775333333
221.61,30.0776,50.6976666666,49.0698,44.0308666667,45.1938666667,39.3412,39.6898,53.2557333333,39.59688,43.4884,37.2480333333
221.98,29.5786,49.1189333333,46.1302666667,43.5248666667,42.9118,37.2031666667,40.6132,52.9119666667,38.5901066667,42.2988,37.6628666667
222.36,38.5662666667,49.5339333333,48.3872,48.0286,48.6738666667,39.9640333333,43.2975333333,58.8528333333,42.39416,46.0932,38.7095666667
222.74,42.2806,46.1988666666,50.7602666667,47.8946666667,49.1813333333,38.4212,45.4387333333,61.4620666667,44.47948,49.2396666667,42.0467333333
223.11,41.5954666667,42.9630666667,47.1796,45.4131333333,48.2621333333,36.7236666667,42.6781333333,56.1822333333,41.4814933333,47.8062,43.9030666667
223.49,39.9466666667,40.6933333333,46.3466666667,41.4933333333,45.8666666667,32.4,40.48,52.3466666667,40.9173333333,46.9333333333,44.3733333333
223.87,46.9516,41.8234,51.3390666667,46.3818,45.7550666667,34.8718333333,42.5639333333,55.2422666667,46.6781733333,50.6553333333,46.0114666667
224.24,52.7635333333,44.9002666667,55.7265333333,51.1681333333,50.5413333333,38.5185666667,45.6979333334,58.718,52.4444,51.9089333333,51.51
224.62,52.1303333333,44.1604,54.7870666667,51.0776,50.7266666667,38.4961666667,46.5162666667,58.6968333333,52.94228,54.1853333333,51.4035
225.00,46.9443333333,38.6112666667,51.1112,49.0556,46.7778,33.5833,39.1666666667,56.2501666667,48.53336,50.5554666667,49.0834
225.38,38.1286,28.1286666667,38.2458,39.0058666667,35.731,25.7018,28.4795333333,47.1344666667,37.2045866667,41.9298,39.2397
225.75,41.003,27.0206,35.6930666667,37.6402,31.6223333333,25.7816,28.3774,47.2271333333,33.42784,41.4160666667,35.3392666667
226.13,44.8888,33.3889333333,39.6666,42.6112,34.6111333333,30.5000666667,31.7777333333,49.8054666667,35.85548,45.6666,38.0277333333
226.51,36.9554666667,26.2467333333,35.2756,34.3830666667,25.5641333333,25.1443333333,26.8766666667,42.0734666667,29.44876,38.1102666667,31.9946666667
226.88,35.0538666667,24.9463333333,31.0751333333,30.0,20.8065333333,23.6021666667,22.7419333333,37.8761666667,26.2901866667,33.3332,28.656
227.26,33.7088666667,23.6619333334,31.9717333333,26.8075333333,19.7652666667,23.3098666667,21.925,33.2159333333,26.00936,30.8451333334,25.5397
227.64,30.247,22.0164666667,29.3415333333,23.0452,18.6832,20.6790333333,19.8353333333,28.4568333333,22.9875866667,27.7777333333,23.0247666667
228.01,30.7071333333,24.3769333333,30.8418,23.7374,23.8719333333,24.3265333333,22.8955333333,28.1817333333,24.41076,28.4175333333,27.6093666667
228.39,28.0974666666,24.2314,29.1020666667,23.1963333333,23.5921333333,22.7093666667,23.1050666667,25.3879666667,23.5615733333,26.3319333333,26.1032666667
228.76,26.0478,24.1349333333,27.4262666667,22.9817333333,21.6033333333,23.4177333333,22.5316666667,23.5864333333,21.9072,22.7566666667,24.9929
229.14,26.5879333333,25.1968666667,26.5091333333,23.5959333334,22.0736,23.8451,23.8845333333,23.5301,22.5300533333,23.0446666667,24.7375333333
229.52,28.4938,26.2716666667,28.9630666666,26.2963333333,24.3209333333,25.9874666667,25.8518666667,25.3210666667,24.9285066667,26.1728,28.1976333333
229.89,24.6192,21.5480666667,25.8677333333,23.0212666667,22.7964666667,22.6215333333,24.4444666667,21.9725666667,23.131,23.1461333333,26.3046333333
230.27,23.5100666667,19.5706666667,24.8485333333,20.5304,22.7526,21.2121666667,24.6464666667,21.4268333333,22.7979866667,22.8536,26.0605333333
230.65,25.8233333333,21.9761333333,26.4822,22.7668666667,26.693,23.8472333333,28.4322,24.0712333333,26.5558933333,25.4545333333,28.8668333333
231.02,23.8056666667,20.5938666667,24.1025333333,22.1323333333,24.3724,20.4857333333,27.3413333333,21.5518,24.5398266667,23.4008666667,27.1525
231.40,21.4327333333,19.3567333334,23.8012,23.0994666667,23.1870666667,17.0029333333,26.0234666667,20.8626333333,23.0408666667,20.7309333333,26.0526
231.78,22.5442666667,19.9033333333,25.2174,24.6376666667,22.4153333333,16.8116,27.6650666666,20.5312333333,23.7230133333,20.6440666667,27.359
232.15,13.5970666667,12.0151333333,16.0452666667,16.4970666667,11.8266666667,5.76269999999,19.9622666667,13.4651333333,16.2636533334,11.8642,17.0434666667
232.53,8.57726666667,6.3008,13.1707333333,13.1302,5.69119999999,0.71123333334,14.5528,8.76013333333,10.17056,6.87006666667,13.008
232.90,9.12953333333,3.90666666667,12.3141333333,11.5499333333,4.20386666666,-3.6731,13.3332,7.7283,9.74101333331,5.90233333333,12.8874666667
233.28,9.16139999999,3.91393333335,14.4516,10.7956666667,4.43006666666,-5.22566666666,11.9139333333,8.38706666666,12.4471866667,5.67746666667,13.5483666667
233.66,10.7430666667,5.13813333332,14.9468666667,12.9510666667,5.22286666668,-3.60933333333,11.7198,10.1699666667,15.1082133333,5.4354,13.7581
234.03,17.3404,14.0933333333,19.4128,18.8256,12.0208,6.25213333335,16.2693333333,15.7338666667,19.5648133333,13.5751333333,17.7202333333
234.41,13.2038,9.96766666666,14.3364666667,15.0809333333,7.79940000001,5.67956666668,11.424,12.0063333333,14.5242933333,8.51133333334,14.3203333333
234.78,12.7727333334,12.8318,15.0444,16.5781333333,9.08560000001,8.3185,11.0914,13.2448333333,14.2832933333,11.0914666667,17.2272333333
235.16,14.5939333333,15.2101333333,16.9748666667,17.1989333333,12.1569333333,10.6022666667,12.5771333333,15.2101333333,16.6106,12.8291333333,18.0254333333
235.54,13.1111333333,14.0279333333,14.7222,14.7222,10.8612666667,11.0138333333,11.4166666667,12.4029333333,16.7279066667,13.0833333333,17.6527666667
235.91,10.6612,11.5328666667,12.1518,11.6174,9.47966666667,9.19830000001,9.36713333333,10.3236333333,15.08308,11.9832,15.4711333333
236.29,12.3265333333,14.1496666667,14.8301333333,14.5306,12.8979333333,12.5850666667,13.0339333333,11.6054,17.29528,14.3942666667,19.4285666667
236.66,13.3598,15.6085333333,14.4443333333,14.5238,13.4656,14.1800333333,14.7354,11.4418,18.8146266667,15.3969333333,20.8597
237.04,14.8814,18.1274,16.5294,15.5556,14.7317333333,17.3033333333,17.4284,12.5592333333,21.3333866667,18.1773333333,21.3483333333
237.41,13.1394,17.0423333333,13.2848666667,14.4485333333,11.2242,15.2245333333,15.903,9.98786666667,19.1079333333,16.0484666667,18.8000333333
237.79,10.2728,14.4958666667,9.32393333333,10.4863333333,7.59180000001,12.3487,12.9773333333,6.71406666666,15.75328,12.6452666667,14.0212666667
238.17,7.87433333333,11.6729333333,8.37733333334,8.32706666666,5.30826666666,11.1949666667,11.3208,4.71696666667,13.9772533333,9.68566666667,13.7232666667
238.54,8.55386666666,13.0883333333,9.77946666666,9.11766666667,6.56866666666,10.7966,12.5980666667,4.97556666667,14.0391333333,11.5442,14.1788333334
238.92,5.72766666667,9.64786666667,7.32386666667,6.45546666666,3.7794,8.169,9.90606666665,1.70196666666,10.6854133333,9.36613333333,10.4460333333
239.29,5.44853333333,9.30239999999,5.936,5.31566666666,2.94573333334,8.4054,9.03660000001,1.0633,9.00548,9.01446666667,10.2215
239.67,7.03806666666,10.0098,6.00193333334,6.25613333334,4.08606666667,8.51406666667,9.97066666667,4.34013333333,9.79466666668,9.03220000001,10.8504
240.04,9.00993333334,11.2046666667,7.82193333333,8.54800000001,6.0396,10.6683333333,11.4027333333,5.46213333333,10.8548266667,10.0165333333,12.4917
240.42,9.29093333334,10.6808,8.19853333333,8.32606666667,6.8226,10.7448,10.922,6.4538,10.8028133333,9.80146666667,11.6667333333
240.79,8.31126666665,9.70273333334,7.6914,6.94493333333,5.9708,9.29156666667,10.0064,6.40736666667,9.87985333334,9.01946666667,10.5058333333
241.17,6.59866666666,7.82306666667,5.873,5.40806666666,4.5804,7.33563333333,8.01579999999,5.36276666667,7.92518666667,6.89333333334,8.9454
241.54,7.87966666667,8.97233333333,7.50873333333,6.2054,6.72666666667,9.10790000001,9.7244,6.5863,8.95238666666,8.66166666667,10.7818333333
241.92,8.13893333334,9.58386666667,8.31273333333,6.6208,7.89206666667,9.25930000001,10.2423333333,6.87256666667,9.12480000001,9.24553333333,12.0394666667
242.29,8.58113333333,10.2602,8.68186666667,7.01099999999,8.41313333334,9.35783333334,10.7222,7.2417,9.69605333333,9.79846666666,11.7884333333
242.67,8.28193333333,10.1821333333,8.71733333334,7.10993333333,8.15513333333,9.30309999999,10.2690666667,7.42683333333,9.83849333333,9.35066666666,11.1323
243.05,8.60340000001,10.4396666667,8.81179999999,6.88286666667,8.1636,9.02403333333,10.2546666667,7.86273333333,10.0803333333,9.00466666667,11.3773666667
243.42,8.78493333333,10.1523333333,9.30519999999,7.16473333333,8.37606666667,8.92623333333,10.6652,8.20523333333,10.5596,9.0896,11.7576333334
243.80,8.44933333335,9.8478,9.29706666667,6.60146666667,8.31886666667,8.93836666667,10.1885333333,7.65596666667,10.21024,9.0364,11.3043666667
244.17,7.44593333333,8.83833333334,8.05933333333,5.60606666667,7.3882,7.89690000001,9.09099999999,7.24396666667,9.48482666666,8.54986666667,10.6854333333
244.55,7.81293333333,8.9944,8.17159999999,5.92833333333,7.44033333333,8.42459999999,9.21946666667,7.65483333333,9.79741333335,8.734,11.1322
244.92,8.6192,9.62880000001,8.79293333332,7.14153333333,8.238,9.46176666667,9.73586666667,8.539,10.6131066667,9.71586666667,11.8321333333
245.30,8.68126666667,9.71653333335,9.21746666668,7.406,8.33633333333,9.44250000001,9.83979999999,8.24703333333,10.4594666667,9.96313333334,11.9532666667
245.67,7.7272,8.43786666667,8.0252,6.3286,7.09093333333,8.03096666666,8.44366666667,7.3087,9.19678666666,8.7474,10.7508666667
246.05,8.18606666667,8.89926666667,8.55806666667,6.95606666667,7.4626,8.51933333333,8.99726666667,7.58143333333,9.58454666666,9.23006666667,10.9509
246.42,8.26973333333,8.779,8.5666,7.00606666667,7.6144,8.61856666666,9.156,7.5201,9.39552,9.08046666667,11.3178333333
246.79,7.99566666667,8.51666666667,8.43006666667,6.78386666667,7.30513333333,8.46256666667,9.12473333334,7.09233333333,9.30986666667,8.96413333333,11.4375666667
247.17,7.76106666667,8.3302,8.31433333333,6.68673333333,7.16773333333,8.34233333333,9.13226666667,6.829,9.16334666667,8.8354,11.4070666667
247.54,7.65666666667,8.36106666667,8.35333333333,6.75033333333,7.03226666667,8.33986666667,9.04626666667,6.65543333333,9.12552,8.70366666667,11.3820333333
247.92,7.66426666667,8.3974,8.39386666667,6.9048,7.0166,8.2598,9.29833333333,6.74473333333,9.14037333333,8.61346666667,11.5838666667
248.29,7.852,8.78179999999,8.86606666667,7.20646666667,7.34126666666,8.59763333333,9.62440000001,7.1973,9.35524,8.82566666666,11.7488333333
