wavelength,Back_IncOrtf,Belly_IncOrtf,Breast_IncOrtf,Crissum_IncOrtf,Crown_IncOrtf,DorTail_IncOrtf,Patch10_IncOrtf,Patch11_IncOrtf,Rump_IncOrtf,Throat_IncOrtf,WingTip_IncOrtf
208.39,-145.936888889,-168.988111111,-159.038111111,-170.315111111,-189.386333333,-186.899,-150.746333333,-173.631888889,-159.701444444,-178.607,-184.908888889
208.77,-153.086333333,-181.481444444,-166.137555556,-177.954222222,-202.292777778,-197.354444444,-159.788444444,-184.656111111,-173.721444445,-189.947111111,-194.885333334
209.14,-127.623444444,-152.932,-136.882666667,-152.006222222,-171.913777778,-166.821,-137.808666667,-160.031,-147.068,-163.734666667,-166.975222222
209.52,-139.105444444,-163.059333334,-144.300333333,-162.481888889,-180.808111111,-172.005777778,-151.803666667,-164.069333333,-155.555555556,-177.489111111,-178.066222222
209.90,-134.880444445,-160.337555556,-143.882,-159.634333333,-184.669444445,-170.323444445,-153.305222222,-165.541555555,-150.492222222,-180.028111111,-175.386777778
210.28,-104.728222222,-124.940777778,-115.484555555,-126.832,-148.699777778,-139.834555555,-130.023666667,-133.333555555,-117.375777778,-147.045,-136.997666667
210.66,-131.216888889,-147.619,-136.772444444,-152.248666666,-177.116333333,-167.592555555,-158.730111111,-167.195777778,-141.005444444,-175.793444444,-158.862555556
211.03,-148.484888889,-165.079333333,-156.277,-166.666666667,-193.073666667,-187.013,-179.509333333,-188.888777778,-157.431444444,-194.227888889,-175.324888889
211.41,-167.579888889,-176.103666667,-177.473444444,-180.669777778,-208.980222222,-201.674222222,-193.759555555,-208.980333333,-173.516111111,-212.176555556,-191.019888889
211.79,-144.846111111,-149.665333333,-160.107222222,-155.689333333,-176.572888889,-176.305222222,-168.808444444,-180.990666667,-150.468555556,-185.274444444,-166.131333333
212.17,-164.765888889,-167.543888889,-182.017666666,-173.830444444,-195.468,-200.731111111,-187.573111111,-196.491333333,-167.543888889,-207.456111111,-185.964888889
212.55,-166.666666666,-176.851888889,-185.185111111,-173.148222222,-195.679111111,-204.784222222,-189.506333333,-196.605111111,-171.605,-217.438222222,-194.290111111
212.92,-135.475111111,-143.775111111,-150.468555556,-138.420333334,-153.681333334,-163.186111111,-151.137888889,-157.161777778,-136.546111111,-174.832666667,-157.563555556
213.30,-137.083333333,-142.222222222,-153.888888889,-135.972222222,-152.361111111,-160.555555556,-147.222222222,-152.222222222,-135.694444444,-173.75,-148.055555556
213.68,-121.045666667,-122.222111111,-140.261333334,-115.947777778,-130.326666667,-136.470666667,-127.058777778,-138.169777778,-118.823555556,-150.196,-123.921666666
214.06,-117.385666667,-110.718888889,-127.973888889,-107.058777778,-112.810555555,-123.660111111,-114.771222222,-124.967222222,-110.065222222,-137.254777778,-111.111111111
214.44,-133.766333333,-122.077888889,-143.434222222,-120.779333333,-124.098111111,-133.188777778,-125.396888889,-140.548222222,-129.725888889,-153.102555555,-123.088
214.81,-122.792111111,-106.552666667,-128.917222222,-107.834777778,-111.965666667,-120.797555556,-109.401777778,-125.926,-115.242111111,-136.324777778,-110.683777778
215.19,-119.128,-101.828555556,-122.362888889,-106.891666667,-109.845222222,-112.517555556,-99.4374444443,-121.097,-106.047888889,-129.817111111,-109.001333333
215.57,-144.781111111,-126.262666667,-149.495,-132.491555556,-144.276222222,-136.027,-118.350222222,-151.178333333,-127.609444444,-164.983222222,-142.424111111
215.95,-138.119777778,-118.974333333,-135.555666667,-130.427444444,-148.376,-130.256444445,-109.743777778,-145.640888889,-121.880222222,-160.170888889,-137.777666667
216.32,-131.343111111,-109.286777778,-125.373,-128.358111111,-144.610111111,-117.578777778,-107.960222222,-140.796,-122.388111111,-153.067888889,-135.489222222
216.70,-137.542,-110.774444445,-131.649777778,-137.373666667,-156.565777778,-116.666666666,-121.717333334,-151.515222222,-127.609333333,-158.417666667,-135.185
217.08,-180.041,-152.263444445,-172.428,-181.481444445,-215.637777778,-156.173,-166.460888889,-204.321,-176.543222222,-210.082222222,-175.72
217.46,-204.964666666,-176.359333334,-186.761111111,-209.692666667,-251.064,-179.905444444,-195.981111111,-238.061444444,-201.418444445,-241.607555556,-213.711666667
217.83,-183.091888889,-155.314,-158.454,-187.439555556,-230.917777778,-171.980555556,-178.260777778,-212.077444444,-176.811555556,-229.468444445,-197.101444444
218.21,-222.222222222,-190.028444444,-193.732222222,-218.518555555,-276.353222222,-215.954555555,-217.094111111,-249.572666667,-208.831777778,-274.358888889,-238.746555555
218.59,-227.920222222,-193.162555556,-195.441444445,-224.216666667,-277.492888889,-221.937444444,-229.059777778,-255.555444445,-200.854666667,-275.783666666,-245.869
218.97,-283.154111111,-255.913888889,-261.290333334,-287.813777778,-358.064555556,-275.985777778,-298.566333333,-319.354888889,-241.218444444,-358.422888889,-308.243777778
219.34,-193.611111111,-189.722222222,-182.5,-214.722222222,-262.222222222,-200.833333333,-218.888888889,-231.388888889,-171.666666666,-271.944444444,-214.722222222
219.72,-132.444444444,-134.444444444,-130.666666667,-157.777777778,-176.222222222,-145.111111111,-166.0,-165.555555556,-123.777777778,-190.0,-141.555555556
220.10,-242.539555556,-251.746111111,-250.476222222,-267.619111111,-286.666555556,-253.651,-303.174555556,-284.444333333,-226.349111111,-318.730111111,-253.333222222
220.47,-245.751555555,-260.457444444,-263.398666667,-265.359444444,-281.699444445,-266.339777778,-314.052222222,-281.699333333,-227.450888889,-323.202555556,-241.503333333
220.85,-232.732666667,-250.450666667,-244.444555555,-243.843666667,-253.753888889,-250.450444444,-297.898,-265.165111111,-214.114111111,-300.600666667,-234.234333333
221.23,-293.189888889,-322.222444444,-312.544888889,-315.412222222,-308.602111111,-326.523333333,-393.548444445,-332.975,-269.892666666,-384.587777778,-310.394333333
221.61,-220.899333333,-251.587222222,-242.857222222,-237.037,-229.365,-260.582,-305.290888889,-260.582111111,-209.523666667,-296.825333333,-231.746
221.98,-327.083333333,-373.611111111,-352.430555556,-346.527777778,-330.902777778,-377.083333334,-447.222222222,-390.277777778,-310.069444445,-416.319444445,-339.236111111
222.36,-278.888888889,-323.611111111,-288.333333333,-298.333333334,-287.5,-320.555555556,-378.888888889,-332.222222222,-280.833333333,-349.166666667,-293.055555556
222.74,-408.888888889,-460.740555556,-406.666666667,-418.148222222,-418.148222222,-449.259333333,-534.814666667,-454.444555556,-413.333333333,-485.185,-421.481555555
223.11,-417.361111111,-450.0,-421.875,-426.388888889,-420.138888889,-458.333333333,-529.166666667,-457.638888889,-425.347222222,-477.430555556,-430.555555556
223.49,-557.333333333,-571.111111111,-566.222222222,-563.111111111,-548.444444444,-607.555555555,-699.111111111,-607.555555556,-574.222222222,-625.777777778,-579.111111111
223.87,-503.968333333,-498.015888889,-488.095222222,-502.380888889,-482.539666667,-538.888888889,-611.904777778,-513.888666667,-491.666777778,-550.0,-502.777777778
224.24,-288.395,-278.518555555,-268.642,-283.456777778,-274.568,-308.148111111,-341.234444444,-289.876555556,-275.802444445,-308.395111111,-280.246777778
224.62,-235.596888889,-229.835555556,-222.222222222,-234.773666667,-225.720111111,-250.411555555,-276.337555555,-240.740888889,-226.954888889,-249.794111111,-240.946555555
225.00,-186.401444445,-183.250666667,-183.084666667,-188.557333333,-182.918777778,-202.487444444,-215.257,-184.411333334,-176.119444444,-195.522444445,-194.693222222
225.38,-153.846111111,-145.584,-148.717888889,-150.712333333,-148.148,-162.393222222,-166.239333333,-143.02,-136.894888889,-156.125444444,-153.418777778
225.75,-187.727888889,-169.320111111,-179.436111111,-183.416111111,-175.124444445,-191.542222222,-195.522222222,-166.998222222,-156.218888889,-183.582111111,-181.923666666
226.13,-144.18,-128.306666666,-140.211666666,-147.354666667,-137.566111111,-146.560777778,-149.074,-127.116333333,-122.751444444,-141.137333333,-142.857222222
226.51,-119.614444444,-99.8867777779,-119.728111111,-125.963666667,-111.791333333,-118.027,-123.469444444,-99.8866666667,-100.453444445,-117.233555556,-121.428555555
226.88,-77.2946666667,-62.7213333333,-78.2608888889,-84.4606666667,-73.2688888889,-77.0533333333,-77.2946666665,-64.1706666667,-62.5604444445,-77.2946666667,-78.9048888888
227.26,-60.5691111111,-49.5257777778,-57.0462222222,-64.4985555555,-55.0137777778,-58.1301111111,-61.7207777778,-45.596,-48.1706666667,-58.4687777778,-59.6205555556
227.64,-48.6037777778,-40.3987777778,-43.0197777778,-49.4586666667,-41.6524444444,-43.5897777778,-49.6864444445,-31.3388888889,-37.6068888889,-43.5897777778,-45.812
228.01,-40.9067777778,-37.6681111111,-38.9637777778,-42.85,-36.1732222222,-37.0702222222,-43.7467777778,-28.6498888889,-34.529,-38.7643333333,-40.3088888889
228.39,-35.9788888889,-33.7302222222,-35.538,-38.492,-32.6277777778,-33.4653333333,-40.4322222222,-25.0882222222,-31.9224444444,-35.4937777778,-36.1551111111
228.76,-29.9921111111,-27.5447777778,-29.1376666667,-32.945,-27.6612222222,-27.933,-34.9263333333,-19.9688888889,-26.651,-31.1576666667,-28.3994444444
229.14,-28.3951111111,-25.9623333333,-26.761,-30.7915555556,-26.0713333333,-25.926,-34.0593333333,-18.4822222222,-26.0348888889,-29.7748888889,-26.1074444445
229.52,-25.4545555555,-24.3771111111,-24.478,-28.5857777778,-24.0066666667,-24.6464444445,-32.6936666666,-17.2726666667,-24.8822222222,-27.1715555556,-23.4007777778
229.89,-21.526,-21.2535555556,-21.6772222222,-25.1287777778,-20.89,-20.1936666667,-28.0651111111,-14.5625555556,-22.5855555556,-22.9186666667,-20.0423333333
230.27,-21.0106666667,-20.1242222222,-22.0154444445,-24.675,-21.6903333333,-20.4491111111,-27.5711111111,-12.9432222222,-22.1631111111,-23.4338888889,-19.4444444444
230.65,-22.0705555556,-22.3436666667,-24.0738888889,-25.1365555555,-23.3758888889,-21.615,-28.9921111111,-14.3896666667,-22.7382222222,-25.349,-19.3382222222
231.02,-25.0552222222,-25.7788888889,-27.1953333333,-27.636,-25.8734444444,-25.4326666667,-33.648,-17.0601111111,-25.8732222222,-29.5246666667,-21.215
231.40,-24.2395555556,-25.7444444445,-27.8257777778,-28.0177777778,-26.0324444445,-25.9044444444,-33.6535555556,-18.9881111111,-26.8652222222,-31.3161111111,-21.2936666667
231.78,-23.0498888889,-24.4826666667,-27.1251111111,-27.6983333334,-26.4566666667,-26.8385555556,-34.0338888889,-20.2801111111,-26.966,-32.0597777778,-21.1077777778
232.15,-23.587,-23.3918888889,-25.5684444444,-27.4853333333,-26.6082222222,-27.5827777778,-35.0878888889,-20.5003333333,-27.258,-32.2288888889,-20.4678888889
232.53,-20.9984444444,-22.0611111111,-22.3511111111,-24.9276666667,-23.9936666667,-25.3784444445,-33.3011111111,-18.6151111111,-25.3137777778,-29.4363333333,-17.5201111111
232.90,-20.5571111111,-22.2863333333,-22.6706666667,-24.0474444445,-22.8626666667,-25.008,-32.5967777778,-18.6358888889,-24.7198888889,-28.1781111111,-16.8427777778
233.28,-17.8152222222,-20.329,-21.8806666667,-23.0292222222,-21.136,-23.8671111111,-29.2054444444,-17.6907777778,-23.9913333333,-25.7914444444,-15.7045555555
233.66,-16.1751111111,-16.7708888889,-19.3924444444,-20.6434444445,-18.3498888889,-20.286,-26.1542222222,-14.656,-22.8476666667,-22.252,-13.4644444445
234.03,-11.2567777778,-12.7734444444,-14.0566666667,-15.4272222222,-14.0566666666,-16.3897777778,-21.2597777778,-9.12777777776,-18.1102222222,-17.177,-8.9531111111
234.41,-9.0471111111,-9.69744444443,-10.8848888889,-12.2985555556,-9.61255555555,-13.0901111111,-17.8964444444,-6.84200000001,-15.3518888889,-12.8073333333,-5.45666666666
234.78,-7.1258888889,-7.17855555556,-8.76211111111,-11.2432222222,-7.62733333333,-11.9292222222,-15.5977777778,-5.85911111113,-13.9613333333,-9.65944444443,-3.72133333333
235.16,-4.96344444446,-5.21544444444,-7.45777777777,-9.82622222223,-5.87044444443,-9.67466666666,-13.3535555556,-4.23277777778,-12.2952222222,-6.95388888888,-2.01544444444
235.54,-3.90911111111,-4.5251111111,-6.32555555556,-9.00266666667,-5.09366666667,-8.74188888889,-12.2956666667,-2.70088888889,-10.4003333333,-6.01755555554,-1.32666666667
235.91,-4.82477777777,-4.91777777778,-7.46922222222,-9.39455555557,-5.428,-8.8841111111,-12.0622222222,-2.94588888889,-10.5312222222,-6.37911111111,-2.134
236.29,-3.34666666667,-3.48066666667,-6.98333333332,-7.45211111111,-3.63677777777,-7.65299999999,-9.72777777779,-0.959333333337,-8.72377777777,-3.90455555557,-1.56166666667
236.66,-3.05222222222,-2.85466666668,-6.93877777777,-6.89511111111,-3.294,-7.33422222223,-9.77166666666,-0.54888888889,-7.77355555555,-3.22822222222,-1.25177777778
237.04,-3.93977777778,-3.05433333333,-7.48133333332,-7.45899999999,-4.33833333332,-9.03055555556,-10.8233333333,-1.10666666667,-7.65833333332,-4.18311111111,-2.03622222222
237.41,-4.56744444445,-2.85455555556,-7.44411111111,-6.98288888889,-3.77688888889,-9.17877777779,-11.5941111111,-1.40533333333,-7.26822222223,-5.07233333333,-1.032
237.79,-4.79644444444,-3.54233333333,-8.47100000001,-7.23866666667,-4.35622222222,-10.2968888889,-12.3431111111,-2.574,-7.34877777777,-7.21677777777,-2.04633333334
238.17,-9.48255555557,-7.05044444445,-13.1637777778,-11.5127777778,-8.70133333334,-15.2164444445,-17.7824444444,-7.38511111113,-11.825,-11.7803333333,-6.96099999999
238.54,-11.176,-9.61955555558,-15.3697777778,-12.6676666667,-11.3705555555,-16.6016666667,-19.5417777778,-9.01411111111,-12.9918888889,-13.8781111111,-8.38744444447
238.92,-11.8211111111,-10.2548888889,-15.9774444444,-13.0533333333,-12.4893333333,-16.2906666666,-20.3425555556,-8.39599999998,-12.6984444444,-15.1211111111,-8.50055555558
239.29,-11.288,-9.5771111111,-15.1424444444,-12.5663333333,-12.1731111111,-15.0051111111,-19.9998888889,-7.57111111111,-11.819,-14.5328888889,-7.86622222222
239.67,-11.7917777778,-9.4737777778,-14.8823333334,-12.2331111111,-12.3255555556,-14.1096666667,-19.8675555555,-7.45044444445,-11.9205555556,-14.1465555556,-7.48711111112
240.04,-9.77444444447,-7.5522222222,-12.5313333333,-9.92477777777,-10.493,-11.1778888889,-17.594,-5.46366666668,-9.80788888889,-11.6292222222,-4.812
240.42,-10.0956666667,-7.78066666668,-12.2014444444,-9.9461111111,-10.6932222222,-10.6481111111,-17.2341111111,-5.2121111111,-9.21455555557,-11.8877777778,-4.54011111111
240.79,-9.17355555557,-6.52422222222,-10.8607777778,-8.83077777777,-9.34488888888,-8.97588888888,-15.1312222222,-3.55866666667,-8.34322222222,-10.808,-3.36088888889
241.17,-7.83755555556,-5.37111111111,-9.17455555555,-7.37677777778,-7.4688888889,-6.73122222221,-13.301,-1.63666666667,-7.33055555556,-9.16333333333,-1.93633333333
241.54,-6.72622222222,-4.48766666667,-7.599,-6.675,-6.73633333333,-5.51433333333,-11.9121111111,-0.123333333334,-6.22322222222,-7.743,-0.84211111111
