wavelength,Back_PooCinf,Belly_PooCinf,Breast_PooCinf,Crissum_PooCinf,Crown_PooCinf,DorTail_PooCinf,Patch10_PooCinf,Rump_PooCinf,Throat_PooCinf,WingTip_PooCinf
572.83,12.8451,50.6425666666,50.7509666667,46.4560666667,8.20500000001,7.34773333333,40.5042,16.5876888889,52.303475,8.02580000001
573.17,12.8760555555,50.7033,50.8261666667,46.5227333333,8.23439999999,7.37873333333,40.5666,16.6186222222,52.3622666667,8.06826666667
573.51,12.9082666667,50.7241666667,50.8579666667,46.5596666667,8.26233333333,7.41653333333,40.5892666667,16.6434888889,52.390625,8.11073333334
573.85,12.8974888889,50.6616666667,50.8454,46.5214666667,8.255,7.41033333333,40.5495333333,16.6188444444,52.3407333333,8.0978
574.19,12.8956222222,50.6857,50.8813666667,46.5044,8.25859999999,7.39606666666,40.5518666667,16.6220444445,52.3411583333,8.09993333334
574.53,12.9044222222,50.7412666667,50.9562666667,46.5406,8.25106666666,7.39633333333,40.6028666667,16.6252444444,52.4185666667,8.09353333334
574.87,12.886,50.7665666667,51.0029666667,46.5680666667,8.2346,7.36899999999,40.613,16.6239333333,52.426925,8.10453333334
575.21,12.9060111111,50.8047,51.0166,46.5896666667,8.25906666666,7.38526666666,40.6318666666,16.6356222222,52.4456666667,8.15126666666
575.55,12.9151444444,50.8152333333,51.0297,46.6088,8.27273333333,7.37540000001,40.6176,16.6416222222,52.4589833333,8.16040000001
575.89,12.9177111111,50.8202666667,51.0670666667,46.6273333333,8.26719999999,7.38033333333,40.6164,16.6438666667,52.4589,8.15626666667
576.22,12.9291,50.8385,51.0778,46.6391333333,8.27666666666,7.3732,40.6198666667,16.6313111111,52.479025,8.16860000001
576.56,12.9230222222,50.8646333333,51.1190666667,46.6625333334,8.26333333333,7.38193333333,40.6228666667,16.6500222222,52.5016333333,8.15339999999
576.90,12.8601777778,50.8746333333,51.1064,46.6543333333,8.22153333333,7.32893333333,40.569,16.5894222222,52.4950333333,8.09766666666
577.24,12.8171444444,50.8882,51.1139,46.6396,8.18439999999,7.27926666666,40.5244,16.5621111111,52.5088833333,8.05639999999
577.58,12.8189333333,50.9962,51.1846,46.7044666667,8.17926666666,7.25833333333,40.554,16.5815111111,52.590725,8.06633333332
577.92,12.8083,51.0038333333,51.1751333333,46.7433333333,8.16466666667,7.2372,40.5330666667,16.5594888889,52.6227,8.06479999999
578.26,12.8025777778,51.0465666667,51.1594,46.792,8.15166666667,7.22626666667,40.5184,16.5614666667,52.6324833333,8.06580000001
578.60,12.8620222222,51.0957,51.1862666667,46.8464666667,8.21113333333,7.28593333334,40.5453333333,16.6203555555,52.7069333333,8.11513333333
578.94,12.8623777778,51.0844,51.2070333333,46.8529333333,8.21153333333,7.30326666667,40.533,16.6205777778,52.7231333333,8.10040000001
579.28,12.8312444445,51.1666,51.3057333333,46.9288,8.20066666666,7.29713333333,40.5692666667,16.6172666667,52.797725,8.0712
579.61,12.8042111111,51.1741666667,51.2650666667,46.9372,8.18913333334,7.29399999999,40.5264666667,16.5783111111,52.801375,8.06259999999
579.95,12.8448333333,51.2219666667,51.3103,46.9956,8.22933333334,7.34573333334,40.5456666667,16.6320444445,52.8328666667,8.11806666667
580.29,12.8613555556,51.2372666667,51.3135333333,47.0383333333,8.24139999999,7.34539999999,40.5498,16.6044,52.8559083333,8.11913333333
580.63,12.8740888889,51.1997,51.2893666667,47.0128666667,8.24366666667,7.36619999999,40.5223333334,16.6279777778,52.8540083333,8.13953333334
580.97,12.9148,51.1925,51.2876666667,47.0224,8.2828,7.42033333334,40.5254666667,16.6559111111,52.8293083334,8.17093333333
581.31,12.9234777778,51.1670666667,51.2369333333,47.0169333333,8.28993333333,7.44539999999,40.5214666667,16.6560888889,52.7994166667,8.18499999999
581.65,12.9413888889,51.1936,51.2928,47.0791333333,8.2946,7.4574,40.5785333333,16.6687555555,52.8600833333,8.19786666666
581.98,12.9613111111,51.1897666667,51.3157666667,47.0995333333,8.32413333333,7.48906666667,40.5942666667,16.6706444444,52.91105,8.21579999999
582.32,12.9495222222,51.1797333333,51.3036,47.0959333333,8.31313333334,7.48639999999,40.6094666667,16.6280444445,52.8775666667,8.20713333334
582.66,12.9738555556,51.1813333333,51.3361333333,47.141,8.32653333334,7.47339999999,40.6281333333,16.6386,52.9118,8.22886666667
583.00,13.0004333333,51.2109333333,51.3509,47.1726,8.34913333333,7.50333333333,40.6451333333,16.6641333333,52.9610833333,8.27260000001
583.34,13.0251,51.2876,51.4526666667,47.2404666667,8.37420000001,7.51033333333,40.7282,16.7006666667,53.048475,8.30040000001
