wavelength,Back_PooCaem,Belly_PooCaem,Breast_PooCaem,Crissum_PooCaem,Crown_PooCaem,DorTail_PooCaem,Patch10_PooCaem,Patch11_PooCaem,Rump_PooCaem,Throat_PooCaem,WingTip_PooCaem
183.35,92.4216296296,58.718,61.5385,88.9743333335,121.282166666,120.000166667,67.6923333334,113.589833333,128.974333333,24.6153333333,59.2308333334
183.73,79.8904259259,55.164,54.2255,72.7698333333,106.807333333,107.746333334,67.6058333334,100.0,112.910833333,19.7181666666,55.399
184.11,76.4131851852,52.924,41.5205,62.2808333334,95.6138333335,105.5555,59.0643333333,99.7076666665,106.432833333,-1.16966666666,45.3215
184.49,70.9151111111,55.3921666666,49.0196666667,58.5786666668,81.3725,92.1568333333,47.0588333334,89.9511666668,93.1373333331,1.71566666665,37.2548333333
184.87,67.8063148148,53.8461666667,52.7778333333,53.846,72.0085,86.3246666666,47.8633333333,89.5299999998,80.7693333334,11.9658333333,35.8976666666
185.25,70.338962963,50.8473333333,52.8245,66.6666666665,76.8361666667,94.6328333333,48.5875,113.276833334,85.5933333334,7.06233333333,28.5311666667
185.63,65.226462963,48.1483333333,46.5276666667,59.2593333332,68.9815,87.0373333334,45.3705,105.786833333,71.0648333333,14.8146666667,33.1018333334
186.01,58.4765185185,48.3566666666,35.4461666667,49.2958333333,59.3896666667,80.5166666666,37.5586666667,103.286333334,57.9813333334,9.85900000002,25.8215
186.39,47.4136481481,27.8736666667,4.88516666665,31.0346666667,47.4136666667,63.5056666667,12.3563333333,99.4253333335,40.5173333334,-19.2528333333,6.03450000002
186.77,44.5678703704,16.2961666667,-27.0368333333,14.074,35.185,57.7776666667,-4.815,101.481666667,37.037,-29.6293333334,-8.51866666667
187.15,40.2648148148,5.71416666665,-64.2856666667,17.143,24.7618333333,58.0953333333,-21.9048333333,105.714333333,31.9048333333,-59.524,-31.905
187.53,47.4312037037,-9.14,-76.8815,38.172,27.9571666667,68.2796666667,-30.1076666667,113.440833333,25.8065,-80.6449999999,-37.0966666667
187.91,57.7267407407,-41.9541666667,-85.0573333334,47.126333333,32.7586666667,70.115,-36.7816666669,118.390666667,16.0918333333,-76.4368333333,-58.6206666665
188.29,74.1452592592,-59.6153333335,-75.0,87.8206666665,64.7435,82.0511666667,-4.48733333335,141.025666667,42.9486666666,-74.3588333331,-58.9744999998
188.67,89.0209629631,-203.5715,-267.857,75.0001666665,58.3333333333,73.8093333331,-52.381166667,176.190666667,11.9046666665,-151.1905,-114.285833333
189.05,223.518518519,-205.0,-338.333333333,160.0,170.0,163.333333334,5.0,276.666666667,33.3333333335,-178.333333334,-76.6666666665
189.43,129.118703703,-33.3335,-79.3101666667,78.160833333,96.5516666666,100.5745,47.1263333335,125.287333333,43.1033333334,-30.4596666665,14.9425
189.81,650.0,-336.666666667,-533.333333333,380.000000002,480.0,420.0,196.666666667,593.333333333,213.333333333,-293.333333334,-13.3333333335
190.19,-425.396796296,352.380833333,450.0,-247.619166667,-316.666833333,-240.476166667,-59.524,-395.238166666,-73.8096666665,319.047666666,59.5236666665
190.57,-191.087962963,153.125,189.583333333,-120.833333334,-151.041666667,-107.291666667,-21.875,-171.875,-23.9583333332,125.0,38.541666667
190.95,-52.8528703704,98.6484999999,113.513333333,-34.6846666665,-32.8828333333,-0.45033333335,23.8738333334,-40.5405,32.4323333333,90.0898333335,47.2974999999
191.33,-41.2280185185,108.333333333,125.0,-25.0,-12.7191666666,19.2983333334,31.1401666667,-17.5438333333,66.6666666665,91.6666666665,53.9473333335
191.71,-45.9977222222,119.355,150.0,-32.7956666665,-17.742,43.5485000002,32.2581666669,-13.4411666667,81.1828333335,94.0858333332,42.4731666665
192.09,-16.6122777778,114.705666667,155.392333333,-19.1178333335,14.7058333333,60.7841666666,51.9608333331,26.9608333334,107.353,114.706,52.9411666669
192.47,9.1617222222,106.140333333,157.4565,4.8245,46.0526666667,75.0000000001,77.193,49.1228333333,129.824666667,121.052666667,62.7193333334
192.85,1.5515925926,98.1981666667,141.891833333,-23.874,42.7926666666,59.9101666665,64.4141666669,32.883,127.027,125.225333333,56.7566666665
193.23,-5.96712962965,143.827,193.21,-32.0986666665,71.6048333334,83.9506666666,82.7161666669,40.1235,155.555666667,148.765333333,83.9506666665
193.61,7.17592592595,142.708333334,177.604166667,-28.6458333335,69.2708333333,93.7500000002,78.6458333335,55.2083333333,153.645833333,120.3125,88.5416666665
193.99,-68.8657407409,219.791666667,287.5,-108.333333333,74.9999999999,135.416666666,93.75,31.25,281.25,160.416666667,93.75
194.37,-12.4578148148,211.363833333,250.0,-21.2121666665,118.939333333,150.757833334,108.333166667,81.8183333332,241.666666667,138.636333333,112.878833333
